Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,AD,Andorra,EURO,0.0,0,0.0,0
2020-01-12,AD,Andorra,EURO,0.0,0,0.0,0
2020-01-19,AD,Andorra,EURO,0.0,0,0.0,0
2020-01-26,AD,Andorra,EURO,0.0,0,0.0,0
2020-02-02,AD,Andorra,EURO,0.0,0,0.0,0
2020-02-09,AD,Andorra,EURO,0.0,0,0.0,0
2020-02-16,AD,Andorra,EURO,0.0,0,0.0,0
2020-02-23,AD,Andorra,EURO,0.0,0,0.0,0
2020-03-01,AD,Andorra,EURO,0.0,0,0.0,0
2020-03-08,AD,Andorra,EURO,1.0,1,0.0,0
2020-03-15,AD,Andorra,EURO,1.0,2,0.0,0
2020-03-22,AD,Andorra,EURO,131.0,133,1.0,1
2020-03-29,AD,Andorra,EURO,208.0,341,5.0,6
2020-04-05,AD,Andorra,EURO,125.0,466,11.0,17
2020-04-12,AD,Andorra,EURO,156.0,622,11.0,28
2020-04-19,AD,Andorra,EURO,82.0,704,7.0,35
2020-04-26,AD,Andorra,EURO,34.0,738,5.0,40
2020-05-03,AD,Andorra,EURO,9.0,747,4.0,44
2020-05-10,AD,Andorra,EURO,7.0,754,4.0,48
2020-05-17,AD,Andorra,EURO,7.0,761,3.0,51
2020-05-24,AD,Andorra,EURO,2.0,763,0.0,51
2020-05-31,AD,Andorra,EURO,1.0,764,0.0,51
2020-06-07,AD,Andorra,EURO,88.0,852,0.0,51
2020-06-14,AD,Andorra,EURO,1.0,853,0.0,51
2020-06-21,AD,Andorra,EURO,2.0,855,1.0,52
2020-06-28,AD,Andorra,EURO,0.0,855,0.0,52
2020-07-05,AD,Andorra,EURO,0.0,855,0.0,52
2020-07-12,AD,Andorra,EURO,0.0,855,0.0,52
2020-07-19,AD,Andorra,EURO,25.0,880,0.0,52
2020-07-26,AD,Andorra,EURO,17.0,897,0.0,52
2020-08-02,AD,Andorra,EURO,33.0,930,0.0,52
2020-08-09,AD,Andorra,EURO,26.0,956,0.0,52
2020-08-16,AD,Andorra,EURO,41.0,997,1.0,53
2020-08-23,AD,Andorra,EURO,50.0,1047,0.0,53
2020-08-30,AD,Andorra,EURO,77.0,1124,0.0,53
2020-09-06,AD,Andorra,EURO,91.0,1215,0.0,53
2020-09-13,AD,Andorra,EURO,129.0,1344,0.0,53
2020-09-20,AD,Andorra,EURO,220.0,1564,0.0,53
2020-09-27,AD,Andorra,EURO,272.0,1836,0.0,53
2020-10-04,AD,Andorra,EURO,274.0,2110,0.0,53
2020-10-11,AD,Andorra,EURO,586.0,2696,2.0,55
2020-10-18,AD,Andorra,EURO,681.0,3377,4.0,59
2020-10-25,AD,Andorra,EURO,661.0,4038,10.0,69
2020-11-01,AD,Andorra,EURO,718.0,4756,6.0,75
2020-11-08,AD,Andorra,EURO,563.0,5319,0.0,75
2020-11-15,AD,Andorra,EURO,406.0,5725,0.0,75
2020-11-22,AD,Andorra,EURO,482.0,6207,1.0,76
2020-11-29,AD,Andorra,EURO,403.0,6610,0.0,76
2020-12-06,AD,Andorra,EURO,395.0,7005,2.0,78
2020-12-13,AD,Andorra,EURO,283.0,7288,0.0,78
2020-12-20,AD,Andorra,EURO,272.0,7560,2.0,80
2020-12-27,AD,Andorra,EURO,246.0,7806,3.0,83
2021-01-03,AD,Andorra,EURO,360.0,8166,1.0,84
2021-01-10,AD,Andorra,EURO,420.0,8586,1.0,85
2021-01-17,AD,Andorra,EURO,452.0,9038,6.0,91
2021-01-24,AD,Andorra,EURO,461.0,9499,5.0,96
2021-01-31,AD,Andorra,EURO,386.0,9885,5.0,101
2021-02-07,AD,Andorra,EURO,321.0,10206,4.0,105
2021-02-14,AD,Andorra,EURO,257.0,10463,2.0,107
2021-02-21,AD,Andorra,EURO,209.0,10672,0.0,107
2021-02-28,AD,Andorra,EURO,177.0,10849,3.0,110
2021-03-07,AD,Andorra,EURO,170.0,11019,2.0,112
2021-03-14,AD,Andorra,EURO,209.0,11228,0.0,112
2021-03-21,AD,Andorra,EURO,253.0,11481,1.0,113
2021-03-28,AD,Andorra,EURO,328.0,11809,2.0,115
2021-04-04,AD,Andorra,EURO,365.0,12174,2.0,117
2021-04-11,AD,Andorra,EURO,323.0,12497,3.0,120
2021-04-18,AD,Andorra,EURO,274.0,12771,3.0,123
2021-04-25,AD,Andorra,EURO,253.0,13024,1.0,124
2021-05-02,AD,Andorra,EURO,208.0,13232,1.0,125
2021-05-09,AD,Andorra,EURO,174.0,13406,2.0,127
2021-05-16,AD,Andorra,EURO,104.0,13510,0.0,127
2021-05-23,AD,Andorra,EURO,99.0,13609,0.0,127
2021-05-30,AD,Andorra,EURO,84.0,13693,0.0,127
2021-06-06,AD,Andorra,EURO,65.0,13758,0.0,127
2021-06-13,AD,Andorra,EURO,55.0,13813,0.0,127
2021-06-20,AD,Andorra,EURO,29.0,13842,0.0,127
2021-06-27,AD,Andorra,EURO,40.0,13882,0.0,127
2021-07-04,AD,Andorra,EURO,36.0,13918,0.0,127
2021-07-11,AD,Andorra,EURO,157.0,14075,0.0,127
2021-07-18,AD,Andorra,EURO,198.0,14273,0.0,127
2021-07-25,AD,Andorra,EURO,225.0,14498,0.0,127
2021-08-01,AD,Andorra,EURO,180.0,14678,1.0,128
2021-08-08,AD,Andorra,EURO,158.0,14836,0.0,128
2021-08-15,AD,Andorra,EURO,88.0,14924,1.0,129
2021-08-22,AD,Andorra,EURO,64.0,14988,0.0,129
2021-08-29,AD,Andorra,EURO,37.0,15025,1.0,130
2021-09-05,AD,Andorra,EURO,30.0,15055,0.0,130
2021-09-12,AD,Andorra,EURO,28.0,15083,0.0,130
2021-09-19,AD,Andorra,EURO,41.0,15124,0.0,130
2021-09-26,AD,Andorra,EURO,43.0,15167,0.0,130
2021-10-03,AD,Andorra,EURO,55.0,15222,0.0,130
2021-10-10,AD,Andorra,EURO,69.0,15291,0.0,130
2021-10-17,AD,Andorra,EURO,47.0,15338,0.0,130
2021-10-24,AD,Andorra,EURO,66.0,15404,0.0,130
2021-10-31,AD,Andorra,EURO,112.0,15516,0.0,130
2021-11-07,AD,Andorra,EURO,102.0,15618,0.0,130
2021-11-14,AD,Andorra,EURO,201.0,15819,0.0,130
2021-11-21,AD,Andorra,EURO,267.0,16086,0.0,130
2021-11-28,AD,Andorra,EURO,626.0,16712,1.0,131
2021-12-05,AD,Andorra,EURO,1298.0,18010,1.0,132
2021-12-12,AD,Andorra,EURO,1430.0,19440,1.0,133
2021-12-19,AD,Andorra,EURO,1109.0,20549,1.0,134
2021-12-26,AD,Andorra,EURO,1181.0,21730,5.0,139
2022-01-02,AD,Andorra,EURO,2010.0,23740,1.0,140
2022-01-09,AD,Andorra,EURO,2668.0,26408,1.0,141
2022-01-16,AD,Andorra,EURO,3480.0,29888,1.0,142
2022-01-23,AD,Andorra,EURO,3137.0,33025,2.0,144
2022-01-30,AD,Andorra,EURO,2531.0,35556,1.0,145
2022-02-06,AD,Andorra,EURO,1043.0,36599,2.0,147
2022-02-13,AD,Andorra,EURO,541.0,37140,1.0,148
2022-02-20,AD,Andorra,EURO,449.0,37589,2.0,150
2022-02-27,AD,Andorra,EURO,410.0,37999,1.0,151
2022-03-06,AD,Andorra,EURO,435.0,38434,0.0,151
2022-03-13,AD,Andorra,EURO,360.0,38794,1.0,152
2022-03-20,AD,Andorra,EURO,440.0,39234,1.0,153
2022-03-27,AD,Andorra,EURO,479.0,39713,0.0,153
2022-04-03,AD,Andorra,EURO,311.0,40024,0.0,153
2022-04-10,AD,Andorra,EURO,304.0,40328,0.0,153
2022-04-17,AD,Andorra,EURO,381.0,40709,0.0,153
2022-04-24,AD,Andorra,EURO,304.0,41013,0.0,153
2022-05-01,AD,Andorra,EURO,336.0,41349,0.0,153
2022-05-08,AD,Andorra,EURO,368.0,41717,0.0,153
2022-05-15,AD,Andorra,EURO,439.0,42156,0.0,153
2022-05-22,AD,Andorra,EURO,416.0,42572,0.0,153
2022-05-29,AD,Andorra,EURO,322.0,42894,0.0,153
2022-06-05,AD,Andorra,EURO,173.0,43067,0.0,153
2022-06-12,AD,Andorra,EURO,157.0,43224,0.0,153
2022-06-19,AD,Andorra,EURO,225.0,43449,0.0,153
2022-06-26,AD,Andorra,EURO,325.0,43774,0.0,153
2022-07-03,AD,Andorra,EURO,403.0,44177,0.0,153
2022-07-10,AD,Andorra,EURO,494.0,44671,0.0,153
2022-07-17,AD,Andorra,EURO,390.0,45061,0.0,153
2022-07-24,AD,Andorra,EURO,265.0,45326,0.0,153
2022-07-31,AD,Andorra,EURO,182.0,45508,0.0,153
2022-08-07,AD,Andorra,EURO,285.0,45793,1.0,154
2022-08-14,AD,Andorra,EURO,106.0,45899,0.0,154
2022-08-21,AD,Andorra,EURO,76.0,45975,0.0,154
2022-08-28,AD,Andorra,EURO,52.0,46027,0.0,154
2022-09-04,AD,Andorra,EURO,0.0,46027,0.0,154
2022-09-11,AD,Andorra,EURO,86.0,46113,1.0,155
2022-09-18,AD,Andorra,EURO,34.0,46147,0.0,155
2022-09-25,AD,Andorra,EURO,0.0,46147,0.0,155
2022-10-02,AD,Andorra,EURO,80.0,46227,0.0,155
2022-10-09,AD,Andorra,EURO,48.0,46275,0.0,155
2022-10-16,AD,Andorra,EURO,91.0,46366,0.0,155
2022-10-23,AD,Andorra,EURO,83.0,46449,0.0,155
2022-10-30,AD,Andorra,EURO,86.0,46535,0.0,155
2022-11-06,AD,Andorra,EURO,53.0,46588,0.0,155
2022-11-13,AD,Andorra,EURO,76.0,46664,0.0,155
2022-11-20,AD,Andorra,EURO,160.0,46824,1.0,156
2022-11-27,AD,Andorra,EURO,0.0,46824,0.0,156
2022-12-04,AD,Andorra,EURO,395.0,47219,1.0,157
2022-12-11,AD,Andorra,EURO,227.0,47446,1.0,158
2022-12-18,AD,Andorra,EURO,160.0,47606,0.0,158
2022-12-25,AD,Andorra,EURO,80.0,47686,0.0,158
2023-01-01,AD,Andorra,EURO,65.0,47751,0.0,158
2023-01-08,AD,Andorra,EURO,30.0,47781,1.0,159
2023-01-15,AD,Andorra,EURO,0.0,47781,0.0,159
2023-01-22,AD,Andorra,EURO,39.0,47820,0.0,159
2023-01-29,AD,Andorra,EURO,19.0,47839,0.0,159
2023-02-05,AD,Andorra,EURO,11.0,47850,0.0,159
2023-02-12,AD,Andorra,EURO,10.0,47860,0.0,159
2023-02-19,AD,Andorra,EURO,6.0,47866,0.0,159
2023-02-26,AD,Andorra,EURO,9.0,47875,0.0,159
2023-03-05,AD,Andorra,EURO,15.0,47890,0.0,159
2023-03-12,AD,Andorra,EURO,8.0,47898,0.0,159
2023-03-19,AD,Andorra,EURO,10.0,47908,0.0,159
2023-03-26,AD,Andorra,EURO,9.0,47917,0.0,159
2023-04-02,AD,Andorra,EURO,13.0,47930,0.0,159
2023-04-09,AD,Andorra,EURO,9.0,47939,0.0,159
2023-04-16,AD,Andorra,EURO,6.0,47945,0.0,159
2023-04-23,AD,Andorra,EURO,0.0,47945,0.0,159
2023-04-30,AD,Andorra,EURO,29.0,47974,0.0,159
2023-05-07,AD,Andorra,EURO,41.0,48015,0.0,159
2023-05-14,AD,Andorra,EURO,0.0,48015,0.0,159
2023-05-21,AD,Andorra,EURO,0.0,48015,0.0,159
2023-05-28,AD,Andorra,EURO,0.0,48015,0.0,159
2023-06-04,AD,Andorra,EURO,0.0,48015,0.0,159
2023-06-11,AD,Andorra,EURO,0.0,48015,0.0,159
2023-06-18,AD,Andorra,EURO,0.0,48015,0.0,159
2023-06-25,AD,Andorra,EURO,0.0,48015,0.0,159
2023-07-02,AD,Andorra,EURO,0.0,48015,0.0,159
2023-07-09,AD,Andorra,EURO,0.0,48015,0.0,159
2023-07-16,AD,Andorra,EURO,0.0,48015,0.0,159
2023-07-23,AD,Andorra,EURO,0.0,48015,0.0,159
2023-07-30,AD,Andorra,EURO,0.0,48015,0.0,159
2023-08-06,AD,Andorra,EURO,0.0,48015,0.0,159
2023-08-13,AD,Andorra,EURO,0.0,48015,0.0,159
2023-08-20,AD,Andorra,EURO,0.0,48015,0.0,159
2023-08-27,AD,Andorra,EURO,0.0,48015,0.0,159
2023-09-03,AD,Andorra,EURO,0.0,48015,0.0,159
2023-09-10,AD,Andorra,EURO,0.0,48015,0.0,159
2023-09-17,AD,Andorra,EURO,0.0,48015,0.0,159
2023-09-24,AD,Andorra,EURO,0.0,48015,0.0,159
2023-10-01,AD,Andorra,EURO,0.0,48015,0.0,159
2023-10-08,AD,Andorra,EURO,0.0,48015,0.0,159
2023-10-15,AD,Andorra,EURO,0.0,48015,0.0,159
2023-10-22,AD,Andorra,EURO,0.0,48015,0.0,159
2023-10-29,AD,Andorra,EURO,0.0,48015,0.0,159
2023-11-05,AD,Andorra,EURO,0.0,48015,0.0,159
2023-11-12,AD,Andorra,EURO,0.0,48015,0.0,159
2023-11-19,AD,Andorra,EURO,0.0,48015,0.0,159
2023-11-26,AD,Andorra,EURO,0.0,48015,0.0,159
2023-12-03,AD,Andorra,EURO,0.0,48015,0.0,159
2023-12-10,AD,Andorra,EURO,0.0,48015,0.0,159
2023-12-17,AD,Andorra,EURO,0.0,48015,0.0,159
2023-12-24,AD,Andorra,EURO,0.0,48015,0.0,159
2023-12-31,AD,Andorra,EURO,0.0,48015,0.0,159
2024-01-07,AD,Andorra,EURO,0.0,48015,0.0,159
2024-01-14,AD,Andorra,EURO,0.0,48015,0.0,159
2024-01-21,AD,Andorra,EURO,0.0,48015,0.0,159
2024-01-28,AD,Andorra,EURO,0.0,48015,0.0,159
2024-02-04,AD,Andorra,EURO,0.0,48015,0.0,159
2024-02-11,AD,Andorra,EURO,0.0,48015,0.0,159
2024-02-18,AD,Andorra,EURO,0.0,48015,0.0,159
2024-02-25,AD,Andorra,EURO,0.0,48015,0.0,159
2024-03-03,AD,Andorra,EURO,0.0,48015,0.0,159
2024-03-10,AD,Andorra,EURO,0.0,48015,0.0,159
2024-03-17,AD,Andorra,EURO,0.0,48015,0.0,159
2024-03-24,AD,Andorra,EURO,0.0,48015,0.0,159
2024-03-31,AD,Andorra,EURO,0.0,48015,0.0,159
2024-04-07,AD,Andorra,EURO,0.0,48015,0.0,159
2024-04-14,AD,Andorra,EURO,0.0,48015,0.0,159
2024-04-21,AD,Andorra,EURO,0.0,48015,0.0,159
2024-04-28,AD,Andorra,EURO,0.0,48015,0.0,159
