Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,AU,Australia,WPRO,0.0,0,0.0,0
2020-01-12,AU,Australia,WPRO,0.0,0,0.0,0
2020-01-19,AU,Australia,WPRO,0.0,0,0.0,0
2020-01-26,AU,Australia,WPRO,4.0,4,0.0,0
2020-02-02,AU,Australia,WPRO,8.0,12,0.0,0
2020-02-09,AU,Australia,WPRO,3.0,15,0.0,0
2020-02-16,AU,Australia,WPRO,0.0,15,0.0,0
2020-02-23,AU,Australia,WPRO,7.0,22,0.0,0
2020-03-01,AU,Australia,WPRO,3.0,25,0.0,0
2020-03-08,AU,Australia,WPRO,45.0,70,4.0,4
2020-03-15,AU,Australia,WPRO,179.0,249,3.0,7
2020-03-22,AU,Australia,WPRO,832.0,1081,2.0,9
2020-03-29,AU,Australia,WPRO,2728.0,3809,7.0,16
2020-04-05,AU,Australia,WPRO,1826.0,5635,20.0,36
2020-04-12,AU,Australia,WPRO,654.0,6289,25.0,61
2020-04-19,AU,Australia,WPRO,297.0,6586,12.0,73
2020-04-26,AU,Australia,WPRO,117.0,6703,12.0,85
2020-05-03,AU,Australia,WPRO,80.0,6783,14.0,99
2020-05-10,AU,Australia,WPRO,146.0,6929,2.0,101
2020-05-17,AU,Australia,WPRO,107.0,7036,2.0,103
2020-05-24,AU,Australia,WPRO,70.0,7106,4.0,107
2020-05-31,AU,Australia,WPRO,79.0,7185,0.0,107
2020-06-07,AU,Australia,WPRO,70.0,7255,0.0,107
2020-06-14,AU,Australia,WPRO,47.0,7302,0.0,107
2020-06-21,AU,Australia,WPRO,134.0,7436,0.0,107
2020-06-28,AU,Australia,WPRO,205.0,7641,1.0,108
2020-07-05,AU,Australia,WPRO,721.0,8362,1.0,109
2020-07-12,AU,Australia,WPRO,1191.0,9553,4.0,113
2020-07-19,AU,Australia,WPRO,1888.0,11441,16.0,129
2020-07-26,AU,Australia,WPRO,2509.0,13950,45.0,174
2020-08-02,AU,Australia,WPRO,3332.0,17282,95.0,269
2020-08-09,AU,Australia,WPRO,3416.0,20698,106.0,375
2020-08-16,AU,Australia,WPRO,2337.0,23035,138.0,513
2020-08-23,AU,Australia,WPRO,1567.0,24602,114.0,627
2020-08-30,AU,Australia,WPRO,945.0,25547,97.0,724
2020-09-06,AU,Australia,WPRO,660.0,26207,58.0,782
2020-09-13,AU,Australia,WPRO,400.0,26607,46.0,828
2020-09-20,AU,Australia,WPRO,278.0,26885,36.0,864
2020-09-27,AU,Australia,WPRO,131.0,27016,23.0,887
2020-10-04,AU,Australia,WPRO,105.0,27121,19.0,906
2020-10-11,AU,Australia,WPRO,123.0,27244,5.0,911
2020-10-18,AU,Australia,WPRO,139.0,27383,1.0,912
2020-10-25,AU,Australia,WPRO,116.0,27499,2.0,914
2020-11-01,AU,Australia,WPRO,91.0,27590,0.0,914
2020-11-08,AU,Australia,WPRO,62.0,27652,0.0,914
2020-11-15,AU,Australia,WPRO,59.0,27711,3.0,917
2020-11-22,AU,Australia,WPRO,96.0,27807,0.0,917
2020-11-29,AU,Australia,WPRO,78.0,27885,1.0,918
2020-12-06,AU,Australia,WPRO,71.0,27956,1.0,919
2020-12-13,AU,Australia,WPRO,69.0,28025,0.0,919
2020-12-20,AU,Australia,WPRO,103.0,28128,0.0,919
2020-12-27,AU,Australia,WPRO,168.0,28296,1.0,920
2021-01-03,AU,Australia,WPRO,187.0,28483,2.0,922
2021-01-10,AU,Australia,WPRO,112.0,28595,0.0,922
2021-01-17,AU,Australia,WPRO,113.0,28708,1.0,923
2021-01-24,AU,Australia,WPRO,58.0,28766,0.0,923
2021-01-31,AU,Australia,WPRO,45.0,28811,0.0,923
2021-02-07,AU,Australia,WPRO,39.0,28850,0.0,923
2021-02-14,AU,Australia,WPRO,48.0,28898,0.0,923
2021-02-21,AU,Australia,WPRO,28.0,28926,1.0,924
2021-02-28,AU,Australia,WPRO,44.0,28970,0.0,924
2021-03-07,AU,Australia,WPRO,67.0,29037,0.0,924
2021-03-14,AU,Australia,WPRO,80.0,29117,1.0,925
2021-03-21,AU,Australia,WPRO,79.0,29196,0.0,925
2021-03-28,AU,Australia,WPRO,64.0,29260,0.0,925
2021-04-04,AU,Australia,WPRO,88.0,29348,1.0,926
2021-04-11,AU,Australia,WPRO,57.0,29405,0.0,926
2021-04-18,AU,Australia,WPRO,114.0,29519,2.0,928
2021-04-25,AU,Australia,WPRO,147.0,29666,0.0,928
2021-05-02,AU,Australia,WPRO,160.0,29826,0.0,928
2021-05-09,AU,Australia,WPRO,97.0,29923,0.0,928
2021-05-16,AU,Australia,WPRO,52.0,29975,0.0,928
2021-05-23,AU,Australia,WPRO,36.0,30011,0.0,928
2021-05-30,AU,Australia,WPRO,87.0,30098,0.0,928
2021-06-06,AU,Australia,WPRO,357.0,30455,0.0,928
2021-06-13,AU,Australia,WPRO,58.0,30513,0.0,928
2021-06-20,AU,Australia,WPRO,87.0,30600,0.0,928
2021-06-27,AU,Australia,WPRO,235.0,30835,0.0,928
2021-07-04,AU,Australia,WPRO,276.0,31111,0.0,928
2021-07-11,AU,Australia,WPRO,549.0,31660,2.0,930
2021-07-18,AU,Australia,WPRO,875.0,32535,5.0,935
2021-07-25,AU,Australia,WPRO,1260.0,33795,5.0,940
2021-08-01,AU,Australia,WPRO,1667.0,35462,7.0,947
2021-08-08,AU,Australia,WPRO,2313.0,37775,16.0,963
2021-08-15,AU,Australia,WPRO,3613.0,41388,27.0,990
2021-08-22,AU,Australia,WPRO,6133.0,47521,22.0,1012
2021-08-29,AU,Australia,WPRO,8140.0,55661,20.0,1032
2021-09-05,AU,Australia,WPRO,11094.0,66755,52.0,1084
2021-09-12,AU,Australia,WPRO,12596.0,79351,56.0,1140
2021-09-19,AU,Australia,WPRO,12301.0,91652,77.0,1217
2021-09-26,AU,Australia,WPRO,12498.0,104150,95.0,1312
2021-10-03,AU,Australia,WPRO,15401.0,119551,110.0,1422
2021-10-10,AU,Australia,WPRO,15281.0,134832,119.0,1541
2021-10-17,AU,Australia,WPRO,15347.0,150179,105.0,1646
2021-10-24,AU,Australia,WPRO,13759.0,163938,108.0,1754
2021-10-31,AU,Australia,WPRO,10046.0,173984,112.0,1866
2021-11-07,AU,Australia,WPRO,9666.0,183650,97.0,1963
2021-11-14,AU,Australia,WPRO,8701.0,192351,66.0,2029
2021-11-21,AU,Australia,WPRO,9330.0,201681,81.0,2110
2021-11-28,AU,Australia,WPRO,9744.0,211425,56.0,2166
2021-12-05,AU,Australia,WPRO,10526.0,221951,52.0,2218
2021-12-12,AU,Australia,WPRO,13403.0,235354,36.0,2254
2021-12-19,AU,Australia,WPRO,31489.0,266843,54.0,2308
2021-12-26,AU,Australia,WPRO,99764.0,366607,69.0,2377
2022-01-02,AU,Australia,WPRO,289614.0,656221,103.0,2480
2022-01-09,AU,Australia,WPRO,588813.0,1245034,219.0,2699
2022-01-16,AU,Australia,WPRO,462325.0,1707359,440.0,3139
2022-01-23,AU,Australia,WPRO,347960.0,2055319,660.0,3799
2022-01-30,AU,Australia,WPRO,267817.0,2323136,670.0,4469
2022-02-06,AU,Australia,WPRO,201112.0,2524248,581.0,5050
2022-02-13,AU,Australia,WPRO,171754.0,2696002,436.0,5486
2022-02-20,AU,Australia,WPRO,160429.0,2856431,324.0,5810
2022-02-27,AU,Australia,WPRO,160402.0,3016833,242.0,6052
2022-03-06,AU,Australia,WPRO,195717.0,3212550,151.0,6203
2022-03-13,AU,Australia,WPRO,241848.0,3454398,140.0,6343
2022-03-20,AU,Australia,WPRO,327240.0,3781638,139.0,6482
2022-03-27,AU,Australia,WPRO,385762.0,4167400,149.0,6631
2022-04-03,AU,Australia,WPRO,395982.0,4563382,200.0,6831
2022-04-10,AU,Australia,WPRO,359765.0,4923147,198.0,7029
2022-04-17,AU,Australia,WPRO,306184.0,5229331,250.0,7279
2022-04-24,AU,Australia,WPRO,289282.0,5518613,315.0,7594
2022-05-01,AU,Australia,WPRO,272054.0,5790667,295.0,7889
2022-05-08,AU,Australia,WPRO,304061.0,6094728,315.0,8204
2022-05-15,AU,Australia,WPRO,350375.0,6445103,339.0,8543
2022-05-22,AU,Australia,WPRO,311716.0,6756819,317.0,8860
2022-05-29,AU,Australia,WPRO,240429.0,6997248,344.0,9204
2022-06-05,AU,Australia,WPRO,199964.0,7197212,375.0,9579
2022-06-12,AU,Australia,WPRO,184472.0,7381684,331.0,9910
2022-06-19,AU,Australia,WPRO,191043.0,7572727,344.0,10254
2022-06-26,AU,Australia,WPRO,204308.0,7777035,324.0,10578
2022-07-03,AU,Australia,WPRO,0.0,7777035,344.0,10922
2022-07-10,AU,Australia,WPRO,243697.0,8020732,400.0,11322
2022-07-17,AU,Australia,WPRO,271605.0,8292337,451.0,11773
2022-07-24,AU,Australia,WPRO,303029.0,8595366,607.0,12380
2022-07-31,AU,Australia,WPRO,319779.0,8915145,618.0,12998
2022-08-07,AU,Australia,WPRO,259334.0,9174479,603.0,13601
2022-08-14,AU,Australia,WPRO,200397.0,9374876,526.0,14127
2022-08-21,AU,Australia,WPRO,139178.0,9514054,375.0,14502
2022-08-28,AU,Australia,WPRO,103184.0,9617238,329.0,14831
2022-09-04,AU,Australia,WPRO,79985.0,9697223,240.0,15071
2022-09-11,AU,Australia,WPRO,63392.0,9760615,214.0,15285
2022-09-18,AU,Australia,WPRO,51273.0,9811888,184.0,15469
2022-09-25,AU,Australia,WPRO,43401.0,9855289,147.0,15616
2022-10-02,AU,Australia,WPRO,37578.0,9892867,113.0,15729
2022-10-09,AU,Australia,WPRO,38674.0,9931541,102.0,15831
2022-10-16,AU,Australia,WPRO,31327.0,9962868,74.0,15905
2022-10-23,AU,Australia,WPRO,29620.0,9992488,103.0,16008
2022-10-30,AU,Australia,WPRO,30363.0,10022851,85.0,16093
2022-11-06,AU,Australia,WPRO,35763.0,10058614,111.0,16204
2022-11-13,AU,Australia,WPRO,52310.0,10110924,116.0,16320
2022-11-20,AU,Australia,WPRO,73573.0,10184497,154.0,16474
2022-11-27,AU,Australia,WPRO,83407.0,10267904,178.0,16652
2022-12-04,AU,Australia,WPRO,97897.0,10365801,259.0,16911
2022-12-11,AU,Australia,WPRO,107902.0,10473703,272.0,17183
2022-12-18,AU,Australia,WPRO,112016.0,10585719,299.0,17482
2022-12-25,AU,Australia,WPRO,108322.0,10694041,334.0,17816
2023-01-01,AU,Australia,WPRO,91518.0,10785559,1094.0,18910
2023-01-08,AU,Australia,WPRO,86989.0,10872548,0.0,18910
2023-01-15,AU,Australia,WPRO,46003.0,10918551,0.0,18910
2023-01-22,AU,Australia,WPRO,30909.0,10949460,0.0,18910
2023-01-29,AU,Australia,WPRO,22041.0,10971501,0.0,18910
2023-02-05,AU,Australia,WPRO,18922.0,10990423,1161.0,20071
2023-02-12,AU,Australia,WPRO,17067.0,11007490,96.0,20167
2023-02-19,AU,Australia,WPRO,17927.0,11025417,89.0,20256
2023-02-26,AU,Australia,WPRO,17814.0,11043231,90.0,20346
2023-03-05,AU,Australia,WPRO,18262.0,11061493,78.0,20424
2023-03-12,AU,Australia,WPRO,19780.0,11081273,78.0,20502
2023-03-19,AU,Australia,WPRO,21681.0,11102954,88.0,20590
2023-03-26,AU,Australia,WPRO,23014.0,11125968,93.0,20683
2023-04-02,AU,Australia,WPRO,25521.0,11151489,103.0,20786
2023-04-09,AU,Australia,WPRO,27650.0,11179139,123.0,20909
2023-04-16,AU,Australia,WPRO,27055.0,11206194,131.0,21040
2023-04-23,AU,Australia,WPRO,29966.0,11236160,146.0,21186
2023-04-30,AU,Australia,WPRO,29431.0,11265591,155.0,21341
2023-05-07,AU,Australia,WPRO,29663.0,11295254,173.0,21514
2023-05-14,AU,Australia,WPRO,31859.0,11327113,173.0,21687
2023-05-21,AU,Australia,WPRO,37720.0,11364833,170.0,21857
2023-05-28,AU,Australia,WPRO,41012.0,11405845,213.0,22070
