Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-01-12,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-01-19,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-01-26,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-02-02,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-02-09,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-02-16,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-02-23,AZ,Azerbaijan,EURO,0.0,0,0.0,0
2020-03-01,AZ,Azerbaijan,EURO,3.0,3,0.0,0
2020-03-08,AZ,Azerbaijan,EURO,6.0,9,0.0,0
2020-03-15,AZ,Azerbaijan,EURO,2.0,11,0.0,0
2020-03-22,AZ,Azerbaijan,EURO,42.0,53,1.0,1
2020-03-29,AZ,Azerbaijan,EURO,94.0,147,2.0,3
2020-04-05,AZ,Azerbaijan,EURO,296.0,443,2.0,5
2020-04-12,AZ,Azerbaijan,EURO,548.0,991,5.0,10
2020-04-19,AZ,Azerbaijan,EURO,349.0,1340,5.0,15
2020-04-26,AZ,Azerbaijan,EURO,252.0,1592,6.0,21
2020-05-03,AZ,Azerbaijan,EURO,262.0,1854,4.0,25
2020-05-10,AZ,Azerbaijan,EURO,425.0,2279,3.0,28
2020-05-17,AZ,Azerbaijan,EURO,701.0,2980,8.0,36
2020-05-24,AZ,Azerbaijan,EURO,875.0,3855,10.0,46
2020-05-31,AZ,Azerbaijan,EURO,1134.0,4989,12.0,58
2020-06-07,AZ,Azerbaijan,EURO,1871.0,6860,24.0,82
2020-06-14,AZ,Azerbaijan,EURO,2358.0,9218,31.0,113
2020-06-21,AZ,Azerbaijan,EURO,2549.0,11767,30.0,143
2020-06-28,AZ,Azerbaijan,EURO,3602.0,15369,44.0,187
2020-07-05,AZ,Azerbaijan,EURO,3898.0,19267,48.0,235
