Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-01-12,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-01-19,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-01-26,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-02-02,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-02-09,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-02-16,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-02-23,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-03-01,BA,Bosnia and Herzegovina,EURO,0.0,0,0.0,0
2020-03-08,BA,Bosnia and Herzegovina,EURO,2.0,2,0.0,0
2020-03-15,BA,Bosnia and Herzegovina,EURO,11.0,13,0.0,0
2020-03-22,BA,Bosnia and Herzegovina,EURO,112.0,125,1.0,1
2020-03-29,BA,Bosnia and Herzegovina,EURO,193.0,318,5.0,6
2020-04-05,BA,Bosnia and Herzegovina,EURO,301.0,619,15.0,21
2020-04-12,BA,Bosnia and Herzegovina,EURO,316.0,935,16.0,37
2020-04-19,BA,Bosnia and Herzegovina,EURO,333.0,1268,10.0,47
2020-04-26,BA,Bosnia and Herzegovina,EURO,218.0,1486,10.0,57
2020-05-03,BA,Bosnia and Herzegovina,EURO,353.0,1839,15.0,72
2020-05-10,BA,Bosnia and Herzegovina,EURO,251.0,2090,30.0,102
2020-05-17,BA,Bosnia and Herzegovina,EURO,177.0,2267,27.0,129
2020-05-24,BA,Bosnia and Herzegovina,EURO,124.0,2391,12.0,141
2020-05-31,BA,Bosnia and Herzegovina,EURO,103.0,2494,12.0,153
2020-06-07,BA,Bosnia and Herzegovina,EURO,152.0,2646,6.0,159
2020-06-14,BA,Bosnia and Herzegovina,EURO,247.0,2893,4.0,163
2020-06-21,BA,Bosnia and Herzegovina,EURO,454.0,3347,7.0,170
2020-06-28,BA,Bosnia and Herzegovina,EURO,751.0,4098,10.0,180
2020-07-05,BA,Bosnia and Herzegovina,EURO,1152.0,5250,13.0,193
2020-07-12,BA,Bosnia and Herzegovina,EURO,1470.0,6720,26.0,219
2020-07-19,BA,Bosnia and Herzegovina,EURO,1444.0,8164,29.0,248
2020-07-26,BA,Bosnia and Herzegovina,EURO,1888.0,10052,37.0,285
2020-08-02,BA,Bosnia and Herzegovina,EURO,1824.0,11876,54.0,339
2020-08-09,BA,Bosnia and Herzegovina,EURO,2213.0,14089,63.0,402
2020-08-16,BA,Bosnia and Herzegovina,EURO,1701.0,15790,69.0,471
2020-08-23,BA,Bosnia and Herzegovina,EURO,1924.0,17714,60.0,531
2020-08-30,BA,Bosnia and Herzegovina,EURO,1836.0,19550,63.0,594
2020-09-06,BA,Bosnia and Herzegovina,EURO,1889.0,21439,57.0,651
2020-09-13,BA,Bosnia and Herzegovina,EURO,1700.0,23139,39.0,690
2020-09-20,BA,Bosnia and Herzegovina,EURO,2078.0,25217,68.0,758
2020-09-27,BA,Bosnia and Herzegovina,EURO,1582.0,26799,57.0,815
2020-10-04,BA,Bosnia and Herzegovina,EURO,1438.0,28237,62.0,877
2020-10-11,BA,Bosnia and Herzegovina,EURO,2108.0,30345,50.0,927
2020-10-18,BA,Bosnia and Herzegovina,EURO,3212.0,33557,55.0,982
2020-10-25,BA,Bosnia and Herzegovina,EURO,6201.0,39758,89.0,1071
2020-11-01,BA,Bosnia and Herzegovina,EURO,10332.0,50090,163.0,1234
2020-11-08,BA,Bosnia and Herzegovina,EURO,11122.0,61212,256.0,1490
2020-11-15,BA,Bosnia and Herzegovina,EURO,9688.0,70900,367.0,1857
2020-11-22,BA,Bosnia and Herzegovina,EURO,8409.0,79309,392.0,2249
2020-11-29,BA,Bosnia and Herzegovina,EURO,7401.0,86710,327.0,2576
2020-12-06,BA,Bosnia and Herzegovina,EURO,7058.0,93768,346.0,2922
2020-12-13,BA,Bosnia and Herzegovina,EURO,6538.0,100306,376.0,3298
2020-12-20,BA,Bosnia and Herzegovina,EURO,5218.0,105524,327.0,3625
2020-12-27,BA,Bosnia and Herzegovina,EURO,3806.0,109330,298.0,3923
2021-01-03,BA,Bosnia and Herzegovina,EURO,3015.0,112345,177.0,4100
2021-01-10,BA,Bosnia and Herzegovina,EURO,3034.0,115379,205.0,4305
2021-01-17,BA,Bosnia and Herzegovina,EURO,2414.0,117793,144.0,4449
2021-01-24,BA,Bosnia and Herzegovina,EURO,2047.0,119840,120.0,4569
2021-01-31,BA,Bosnia and Herzegovina,EURO,2051.0,121891,127.0,4696
2021-02-07,BA,Bosnia and Herzegovina,EURO,1813.0,123704,95.0,4791
2021-02-14,BA,Bosnia and Herzegovina,EURO,1938.0,125642,101.0,4892
2021-02-21,BA,Bosnia and Herzegovina,EURO,2407.0,128049,103.0,4995
2021-02-28,BA,Bosnia and Herzegovina,EURO,3641.0,131690,93.0,5088
2021-03-07,BA,Bosnia and Herzegovina,EURO,4808.0,136498,159.0,5247
2021-03-14,BA,Bosnia and Herzegovina,EURO,6720.0,143218,241.0,5488
2021-03-21,BA,Bosnia and Herzegovina,EURO,9536.0,152754,329.0,5817
2021-03-28,BA,Bosnia and Herzegovina,EURO,11121.0,163875,461.0,6278
2021-04-04,BA,Bosnia and Herzegovina,EURO,10971.0,174846,507.0,6785
2021-04-11,BA,Bosnia and Herzegovina,EURO,8279.0,183125,555.0,7340
2021-04-18,BA,Bosnia and Herzegovina,EURO,7171.0,190296,479.0,7819
2021-04-25,BA,Bosnia and Herzegovina,EURO,5175.0,195471,405.0,8224
2021-05-02,BA,Bosnia and Herzegovina,EURO,3361.0,198832,337.0,8561
2021-05-09,BA,Bosnia and Herzegovina,EURO,2157.0,200989,232.0,8793
2021-05-16,BA,Bosnia and Herzegovina,EURO,1324.0,202313,196.0,8989
2021-05-23,BA,Bosnia and Herzegovina,EURO,940.0,203253,110.0,9099
2021-05-30,BA,Bosnia and Herzegovina,EURO,685.0,203938,105.0,9204
2021-06-06,BA,Bosnia and Herzegovina,EURO,422.0,204360,173.0,9377
2021-06-13,BA,Bosnia and Herzegovina,EURO,283.0,204643,93.0,9470
2021-06-20,BA,Bosnia and Herzegovina,EURO,199.0,204842,146.0,9616
2021-06-27,BA,Bosnia and Herzegovina,EURO,125.0,204967,22.0,9638
2021-07-04,BA,Bosnia and Herzegovina,EURO,91.0,205058,11.0,9649
2021-07-11,BA,Bosnia and Herzegovina,EURO,110.0,205168,7.0,9656
2021-07-18,BA,Bosnia and Herzegovina,EURO,133.0,205301,12.0,9668
2021-07-25,BA,Bosnia and Herzegovina,EURO,158.0,205459,7.0,9675
2021-08-01,BA,Bosnia and Herzegovina,EURO,263.0,205722,14.0,9689
2021-08-08,BA,Bosnia and Herzegovina,EURO,494.0,206216,2.0,9691
2021-08-15,BA,Bosnia and Herzegovina,EURO,1120.0,207336,17.0,9708
2021-08-22,BA,Bosnia and Herzegovina,EURO,2197.0,209533,16.0,9724
2021-08-29,BA,Bosnia and Herzegovina,EURO,3351.0,212884,61.0,9785
2021-09-05,BA,Bosnia and Herzegovina,EURO,3931.0,216815,88.0,9873
2021-09-12,BA,Bosnia and Herzegovina,EURO,4729.0,221544,143.0,10016
2021-09-19,BA,Bosnia and Herzegovina,EURO,5280.0,226824,203.0,10219
2021-09-26,BA,Bosnia and Herzegovina,EURO,4781.0,231605,224.0,10443
2021-10-03,BA,Bosnia and Herzegovina,EURO,4813.0,236418,212.0,10655
2021-10-10,BA,Bosnia and Herzegovina,EURO,4394.0,240812,232.0,10887
2021-10-17,BA,Bosnia and Herzegovina,EURO,3777.0,244589,251.0,11138
2021-10-24,BA,Bosnia and Herzegovina,EURO,4101.0,248690,208.0,11346
2021-10-31,BA,Bosnia and Herzegovina,EURO,5067.0,253757,182.0,11528
2021-11-07,BA,Bosnia and Herzegovina,EURO,5476.0,259233,239.0,11767
2021-11-14,BA,Bosnia and Herzegovina,EURO,5329.0,264562,218.0,11985
2021-11-21,BA,Bosnia and Herzegovina,EURO,4669.0,269231,253.0,12238
2021-11-28,BA,Bosnia and Herzegovina,EURO,4386.0,273617,241.0,12479
2021-12-05,BA,Bosnia and Herzegovina,EURO,4464.0,278081,235.0,12714
2021-12-12,BA,Bosnia and Herzegovina,EURO,3438.0,281519,219.0,12933
2021-12-19,BA,Bosnia and Herzegovina,EURO,3249.0,284768,202.0,13135
2021-12-26,BA,Bosnia and Herzegovina,EURO,2948.0,287716,148.0,13283
2022-01-02,BA,Bosnia and Herzegovina,EURO,4421.0,292137,177.0,13460
2022-01-09,BA,Bosnia and Herzegovina,EURO,8337.0,300474,145.0,13605
2022-01-16,BA,Bosnia and Herzegovina,EURO,14469.0,314943,152.0,13757
2022-01-23,BA,Bosnia and Herzegovina,EURO,17250.0,332193,248.0,14005
2022-01-30,BA,Bosnia and Herzegovina,EURO,13819.0,346012,340.0,14345
2022-02-06,BA,Bosnia and Herzegovina,EURO,9907.0,355919,352.0,14697
2022-02-13,BA,Bosnia and Herzegovina,EURO,7897.0,363816,316.0,15013
2022-02-20,BA,Bosnia and Herzegovina,EURO,4488.0,368304,256.0,15269
2022-02-27,BA,Bosnia and Herzegovina,EURO,2660.0,370964,151.0,15420
2022-03-06,BA,Bosnia and Herzegovina,EURO,1364.0,372328,138.0,15558
2022-03-13,BA,Bosnia and Herzegovina,EURO,947.0,373275,60.0,15618
2022-03-20,BA,Bosnia and Herzegovina,EURO,892.0,374167,49.0,15667
2022-03-27,BA,Bosnia and Herzegovina,EURO,706.0,374873,36.0,15703
2022-04-03,BA,Bosnia and Herzegovina,EURO,792.0,375665,15.0,15718
2022-04-10,BA,Bosnia and Herzegovina,EURO,446.0,376111,14.0,15732
2022-04-17,BA,Bosnia and Herzegovina,EURO,372.0,376483,19.0,15751
2022-04-24,BA,Bosnia and Herzegovina,EURO,308.0,376791,9.0,15760
2022-05-01,BA,Bosnia and Herzegovina,EURO,320.0,377111,5.0,15765
2022-05-08,BA,Bosnia and Herzegovina,EURO,212.0,377323,3.0,15768
2022-05-15,BA,Bosnia and Herzegovina,EURO,234.0,377557,11.0,15779
2022-05-22,BA,Bosnia and Herzegovina,EURO,172.0,377729,4.0,15783
2022-05-29,BA,Bosnia and Herzegovina,EURO,137.0,377866,4.0,15787
2022-06-05,BA,Bosnia and Herzegovina,EURO,113.0,377979,1.0,15788
2022-06-12,BA,Bosnia and Herzegovina,EURO,110.0,378089,5.0,15793
2022-06-19,BA,Bosnia and Herzegovina,EURO,138.0,378227,3.0,15796
2022-06-26,BA,Bosnia and Herzegovina,EURO,230.0,378457,3.0,15799
