Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-01-12,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-01-19,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-01-26,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-02-02,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-02-09,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-02-16,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-02-23,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-03-01,BD,Bangladesh,SEARO,0.0,0,0.0,0
2020-03-08,BD,Bangladesh,SEARO,3.0,3,0.0,0
2020-03-15,BD,Bangladesh,SEARO,4.0,7,0.0,0
2020-03-22,BD,Bangladesh,SEARO,17.0,24,2.0,2
2020-03-29,BD,Bangladesh,SEARO,24.0,48,3.0,5
2020-04-05,BD,Bangladesh,SEARO,40.0,88,3.0,8
2020-04-12,BD,Bangladesh,SEARO,533.0,621,26.0,34
2020-04-19,BD,Bangladesh,SEARO,1835.0,2456,57.0,91
2020-04-26,BD,Bangladesh,SEARO,2960.0,5416,54.0,145
2020-05-03,BD,Bangladesh,SEARO,4039.0,9455,32.0,177
2020-05-10,BD,Bangladesh,SEARO,5202.0,14657,51.0,228
2020-05-17,BD,Bangladesh,SEARO,7611.0,22268,100.0,328
2020-05-24,BD,Bangladesh,SEARO,11342.0,33610,152.0,480
2020-05-31,BD,Bangladesh,SEARO,13543.0,47153,170.0,650
2020-06-07,BD,Bangladesh,SEARO,18616.0,65769,238.0,888
2020-06-14,BD,Bangladesh,SEARO,21751.0,87520,283.0,1171
2020-06-21,BD,Bangladesh,SEARO,24786.0,112306,293.0,1464
2020-06-28,BD,Bangladesh,SEARO,25481.0,137787,274.0,1738
2020-07-05,BD,Bangladesh,SEARO,24630.0,162417,314.0,2052
2020-07-12,BD,Bangladesh,SEARO,21378.0,183795,300.0,2352
2020-07-19,BD,Bangladesh,SEARO,20730.0,204525,266.0,2618
2020-07-26,BD,Bangladesh,SEARO,18928.0,223453,310.0,2928
2020-08-02,BD,Bangladesh,SEARO,17293.0,240746,226.0,3154
2020-08-09,BD,Bangladesh,SEARO,16854.0,257600,245.0,3399
2020-08-16,BD,Bangladesh,SEARO,18949.0,276549,258.0,3657
2020-08-23,BD,Bangladesh,SEARO,18049.0,294598,284.0,3941
2020-08-30,BD,Bangladesh,SEARO,16224.0,310822,307.0,4248
2020-09-06,BD,Bangladesh,SEARO,14335.0,325157,231.0,4479
2020-09-13,BD,Bangladesh,SEARO,12363.0,337520,254.0,4733
2020-09-20,BD,Bangladesh,SEARO,11396.0,348916,206.0,4939
2020-09-27,BD,Bangladesh,SEARO,10232.0,359148,222.0,5161
2020-10-04,BD,Bangladesh,SEARO,9542.0,368690,187.0,5348
2020-10-11,BD,Bangladesh,SEARO,9576.0,378266,176.0,5524
2020-10-18,BD,Bangladesh,SEARO,10303.0,388569,136.0,5660
2020-10-25,BD,Bangladesh,SEARO,10246.0,398815,143.0,5803
2020-11-01,BD,Bangladesh,SEARO,10437.0,409252,138.0,5941
2020-11-08,BD,Bangladesh,SEARO,10986.0,420238,126.0,6067
2020-11-15,BD,Bangladesh,SEARO,12095.0,432333,127.0,6194
2020-11-22,BD,Bangladesh,SEARO,15008.0,447341,194.0,6388
2020-11-29,BD,Bangladesh,SEARO,15066.0,462407,221.0,6609
2020-12-06,BD,Bangladesh,SEARO,15138.0,477545,229.0,6838
2020-12-13,BD,Bangladesh,SEARO,12988.0,490533,214.0,7052
2020-12-20,BD,Bangladesh,SEARO,10180.0,500713,228.0,7280
2020-12-27,BD,Bangladesh,SEARO,8435.0,509148,172.0,7452
2021-01-03,BD,Bangladesh,SEARO,6871.0,516019,174.0,7626
2021-01-10,BD,Bangladesh,SEARO,6434.0,522453,155.0,7781
2021-01-17,BD,Bangladesh,SEARO,5179.0,527632,125.0,7906
2021-01-24,BD,Bangladesh,SEARO,4167.0,531799,117.0,8023
2021-01-31,BD,Bangladesh,SEARO,3340.0,535139,104.0,8127
2021-02-07,BD,Bangladesh,SEARO,2923.0,538062,78.0,8205
2021-02-14,BD,Bangladesh,SEARO,2530.0,540592,69.0,8274
2021-02-21,BD,Bangladesh,SEARO,2759.0,543351,75.0,8349
2021-02-28,BD,Bangladesh,SEARO,2865.0,546216,59.0,8408
2021-03-07,BD,Bangladesh,SEARO,4114.0,550330,54.0,8462
2021-03-14,BD,Bangladesh,SEARO,7065.0,557395,83.0,8545
2021-03-21,BD,Bangladesh,SEARO,13483.0,570878,145.0,8690
2021-03-28,BD,Bangladesh,SEARO,24836.0,595714,214.0,8904
2021-04-04,BD,Bangladesh,SEARO,41650.0,637364,362.0,9266
2021-04-11,BD,Bangladesh,SEARO,47392.0,684756,473.0,9739
2021-04-18,BD,Bangladesh,SEARO,34194.0,718950,646.0,10385
2021-04-25,BD,Bangladesh,SEARO,26372.0,745322,668.0,11053
2021-05-02,BD,Bangladesh,SEARO,16621.0,761943,526.0,11579
2021-05-09,BD,Bangladesh,SEARO,11570.0,773513,355.0,11934
2021-05-16,BD,Bangladesh,SEARO,6646.0,780159,215.0,12149
2021-05-23,BD,Bangladesh,SEARO,8921.0,789080,227.0,12376
2021-05-30,BD,Bangladesh,SEARO,9750.0,798830,207.0,12583
2021-06-06,BD,Bangladesh,SEARO,12160.0,810990,256.0,12839
2021-06-13,BD,Bangladesh,SEARO,15932.0,826922,279.0,13118
2021-06-20,BD,Bangladesh,SEARO,24746.0,851668,430.0,13548
2021-06-27,BD,Bangladesh,SEARO,36738.0,888406,624.0,14172
2021-07-04,BD,Bangladesh,SEARO,56511.0,944917,893.0,15065
2021-07-11,BD,Bangladesh,SEARO,76272.0,1021189,1354.0,16419
2021-07-18,BD,Bangladesh,SEARO,82800.0,1103989,1475.0,17894
2021-07-25,BD,Bangladesh,SEARO,60646.0,1164635,1380.0,19274
2021-08-01,BD,Bangladesh,SEARO,99693.0,1264328,1642.0,20916
2021-08-08,BD,Bangladesh,SEARO,89367.0,1353695,1736.0,22652
2021-08-15,BD,Bangladesh,SEARO,65207.0,1418902,1523.0,24175
2021-08-22,BD,Bangladesh,SEARO,43096.0,1461998,1107.0,25282
2021-08-29,BD,Bangladesh,SEARO,31539.0,1493537,733.0,26015
