Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-01-12,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-01-19,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-01-26,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-02-02,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-02-09,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-02-16,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-02-23,BH,Bahrain,EMRO,0.0,0,0.0,0
2020-03-01,BH,Bahrain,EMRO,41.0,41,0.0,0
2020-03-08,BH,Bahrain,EMRO,22.0,63,0.0,0
2020-03-15,BH,Bahrain,EMRO,148.0,211,0.0,0
2020-03-22,BH,Bahrain,EMRO,100.0,311,1.0,1
2020-03-29,BH,Bahrain,EMRO,165.0,476,3.0,4
2020-04-05,BH,Bahrain,EMRO,212.0,688,0.0,4
2020-04-12,BH,Bahrain,EMRO,352.0,1040,2.0,6
2020-04-19,BH,Bahrain,EMRO,733.0,1773,1.0,7
2020-04-26,BH,Bahrain,EMRO,816.0,2589,1.0,8
2020-05-03,BH,Bahrain,EMRO,695.0,3284,0.0,8
2020-05-10,BH,Bahrain,EMRO,1490.0,4774,0.0,8
2020-05-17,BH,Bahrain,EMRO,1973.0,6747,4.0,12
2020-05-24,BH,Bahrain,EMRO,2055.0,8802,1.0,13
2020-05-31,BH,Bahrain,EMRO,1991.0,10793,4.0,17
2020-06-07,BH,Bahrain,EMRO,3590.0,14383,7.0,24
2020-06-14,BH,Bahrain,EMRO,3844.0,18227,15.0,39
2020-06-21,BH,Bahrain,EMRO,3104.0,21331,21.0,60
2020-06-28,BH,Bahrain,EMRO,3936.0,25267,18.0,78
2020-07-05,BH,Bahrain,EMRO,3590.0,28857,18.0,96
2020-07-12,BH,Bahrain,EMRO,3613.0,32470,8.0,104
2020-07-19,BH,Bahrain,EMRO,3534.0,36004,20.0,124
2020-07-26,BH,Bahrain,EMRO,2743.0,38747,13.0,137
2020-08-02,BH,Bahrain,EMRO,2443.0,41190,10.0,147
2020-08-09,BH,Bahrain,EMRO,2439.0,43629,14.0,161
2020-08-16,BH,Bahrain,EMRO,2801.0,46430,9.0,170
2020-08-23,BH,Bahrain,EMRO,2608.0,49038,13.0,183
2020-08-30,BH,Bahrain,EMRO,2353.0,51391,6.0,189
2020-09-06,BH,Bahrain,EMRO,3380.0,54771,7.0,196
2020-09-13,BH,Bahrain,EMRO,4815.0,59586,16.0,212
2020-09-20,BH,Bahrain,EMRO,4913.0,64499,9.0,221
2020-09-27,BH,Bahrain,EMRO,4276.0,68775,18.0,239
2020-10-04,BH,Bahrain,EMRO,3535.0,72310,19.0,258
2020-10-11,BH,Bahrain,EMRO,2977.0,75287,15.0,273
2020-10-18,BH,Bahrain,EMRO,2284.0,77571,20.0,293
2020-10-25,BH,Bahrain,EMRO,2404.0,79975,19.0,312
2020-11-01,BH,Bahrain,EMRO,1670.0,81645,9.0,321
2020-11-08,BH,Bahrain,EMRO,1619.0,83264,8.0,329
2020-11-15,BH,Bahrain,EMRO,1259.0,84523,4.0,333
2020-11-22,BH,Bahrain,EMRO,1068.0,85591,5.0,338
2020-11-29,BH,Bahrain,EMRO,1054.0,86645,3.0,341
2020-12-06,BH,Bahrain,EMRO,1087.0,87732,0.0,341
2020-12-13,BH,Bahrain,EMRO,1233.0,88965,7.0,348
2020-12-20,BH,Bahrain,EMRO,1097.0,90062,1.0,349
2020-12-27,BH,Bahrain,EMRO,1456.0,91518,2.0,351
2021-01-03,BH,Bahrain,EMRO,1666.0,93184,1.0,352
2021-01-10,BH,Bahrain,EMRO,2133.0,95317,3.0,355
2021-01-17,BH,Bahrain,EMRO,1951.0,97268,3.0,358
2021-01-24,BH,Bahrain,EMRO,2188.0,99456,9.0,367
2021-01-31,BH,Bahrain,EMRO,3170.0,102626,5.0,372
2021-02-07,BH,Bahrain,EMRO,4087.0,106713,7.0,379
2021-02-14,BH,Bahrain,EMRO,5389.0,112102,19.0,398
2021-02-21,BH,Bahrain,EMRO,5132.0,117234,22.0,420
2021-02-28,BH,Bahrain,EMRO,4544.0,121778,24.0,444
2021-03-07,BH,Bahrain,EMRO,4348.0,126126,25.0,469
2021-03-14,BH,Bahrain,EMRO,4278.0,130404,12.0,481
2021-03-21,BH,Bahrain,EMRO,4922.0,135326,17.0,498
2021-03-28,BH,Bahrain,EMRO,5492.0,140818,15.0,513
2021-04-04,BH,Bahrain,EMRO,6952.0,147770,18.0,531
2021-04-11,BH,Bahrain,EMRO,7632.0,155402,23.0,554
2021-04-18,BH,Bahrain,EMRO,7711.0,163113,34.0,588
2021-04-25,BH,Bahrain,EMRO,7222.0,170335,32.0,620
2021-05-02,BH,Bahrain,EMRO,7662.0,177997,28.0,648
2021-05-09,BH,Bahrain,EMRO,9908.0,187905,30.0,678
2021-05-16,BH,Bahrain,EMRO,11188.0,199093,59.0,737
2021-05-23,BH,Bahrain,EMRO,15777.0,214870,72.0,809
2021-05-30,BH,Bahrain,EMRO,20829.0,235699,130.0,939
2021-06-06,BH,Bahrain,EMRO,13883.0,249582,152.0,1091
2021-06-13,BH,Bahrain,EMRO,8270.0,257852,115.0,1206
2021-06-20,BH,Bahrain,EMRO,4575.0,262427,91.0,1297
2021-06-27,BH,Bahrain,EMRO,2568.0,264995,44.0,1341
2021-07-04,BH,Bahrain,EMRO,1291.0,266286,17.0,1358
2021-07-11,BH,Bahrain,EMRO,826.0,267112,18.0,1376
2021-07-18,BH,Bahrain,EMRO,684.0,267796,4.0,1380
2021-07-25,BH,Bahrain,EMRO,617.0,268413,2.0,1382
2021-08-01,BH,Bahrain,EMRO,773.0,269186,2.0,1384
2021-08-08,BH,Bahrain,EMRO,763.0,269949,0.0,1384
2021-08-15,BH,Bahrain,EMRO,867.0,270816,0.0,1384
2021-08-22,BH,Bahrain,EMRO,718.0,271534,2.0,1386
2021-08-29,BH,Bahrain,EMRO,712.0,272246,2.0,1388
2021-09-05,BH,Bahrain,EMRO,670.0,272916,0.0,1388
2021-09-12,BH,Bahrain,EMRO,706.0,273622,0.0,1388
2021-09-19,BH,Bahrain,EMRO,557.0,274179,0.0,1388
2021-09-26,BH,Bahrain,EMRO,566.0,274745,1.0,1389
2021-10-03,BH,Bahrain,EMRO,430.0,275175,0.0,1389
2021-10-10,BH,Bahrain,EMRO,422.0,275597,1.0,1390
2021-10-17,BH,Bahrain,EMRO,433.0,276030,1.0,1391
2021-10-24,BH,Bahrain,EMRO,496.0,276526,2.0,1393
2021-10-31,BH,Bahrain,EMRO,268.0,276794,0.0,1393
2021-11-07,BH,Bahrain,EMRO,247.0,277041,0.0,1393
2021-11-14,BH,Bahrain,EMRO,160.0,277201,0.0,1393
2021-11-21,BH,Bahrain,EMRO,147.0,277348,1.0,1394
2021-11-28,BH,Bahrain,EMRO,204.0,277552,0.0,1394
