Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BJ,Benin,AFRO,0.0,0,0.0,0
2020-01-12,BJ,Benin,AFRO,0.0,0,0.0,0
2020-01-19,BJ,Benin,AFRO,0.0,0,0.0,0
2020-01-26,BJ,Benin,AFRO,0.0,0,0.0,0
2020-02-02,BJ,Benin,AFRO,0.0,0,0.0,0
2020-02-09,BJ,Benin,AFRO,0.0,0,0.0,0
2020-02-16,BJ,Benin,AFRO,0.0,0,0.0,0
2020-02-23,BJ,Benin,AFRO,0.0,0,0.0,0
2020-03-01,BJ,Benin,AFRO,0.0,0,0.0,0
2020-03-08,BJ,Benin,AFRO,0.0,0,0.0,0
2020-03-15,BJ,Benin,AFRO,0.0,0,0.0,0
2020-03-22,BJ,Benin,AFRO,2.0,2,0.0,0
2020-03-29,BJ,Benin,AFRO,1.0,3,0.0,0
2020-04-05,BJ,Benin,AFRO,10.0,13,0.0,0
2020-04-12,BJ,Benin,AFRO,22.0,35,0.0,0
2020-04-19,BJ,Benin,AFRO,19.0,54,0.0,0
2020-04-26,BJ,Benin,AFRO,6.0,60,0.0,0
2020-05-03,BJ,Benin,AFRO,30.0,90,2.0,2
2020-05-10,BJ,Benin,AFRO,21.0,111,0.0,2
2020-05-17,BJ,Benin,AFRO,20.0,131,0.0,2
2020-05-24,BJ,Benin,AFRO,6.0,137,1.0,3
2020-05-31,BJ,Benin,AFRO,102.0,239,0.0,3
2020-06-07,BJ,Benin,AFRO,29.0,268,1.0,4
2020-06-14,BJ,Benin,AFRO,202.0,470,2.0,6
2020-06-21,BJ,Benin,AFRO,295.0,765,7.0,13
2020-06-28,BJ,Benin,AFRO,384.0,1149,3.0,16
2020-07-05,BJ,Benin,AFRO,50.0,1199,5.0,21
2020-07-12,BJ,Benin,AFRO,179.0,1378,5.0,26
2020-07-19,BJ,Benin,AFRO,224.0,1602,5.0,31
2020-07-26,BJ,Benin,AFRO,168.0,1770,4.0,35
2020-08-02,BJ,Benin,AFRO,139.0,1909,3.0,38
2020-08-09,BJ,Benin,AFRO,27.0,1936,0.0,38
2020-08-16,BJ,Benin,AFRO,127.0,2063,1.0,39
2020-08-23,BJ,Benin,AFRO,52.0,2115,0.0,39
2020-08-30,BJ,Benin,AFRO,30.0,2145,1.0,40
2020-09-06,BJ,Benin,AFRO,68.0,2213,0.0,40
2020-09-13,BJ,Benin,AFRO,29.0,2242,0.0,40
2020-09-20,BJ,Benin,AFRO,38.0,2280,0.0,40
2020-09-27,BJ,Benin,AFRO,45.0,2325,0.0,40
2020-10-04,BJ,Benin,AFRO,32.0,2357,1.0,41
2020-10-11,BJ,Benin,AFRO,54.0,2411,0.0,41
2020-10-18,BJ,Benin,AFRO,85.0,2496,0.0,41
2020-10-25,BJ,Benin,AFRO,61.0,2557,0.0,41
2020-11-01,BJ,Benin,AFRO,86.0,2643,0.0,41
2020-11-08,BJ,Benin,AFRO,102.0,2745,2.0,43
2020-11-15,BJ,Benin,AFRO,99.0,2844,0.0,43
2020-11-22,BJ,Benin,AFRO,72.0,2916,0.0,43
2020-11-29,BJ,Benin,AFRO,58.0,2974,0.0,43
2020-12-06,BJ,Benin,AFRO,81.0,3055,1.0,44
2020-12-13,BJ,Benin,AFRO,35.0,3090,0.0,44
2020-12-20,BJ,Benin,AFRO,62.0,3152,0.0,44
2020-12-27,BJ,Benin,AFRO,53.0,3205,0.0,44
2021-01-03,BJ,Benin,AFRO,46.0,3251,0.0,44
2021-01-10,BJ,Benin,AFRO,53.0,3304,0.0,44
2021-01-17,BJ,Benin,AFRO,109.0,3413,2.0,46
2021-01-24,BJ,Benin,AFRO,230.0,3643,2.0,48
2021-01-31,BJ,Benin,AFRO,143.0,3786,0.0,48
2021-02-07,BJ,Benin,AFRO,407.0,4193,7.0,55
2021-02-14,BJ,Benin,AFRO,367.0,4560,1.0,56
2021-02-21,BJ,Benin,AFRO,583.0,5143,9.0,65
2021-02-28,BJ,Benin,AFRO,491.0,5634,5.0,70
2021-03-07,BJ,Benin,AFRO,437.0,6071,5.0,75
2021-03-14,BJ,Benin,AFRO,430.0,6501,6.0,81
2021-03-21,BJ,Benin,AFRO,317.0,6818,9.0,90
2021-03-28,BJ,Benin,AFRO,282.0,7100,0.0,90
2021-04-04,BJ,Benin,AFRO,213.0,7313,3.0,93
2021-04-11,BJ,Benin,AFRO,202.0,7515,0.0,93
2021-04-18,BJ,Benin,AFRO,96.0,7611,3.0,96
2021-04-25,BJ,Benin,AFRO,109.0,7720,1.0,97
2021-05-02,BJ,Benin,AFRO,101.0,7821,2.0,99
2021-05-09,BJ,Benin,AFRO,74.0,7895,1.0,100
2021-05-16,BJ,Benin,AFRO,89.0,7984,1.0,101
2021-05-23,BJ,Benin,AFRO,41.0,8025,0.0,101
2021-05-30,BJ,Benin,AFRO,33.0,8058,0.0,101
2021-06-06,BJ,Benin,AFRO,24.0,8082,1.0,102
2021-06-13,BJ,Benin,AFRO,27.0,8109,0.0,102
2021-06-20,BJ,Benin,AFRO,31.0,8140,1.0,103
2021-06-27,BJ,Benin,AFRO,30.0,8170,1.0,104
2021-07-04,BJ,Benin,AFRO,29.0,8199,0.0,104
2021-07-11,BJ,Benin,AFRO,28.0,8227,1.0,105
2021-07-18,BJ,Benin,AFRO,17.0,8244,2.0,107
2021-07-25,BJ,Benin,AFRO,80.0,8324,0.0,107
2021-08-01,BJ,Benin,AFRO,70.0,8394,1.0,108
2021-08-08,BJ,Benin,AFRO,214.0,8608,2.0,110
2021-08-15,BJ,Benin,AFRO,457.0,9065,3.0,113
2021-08-22,BJ,Benin,AFRO,1118.0,10183,6.0,119
2021-08-29,BJ,Benin,AFRO,2309.0,12492,8.0,127
2021-09-05,BJ,Benin,AFRO,4454.0,16946,8.0,135
2021-09-12,BJ,Benin,AFRO,2344.0,19290,6.0,141
2021-09-19,BJ,Benin,AFRO,2160.0,21450,5.0,146
2021-09-26,BJ,Benin,AFRO,1508.0,22958,8.0,154
2021-10-03,BJ,Benin,AFRO,932.0,23890,5.0,159
2021-10-10,BJ,Benin,AFRO,445.0,24335,0.0,159
2021-10-17,BJ,Benin,AFRO,225.0,24560,2.0,161
2021-10-24,BJ,Benin,AFRO,118.0,24678,0.0,161
2021-10-31,BJ,Benin,AFRO,71.0,24749,0.0,161
2021-11-07,BJ,Benin,AFRO,55.0,24804,0.0,161
