Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-01-12,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-01-19,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-01-26,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-02-02,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-02-09,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-02-16,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-02-23,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-03-01,BL,Saint Barthélemy,,0.0,0,0.0,0
2020-03-08,BL,Saint Barthélemy,,1.0,1,0.0,0
2020-03-15,BL,Saint Barthélemy,,0.0,1,0.0,0
2020-03-22,BL,Saint Barthélemy,,2.0,3,0.0,0
2020-03-29,BL,Saint Barthélemy,,2.0,5,0.0,0
2020-04-05,BL,Saint Barthélemy,,1.0,6,0.0,0
2020-04-12,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-04-19,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-04-26,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-05-03,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-05-10,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-05-17,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-05-24,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-05-31,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-06-07,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-06-14,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-06-21,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-06-28,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-07-05,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-07-12,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-07-19,BL,Saint Barthélemy,,0.0,6,0.0,0
2020-07-26,BL,Saint Barthélemy,,1.0,7,0.0,0
2020-08-02,BL,Saint Barthélemy,,1.0,8,0.0,0
2020-08-09,BL,Saint Barthélemy,,1.0,9,0.0,0
2020-08-16,BL,Saint Barthélemy,,4.0,13,0.0,0
2020-08-23,BL,Saint Barthélemy,,3.0,16,0.0,0
