Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BR,Brazil,AMRO,0.0,0,0.0,0
2020-01-12,BR,Brazil,AMRO,0.0,0,0.0,0
2020-01-19,BR,Brazil,AMRO,0.0,0,0.0,0
2020-01-26,BR,Brazil,AMRO,0.0,0,0.0,0
2020-02-02,BR,Brazil,AMRO,0.0,0,0.0,0
2020-02-09,BR,Brazil,AMRO,0.0,0,0.0,0
2020-02-16,BR,Brazil,AMRO,0.0,0,0.0,0
2020-02-23,BR,Brazil,AMRO,0.0,0,0.0,0
2020-03-01,BR,Brazil,AMRO,1.0,1,0.0,0
2020-03-08,BR,Brazil,AMRO,12.0,13,0.0,0
2020-03-15,BR,Brazil,AMRO,71.0,84,0.0,0
2020-03-22,BR,Brazil,AMRO,820.0,904,11.0,11
2020-03-29,BR,Brazil,AMRO,2513.0,3417,81.0,92
2020-04-05,BR,Brazil,AMRO,5639.0,9056,267.0,359
2020-04-12,BR,Brazil,AMRO,10582.0,19638,697.0,1056
2020-04-19,BR,Brazil,AMRO,14044.0,33682,1085.0,2141
2020-04-26,BR,Brazil,AMRO,19313.0,52995,1529.0,3670
2020-05-03,BR,Brazil,AMRO,38594.0,91589,2659.0,6329
2020-05-10,BR,Brazil,AMRO,53739.0,145328,3568.0,9897
2020-05-17,BR,Brazil,AMRO,72895.0,218223,4920.0,14817
2020-05-24,BR,Brazil,AMRO,112667.0,330890,6231.0,21048
2020-05-31,BR,Brazil,AMRO,134276.0,465166,6830.0,27878
2020-06-07,BR,Brazil,AMRO,180605.0,645771,7148.0,35026
2020-06-14,BR,Brazil,AMRO,183039.0,828810,6802.0,41828
2020-06-21,BR,Brazil,AMRO,204103.0,1032913,7126.0,48954
2020-06-28,BR,Brazil,AMRO,242061.0,1274974,7007.0,55961
2020-07-05,BR,Brazil,AMRO,264107.0,1539081,7213.0,63174
2020-07-12,BR,Brazil,AMRO,261746.0,1800827,7224.0,70398
2020-07-19,BR,Brazil,AMRO,245501.0,2046328,7453.0,77851
2020-07-26,BR,Brazil,AMRO,297038.0,2343366,7387.0,85238
2020-08-02,BR,Brazil,AMRO,319119.0,2662485,7237.0,92475
2020-08-09,BR,Brazil,AMRO,299957.0,2962442,7097.0,99572
2020-08-16,BR,Brazil,AMRO,313078.0,3275520,6951.0,106523
2020-08-23,BR,Brazil,AMRO,256810.0,3532330,6835.0,113358
2020-08-30,BR,Brazil,AMRO,272473.0,3804803,6146.0,119504
2020-09-06,BR,Brazil,AMRO,288029.0,4092832,6017.0,125521
2020-09-13,BR,Brazil,AMRO,189332.0,4282164,4875.0,130396
2020-09-20,BR,Brazil,AMRO,213019.0,4495183,5397.0,135793
2020-09-27,BR,Brazil,AMRO,194430.0,4689613,4744.0,140537
2020-10-04,BR,Brazil,AMRO,190910.0,4880523,4851.0,145388
2020-10-11,BR,Brazil,AMRO,175365.0,5055888,4251.0,149639
2020-10-18,BR,Brazil,AMRO,144412.0,5200300,3575.0,153214
2020-10-25,BR,Brazil,AMRO,153356.0,5353656,3257.0,156471
2020-11-01,BR,Brazil,AMRO,163002.0,5516658,3006.0,159477
2020-11-08,BR,Brazil,AMRO,114523.0,5631181,2538.0,162015
2020-11-15,BR,Brazil,AMRO,179471.0,5810652,2722.0,164737
2020-11-22,BR,Brazil,AMRO,209512.0,6020164,3876.0,168613
2020-11-29,BR,Brazil,AMRO,218186.0,6238350,3361.0,171974
2020-12-06,BR,Brazil,AMRO,295618.0,6533968,3990.0,175964
2020-12-13,BR,Brazil,AMRO,302259.0,6836227,4473.0,180437
2020-12-20,BR,Brazil,AMRO,326751.0,7162978,5213.0,185650
2020-12-27,BR,Brazil,AMRO,285582.0,7448560,4838.0,190488
2021-01-03,BR,Brazil,AMRO,252018.0,7700578,4923.0,195411
2021-01-10,BR,Brazil,AMRO,313130.0,8013708,6049.0,201460
2021-01-17,BR,Brazil,AMRO,379784.0,8393492,6786.0,208246
2021-01-24,BR,Brazil,AMRO,360428.0,8753920,6997.0,215243
2021-01-31,BR,Brazil,AMRO,364593.0,9118513,7423.0,222666
2021-02-07,BR,Brazil,AMRO,328652.0,9447165,7368.0,230034
2021-02-14,BR,Brazil,AMRO,318290.0,9765455,7455.0,237489
2021-02-21,BR,Brazil,AMRO,316221.0,10081676,7276.0,244765
2021-02-28,BR,Brazil,AMRO,373954.0,10455630,8070.0,252835
2021-03-07,BR,Brazil,AMRO,413597.0,10869227,9935.0,262770
2021-03-14,BR,Brazil,AMRO,494153.0,11363380,12335.0,275105
2021-03-21,BR,Brazil,AMRO,508010.0,11871390,15209.0,290314
2021-03-28,BR,Brazil,AMRO,533024.0,12404414,16798.0,307112
2021-04-04,BR,Brazil,AMRO,505668.0,12910082,21094.0,328206
2021-04-11,BR,Brazil,AMRO,463092.0,13373174,20512.0,348718
2021-04-18,BR,Brazil,AMRO,459281.0,13832455,20031.0,368749
2021-04-25,BR,Brazil,AMRO,404623.0,14237078,17667.0,386416
2021-05-02,BR,Brazil,AMRO,421933.0,14659011,17365.0,403781
2021-05-09,BR,Brazil,AMRO,423438.0,15082449,15333.0,419114
2021-05-16,BR,Brazil,AMRO,437076.0,15519525,13514.0,432628
2021-05-23,BR,Brazil,AMRO,451424.0,15970949,13681.0,446309
2021-05-30,BR,Brazil,AMRO,420981.0,16391930,12736.0,459045
2021-06-06,BR,Brazil,AMRO,449478.0,16841408,11797.0,470842
2021-06-13,BR,Brazil,AMRO,454710.0,17296118,13393.0,484235
2021-06-20,BR,Brazil,AMRO,505344.0,17801462,14264.0,498499
2021-06-27,BR,Brazil,AMRO,521298.0,18322760,12643.0,511142
2021-07-04,BR,Brazil,AMRO,364709.0,18687469,10810.0,521952
2021-07-11,BR,Brazil,AMRO,333030.0,19020499,9736.0,531688
2021-07-18,BR,Brazil,AMRO,287610.0,19308109,8710.0,540398
2021-07-25,BR,Brazil,AMRO,324334.0,19632443,7942.0,548340
2021-08-01,BR,Brazil,AMRO,247830.0,19880273,7120.0,555460
2021-08-08,BR,Brazil,AMRO,228473.0,20108746,6302.0,561762
2021-08-15,BR,Brazil,AMRO,210254.0,20319000,6100.0,567862
2021-08-22,BR,Brazil,AMRO,209099.0,20528099,5649.0,573511
2021-08-29,BR,Brazil,AMRO,175807.0,20703906,4815.0,578326
2021-09-05,BR,Brazil,AMRO,152154.0,20856060,4344.0,582670
2021-09-12,BR,Brazil,AMRO,118790.0,20974850,3176.0,585846
2021-09-19,BR,Brazil,AMRO,105369.0,21080219,3727.0,589573
2021-09-26,BR,Brazil,AMRO,247397.0,21327616,4090.0,593663
2021-10-03,BR,Brazil,AMRO,118035.0,21445651,3562.0,597225
2021-10-10,BR,Brazil,AMRO,105079.0,21550730,3200.0,600425
2021-10-17,BR,Brazil,AMRO,76746.0,21627476,2244.0,602669
2021-10-24,BR,Brazil,AMRO,84367.0,21711843,2470.0,605139
2021-10-31,BR,Brazil,AMRO,81558.0,21793401,2323.0,607462
