Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-01-12,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-01-19,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-01-26,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-02-02,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-02-09,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-02-16,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-02-23,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-03-01,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-03-08,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-03-15,BS,Bahamas,AMRO,0.0,0,0.0,0
2020-03-22,BS,Bahamas,AMRO,4.0,4,0.0,0
2020-03-29,BS,Bahamas,AMRO,5.0,9,0.0,0
2020-04-05,BS,Bahamas,AMRO,15.0,24,3.0,3
2020-04-12,BS,Bahamas,AMRO,18.0,42,5.0,8
2020-04-19,BS,Bahamas,AMRO,12.0,54,1.0,9
2020-04-26,BS,Bahamas,AMRO,18.0,72,2.0,11
2020-05-03,BS,Bahamas,AMRO,10.0,82,0.0,11
2020-05-10,BS,Bahamas,AMRO,10.0,92,0.0,11
2020-05-17,BS,Bahamas,AMRO,4.0,96,0.0,11
2020-05-24,BS,Bahamas,AMRO,1.0,97,0.0,11
2020-05-31,BS,Bahamas,AMRO,4.0,101,0.0,11
2020-06-07,BS,Bahamas,AMRO,2.0,103,0.0,11
2020-06-14,BS,Bahamas,AMRO,0.0,103,0.0,11
2020-06-21,BS,Bahamas,AMRO,1.0,104,0.0,11
2020-06-28,BS,Bahamas,AMRO,0.0,104,0.0,11
2020-07-05,BS,Bahamas,AMRO,0.0,104,0.0,11
2020-07-12,BS,Bahamas,AMRO,4.0,108,0.0,11
2020-07-19,BS,Bahamas,AMRO,21.0,129,0.0,11
2020-07-26,BS,Bahamas,AMRO,187.0,316,0.0,11
2020-08-02,BS,Bahamas,AMRO,192.0,508,3.0,14
2020-08-09,BS,Bahamas,AMRO,322.0,830,0.0,14
2020-08-16,BS,Bahamas,AMRO,289.0,1119,3.0,17
2020-08-23,BS,Bahamas,AMRO,584.0,1703,10.0,27
2020-08-30,BS,Bahamas,AMRO,354.0,2057,13.0,40
2020-09-06,BS,Bahamas,AMRO,419.0,2476,15.0,55
2020-09-13,BS,Bahamas,AMRO,398.0,2874,12.0,67
2020-09-20,BS,Bahamas,AMRO,303.0,3177,2.0,69
2020-09-27,BS,Bahamas,AMRO,613.0,3790,20.0,89
2020-10-04,BS,Bahamas,AMRO,542.0,4332,7.0,96
2020-10-11,BS,Bahamas,AMRO,623.0,4955,10.0,106
2020-10-18,BS,Bahamas,AMRO,673.0,5628,10.0,116
2020-10-25,BS,Bahamas,AMRO,724.0,6352,16.0,132
2020-11-01,BS,Bahamas,AMRO,362.0,6714,12.0,144
2020-11-08,BS,Bahamas,AMRO,233.0,6947,8.0,152
2020-11-15,BS,Bahamas,AMRO,216.0,7163,3.0,155
2020-11-22,BS,Bahamas,AMRO,232.0,7395,8.0,163
2020-11-29,BS,Bahamas,AMRO,101.0,7496,0.0,163
2020-12-06,BS,Bahamas,AMRO,74.0,7570,0.0,163
2020-12-13,BS,Bahamas,AMRO,89.0,7659,0.0,163
2020-12-20,BS,Bahamas,AMRO,74.0,7733,1.0,164
2020-12-27,BS,Bahamas,AMRO,55.0,7788,5.0,169
2021-01-03,BS,Bahamas,AMRO,111.0,7899,2.0,171
2021-01-10,BS,Bahamas,AMRO,78.0,7977,4.0,175
2021-01-17,BS,Bahamas,AMRO,62.0,8039,0.0,175
2021-01-24,BS,Bahamas,AMRO,71.0,8110,0.0,175
2021-01-31,BS,Bahamas,AMRO,73.0,8183,1.0,176
2021-02-07,BS,Bahamas,AMRO,87.0,8270,0.0,176
2021-02-14,BS,Bahamas,AMRO,89.0,8359,3.0,179
2021-02-21,BS,Bahamas,AMRO,94.0,8453,0.0,179
2021-02-28,BS,Bahamas,AMRO,89.0,8542,1.0,180
2021-03-07,BS,Bahamas,AMRO,74.0,8616,2.0,182
2021-03-14,BS,Bahamas,AMRO,106.0,8722,3.0,185
2021-03-21,BS,Bahamas,AMRO,162.0,8884,1.0,186
2021-03-28,BS,Bahamas,AMRO,150.0,9034,2.0,188
2021-04-04,BS,Bahamas,AMRO,200.0,9234,1.0,189
2021-04-11,BS,Bahamas,AMRO,183.0,9417,0.0,189
2021-04-18,BS,Bahamas,AMRO,279.0,9696,5.0,194
2021-04-25,BS,Bahamas,AMRO,354.0,10050,2.0,196
2021-05-02,BS,Bahamas,AMRO,469.0,10519,3.0,199
2021-05-09,BS,Bahamas,AMRO,311.0,10830,13.0,212
2021-05-16,BS,Bahamas,AMRO,304.0,11134,6.0,218
2021-05-23,BS,Bahamas,AMRO,365.0,11499,7.0,225
2021-05-30,BS,Bahamas,AMRO,261.0,11760,5.0,230
2021-06-06,BS,Bahamas,AMRO,227.0,11987,2.0,232
2021-06-13,BS,Bahamas,AMRO,172.0,12159,5.0,237
2021-06-20,BS,Bahamas,AMRO,168.0,12327,6.0,243
2021-06-27,BS,Bahamas,AMRO,177.0,12504,2.0,245
2021-07-04,BS,Bahamas,AMRO,337.0,12841,5.0,250
2021-07-11,BS,Bahamas,AMRO,273.0,13114,4.0,254
2021-07-18,BS,Bahamas,AMRO,352.0,13466,19.0,273
2021-07-25,BS,Bahamas,AMRO,591.0,14057,9.0,282
2021-08-01,BS,Bahamas,AMRO,783.0,14840,5.0,287
2021-08-08,BS,Bahamas,AMRO,697.0,15537,17.0,304
2021-08-15,BS,Bahamas,AMRO,893.0,16430,9.0,313
2021-08-22,BS,Bahamas,AMRO,848.0,17278,20.0,333
2021-08-29,BS,Bahamas,AMRO,753.0,18031,21.0,354
2021-09-05,BS,Bahamas,AMRO,735.0,18766,70.0,424
2021-09-12,BS,Bahamas,AMRO,674.0,19440,30.0,454
2021-09-19,BS,Bahamas,AMRO,675.0,20115,52.0,506
2021-09-26,BS,Bahamas,AMRO,590.0,20705,16.0,522
2021-10-03,BS,Bahamas,AMRO,560.0,21265,33.0,555
2021-10-10,BS,Bahamas,AMRO,361.0,21626,39.0,594
2021-10-17,BS,Bahamas,AMRO,328.0,21954,32.0,626
2021-10-24,BS,Bahamas,AMRO,273.0,22227,16.0,642
2021-10-31,BS,Bahamas,AMRO,169.0,22396,1.0,643
2021-11-07,BS,Bahamas,AMRO,117.0,22513,18.0,661
2021-11-14,BS,Bahamas,AMRO,59.0,22572,4.0,665
2021-11-21,BS,Bahamas,AMRO,86.0,22658,6.0,671
2021-11-28,BS,Bahamas,AMRO,93.0,22751,0.0,671
2021-12-05,BS,Bahamas,AMRO,76.0,22827,30.0,701
2021-12-12,BS,Bahamas,AMRO,69.0,22896,7.0,708
2021-12-19,BS,Bahamas,AMRO,175.0,23071,5.0,713
2021-12-26,BS,Bahamas,AMRO,559.0,23630,0.0,713
2022-01-02,BS,Bahamas,AMRO,1655.0,25285,4.0,717
2022-01-09,BS,Bahamas,AMRO,1837.0,27122,0.0,717
2022-01-16,BS,Bahamas,AMRO,3132.0,30254,2.0,719
2022-01-23,BS,Bahamas,AMRO,1661.0,31915,7.0,726
2022-01-30,BS,Bahamas,AMRO,571.0,32486,19.0,745
2022-02-06,BS,Bahamas,AMRO,194.0,32680,3.0,748
2022-02-13,BS,Bahamas,AMRO,245.0,32925,9.0,757
2022-02-20,BS,Bahamas,AMRO,116.0,33041,13.0,770
2022-02-27,BS,Bahamas,AMRO,80.0,33121,1.0,771
2022-03-06,BS,Bahamas,AMRO,50.0,33171,0.0,771
2022-03-13,BS,Bahamas,AMRO,23.0,33194,0.0,771
2022-03-20,BS,Bahamas,AMRO,25.0,33219,16.0,787
2022-03-27,BS,Bahamas,AMRO,35.0,33254,1.0,788
2022-04-03,BS,Bahamas,AMRO,41.0,33295,0.0,788
2022-04-10,BS,Bahamas,AMRO,51.0,33346,1.0,789
2022-04-17,BS,Bahamas,AMRO,45.0,33391,0.0,789
2022-04-24,BS,Bahamas,AMRO,72.0,33463,0.0,789
2022-05-01,BS,Bahamas,AMRO,95.0,33558,9.0,798
2022-05-08,BS,Bahamas,AMRO,137.0,33695,0.0,798
2022-05-15,BS,Bahamas,AMRO,176.0,33871,3.0,801
2022-05-22,BS,Bahamas,AMRO,341.0,34212,9.0,810
2022-05-29,BS,Bahamas,AMRO,414.0,34626,0.0,810
2022-06-05,BS,Bahamas,AMRO,384.0,35010,0.0,810
2022-06-12,BS,Bahamas,AMRO,276.0,35286,2.0,812
2022-06-19,BS,Bahamas,AMRO,317.0,35603,3.0,815
2022-06-26,BS,Bahamas,AMRO,211.0,35814,1.0,816
2022-07-03,BS,Bahamas,AMRO,215.0,36029,2.0,818
2022-07-10,BS,Bahamas,AMRO,216.0,36245,4.0,822
2022-07-17,BS,Bahamas,AMRO,181.0,36426,0.0,822
2022-07-24,BS,Bahamas,AMRO,142.0,36568,0.0,822
2022-07-31,BS,Bahamas,AMRO,148.0,36716,0.0,822
2022-08-07,BS,Bahamas,AMRO,96.0,36812,0.0,822
2022-08-14,BS,Bahamas,AMRO,93.0,36905,1.0,823
2022-08-21,BS,Bahamas,AMRO,78.0,36983,0.0,823
2022-08-28,BS,Bahamas,AMRO,69.0,37052,0.0,823
2022-09-04,BS,Bahamas,AMRO,46.0,37098,0.0,823
2022-09-11,BS,Bahamas,AMRO,48.0,37146,7.0,830
2022-09-18,BS,Bahamas,AMRO,57.0,37203,3.0,833
2022-09-25,BS,Bahamas,AMRO,64.0,37267,0.0,833
2022-10-02,BS,Bahamas,AMRO,42.0,37309,0.0,833
2022-10-09,BS,Bahamas,AMRO,9.0,37318,0.0,833
2022-10-16,BS,Bahamas,AMRO,16.0,37334,0.0,833
2022-10-23,BS,Bahamas,AMRO,30.0,37364,0.0,833
2022-10-30,BS,Bahamas,AMRO,22.0,37386,0.0,833
2022-11-06,BS,Bahamas,AMRO,33.0,37419,0.0,833
2022-11-13,BS,Bahamas,AMRO,16.0,37435,0.0,833
2022-11-20,BS,Bahamas,AMRO,18.0,37453,0.0,833
2022-11-27,BS,Bahamas,AMRO,23.0,37476,0.0,833
2022-12-04,BS,Bahamas,AMRO,15.0,37491,0.0,833
2022-12-11,BS,Bahamas,AMRO,0.0,37491,0.0,833
2022-12-18,BS,Bahamas,AMRO,0.0,37491,0.0,833
2022-12-25,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-01-01,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-01-08,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-01-15,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-01-22,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-01-29,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-02-05,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-02-12,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-02-19,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-02-26,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-03-05,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-03-12,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-03-19,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-03-26,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-04-02,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-04-09,BS,Bahamas,AMRO,0.0,37491,0.0,833
2023-04-16,BS,Bahamas,AMRO,512.0,38003,11.0,844
2023-04-23,BS,Bahamas,AMRO,81.0,38084,0.0,844
2023-04-30,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-05-07,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-05-14,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-05-21,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-05-28,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-06-04,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-06-11,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-06-18,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-06-25,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-07-02,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-07-09,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-07-16,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-07-23,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-07-30,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-08-06,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-08-13,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-08-20,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-08-27,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-09-03,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-09-10,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-09-17,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-09-24,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-10-01,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-10-08,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-10-15,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-10-22,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-10-29,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-11-05,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-11-12,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-11-19,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-11-26,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-12-03,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-12-10,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-12-17,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-12-24,BS,Bahamas,AMRO,0.0,38084,0.0,844
2023-12-31,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-01-07,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-01-14,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-01-21,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-01-28,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-02-04,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-02-11,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-02-18,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-02-25,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-03-03,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-03-10,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-03-17,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-03-24,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-03-31,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-04-07,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-04-14,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-04-21,BS,Bahamas,AMRO,0.0,38084,0.0,844
2024-04-28,BS,Bahamas,AMRO,0.0,38084,0.0,844
