Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-01-12,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-01-19,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-01-26,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-02-02,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-02-09,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-02-16,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-02-23,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-03-01,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-03-08,CD,Democratic Republic of the Congo,AFRO,0.0,0,0.0,0
2020-03-15,CD,Democratic Republic of the Congo,AFRO,2.0,2,0.0,0
2020-03-22,CD,Democratic Republic of the Congo,AFRO,28.0,30,0.0,0
2020-03-29,CD,Democratic Republic of the Congo,AFRO,35.0,65,0.0,0
2020-04-05,CD,Democratic Republic of the Congo,AFRO,89.0,154,0.0,0
2020-04-12,CD,Democratic Republic of the Congo,AFRO,80.0,234,0.0,0
2020-04-19,CD,Democratic Republic of the Congo,AFRO,93.0,327,213.0,213
2020-04-26,CD,Democratic Republic of the Congo,AFRO,115.0,442,3.0,216
2020-05-03,CD,Democratic Republic of the Congo,AFRO,232.0,674,5.0,221
2020-05-10,CD,Democratic Republic of the Congo,AFRO,317.0,991,8.0,229
2020-05-17,CD,Democratic Republic of the Congo,AFRO,463.0,1454,19.0,248
2020-05-24,CD,Democratic Republic of the Congo,AFRO,686.0,2140,2.0,250
2020-05-31,CD,Democratic Republic of the Congo,AFRO,908.0,3048,9.0,259
2020-06-07,CD,Democratic Republic of the Congo,AFRO,829.0,3877,11.0,270
2020-06-14,CD,Democratic Republic of the Congo,AFRO,900.0,4777,24.0,294
2020-06-21,CD,Democratic Republic of the Congo,AFRO,1048.0,5825,24.0,318
2020-06-28,CD,Democratic Republic of the Congo,AFRO,1001.0,6826,28.0,346
2020-07-05,CD,Democratic Republic of the Congo,AFRO,584.0,7410,23.0,369
2020-07-12,CD,Democratic Republic of the Congo,AFRO,622.0,8032,6.0,375
2020-07-19,CD,Democratic Republic of the Congo,AFRO,370.0,8402,5.0,380
2020-07-26,CD,Democratic Republic of the Congo,AFRO,427.0,8829,10.0,390
2020-08-02,CD,Democratic Republic of the Congo,AFRO,285.0,9114,11.0,401
