Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CG,Congo,AFRO,0.0,0,0.0,0
2020-01-12,CG,Congo,AFRO,0.0,0,0.0,0
2020-01-19,CG,Congo,AFRO,0.0,0,0.0,0
2020-01-26,CG,Congo,AFRO,0.0,0,0.0,0
2020-02-02,CG,Congo,AFRO,0.0,0,0.0,0
2020-02-09,CG,Congo,AFRO,0.0,0,0.0,0
2020-02-16,CG,Congo,AFRO,0.0,0,0.0,0
2020-02-23,CG,Congo,AFRO,0.0,0,0.0,0
2020-03-01,CG,Congo,AFRO,0.0,0,0.0,0
2020-03-08,CG,Congo,AFRO,0.0,0,0.0,0
2020-03-15,CG,Congo,AFRO,1.0,1,0.0,0
2020-03-22,CG,Congo,AFRO,2.0,3,0.0,0
2020-03-29,CG,Congo,AFRO,16.0,19,0.0,0
2020-04-05,CG,Congo,AFRO,30.0,49,4.0,4
2020-04-12,CG,Congo,AFRO,21.0,70,0.0,4
2020-04-19,CG,Congo,AFRO,73.0,143,1.0,5
2020-04-26,CG,Congo,AFRO,57.0,200,2.0,7
2020-05-03,CG,Congo,AFRO,29.0,229,2.0,9
2020-05-10,CG,Congo,AFRO,58.0,287,0.0,9
2020-05-17,CG,Congo,AFRO,123.0,410,5.0,14
2020-05-24,CG,Congo,AFRO,77.0,487,1.0,15
2020-05-31,CG,Congo,AFRO,117.0,604,4.0,19
2020-06-07,CG,Congo,AFRO,79.0,683,2.0,21
2020-06-14,CG,Congo,AFRO,96.0,779,4.0,25
2020-06-21,CG,Congo,AFRO,104.0,883,2.0,27
2020-06-28,CG,Congo,AFRO,446.0,1329,13.0,40
2020-07-05,CG,Congo,AFRO,228.0,1557,4.0,44
2020-07-12,CG,Congo,AFRO,665.0,2222,3.0,47
2020-07-19,CG,Congo,AFRO,411.0,2633,2.0,49
2020-07-26,CG,Congo,AFRO,526.0,3159,5.0,54
2020-08-02,CG,Congo,AFRO,228.0,3387,2.0,56
2020-08-09,CG,Congo,AFRO,277.0,3664,2.0,58
2020-08-16,CG,Congo,AFRO,167.0,3831,9.0,67
2020-08-23,CG,Congo,AFRO,19.0,3850,1.0,68
2020-08-30,CG,Congo,AFRO,129.0,3979,1.0,69
2020-09-06,CG,Congo,AFRO,888.0,4867,12.0,81
2020-09-13,CG,Congo,AFRO,67.0,4934,7.0,88
2020-09-20,CG,Congo,AFRO,68.0,5002,1.0,89
2020-09-27,CG,Congo,AFRO,89.0,5091,0.0,89
2020-10-04,CG,Congo,AFRO,20.0,5111,0.0,89
2020-10-11,CG,Congo,AFRO,45.0,5156,3.0,92
2020-10-18,CG,Congo,AFRO,0.0,5156,0.0,92
2020-10-25,CG,Congo,AFRO,134.0,5290,0.0,92
2020-11-01,CG,Congo,AFRO,58.0,5348,0.0,92
2020-11-08,CG,Congo,AFRO,31.0,5379,0.0,92
2020-11-15,CG,Congo,AFRO,136.0,5515,0.0,92
2020-11-22,CG,Congo,AFRO,117.0,5632,1.0,93
2020-11-29,CG,Congo,AFRO,142.0,5774,1.0,94
2020-12-06,CG,Congo,AFRO,0.0,5774,0.0,94
2020-12-13,CG,Congo,AFRO,275.0,6049,5.0,99
2020-12-20,CG,Congo,AFRO,224.0,6273,1.0,100
2020-12-27,CG,Congo,AFRO,116.0,6389,0.0,100
2021-01-03,CG,Congo,AFRO,771.0,7160,12.0,112
2021-01-10,CG,Congo,AFRO,441.0,7601,0.0,112
2021-01-17,CG,Congo,AFRO,193.0,7794,5.0,117
