Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CH,Switzerland,EURO,0.0,0,0.0,0
2020-01-12,CH,Switzerland,EURO,0.0,0,0.0,0
2020-01-19,CH,Switzerland,EURO,0.0,0,0.0,0
2020-01-26,CH,Switzerland,EURO,0.0,0,0.0,0
2020-02-02,CH,Switzerland,EURO,0.0,0,0.0,0
2020-02-09,CH,Switzerland,EURO,0.0,0,0.0,0
2020-02-16,CH,Switzerland,EURO,0.0,0,0.0,0
2020-02-23,CH,Switzerland,EURO,0.0,0,0.0,0
2020-03-01,CH,Switzerland,EURO,45.0,45,0.0,0
2020-03-08,CH,Switzerland,EURO,320.0,365,2.0,2
2020-03-15,CH,Switzerland,EURO,2008.0,2373,18.0,20
2020-03-22,CH,Switzerland,EURO,6337.0,8710,89.0,109
2020-03-29,CH,Switzerland,EURO,7460.0,16170,226.0,335
2020-04-05,CH,Switzerland,EURO,6175.0,22345,379.0,714
2020-04-12,CH,Switzerland,EURO,3662.0,26007,358.0,1072
2020-04-19,CH,Switzerland,EURO,1970.0,27977,256.0,1328
2020-04-26,CH,Switzerland,EURO,1192.0,29169,203.0,1531
2020-05-03,CH,Switzerland,EURO,739.0,29908,95.0,1626
2020-05-10,CH,Switzerland,EURO,407.0,30315,55.0,1681
2020-05-17,CH,Switzerland,EURO,234.0,30549,20.0,1701
2020-05-24,CH,Switzerland,EURO,155.0,30704,19.0,1720
2020-05-31,CH,Switzerland,EURO,129.0,30833,4.0,1724
2020-06-07,CH,Switzerland,EURO,97.0,30930,1.0,1725
2020-06-14,CH,Switzerland,EURO,136.0,31066,4.0,1729
2020-06-21,CH,Switzerland,EURO,170.0,31236,1.0,1730
2020-06-28,CH,Switzerland,EURO,348.0,31584,2.0,1732
2020-07-05,CH,Switzerland,EURO,670.0,32254,2.0,1734
2020-07-12,CH,Switzerland,EURO,625.0,32879,3.0,1737
2020-07-19,CH,Switzerland,EURO,720.0,33599,4.0,1741
2020-07-26,CH,Switzerland,EURO,809.0,34408,5.0,1746
2020-08-02,CH,Switzerland,EURO,1132.0,35540,5.0,1751
2020-08-09,CH,Switzerland,EURO,1080.0,36620,5.0,1756
2020-08-16,CH,Switzerland,EURO,1537.0,38157,5.0,1761
2020-08-23,CH,Switzerland,EURO,1856.0,40013,3.0,1764
2020-08-30,CH,Switzerland,EURO,2084.0,42097,5.0,1769
2020-09-06,CH,Switzerland,EURO,2432.0,44529,11.0,1780
2020-09-13,CH,Switzerland,EURO,2792.0,47321,20.0,1800
2020-09-20,CH,Switzerland,EURO,2943.0,50264,16.0,1816
2020-09-27,CH,Switzerland,EURO,2301.0,52565,12.0,1828
2020-10-04,CH,Switzerland,EURO,3269.0,55834,11.0,1839
2020-10-11,CH,Switzerland,EURO,8254.0,64088,16.0,1855
2020-10-18,CH,Switzerland,EURO,18508.0,82596,45.0,1900
2020-10-25,CH,Switzerland,EURO,38252.0,120848,131.0,2031
2020-11-01,CH,Switzerland,EURO,55405.0,176253,288.0,2319
2020-11-08,CH,Switzerland,EURO,51842.0,228095,531.0,2850
2020-11-15,CH,Switzerland,EURO,40254.0,268349,635.0,3485
2020-11-22,CH,Switzerland,EURO,30555.0,298904,635.0,4120
2020-11-29,CH,Switzerland,EURO,26358.0,325262,621.0,4741
