Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-01-12,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-01-19,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-01-26,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-02-02,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-02-09,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-02-16,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-02-23,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-03-01,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-03-08,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-03-15,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-03-22,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-03-29,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-04-05,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-04-12,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-04-19,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-04-26,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-05-03,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-05-10,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-05-17,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-05-24,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-05-31,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-06-07,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-06-14,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-06-21,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-06-28,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-07-05,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-07-12,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-07-19,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-07-26,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-08-02,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-08-09,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-08-16,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-08-23,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-08-30,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-09-06,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-09-13,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-09-20,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-09-27,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-10-04,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-10-11,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-10-18,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-10-25,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-11-01,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-11-08,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-11-15,CK,Cook Islands,WPRO,0.0,0,0.0,0
2020-11-22,CK,Cook Islands,WPRO,0.0,0,0.0,0
