Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CL,Chile,AMRO,0.0,0,0.0,0
2020-01-12,CL,Chile,AMRO,0.0,0,0.0,0
2020-01-19,CL,Chile,AMRO,0.0,0,0.0,0
2020-01-26,CL,Chile,AMRO,0.0,0,0.0,0
2020-02-02,CL,Chile,AMRO,0.0,0,0.0,0
2020-02-09,CL,Chile,AMRO,0.0,0,0.0,0
2020-02-16,CL,Chile,AMRO,0.0,0,0.0,0
2020-02-23,CL,Chile,AMRO,0.0,0,0.0,0
2020-03-01,CL,Chile,AMRO,1.0,1,0.0,0
2020-03-08,CL,Chile,AMRO,6.0,7,0.0,0
2020-03-15,CL,Chile,AMRO,54.0,61,0.0,0
2020-03-22,CL,Chile,AMRO,476.0,537,0.0,0
2020-03-29,CL,Chile,AMRO,1372.0,1909,6.0,6
2020-04-05,CL,Chile,AMRO,2252.0,4161,21.0,27
2020-04-12,CL,Chile,AMRO,2766.0,6927,46.0,73
2020-04-19,CL,Chile,AMRO,2803.0,9730,53.0,126
2020-04-26,CL,Chile,AMRO,3128.0,12858,55.0,181
2020-05-03,CL,Chile,AMRO,5577.0,18435,66.0,247
2020-05-10,CL,Chile,AMRO,8784.0,27219,57.0,304
2020-05-17,CL,Chile,AMRO,14209.0,41428,117.0,421
2020-05-24,CL,Chile,AMRO,23965.0,65393,252.0,673
2020-05-31,CL,Chile,AMRO,29465.0,94858,324.0,997
2020-06-07,CL,Chile,AMRO,32887.0,127745,544.0,1541
2020-06-14,CL,Chile,AMRO,39610.0,167355,1560.0,3101
2020-06-21,CL,Chile,AMRO,69393.0,236748,1194.0,4295
2020-06-28,CL,Chile,AMRO,31018.0,267766,1052.0,5347
2020-07-05,CL,Chile,AMRO,24081.0,291847,845.0,6192
2020-07-12,CL,Chile,AMRO,20182.0,312029,689.0,6881
2020-07-19,CL,Chile,AMRO,16817.0,328846,1564.0,8445
2020-07-26,CL,Chile,AMRO,14746.0,343592,575.0,9020
2020-08-02,CL,Chile,AMRO,14066.0,357658,513.0,9533
2020-08-09,CL,Chile,AMRO,13365.0,371023,478.0,10011
2020-08-16,CL,Chile,AMRO,12879.0,383902,384.0,10395
2020-08-23,CL,Chile,AMRO,11806.0,395708,397.0,10792
2020-08-30,CL,Chile,AMRO,12301.0,408009,389.0,11181
2020-09-06,CL,Chile,AMRO,12425.0,420434,370.0,11551
2020-09-13,CL,Chile,AMRO,12232.0,432666,344.0,11895
2020-09-20,CL,Chile,AMRO,12008.0,444674,359.0,12254
2020-09-27,CL,Chile,AMRO,11305.0,455979,337.0,12591
2020-10-04,CL,Chile,AMRO,12492.0,468471,328.0,12919
2020-10-11,CL,Chile,AMRO,11124.0,479595,353.0,13272
2020-10-18,CL,Chile,AMRO,10408.0,490003,316.0,13588
2020-10-25,CL,Chile,AMRO,10539.0,500542,304.0,13892
2020-11-01,CL,Chile,AMRO,9714.0,510256,315.0,14207
2020-11-08,CL,Chile,AMRO,9721.0,519977,292.0,14499
2020-11-15,CL,Chile,AMRO,9699.0,529676,278.0,14777
2020-11-22,CL,Chile,AMRO,9467.0,539143,253.0,15030
2020-11-29,CL,Chile,AMRO,9798.0,548941,292.0,15322
2020-12-06,CL,Chile,AMRO,9727.0,558668,270.0,15592
2020-12-13,CL,Chile,AMRO,11113.0,569781,254.0,15846
2020-12-20,CL,Chile,AMRO,13573.0,583354,255.0,16101
2020-12-27,CL,Chile,AMRO,15040.0,598394,303.0,16404
2021-01-03,CL,Chile,AMRO,17508.0,615902,320.0,16724
2021-01-10,CL,Chile,AMRO,21840.0,637742,313.0,17037
2021-01-17,CL,Chile,AMRO,27751.0,665493,398.0,17435
2021-01-24,CL,Chile,AMRO,29154.0,694647,419.0,17854
2021-01-31,CL,Chile,AMRO,28253.0,722900,485.0,18339
2021-02-07,CL,Chile,AMRO,25182.0,748082,556.0,18895
2021-02-14,CL,Chile,AMRO,24313.0,772395,548.0,19443
2021-02-21,CL,Chile,AMRO,23450.0,795845,531.0,19974
