Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-01-12,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-01-19,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-01-26,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-02-02,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-02-09,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-02-16,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-02-23,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-03-01,CM,Cameroon,AFRO,0.0,0,0.0,0
2020-03-08,CM,Cameroon,AFRO,2.0,2,0.0,0
2020-03-15,CM,Cameroon,AFRO,1.0,3,0.0,0
2020-03-22,CM,Cameroon,AFRO,23.0,26,0.0,0
2020-03-29,CM,Cameroon,AFRO,64.0,90,6.0,6
2020-04-05,CM,Cameroon,AFRO,465.0,555,7.0,13
2020-04-12,CM,Cameroon,AFRO,267.0,822,2.0,15
2020-04-19,CM,Cameroon,AFRO,194.0,1016,30.0,45
2020-04-26,CM,Cameroon,AFRO,605.0,1621,13.0,58
2020-05-03,CM,Cameroon,AFRO,456.0,2077,8.0,66
2020-05-10,CM,Cameroon,AFRO,258.0,2335,46.0,112
2020-05-17,CM,Cameroon,AFRO,712.0,3047,30.0,142
2020-05-24,CM,Cameroon,AFRO,1353.0,4400,20.0,162
2020-05-31,CM,Cameroon,AFRO,1504.0,5904,32.0,194
2020-06-07,CM,Cameroon,AFRO,2054.0,7958,21.0,215
2020-06-14,CM,Cameroon,AFRO,1614.0,9572,61.0,276
2020-06-21,CM,Cameroon,AFRO,2170.0,11742,24.0,300
2020-06-28,CM,Cameroon,AFRO,1603.0,13345,25.0,325
2020-07-05,CM,Cameroon,AFRO,1179.0,14524,15.0,340
2020-07-12,CM,Cameroon,AFRO,649.0,15173,17.0,357
2020-07-19,CM,Cameroon,AFRO,1349.0,16522,23.0,380
2020-07-26,CM,Cameroon,AFRO,186.0,16708,3.0,383
2020-08-02,CM,Cameroon,AFRO,547.0,17255,6.0,389
2020-08-09,CM,Cameroon,AFRO,958.0,18213,7.0,396
2020-08-16,CM,Cameroon,AFRO,369.0,18582,3.0,399
2020-08-23,CM,Cameroon,AFRO,180.0,18762,9.0,408
2020-08-30,CM,Cameroon,AFRO,380.0,19142,3.0,411
2020-09-06,CM,Cameroon,AFRO,462.0,19604,4.0,415
2020-09-13,CM,Cameroon,AFRO,624.0,20228,0.0,415
2020-09-20,CM,Cameroon,AFRO,370.0,20598,1.0,416
2020-09-27,CM,Cameroon,AFRO,240.0,20838,2.0,418
2020-10-04,CM,Cameroon,AFRO,299.0,21137,2.0,420
2020-10-11,CM,Cameroon,AFRO,196.0,21333,3.0,423
2020-10-18,CM,Cameroon,AFRO,210.0,21543,2.0,425
2020-10-25,CM,Cameroon,AFRO,250.0,21793,1.0,426
2020-11-01,CM,Cameroon,AFRO,296.0,22089,3.0,429
2020-11-08,CM,Cameroon,AFRO,291.0,22380,2.0,431
2020-11-15,CM,Cameroon,AFRO,470.0,22850,2.0,433
2020-11-22,CM,Cameroon,AFRO,992.0,23842,2.0,435
2020-11-29,CM,Cameroon,AFRO,603.0,24445,6.0,441
2020-12-06,CM,Cameroon,AFRO,307.0,24752,2.0,443
2020-12-13,CM,Cameroon,AFRO,590.0,25342,4.0,447
2020-12-20,CM,Cameroon,AFRO,507.0,25849,1.0,448
2020-12-27,CM,Cameroon,AFRO,428.0,26277,0.0,448
2021-01-03,CM,Cameroon,AFRO,571.0,26848,0.0,448
2021-01-10,CM,Cameroon,AFRO,488.0,27336,3.0,451
2021-01-17,CM,Cameroon,AFRO,674.0,28010,4.0,455
2021-01-24,CM,Cameroon,AFRO,1607.0,29617,7.0,462
2021-01-31,CM,Cameroon,AFRO,696.0,30313,12.0,474
2021-02-07,CM,Cameroon,AFRO,1081.0,31394,0.0,474
2021-02-14,CM,Cameroon,AFRO,1287.0,32681,26.0,500
2021-02-21,CM,Cameroon,AFRO,1068.0,33749,23.0,523
2021-02-28,CM,Cameroon,AFRO,1965.0,35714,28.0,551
2021-03-07,CM,Cameroon,AFRO,3274.0,38988,37.0,588
2021-03-14,CM,Cameroon,AFRO,0.0,38988,0.0,588
2021-03-21,CM,Cameroon,AFRO,8681.0,47669,133.0,721
2021-03-28,CM,Cameroon,AFRO,6251.0,53920,58.0,779
2021-04-04,CM,Cameroon,AFRO,3417.0,57337,72.0,851
2021-04-11,CM,Cameroon,AFRO,4394.0,61731,68.0,919
2021-04-18,CM,Cameroon,AFRO,4267.0,65998,72.0,991
2021-04-25,CM,Cameroon,AFRO,4609.0,70607,73.0,1064
2021-05-02,CM,Cameroon,AFRO,4126.0,74733,80.0,1144
2021-05-09,CM,Cameroon,AFRO,213.0,74946,8.0,1152
2021-05-16,CM,Cameroon,AFRO,1810.0,76756,78.0,1230
2021-05-23,CM,Cameroon,AFRO,1226.0,77982,40.0,1270
2021-05-30,CM,Cameroon,AFRO,947.0,78929,5.0,1275
2021-06-06,CM,Cameroon,AFRO,975.0,79904,27.0,1302
2021-06-13,CM,Cameroon,AFRO,186.0,80090,8.0,1310
2021-06-20,CM,Cameroon,AFRO,397.0,80487,10.0,1320
2021-06-27,CM,Cameroon,AFRO,371.0,80858,4.0,1324
2021-07-04,CM,Cameroon,AFRO,0.0,80858,0.0,1324
2021-07-11,CM,Cameroon,AFRO,609.0,81467,6.0,1330
2021-07-18,CM,Cameroon,AFRO,404.0,81871,2.0,1332
2021-07-25,CM,Cameroon,AFRO,193.0,82064,2.0,1334
2021-08-01,CM,Cameroon,AFRO,0.0,82064,0.0,1334
2021-08-08,CM,Cameroon,AFRO,390.0,82454,4.0,1338
2021-08-15,CM,Cameroon,AFRO,359.0,82813,4.0,1342
2021-08-22,CM,Cameroon,AFRO,612.0,83425,8.0,1350
2021-08-29,CM,Cameroon,AFRO,785.0,84210,7.0,1357
2021-09-05,CM,Cameroon,AFRO,710.0,84920,7.0,1364
2021-09-12,CM,Cameroon,AFRO,494.0,85414,4.0,1368
2021-09-19,CM,Cameroon,AFRO,2769.0,88183,43.0,1411
2021-09-26,CM,Cameroon,AFRO,4120.0,92303,48.0,1459
2021-10-03,CM,Cameroon,AFRO,3096.0,95399,58.0,1517
2021-10-10,CM,Cameroon,AFRO,3003.0,98402,33.0,1550
2021-10-17,CM,Cameroon,AFRO,1887.0,100289,50.0,1600
2021-10-24,CM,Cameroon,AFRO,2210.0,102499,86.0,1686
2021-10-31,CM,Cameroon,AFRO,1849.0,104348,45.0,1731
2021-11-07,CM,Cameroon,AFRO,1371.0,105719,27.0,1758
2021-11-14,CM,Cameroon,AFRO,471.0,106190,12.0,1770
2021-11-21,CM,Cameroon,AFRO,604.0,106794,21.0,1791
2021-11-28,CM,Cameroon,AFRO,354.0,107148,13.0,1804
2021-12-05,CM,Cameroon,AFRO,401.0,107549,19.0,1823
2021-12-12,CM,Cameroon,AFRO,113.0,107662,13.0,1836
2021-12-19,CM,Cameroon,AFRO,364.0,108026,5.0,1841
2021-12-26,CM,Cameroon,AFRO,650.0,108676,10.0,1851
2022-01-02,CM,Cameroon,AFRO,990.0,109666,2.0,1853
2022-01-09,CM,Cameroon,AFRO,1766.0,111432,4.0,1857
2022-01-16,CM,Cameroon,AFRO,2681.0,114113,10.0,1867
2022-01-23,CM,Cameroon,AFRO,2605.0,116718,13.0,1880
2022-01-30,CM,Cameroon,AFRO,958.0,117676,27.0,1907
2022-02-06,CM,Cameroon,AFRO,999.0,118675,8.0,1915
2022-02-13,CM,Cameroon,AFRO,258.0,118933,3.0,1918
2022-02-20,CM,Cameroon,AFRO,174.0,119107,2.0,1920
2022-02-27,CM,Cameroon,AFRO,133.0,119240,3.0,1923
2022-03-06,CM,Cameroon,AFRO,82.0,119322,3.0,1926
2022-03-13,CM,Cameroon,AFRO,92.0,119414,0.0,1926
2022-03-20,CM,Cameroon,AFRO,130.0,119544,1.0,1927
2022-03-27,CM,Cameroon,AFRO,93.0,119637,0.0,1927
2022-04-03,CM,Cameroon,AFRO,88.0,119725,0.0,1927
2022-04-10,CM,Cameroon,AFRO,55.0,119780,0.0,1927
2022-04-17,CM,Cameroon,AFRO,33.0,119813,0.0,1927
2022-04-24,CM,Cameroon,AFRO,37.0,119850,0.0,1927
2022-05-01,CM,Cameroon,AFRO,40.0,119890,2.0,1929
2022-05-08,CM,Cameroon,AFRO,34.0,119924,1.0,1930
2022-05-15,CM,Cameroon,AFRO,23.0,119947,0.0,1930
2022-05-22,CM,Cameroon,AFRO,26.0,119973,0.0,1930
2022-05-29,CM,Cameroon,AFRO,29.0,120002,0.0,1930
2022-06-05,CM,Cameroon,AFRO,26.0,120028,1.0,1931
2022-06-12,CM,Cameroon,AFRO,40.0,120068,0.0,1931
2022-06-19,CM,Cameroon,AFRO,53.0,120121,0.0,1931
2022-06-26,CM,Cameroon,AFRO,33.0,120154,0.0,1931
2022-07-03,CM,Cameroon,AFRO,43.0,120197,0.0,1931
2022-07-10,CM,Cameroon,AFRO,18.0,120215,0.0,1931
2022-07-17,CM,Cameroon,AFRO,52.0,120267,0.0,1931
2022-07-24,CM,Cameroon,AFRO,95.0,120362,1.0,1932
2022-07-31,CM,Cameroon,AFRO,162.0,120524,1.0,1933
2022-08-07,CM,Cameroon,AFRO,443.0,120967,0.0,1933
2022-08-14,CM,Cameroon,AFRO,685.0,121652,2.0,1935
2022-08-21,CM,Cameroon,AFRO,0.0,121652,0.0,1935
2022-08-28,CM,Cameroon,AFRO,1337.0,122989,14.0,1949
2022-09-04,CM,Cameroon,AFRO,319.0,123308,3.0,1952
2022-09-11,CM,Cameroon,AFRO,172.0,123480,5.0,1957
2022-09-18,CM,Cameroon,AFRO,149.0,123629,3.0,1960
2022-09-25,CM,Cameroon,AFRO,72.0,123701,0.0,1960
