Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-01-12,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-01-19,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-01-26,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-02-02,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-02-09,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-02-16,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-02-23,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-03-01,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-03-08,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-03-15,CV,Cabo Verde,AFRO,0.0,0,0.0,0
2020-03-22,CV,Cabo Verde,AFRO,3.0,3,0.0,0
2020-03-29,CV,Cabo Verde,AFRO,2.0,5,0.0,0
2020-04-05,CV,Cabo Verde,AFRO,0.0,5,0.0,0
2020-04-12,CV,Cabo Verde,AFRO,2.0,7,0.0,0
2020-04-19,CV,Cabo Verde,AFRO,48.0,55,0.0,0
2020-04-26,CV,Cabo Verde,AFRO,35.0,90,0.0,0
2020-05-03,CV,Cabo Verde,AFRO,62.0,152,2.0,2
2020-05-10,CV,Cabo Verde,AFRO,84.0,236,0.0,2
2020-05-17,CV,Cabo Verde,AFRO,92.0,328,1.0,3
2020-05-24,CV,Cabo Verde,AFRO,43.0,371,0.0,3
2020-05-31,CV,Cabo Verde,AFRO,50.0,421,1.0,4
2020-06-07,CV,Cabo Verde,AFRO,121.0,542,1.0,5
2020-06-14,CV,Cabo Verde,AFRO,184.0,726,1.0,6
2020-06-21,CV,Cabo Verde,AFRO,137.0,863,2.0,8
2020-06-28,CV,Cabo Verde,AFRO,228.0,1091,4.0,12
2020-07-05,CV,Cabo Verde,AFRO,329.0,1420,4.0,16
2020-07-12,CV,Cabo Verde,AFRO,203.0,1623,3.0,19
2020-07-19,CV,Cabo Verde,AFRO,391.0,2014,2.0,21
2020-07-26,CV,Cabo Verde,AFRO,244.0,2258,1.0,22
2020-08-02,CV,Cabo Verde,AFRO,222.0,2480,2.0,24
2020-08-09,CV,Cabo Verde,AFRO,355.0,2835,8.0,32
2020-08-16,CV,Cabo Verde,AFRO,328.0,3163,2.0,34
2020-08-23,CV,Cabo Verde,AFRO,292.0,3455,3.0,37
2020-08-30,CV,Cabo Verde,AFRO,323.0,3778,2.0,39
2020-09-06,CV,Cabo Verde,AFRO,497.0,4275,3.0,42
2020-09-13,CV,Cabo Verde,AFRO,436.0,4711,2.0,44
2020-09-20,CV,Cabo Verde,AFRO,475.0,5186,6.0,50
2020-09-27,CV,Cabo Verde,AFRO,515.0,5701,6.0,56
2020-10-04,CV,Cabo Verde,AFRO,595.0,6296,6.0,62
2020-10-11,CV,Cabo Verde,AFRO,617.0,6913,12.0,74
2020-10-18,CV,Cabo Verde,AFRO,725.0,7638,11.0,85
2020-10-25,CV,Cabo Verde,AFRO,684.0,8322,9.0,94
2020-11-01,CV,Cabo Verde,AFRO,471.0,8793,1.0,95
2020-11-08,CV,Cabo Verde,AFRO,498.0,9291,5.0,100
