Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-01-12,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-01-19,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-01-26,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-02-02,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-02-09,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-02-16,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-02-23,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-03-01,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-03-08,CW,Curaçao,AMRO,0.0,0,0.0,0
2020-03-15,CW,Curaçao,AMRO,1.0,1,0.0,0
2020-03-22,CW,Curaçao,AMRO,2.0,3,1.0,1
2020-03-29,CW,Curaçao,AMRO,4.0,7,0.0,1
2020-04-05,CW,Curaçao,AMRO,4.0,11,0.0,1
2020-04-12,CW,Curaçao,AMRO,3.0,14,0.0,1
2020-04-19,CW,Curaçao,AMRO,0.0,14,0.0,1
2020-04-26,CW,Curaçao,AMRO,0.0,14,0.0,1
2020-05-03,CW,Curaçao,AMRO,2.0,16,0.0,1
2020-05-10,CW,Curaçao,AMRO,0.0,16,0.0,1
2020-05-17,CW,Curaçao,AMRO,0.0,16,0.0,1
2020-05-24,CW,Curaçao,AMRO,0.0,16,0.0,1
2020-05-31,CW,Curaçao,AMRO,4.0,20,0.0,1
2020-06-07,CW,Curaçao,AMRO,1.0,21,0.0,1
2020-06-14,CW,Curaçao,AMRO,1.0,22,0.0,1
2020-06-21,CW,Curaçao,AMRO,1.0,23,0.0,1
2020-06-28,CW,Curaçao,AMRO,0.0,23,0.0,1
2020-07-05,CW,Curaçao,AMRO,2.0,25,0.0,1
2020-07-12,CW,Curaçao,AMRO,0.0,25,0.0,1
2020-07-19,CW,Curaçao,AMRO,3.0,28,0.0,1
2020-07-26,CW,Curaçao,AMRO,1.0,29,0.0,1
2020-08-02,CW,Curaçao,AMRO,0.0,29,0.0,1
2020-08-09,CW,Curaçao,AMRO,2.0,31,0.0,1
2020-08-16,CW,Curaçao,AMRO,1.0,32,0.0,1
2020-08-23,CW,Curaçao,AMRO,5.0,37,0.0,1
2020-08-30,CW,Curaçao,AMRO,18.0,55,0.0,1
2020-09-06,CW,Curaçao,AMRO,23.0,78,0.0,1
2020-09-13,CW,Curaçao,AMRO,57.0,135,0.0,1
2020-09-20,CW,Curaçao,AMRO,75.0,210,0.0,1
2020-09-27,CW,Curaçao,AMRO,105.0,315,0.0,1
2020-10-04,CW,Curaçao,AMRO,84.0,399,0.0,1
2020-10-11,CW,Curaçao,AMRO,133.0,532,0.0,1
2020-10-18,CW,Curaçao,AMRO,141.0,673,0.0,1
2020-10-25,CW,Curaçao,AMRO,130.0,803,0.0,1
2020-11-01,CW,Curaçao,AMRO,141.0,944,0.0,1
2020-11-08,CW,Curaçao,AMRO,86.0,1030,1.0,2
2020-11-15,CW,Curaçao,AMRO,185.0,1215,0.0,2
2020-11-22,CW,Curaçao,AMRO,346.0,1561,1.0,3
2020-11-29,CW,Curaçao,AMRO,485.0,2046,0.0,3
2020-12-06,CW,Curaçao,AMRO,694.0,2740,4.0,7
2020-12-13,CW,Curaçao,AMRO,664.0,3404,1.0,8
2020-12-20,CW,Curaçao,AMRO,419.0,3823,3.0,11
2020-12-27,CW,Curaçao,AMRO,228.0,4051,1.0,12
2021-01-03,CW,Curaçao,AMRO,179.0,4230,2.0,14
2021-01-10,CW,Curaçao,AMRO,175.0,4405,4.0,18
2021-01-17,CW,Curaçao,AMRO,93.0,4498,1.0,19
2021-01-24,CW,Curaçao,AMRO,39.0,4537,1.0,20
2021-01-31,CW,Curaçao,AMRO,37.0,4574,0.0,20
2021-02-07,CW,Curaçao,AMRO,23.0,4597,1.0,21
2021-02-14,CW,Curaçao,AMRO,36.0,4633,1.0,22
2021-02-21,CW,Curaçao,AMRO,33.0,4666,0.0,22
2021-02-28,CW,Curaçao,AMRO,42.0,4708,0.0,22
2021-03-07,CW,Curaçao,AMRO,43.0,4751,0.0,22
2021-03-14,CW,Curaçao,AMRO,164.0,4915,0.0,22
2021-03-21,CW,Curaçao,AMRO,605.0,5520,1.0,23
2021-03-28,CW,Curaçao,AMRO,1128.0,6648,4.0,27
2021-04-04,CW,Curaçao,AMRO,2186.0,8834,11.0,38
2021-04-11,CW,Curaçao,AMRO,1798.0,10632,22.0,60
2021-04-18,CW,Curaçao,AMRO,1042.0,11674,20.0,80
2021-04-25,CW,Curaçao,AMRO,348.0,12022,19.0,99
2021-05-02,CW,Curaçao,AMRO,159.0,12181,9.0,108
2021-05-09,CW,Curaçao,AMRO,41.0,12222,5.0,113
2021-05-16,CW,Curaçao,AMRO,22.0,12244,5.0,118
2021-05-23,CW,Curaçao,AMRO,22.0,12266,4.0,122
2021-05-30,CW,Curaçao,AMRO,5.0,12271,0.0,122
2021-06-06,CW,Curaçao,AMRO,5.0,12276,0.0,122
2021-06-13,CW,Curaçao,AMRO,15.0,12291,1.0,123
2021-06-20,CW,Curaçao,AMRO,17.0,12308,0.0,123
2021-06-27,CW,Curaçao,AMRO,19.0,12327,3.0,126
2021-07-04,CW,Curaçao,AMRO,16.0,12343,0.0,126
2021-07-11,CW,Curaçao,AMRO,21.0,12364,0.0,126
2021-07-18,CW,Curaçao,AMRO,173.0,12537,0.0,126
2021-07-25,CW,Curaçao,AMRO,501.0,13038,0.0,126
2021-08-01,CW,Curaçao,AMRO,455.0,13493,0.0,126
2021-08-08,CW,Curaçao,AMRO,414.0,13907,4.0,130
2021-08-15,CW,Curaçao,AMRO,489.0,14396,2.0,132
2021-08-22,CW,Curaçao,AMRO,406.0,14802,4.0,136
2021-08-29,CW,Curaçao,AMRO,332.0,15134,6.0,142
2021-09-05,CW,Curaçao,AMRO,245.0,15379,5.0,147
2021-09-12,CW,Curaçao,AMRO,217.0,15596,6.0,153
2021-09-19,CW,Curaçao,AMRO,329.0,15925,2.0,155
2021-09-26,CW,Curaçao,AMRO,329.0,16254,3.0,158
2021-10-03,CW,Curaçao,AMRO,246.0,16500,5.0,163
2021-10-10,CW,Curaçao,AMRO,204.0,16704,5.0,168
2021-10-17,CW,Curaçao,AMRO,181.0,16885,1.0,169
2021-10-24,CW,Curaçao,AMRO,99.0,16984,3.0,172
2021-10-31,CW,Curaçao,AMRO,69.0,17053,2.0,174
2021-11-07,CW,Curaçao,AMRO,58.0,17111,1.0,175
2021-11-14,CW,Curaçao,AMRO,76.0,17187,0.0,175
2021-11-21,CW,Curaçao,AMRO,83.0,17270,0.0,175
2021-11-28,CW,Curaçao,AMRO,104.0,17374,3.0,178
2021-12-05,CW,Curaçao,AMRO,66.0,17440,1.0,179
2021-12-12,CW,Curaçao,AMRO,100.0,17540,1.0,180
2021-12-19,CW,Curaçao,AMRO,153.0,17693,3.0,183
2021-12-26,CW,Curaçao,AMRO,606.0,18299,3.0,186
2022-01-02,CW,Curaçao,AMRO,2411.0,20710,3.0,189
2022-01-09,CW,Curaçao,AMRO,5278.0,25988,2.0,191
2022-01-16,CW,Curaçao,AMRO,5941.0,31929,8.0,199
2022-01-23,CW,Curaçao,AMRO,3378.0,35307,11.0,210
2022-01-30,CW,Curaçao,AMRO,1415.0,36722,15.0,225
2022-02-06,CW,Curaçao,AMRO,804.0,37526,17.0,242
2022-02-13,CW,Curaçao,AMRO,646.0,38172,7.0,249
2022-02-20,CW,Curaçao,AMRO,436.0,38608,11.0,260
2022-02-27,CW,Curaçao,AMRO,259.0,38867,1.0,261
2022-03-06,CW,Curaçao,AMRO,216.0,39083,0.0,261
2022-03-13,CW,Curaçao,AMRO,102.0,39185,3.0,264
2022-03-20,CW,Curaçao,AMRO,375.0,39560,1.0,265
2022-03-27,CW,Curaçao,AMRO,293.0,39853,0.0,265
2022-04-03,CW,Curaçao,AMRO,493.0,40346,2.0,267
2022-04-10,CW,Curaçao,AMRO,456.0,40802,0.0,267
2022-04-17,CW,Curaçao,AMRO,504.0,41306,4.0,271
2022-04-24,CW,Curaçao,AMRO,423.0,41729,0.0,271
2022-05-01,CW,Curaçao,AMRO,306.0,42035,2.0,273
2022-05-08,CW,Curaçao,AMRO,295.0,42330,1.0,274
2022-05-15,CW,Curaçao,AMRO,344.0,42674,1.0,275
2022-05-22,CW,Curaçao,AMRO,475.0,43149,1.0,276
2022-05-29,CW,Curaçao,AMRO,473.0,43622,1.0,277
2022-06-05,CW,Curaçao,AMRO,331.0,43953,0.0,277
2022-06-12,CW,Curaçao,AMRO,174.0,44127,0.0,277
2022-06-19,CW,Curaçao,AMRO,187.0,44314,1.0,278
2022-06-26,CW,Curaçao,AMRO,126.0,44440,0.0,278
2022-07-03,CW,Curaçao,AMRO,105.0,44545,0.0,278
2022-07-10,CW,Curaçao,AMRO,117.0,44662,0.0,278
2022-07-17,CW,Curaçao,AMRO,120.0,44782,2.0,280
2022-07-24,CW,Curaçao,AMRO,150.0,44932,2.0,282
2022-07-31,CW,Curaçao,AMRO,131.0,45063,0.0,282
2022-08-07,CW,Curaçao,AMRO,0.0,45063,0.0,282
2022-08-14,CW,Curaçao,AMRO,146.0,45209,1.0,283
2022-08-21,CW,Curaçao,AMRO,34.0,45243,2.0,285
2022-08-28,CW,Curaçao,AMRO,34.0,45277,1.0,286
2022-09-04,CW,Curaçao,AMRO,25.0,45302,1.0,287
2022-09-11,CW,Curaçao,AMRO,16.0,45318,0.0,287
2022-09-18,CW,Curaçao,AMRO,27.0,45345,0.0,287
2022-09-25,CW,Curaçao,AMRO,12.0,45357,0.0,287
2022-10-02,CW,Curaçao,AMRO,11.0,45368,0.0,287
2022-10-09,CW,Curaçao,AMRO,22.0,45390,0.0,287
2022-10-16,CW,Curaçao,AMRO,16.0,45406,2.0,289
2022-10-23,CW,Curaçao,AMRO,28.0,45434,0.0,289
2022-10-30,CW,Curaçao,AMRO,33.0,45467,1.0,290
2022-11-06,CW,Curaçao,AMRO,22.0,45489,3.0,293
2022-11-13,CW,Curaçao,AMRO,18.0,45507,0.0,293
2022-11-20,CW,Curaçao,AMRO,29.0,45536,1.0,294
2022-11-27,CW,Curaçao,AMRO,23.0,45559,1.0,295
2022-12-04,CW,Curaçao,AMRO,27.0,45586,0.0,295
2022-12-11,CW,Curaçao,AMRO,44.0,45630,2.0,297
2022-12-18,CW,Curaçao,AMRO,39.0,45669,1.0,298
2022-12-25,CW,Curaçao,AMRO,38.0,45707,1.0,299
2023-01-01,CW,Curaçao,AMRO,13.0,45720,0.0,299
2023-01-08,CW,Curaçao,AMRO,14.0,45734,0.0,299
2023-01-15,CW,Curaçao,AMRO,11.0,45745,0.0,299
2023-01-22,CW,Curaçao,AMRO,21.0,45766,2.0,301
2023-01-29,CW,Curaçao,AMRO,7.0,45773,0.0,301
2023-02-05,CW,Curaçao,AMRO,0.0,45773,0.0,301
2023-02-12,CW,Curaçao,AMRO,7.0,45780,0.0,301
2023-02-19,CW,Curaçao,AMRO,1.0,45781,0.0,301
2023-02-26,CW,Curaçao,AMRO,5.0,45786,0.0,301
2023-03-05,CW,Curaçao,AMRO,0.0,45786,0.0,301
2023-03-12,CW,Curaçao,AMRO,1.0,45787,0.0,301
2023-03-19,CW,Curaçao,AMRO,2.0,45789,0.0,301
2023-03-26,CW,Curaçao,AMRO,4.0,45793,0.0,301
2023-04-02,CW,Curaçao,AMRO,5.0,45798,0.0,301
2023-04-09,CW,Curaçao,AMRO,0.0,45798,0.0,301
2023-04-16,CW,Curaçao,AMRO,0.0,45798,0.0,301
2023-04-23,CW,Curaçao,AMRO,0.0,45798,0.0,301
2023-04-30,CW,Curaçao,AMRO,0.0,45798,0.0,301
2023-05-07,CW,Curaçao,AMRO,14.0,45812,1.0,302
2023-05-14,CW,Curaçao,AMRO,0.0,45812,0.0,302
2023-05-21,CW,Curaçao,AMRO,0.0,45812,0.0,302
2023-05-28,CW,Curaçao,AMRO,0.0,45812,0.0,302
2023-06-04,CW,Curaçao,AMRO,5.0,45817,0.0,302
2023-06-11,CW,Curaçao,AMRO,0.0,45817,0.0,302
2023-06-18,CW,Curaçao,AMRO,0.0,45817,0.0,302
2023-06-25,CW,Curaçao,AMRO,0.0,45817,0.0,302
2023-07-02,CW,Curaçao,AMRO,66.0,45883,3.0,305
2023-07-09,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-07-16,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-07-23,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-07-30,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-08-06,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-08-13,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-08-20,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-08-27,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-09-03,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-09-10,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-09-17,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-09-24,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-10-01,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-10-08,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-10-15,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-10-22,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-10-29,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-11-05,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-11-12,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-11-19,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-11-26,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-12-03,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-12-10,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-12-17,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-12-24,CW,Curaçao,AMRO,0.0,45883,0.0,305
2023-12-31,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-01-07,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-01-14,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-01-21,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-01-28,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-02-04,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-02-11,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-02-18,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-02-25,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-03-03,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-03-10,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-03-17,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-03-24,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-03-31,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-04-07,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-04-14,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-04-21,CW,Curaçao,AMRO,0.0,45883,0.0,305
2024-04-28,CW,Curaçao,AMRO,0.0,45883,0.0,305
