Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CY,Cyprus,EURO,0.0,0,0.0,0
2020-01-12,CY,Cyprus,EURO,0.0,0,0.0,0
2020-01-19,CY,Cyprus,EURO,0.0,0,0.0,0
2020-01-26,CY,Cyprus,EURO,0.0,0,0.0,0
2020-02-02,CY,Cyprus,EURO,0.0,0,0.0,0
2020-02-09,CY,Cyprus,EURO,0.0,0,0.0,0
2020-02-16,CY,Cyprus,EURO,0.0,0,0.0,0
2020-02-23,CY,Cyprus,EURO,0.0,0,0.0,0
2020-03-01,CY,Cyprus,EURO,0.0,0,0.0,0
2020-03-08,CY,Cyprus,EURO,0.0,0,0.0,0
2020-03-15,CY,Cyprus,EURO,21.0,21,0.0,0
2020-03-22,CY,Cyprus,EURO,63.0,84,0.0,0
2020-03-29,CY,Cyprus,EURO,95.0,179,5.0,5
2020-04-05,CY,Cyprus,EURO,247.0,426,4.0,9
2020-04-12,CY,Cyprus,EURO,190.0,616,1.0,10
2020-04-19,CY,Cyprus,EURO,145.0,761,2.0,12
2020-04-26,CY,Cyprus,EURO,49.0,810,2.0,14
2020-05-03,CY,Cyprus,EURO,54.0,864,1.0,15
2020-05-10,CY,Cyprus,EURO,28.0,892,0.0,15
2020-05-17,CY,Cyprus,EURO,22.0,914,2.0,17
2020-05-24,CY,Cyprus,EURO,13.0,927,0.0,17
2020-05-31,CY,Cyprus,EURO,16.0,943,0.0,17
2020-06-07,CY,Cyprus,EURO,17.0,960,1.0,18
2020-06-14,CY,Cyprus,EURO,20.0,980,0.0,18
2020-06-21,CY,Cyprus,EURO,5.0,985,1.0,19
2020-06-28,CY,Cyprus,EURO,9.0,994,0.0,19
2020-07-05,CY,Cyprus,EURO,8.0,1002,0.0,19
2020-07-12,CY,Cyprus,EURO,12.0,1014,0.0,19
2020-07-19,CY,Cyprus,EURO,23.0,1037,0.0,19
2020-07-26,CY,Cyprus,EURO,16.0,1053,0.0,19
2020-08-02,CY,Cyprus,EURO,71.0,1124,0.0,19
2020-08-09,CY,Cyprus,EURO,109.0,1233,0.0,19
2020-08-16,CY,Cyprus,EURO,99.0,1332,1.0,20
2020-08-23,CY,Cyprus,EURO,85.0,1417,1.0,21
2020-08-30,CY,Cyprus,EURO,66.0,1483,0.0,21
2020-09-06,CY,Cyprus,EURO,24.0,1507,0.0,21
2020-09-13,CY,Cyprus,EURO,16.0,1523,0.0,21
2020-09-20,CY,Cyprus,EURO,57.0,1580,1.0,22
2020-09-27,CY,Cyprus,EURO,104.0,1684,0.0,22
2020-10-04,CY,Cyprus,EURO,127.0,1811,0.0,22
2020-10-11,CY,Cyprus,EURO,175.0,1986,3.0,25
2020-10-18,CY,Cyprus,EURO,393.0,2379,0.0,25
2020-10-25,CY,Cyprus,EURO,1065.0,3444,0.0,25
2020-11-01,CY,Cyprus,EURO,922.0,4366,1.0,26
2020-11-08,CY,Cyprus,EURO,1505.0,5871,1.0,27
2020-11-15,CY,Cyprus,EURO,1180.0,7051,12.0,39
2020-11-22,CY,Cyprus,EURO,1405.0,8456,4.0,43
2020-11-29,CY,Cyprus,EURO,1775.0,10231,5.0,48
2020-12-06,CY,Cyprus,EURO,1951.0,12182,12.0,60
2020-12-13,CY,Cyprus,EURO,2619.0,14801,19.0,79
2020-12-20,CY,Cyprus,EURO,2676.0,17477,13.0,92
2020-12-27,CY,Cyprus,EURO,1915.0,19392,22.0,114
2021-01-03,CY,Cyprus,EURO,4511.0,23903,18.0,132
2021-01-10,CY,Cyprus,EURO,3566.0,27469,18.0,150
2021-01-17,CY,Cyprus,EURO,1800.0,29269,20.0,170
2021-01-24,CY,Cyprus,EURO,1076.0,30345,16.0,186
2021-01-31,CY,Cyprus,EURO,883.0,31228,14.0,200
