Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,CZ,Czechia,EURO,0.0,0,0.0,0
2020-01-12,CZ,Czechia,EURO,0.0,0,0.0,0
2020-01-19,CZ,Czechia,EURO,0.0,0,0.0,0
2020-01-26,CZ,Czechia,EURO,0.0,0,0.0,0
2020-02-02,CZ,Czechia,EURO,0.0,0,0.0,0
2020-02-09,CZ,Czechia,EURO,0.0,0,0.0,0
2020-02-16,CZ,Czechia,EURO,0.0,0,0.0,0
2020-02-23,CZ,Czechia,EURO,0.0,0,0.0,0
2020-03-01,CZ,Czechia,EURO,0.0,0,0.0,0
2020-03-08,CZ,Czechia,EURO,27.0,27,0.0,0
2020-03-15,CZ,Czechia,EURO,163.0,190,0.0,0
2020-03-22,CZ,Czechia,EURO,869.0,1059,0.0,0
2020-03-29,CZ,Czechia,EURO,1624.0,2683,17.0,17
2020-04-05,CZ,Czechia,EURO,1821.0,4504,49.0,66
2020-04-12,CZ,Czechia,EURO,1438.0,5942,70.0,136
2020-04-19,CZ,Czechia,EURO,754.0,6696,44.0,180
2020-04-26,CZ,Czechia,EURO,701.0,7397,42.0,222
2020-05-03,CZ,Czechia,EURO,412.0,7809,29.0,251
2020-05-10,CZ,Czechia,EURO,344.0,8153,26.0,277
2020-05-17,CZ,Czechia,EURO,372.0,8525,18.0,295
2020-05-24,CZ,Czechia,EURO,448.0,8973,18.0,313
2020-05-31,CZ,Czechia,EURO,346.0,9319,5.0,318
2020-06-07,CZ,Czechia,EURO,351.0,9670,7.0,325
2020-06-14,CZ,Czechia,EURO,429.0,10099,5.0,330
2020-06-21,CZ,Czechia,EURO,460.0,10559,8.0,338
2020-06-28,CZ,Czechia,EURO,853.0,11412,8.0,346
2020-07-05,CZ,Czechia,EURO,1142.0,12554,4.0,350
2020-07-12,CZ,Czechia,EURO,678.0,13232,4.0,354
2020-07-19,CZ,Czechia,EURO,748.0,13980,6.0,360
2020-07-26,CZ,Czechia,EURO,1353.0,15333,11.0,371
2020-08-02,CZ,Czechia,EURO,1476.0,16809,13.0,384
2020-08-09,CZ,Czechia,EURO,1549.0,18358,8.0,392
2020-08-16,CZ,Czechia,EURO,1664.0,20022,8.0,400
2020-08-23,CZ,Czechia,EURO,1895.0,21917,15.0,415
2020-08-30,CZ,Czechia,EURO,2315.0,24232,10.0,425
2020-09-06,CZ,Czechia,EURO,3658.0,27890,15.0,440
2020-09-13,CZ,Czechia,EURO,7660.0,35550,27.0,467
