Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,DK,Denmark,EURO,0.0,0,0.0,0
2020-01-12,DK,Denmark,EURO,0.0,0,0.0,0
2020-01-19,DK,Denmark,EURO,0.0,0,0.0,0
2020-01-26,DK,Denmark,EURO,0.0,0,0.0,0
2020-02-02,DK,Denmark,EURO,0.0,0,0.0,0
2020-02-09,DK,Denmark,EURO,0.0,0,0.0,0
2020-02-16,DK,Denmark,EURO,0.0,0,0.0,0
2020-02-23,DK,Denmark,EURO,0.0,0,0.0,0
2020-03-01,DK,Denmark,EURO,3.0,3,0.0,0
2020-03-08,DK,Denmark,EURO,20.0,23,0.0,0
2020-03-15,DK,Denmark,EURO,804.0,827,2.0,2
2020-03-22,DK,Denmark,EURO,499.0,1326,19.0,21
2020-03-29,DK,Denmark,EURO,875.0,2201,44.0,65
2020-04-05,DK,Denmark,EURO,1876.0,4077,96.0,161
2020-04-12,DK,Denmark,EURO,1919.0,5996,99.0,260
2020-04-19,DK,Denmark,EURO,1246.0,7242,86.0,346
2020-04-26,DK,Denmark,EURO,1203.0,8445,72.0,418
2020-05-03,DK,Denmark,EURO,962.0,9407,57.0,475
2020-05-10,DK,Denmark,EURO,912.0,10319,51.0,526
2020-05-17,DK,Denmark,EURO,539.0,10858,23.0,549
2020-05-24,DK,Denmark,EURO,431.0,11289,18.0,567
2020-05-31,DK,Denmark,EURO,344.0,11633,10.0,577
2020-06-07,DK,Denmark,EURO,291.0,11924,16.0,593
2020-06-14,DK,Denmark,EURO,215.0,12139,10.0,603
2020-06-21,DK,Denmark,EURO,297.0,12436,3.0,606
2020-06-28,DK,Denmark,EURO,264.0,12700,4.0,610
2020-07-05,DK,Denmark,EURO,147.0,12847,2.0,612
2020-07-12,DK,Denmark,EURO,129.0,12976,3.0,615
2020-07-19,DK,Denmark,EURO,226.0,13202,2.0,617
2020-07-26,DK,Denmark,EURO,272.0,13474,2.0,619
2020-08-02,DK,Denmark,EURO,384.0,13858,2.0,621
2020-08-09,DK,Denmark,EURO,708.0,14566,2.0,623
2020-08-16,DK,Denmark,EURO,933.0,15499,4.0,627
2020-08-23,DK,Denmark,EURO,718.0,16217,0.0,627
2020-08-30,DK,Denmark,EURO,562.0,16779,3.0,630
2020-09-06,DK,Denmark,EURO,957.0,17736,3.0,633
2020-09-13,DK,Denmark,EURO,1821.0,19557,3.0,636
2020-09-20,DK,Denmark,EURO,2879.0,22436,5.0,641
2020-09-27,DK,Denmark,EURO,3777.0,26213,13.0,654
2020-10-04,DK,Denmark,EURO,3089.0,29302,6.0,660
2020-10-11,DK,Denmark,EURO,2780.0,32082,13.0,673
2020-10-18,DK,Denmark,EURO,2859.0,34941,12.0,685
2020-10-25,DK,Denmark,EURO,4470.0,39411,21.0,706
2020-11-01,DK,Denmark,EURO,6940.0,46351,21.0,727
2020-11-08,DK,Denmark,EURO,7879.0,54230,19.0,746
2020-11-15,DK,Denmark,EURO,6848.0,61078,17.0,763
2020-11-22,DK,Denmark,EURO,8557.0,69635,24.0,787
2020-11-29,DK,Denmark,EURO,8719.0,78354,42.0,829
2020-12-06,DK,Denmark,EURO,10504.0,88858,55.0,884
2020-12-13,DK,Denmark,EURO,18258.0,107116,57.0,941
2020-12-20,DK,Denmark,EURO,24490.0,131606,84.0,1025
2020-12-27,DK,Denmark,EURO,19561.0,151167,134.0,1159
2021-01-03,DK,Denmark,EURO,16374.0,167541,186.0,1345
2021-01-10,DK,Denmark,EURO,12699.0,180240,197.0,1542
2021-01-17,DK,Denmark,EURO,7959.0,188199,205.0,1747
2021-01-24,DK,Denmark,EURO,5718.0,193917,222.0,1969
2021-01-31,DK,Denmark,EURO,4178.0,198095,137.0,2106
2021-02-07,DK,Denmark,EURO,3091.0,201186,109.0,2215
2021-02-14,DK,Denmark,EURO,2881.0,204067,69.0,2284
2021-02-21,DK,Denmark,EURO,3014.0,207081,49.0,2333
2021-02-28,DK,Denmark,EURO,3651.0,210732,25.0,2358
2021-03-07,DK,Denmark,EURO,3594.0,214326,19.0,2377
2021-03-14,DK,Denmark,EURO,5592.0,219918,13.0,2390
2021-03-21,DK,Denmark,EURO,4930.0,224848,9.0,2399
2021-03-28,DK,Denmark,EURO,4701.0,229549,14.0,2413
2021-04-04,DK,Denmark,EURO,5669.0,235218,15.0,2428
2021-04-11,DK,Denmark,EURO,4383.0,239601,11.0,2439
2021-04-18,DK,Denmark,EURO,4630.0,244231,13.0,2452
2021-04-25,DK,Denmark,EURO,5279.0,249510,22.0,2474
2021-05-02,DK,Denmark,EURO,5035.0,254545,15.0,2489
2021-05-09,DK,Denmark,EURO,6137.0,260682,8.0,2497
2021-05-16,DK,Denmark,EURO,7357.0,268039,5.0,2502
2021-05-23,DK,Denmark,EURO,7120.0,275159,5.0,2507
2021-05-30,DK,Denmark,EURO,6775.0,281934,9.0,2516
2021-06-06,DK,Denmark,EURO,6202.0,288136,2.0,2518
2021-06-13,DK,Denmark,EURO,3923.0,292059,7.0,2525
2021-06-20,DK,Denmark,EURO,1904.0,293963,5.0,2530
2021-06-27,DK,Denmark,EURO,1306.0,295269,1.0,2531
2021-07-04,DK,Denmark,EURO,2156.0,297425,6.0,2537
2021-07-11,DK,Denmark,EURO,3689.0,301114,2.0,2539
2021-07-18,DK,Denmark,EURO,6845.0,307959,3.0,2542
2021-07-25,DK,Denmark,EURO,5417.0,313376,0.0,2542
2021-08-01,DK,Denmark,EURO,5931.0,319307,7.0,2549
2021-08-08,DK,Denmark,EURO,6158.0,325465,3.0,2552
2021-08-15,DK,Denmark,EURO,6962.0,332427,7.0,2559
2021-08-22,DK,Denmark,EURO,6819.0,339246,5.0,2564
2021-08-29,DK,Denmark,EURO,6605.0,345851,13.0,2577
2021-09-05,DK,Denmark,EURO,4996.0,350847,13.0,2590
2021-09-12,DK,Denmark,EURO,3592.0,354439,21.0,2611
2021-09-19,DK,Denmark,EURO,2454.0,356893,14.0,2625
2021-09-26,DK,Denmark,EURO,2291.0,359184,15.0,2640
2021-10-03,DK,Denmark,EURO,2979.0,362163,23.0,2663
2021-10-10,DK,Denmark,EURO,3693.0,365856,6.0,2669
2021-10-17,DK,Denmark,EURO,4704.0,370560,11.0,2680
2021-10-24,DK,Denmark,EURO,7005.0,377565,17.0,2697
2021-10-31,DK,Denmark,EURO,11186.0,388751,16.0,2713
2021-11-07,DK,Denmark,EURO,13894.0,402645,22.0,2735
2021-11-14,DK,Denmark,EURO,19954.0,422599,25.0,2760
2021-11-21,DK,Denmark,EURO,26577.0,449176,47.0,2807
2021-11-28,DK,Denmark,EURO,27961.0,477137,56.0,2863
2021-12-05,DK,Denmark,EURO,31448.0,508585,76.0,2939
2021-12-12,DK,Denmark,EURO,42315.0,550900,66.0,3005
2021-12-19,DK,Denmark,EURO,67015.0,617915,62.0,3067
2021-12-26,DK,Denmark,EURO,79648.0,697563,130.0,3197
2022-01-02,DK,Denmark,EURO,125719.0,823282,75.0,3272
