Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-01-12,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-01-19,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-01-26,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-02-02,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-02-09,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-02-16,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-02-23,DZ,Algeria,AFRO,0.0,0,0.0,0
2020-03-01,DZ,Algeria,AFRO,1.0,1,0.0,0
2020-03-08,DZ,Algeria,AFRO,18.0,19,0.0,0
2020-03-15,DZ,Algeria,AFRO,18.0,37,0.0,0
2020-03-22,DZ,Algeria,AFRO,102.0,139,0.0,0
2020-03-29,DZ,Algeria,AFRO,315.0,454,30.0,30
2020-04-05,DZ,Algeria,AFRO,797.0,1251,100.0,130
2020-04-12,DZ,Algeria,AFRO,574.0,1825,146.0,276
2020-04-19,DZ,Algeria,AFRO,709.0,2534,92.0,368
2020-04-26,DZ,Algeria,AFRO,722.0,3256,48.0,416
2020-05-03,DZ,Algeria,AFRO,1039.0,4295,40.0,456
2020-05-10,DZ,Algeria,AFRO,1263.0,5558,35.0,491
2020-05-17,DZ,Algeria,AFRO,1263.0,6821,48.0,539
2020-05-24,DZ,Algeria,AFRO,1292.0,8113,50.0,589
2020-05-31,DZ,Algeria,AFRO,1154.0,9267,54.0,643
2020-06-07,DZ,Algeria,AFRO,783.0,10050,52.0,695
2020-06-14,DZ,Algeria,AFRO,760.0,10810,53.0,748
2020-06-21,DZ,Algeria,AFRO,821.0,11631,77.0,825
2020-06-28,DZ,Algeria,AFRO,1337.0,12968,55.0,880
2020-07-05,DZ,Algeria,AFRO,2532.0,15500,54.0,934
2020-07-12,DZ,Algeria,AFRO,3212.0,18712,58.0,992
2020-07-19,DZ,Algeria,AFRO,3837.0,22549,64.0,1056
2020-07-26,DZ,Algeria,AFRO,4215.0,26764,78.0,1134
2020-08-02,DZ,Algeria,AFRO,4186.0,30950,77.0,1211
2020-08-09,DZ,Algeria,AFRO,3743.0,34693,70.0,1281
2020-08-16,DZ,Algeria,AFRO,3440.0,38133,67.0,1348
2020-08-23,DZ,Algeria,AFRO,2935.0,41068,64.0,1412
2020-08-30,DZ,Algeria,AFRO,2714.0,43782,77.0,1489
2020-09-06,DZ,Algeria,AFRO,2289.0,46071,58.0,1547
2020-09-13,DZ,Algeria,AFRO,1936.0,48007,56.0,1603
2020-09-20,DZ,Algeria,AFRO,1616.0,49623,60.0,1663
2020-09-27,DZ,Algeria,AFRO,1291.0,50914,46.0,1709
2020-10-04,DZ,Algeria,AFRO,1081.0,51995,47.0,1756
2020-10-11,DZ,Algeria,AFRO,945.0,52940,39.0,1795
2020-10-18,DZ,Algeria,AFRO,1263.0,54203,51.0,1846
2020-10-25,DZ,Algeria,AFRO,1427.0,55630,51.0,1897
2020-11-01,DZ,Algeria,AFRO,2312.0,57942,67.0,1964
2020-11-08,DZ,Algeria,AFRO,3439.0,61381,72.0,2036
2020-11-15,DZ,Algeria,AFRO,5438.0,66819,103.0,2139
2020-11-22,DZ,Algeria,AFRO,6955.0,73774,119.0,2258
2020-11-29,DZ,Algeria,AFRO,7438.0,81212,135.0,2393
2020-12-06,DZ,Algeria,AFRO,6290.0,87502,108.0,2501
2020-12-13,DZ,Algeria,AFRO,4136.0,91638,83.0,2584
2020-12-20,DZ,Algeria,AFRO,3143.0,94781,75.0,2659
2020-12-27,DZ,Algeria,AFRO,3076.0,97857,63.0,2722
2021-01-03,DZ,Algeria,AFRO,2302.0,100159,47.0,2769
2021-01-10,DZ,Algeria,AFRO,1754.0,101913,34.0,2803
2021-01-17,DZ,Algeria,AFRO,1698.0,103611,28.0,2831
2021-01-24,DZ,Algeria,AFRO,1758.0,105369,30.0,2861
2021-01-31,DZ,Algeria,AFRO,1753.0,107122,27.0,2888
2021-02-07,DZ,Algeria,AFRO,1730.0,108852,23.0,2911
2021-02-14,DZ,Algeria,AFRO,1661.0,110513,24.0,2935
2021-02-21,DZ,Algeria,AFRO,1251.0,111764,23.0,2958
2021-02-28,DZ,Algeria,AFRO,1196.0,112960,21.0,2979
2021-03-07,DZ,Algeria,AFRO,1144.0,114104,31.0,3010
2021-03-14,DZ,Algeria,AFRO,1039.0,115143,24.0,3034
2021-03-21,DZ,Algeria,AFRO,923.0,116066,21.0,3055
2021-03-28,DZ,Algeria,AFRO,684.0,116750,22.0,3077
2021-04-04,DZ,Algeria,AFRO,774.0,117524,25.0,3102
2021-04-11,DZ,Algeria,AFRO,854.0,118378,24.0,3126
2021-04-18,DZ,Algeria,AFRO,1108.0,119486,26.0,3152
2021-04-25,DZ,Algeria,AFRO,1250.0,120736,46.0,3198
2021-05-02,DZ,Algeria,AFRO,1575.0,122311,63.0,3261
2021-05-09,DZ,Algeria,AFRO,1589.0,123900,60.0,3321
2021-05-16,DZ,Algeria,AFRO,1294.0,125194,45.0,3366
2021-05-23,DZ,Algeria,AFRO,1457.0,126651,45.0,3411
2021-05-30,DZ,Algeria,AFRO,1805.0,128456,49.0,3460
2021-06-06,DZ,Algeria,AFRO,2225.0,130681,50.0,3510
2021-06-13,DZ,Algeria,AFRO,2389.0,133070,55.0,3565
2021-06-20,DZ,Algeria,AFRO,2516.0,135586,59.0,3624
2021-06-27,DZ,Algeria,AFRO,2527.0,138113,61.0,3685
2021-07-04,DZ,Algeria,AFRO,2894.0,141007,60.0,3745
2021-07-11,DZ,Algeria,AFRO,4289.0,145296,79.0,3824
2021-07-18,DZ,Algeria,AFRO,6914.0,152210,98.0,3922
2021-07-25,DZ,Algeria,AFRO,8658.0,160868,120.0,4042
2021-08-01,DZ,Algeria,AFRO,10524.0,171392,212.0,4254
2021-08-08,DZ,Algeria,AFRO,8964.0,180356,266.0,4520
2021-08-15,DZ,Algeria,AFRO,6299.0,186655,246.0,4766
2021-08-22,DZ,Algeria,AFRO,4516.0,191171,218.0,4984
2021-08-29,DZ,Algeria,AFRO,3500.0,194671,195.0,5179
2021-09-05,DZ,Algeria,AFRO,2988.0,197659,220.0,5399
2021-09-12,DZ,Algeria,AFRO,2163.0,199822,159.0,5558
2021-09-19,DZ,Algeria,AFRO,1402.0,201224,112.0,5670
2021-09-26,DZ,Algeria,AFRO,1350.0,202574,97.0,5767
2021-10-03,DZ,Algeria,AFRO,1083.0,203657,52.0,5819
