Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-01-12,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-01-19,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-01-26,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-02-02,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-02-09,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-02-16,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-02-23,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-03-01,EC,Ecuador,AMRO,0.0,0,0.0,0
2020-03-08,EC,Ecuador,AMRO,13.0,13,0.0,0
2020-03-15,EC,Ecuador,AMRO,10.0,23,0.0,0
2020-03-22,EC,Ecuador,AMRO,483.0,506,7.0,7
2020-03-29,EC,Ecuador,AMRO,1317.0,1823,41.0,48
2020-04-05,EC,Ecuador,AMRO,1642.0,3465,124.0,172
2020-04-12,EC,Ecuador,AMRO,3792.0,7257,143.0,315
2020-04-19,EC,Ecuador,AMRO,1765.0,9022,141.0,456
2020-04-26,EC,Ecuador,AMRO,13697.0,22719,120.0,576
2020-05-03,EC,Ecuador,AMRO,4745.0,27464,795.0,1371
2020-05-10,EC,Ecuador,AMRO,1607.0,29071,346.0,1717
2020-05-17,EC,Ecuador,AMRO,2396.0,31467,877.0,2594
2020-05-24,EC,Ecuador,AMRO,4791.0,36258,502.0,3096
2020-05-31,EC,Ecuador,AMRO,2585.0,38843,250.0,3346
2020-06-07,EC,Ecuador,AMRO,3885.0,42728,262.0,3608
2020-06-14,EC,Ecuador,AMRO,3628.0,46356,266.0,3874
2020-06-21,EC,Ecuador,AMRO,3827.0,50183,325.0,4199
2020-06-28,EC,Ecuador,AMRO,4391.0,54574,225.0,4424
2020-07-05,EC,Ecuador,AMRO,6961.0,61535,345.0,4769
2020-07-12,EC,Ecuador,AMRO,5674.0,67209,262.0,5031
2020-07-19,EC,Ecuador,AMRO,6173.0,73382,251.0,5282
2020-07-26,EC,Ecuador,AMRO,6654.0,80036,225.0,5507
2020-08-02,EC,Ecuador,AMRO,6196.0,86232,229.0,5736
2020-08-09,EC,Ecuador,AMRO,7340.0,93572,180.0,5916
2020-08-16,EC,Ecuador,AMRO,7116.0,100688,149.0,6065
2020-08-23,EC,Ecuador,AMRO,6401.0,107089,212.0,6277
2020-08-30,EC,Ecuador,AMRO,5817.0,112906,260.0,6537
2020-09-06,EC,Ecuador,AMRO,5139.0,118045,187.0,6724
2020-09-13,EC,Ecuador,AMRO,-1594.0,116451,4140.0,10864
2020-09-20,EC,Ecuador,AMRO,9169.0,125620,225.0,11089
2020-09-27,EC,Ecuador,AMRO,8361.0,133981,184.0,11273
2020-10-04,EC,Ecuador,AMRO,6370.0,140351,324.0,11597
2020-10-11,EC,Ecuador,AMRO,6477.0,146828,591.0,12188
2020-10-18,EC,Ecuador,AMRO,5594.0,152422,187.0,12375
2020-10-25,EC,Ecuador,AMRO,7192.0,159614,167.0,12542
2020-11-01,EC,Ecuador,AMRO,8578.0,168192,128.0,12670
2020-11-08,EC,Ecuador,AMRO,5294.0,173486,145.0,12815
2020-11-15,EC,Ecuador,AMRO,6141.0,179627,182.0,12997
2020-11-22,EC,Ecuador,AMRO,5249.0,184876,142.0,13139
2020-11-29,EC,Ecuador,AMRO,6033.0,190909,232.0,13371
2020-12-06,EC,Ecuador,AMRO,6482.0,197391,385.0,13756
2020-12-13,EC,Ecuador,AMRO,4133.0,201524,118.0,13874
2020-12-20,EC,Ecuador,AMRO,4396.0,205920,74.0,13948
2020-12-27,EC,Ecuador,AMRO,3354.0,209274,42.0,13990
2021-01-03,EC,Ecuador,AMRO,5239.0,214513,69.0,14059
2021-01-10,EC,Ecuador,AMRO,5836.0,220349,118.0,14177
2021-01-17,EC,Ecuador,AMRO,10459.0,230808,139.0,14316
2021-01-24,EC,Ecuador,AMRO,7424.0,238232,280.0,14596
2021-01-31,EC,Ecuador,AMRO,11547.0,249779,255.0,14851
2021-02-07,EC,Ecuador,AMRO,7336.0,257115,153.0,15004
2021-02-14,EC,Ecuador,AMRO,8412.0,265527,265.0,15269
2021-02-21,EC,Ecuador,AMRO,7570.0,273097,244.0,15513
2021-02-28,EC,Ecuador,AMRO,9502.0,282599,200.0,15713
2021-03-07,EC,Ecuador,AMRO,10344.0,292943,307.0,16020
2021-03-14,EC,Ecuador,AMRO,7723.0,300666,195.0,16215
2021-03-21,EC,Ecuador,AMRO,10202.0,310868,220.0,16435
2021-03-28,EC,Ecuador,AMRO,11831.0,322699,244.0,16679
2021-04-04,EC,Ecuador,AMRO,10476.0,333175,250.0,16929
2021-04-11,EC,Ecuador,AMRO,11702.0,344877,346.0,17275
2021-04-18,EC,Ecuador,AMRO,13280.0,358157,366.0,17641
2021-04-25,EC,Ecuador,AMRO,14597.0,372754,517.0,18158
2021-05-02,EC,Ecuador,AMRO,11835.0,384589,566.0,18724
2021-05-09,EC,Ecuador,AMRO,14332.0,398921,413.0,19137
2021-05-16,EC,Ecuador,AMRO,10599.0,409520,555.0,19692
2021-05-23,EC,Ecuador,AMRO,8320.0,417840,488.0,20180
2021-05-30,EC,Ecuador,AMRO,6901.0,424741,305.0,20485
2021-06-06,EC,Ecuador,AMRO,6688.0,431429,288.0,20773
2021-06-13,EC,Ecuador,AMRO,6679.0,438108,245.0,21018
2021-06-20,EC,Ecuador,AMRO,7478.0,445586,266.0,21284
2021-06-27,EC,Ecuador,AMRO,7776.0,453362,201.0,21485
2021-07-04,EC,Ecuador,AMRO,8780.0,462142,175.0,21660
2021-07-11,EC,Ecuador,AMRO,5834.0,467976,154.0,21814
2021-07-18,EC,Ecuador,AMRO,7239.0,475215,119.0,21933
2021-07-25,EC,Ecuador,AMRO,5505.0,480720,8864.0,30797
2021-08-01,EC,Ecuador,AMRO,6652.0,487372,834.0,31631
2021-08-08,EC,Ecuador,AMRO,4459.0,491831,157.0,31788
2021-08-15,EC,Ecuador,AMRO,2988.0,494819,166.0,31954
2021-08-22,EC,Ecuador,AMRO,3795.0,498614,131.0,32085
2021-08-29,EC,Ecuador,AMRO,2435.0,501049,138.0,32223
2021-09-05,EC,Ecuador,AMRO,2465.0,503514,111.0,32334
2021-09-12,EC,Ecuador,AMRO,1561.0,505075,31.0,32365
2021-09-19,EC,Ecuador,AMRO,1464.0,506539,269.0,32634
2021-09-26,EC,Ecuador,AMRO,1533.0,508072,98.0,32732
2021-10-03,EC,Ecuador,AMRO,2547.0,510619,59.0,32791
2021-10-10,EC,Ecuador,AMRO,1279.0,511898,56.0,32847
2021-10-17,EC,Ecuador,AMRO,1404.0,513302,79.0,32926
2021-10-24,EC,Ecuador,AMRO,2009.0,515311,22.0,32948
2021-10-31,EC,Ecuador,AMRO,1620.0,516931,30.0,32978
2021-11-07,EC,Ecuador,AMRO,2044.0,518975,10.0,32988
2021-11-14,EC,Ecuador,AMRO,2304.0,521279,82.0,33070
2021-11-21,EC,Ecuador,AMRO,2568.0,523847,51.0,33121
2021-11-28,EC,Ecuador,AMRO,2290.0,526137,64.0,33185
2021-12-05,EC,Ecuador,AMRO,2453.0,528590,262.0,33447
2021-12-12,EC,Ecuador,AMRO,3840.0,532430,101.0,33548
2021-12-19,EC,Ecuador,AMRO,3699.0,536129,45.0,33593
2021-12-26,EC,Ecuador,AMRO,5239.0,541368,54.0,33647
2022-01-02,EC,Ecuador,AMRO,8050.0,549418,34.0,33681
2022-01-09,EC,Ecuador,AMRO,11867.0,561285,21.0,33702
2022-01-16,EC,Ecuador,AMRO,41657.0,602942,504.0,34206
2022-01-23,EC,Ecuador,AMRO,61722.0,664664,81.0,34287
2022-01-30,EC,Ecuador,AMRO,52421.0,717085,202.0,34489
2022-02-06,EC,Ecuador,AMRO,44236.0,761321,227.0,34716
2022-02-13,EC,Ecuador,AMRO,32499.0,793820,290.0,35006
2022-02-20,EC,Ecuador,AMRO,21752.0,815572,137.0,35143
2022-02-27,EC,Ecuador,AMRO,14240.0,829812,93.0,35236
2022-03-06,EC,Ecuador,AMRO,8708.0,838520,72.0,35308
2022-03-13,EC,Ecuador,AMRO,9950.0,848470,32.0,35340
2022-03-20,EC,Ecuador,AMRO,4941.0,853411,53.0,35393
2022-03-27,EC,Ecuador,AMRO,3888.0,857299,25.0,35418
2022-04-03,EC,Ecuador,AMRO,4454.0,861753,26.0,35444
2022-04-10,EC,Ecuador,AMRO,2324.0,864077,23.0,35467
2022-04-17,EC,Ecuador,AMRO,2643.0,866720,60.0,35527
2022-04-24,EC,Ecuador,AMRO,1333.0,868053,54.0,35581
2022-05-01,EC,Ecuador,AMRO,1396.0,869449,13.0,35594
2022-05-08,EC,Ecuador,AMRO,1340.0,870789,5.0,35599
2022-05-15,EC,Ecuador,AMRO,1210.0,871999,7.0,35606
2022-05-22,EC,Ecuador,AMRO,1610.0,873609,7.0,35613
2022-05-29,EC,Ecuador,AMRO,2400.0,876009,9.0,35622
2022-06-05,EC,Ecuador,AMRO,7215.0,883224,27.0,35649
2022-06-12,EC,Ecuador,AMRO,5224.0,888448,7.0,35656
2022-06-19,EC,Ecuador,AMRO,6610.0,895058,28.0,35684
2022-06-26,EC,Ecuador,AMRO,8004.0,903062,26.0,35710
2022-07-03,EC,Ecuador,AMRO,8120.0,911182,31.0,35741
2022-07-10,EC,Ecuador,AMRO,7297.0,918479,8.0,35749
2022-07-17,EC,Ecuador,AMRO,11636.0,930115,20.0,35769
