Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,EG,Egypt,EMRO,0.0,0,0.0,0
2020-01-12,EG,Egypt,EMRO,0.0,0,0.0,0
2020-01-19,EG,Egypt,EMRO,0.0,0,0.0,0
2020-01-26,EG,Egypt,EMRO,0.0,0,0.0,0
2020-02-02,EG,Egypt,EMRO,0.0,0,0.0,0
2020-02-09,EG,Egypt,EMRO,0.0,0,0.0,0
2020-02-16,EG,Egypt,EMRO,1.0,1,0.0,0
2020-02-23,EG,Egypt,EMRO,0.0,1,0.0,0
2020-03-01,EG,Egypt,EMRO,0.0,1,0.0,0
2020-03-08,EG,Egypt,EMRO,47.0,48,0.0,0
2020-03-15,EG,Egypt,EMRO,62.0,110,2.0,2
2020-03-22,EG,Egypt,EMRO,184.0,294,8.0,10
2020-03-29,EG,Egypt,EMRO,282.0,576,26.0,36
2020-04-05,EG,Egypt,EMRO,494.0,1070,35.0,71
2020-04-12,EG,Egypt,EMRO,869.0,1939,75.0,146
2020-04-19,EG,Egypt,EMRO,1093.0,3032,78.0,224
2020-04-26,EG,Egypt,EMRO,1287.0,4319,83.0,307
2020-05-03,EG,Egypt,EMRO,1874.0,6193,108.0,415
2020-05-10,EG,Egypt,EMRO,2771.0,8964,99.0,514
2020-05-17,EG,Egypt,EMRO,2755.0,11719,98.0,612
2020-05-24,EG,Egypt,EMRO,4794.0,16513,123.0,735
2020-05-31,EG,Egypt,EMRO,6936.0,23449,178.0,913
2020-06-07,EG,Egypt,EMRO,9163.0,32612,285.0,1198
2020-06-14,EG,Egypt,EMRO,10368.0,42980,286.0,1484
2020-06-21,EG,Egypt,EMRO,10778.0,53758,622.0,2106
2020-06-28,EG,Egypt,EMRO,10165.0,63923,602.0,2708
2020-07-05,EG,Egypt,EMRO,10112.0,74035,572.0,3280
2020-07-12,EG,Egypt,EMRO,7123.0,81158,489.0,3769
2020-07-19,EG,Egypt,EMRO,6014.0,87172,482.0,4251
2020-07-26,EG,Egypt,EMRO,4411.0,91583,307.0,4558
2020-08-02,EG,Egypt,EMRO,2733.0,94316,276.0,4834
2020-08-09,EG,Egypt,EMRO,998.0,95314,158.0,4992
2020-08-16,EG,Egypt,EMRO,1022.0,96336,149.0,5141
2020-08-23,EG,Egypt,EMRO,901.0,97237,102.0,5243
2020-08-30,EG,Egypt,EMRO,1260.0,98497,133.0,5376
2020-09-06,EG,Egypt,EMRO,1215.0,99712,135.0,5511
2020-09-13,EG,Egypt,EMRO,1144.0,100856,116.0,5627
2020-09-20,EG,Egypt,EMRO,1044.0,101900,123.0,5750
2020-09-27,EG,Egypt,EMRO,836.0,102736,119.0,5869
2020-10-04,EG,Egypt,EMRO,839.0,103575,101.0,5970
2020-10-11,EG,Egypt,EMRO,812.0,104387,70.0,6040
2020-10-18,EG,Egypt,EMRO,910.0,105297,69.0,6109
2020-10-25,EG,Egypt,EMRO,1100.0,106397,78.0,6187
2020-11-01,EG,Egypt,EMRO,1158.0,107555,79.0,6266
2020-11-08,EG,Egypt,EMRO,1407.0,108962,89.0,6355
2020-11-15,EG,Egypt,EMRO,1585.0,110547,87.0,6442
2020-11-22,EG,Egypt,EMRO,2129.0,112676,93.0,6535
2020-11-29,EG,Egypt,EMRO,2507.0,115183,86.0,6621
2020-12-06,EG,Egypt,EMRO,2831.0,118014,129.0,6750
2020-12-13,EG,Egypt,EMRO,3075.0,121089,148.0,6898
2020-12-20,EG,Egypt,EMRO,3802.0,124891,171.0,7069
2020-12-27,EG,Egypt,EMRO,6424.0,131315,283.0,7352
2021-01-03,EG,Egypt,EMRO,9563.0,140878,389.0,7741
2021-01-10,EG,Egypt,EMRO,7921.0,148799,401.0,8142
2021-01-17,EG,Egypt,EMRO,6708.0,155507,385.0,8527
2021-01-24,EG,Egypt,EMRO,5636.0,161143,375.0,8902
2021-01-31,EG,Egypt,EMRO,4275.0,165418,361.0,9263
2021-02-07,EG,Egypt,EMRO,3688.0,169106,341.0,9604
2021-02-14,EG,Egypt,EMRO,4096.0,173202,331.0,9935
2021-02-21,EG,Egypt,EMRO,4341.0,177543,363.0,10298
2021-02-28,EG,Egypt,EMRO,4286.0,181829,341.0,10639
2021-03-07,EG,Egypt,EMRO,4093.0,185922,315.0,10954
2021-03-14,EG,Egypt,EMRO,4358.0,190280,302.0,11256
2021-03-21,EG,Egypt,EMRO,4491.0,194771,301.0,11557
2021-03-28,EG,Egypt,EMRO,4593.0,199364,288.0,11845
2021-04-04,EG,Egypt,EMRO,4892.0,204256,278.0,12123
2021-04-11,EG,Egypt,EMRO,5421.0,209677,282.0,12405
2021-04-18,EG,Egypt,EMRO,5807.0,215484,289.0,12694
2021-04-25,EG,Egypt,EMRO,6086.0,221570,304.0,12998
2021-05-02,EG,Egypt,EMRO,7014.0,228584,404.0,13402
2021-05-09,EG,Egypt,EMRO,7688.0,236272,443.0,13845
2021-05-16,EG,Egypt,EMRO,8248.0,244520,424.0,14269
2021-05-23,EG,Egypt,EMRO,8170.0,252690,401.0,14670
2021-05-30,EG,Egypt,EMRO,7969.0,260659,331.0,15001
2021-06-06,EG,Egypt,EMRO,6512.0,267171,308.0,15309
2021-06-13,EG,Egypt,EMRO,5320.0,272491,273.0,15582
2021-06-20,EG,Egypt,EMRO,4265.0,276756,247.0,15829
2021-06-27,EG,Egypt,EMRO,3249.0,280005,233.0,16062
2021-07-04,EG,Egypt,EMRO,1898.0,281903,180.0,16242
2021-07-11,EG,Egypt,EMRO,1082.0,282985,141.0,16383
2021-07-18,EG,Egypt,EMRO,651.0,283636,56.0,16439
2021-07-25,EG,Egypt,EMRO,349.0,283985,42.0,16481
2021-08-01,EG,Egypt,EMRO,277.0,284262,43.0,16524
2021-08-08,EG,Egypt,EMRO,379.0,284641,42.0,16566
2021-08-15,EG,Egypt,EMRO,616.0,285257,49.0,16615
2021-08-22,EG,Egypt,EMRO,911.0,286168,48.0,16663
2021-08-29,EG,Egypt,EMRO,1476.0,287644,51.0,16714
2021-09-05,EG,Egypt,EMRO,2040.0,289684,62.0,16776
2021-09-12,EG,Egypt,EMRO,2792.0,292476,84.0,16860
2021-09-19,EG,Egypt,EMRO,3800.0,296276,91.0,16951
2021-09-26,EG,Egypt,EMRO,4669.0,300945,198.0,17149
2021-10-03,EG,Egypt,EMRO,5085.0,306030,250.0,17399
2021-10-10,EG,Egypt,EMRO,5546.0,311576,259.0,17658
2021-10-17,EG,Egypt,EMRO,6009.0,317585,268.0,17926
2021-10-24,EG,Egypt,EMRO,6148.0,323733,316.0,18242
2021-10-31,EG,Egypt,EMRO,6351.0,330084,350.0,18592
2021-11-07,EG,Egypt,EMRO,6498.0,336582,419.0,19011
2021-11-14,EG,Egypt,EMRO,6444.0,343026,424.0,19435
2021-11-21,EG,Egypt,EMRO,6487.0,349513,437.0,19872
2021-11-28,EG,Egypt,EMRO,6254.0,355767,433.0,20305
2021-12-05,EG,Egypt,EMRO,6493.0,362260,377.0,20682
2021-12-12,EG,Egypt,EMRO,6075.0,368335,333.0,21015
2021-12-19,EG,Egypt,EMRO,6076.0,374411,300.0,21315
2021-12-26,EG,Egypt,EMRO,6109.0,380520,256.0,21571
2022-01-02,EG,Egypt,EMRO,5838.0,386358,197.0,21768
2022-01-09,EG,Egypt,EMRO,5587.0,391945,170.0,21938
2022-01-16,EG,Egypt,EMRO,6934.0,398879,185.0,22123
2022-01-23,EG,Egypt,EMRO,9616.0,408495,207.0,22330
2022-01-30,EG,Egypt,EMRO,12983.0,421478,236.0,22566
2022-02-06,EG,Egypt,EMRO,15872.0,437350,311.0,22877
2022-02-13,EG,Egypt,EMRO,15471.0,452821,415.0,23292
2022-02-20,EG,Egypt,EMRO,14627.0,467448,402.0,23694
2022-02-27,EG,Egypt,EMRO,13279.0,480727,298.0,23992
2022-03-06,EG,Egypt,EMRO,9149.0,489876,180.0,24172
2022-03-13,EG,Egypt,EMRO,5497.0,495373,105.0,24277
2022-03-20,EG,Egypt,EMRO,5516.0,500889,84.0,24361
2022-03-27,EG,Egypt,EMRO,4375.0,505264,56.0,24417
2022-04-03,EG,Egypt,EMRO,3913.0,509177,56.0,24473
2022-04-10,EG,Egypt,EMRO,2800.0,511977,49.0,24522
2022-04-17,EG,Egypt,EMRO,868.0,512845,42.0,24564
2022-04-24,EG,Egypt,EMRO,623.0,513468,42.0,24606
2022-05-01,EG,Egypt,EMRO,322.0,513790,35.0,24641
2022-05-08,EG,Egypt,EMRO,56.0,513846,28.0,24669
2022-05-15,EG,Egypt,EMRO,35.0,513881,21.0,24690
2022-05-22,EG,Egypt,EMRO,35.0,513916,14.0,24704
2022-05-29,EG,Egypt,EMRO,28.0,513944,14.0,24718
2022-06-05,EG,Egypt,EMRO,31.0,513975,1.0,24719
2022-06-12,EG,Egypt,EMRO,33.0,514008,1.0,24720
2022-06-19,EG,Egypt,EMRO,39.0,514047,2.0,24722
2022-06-26,EG,Egypt,EMRO,41.0,514088,1.0,24723
2022-07-03,EG,Egypt,EMRO,45.0,514133,1.0,24724
2022-07-10,EG,Egypt,EMRO,49.0,514182,1.0,24725
