Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,ES,Spain,EURO,0.0,0,0.0,0
2020-01-12,ES,Spain,EURO,0.0,0,0.0,0
2020-01-19,ES,Spain,EURO,2.0,2,0.0,0
2020-01-26,ES,Spain,EURO,1.0,3,0.0,0
2020-02-02,ES,Spain,EURO,2.0,5,0.0,0
2020-02-09,ES,Spain,EURO,2.0,7,0.0,0
2020-02-16,ES,Spain,EURO,4.0,11,1.0,1
2020-02-23,ES,Spain,EURO,8.0,19,0.0,1
2020-03-01,ES,Spain,EURO,129.0,148,0.0,1
2020-03-08,ES,Spain,EURO,1423.0,1571,24.0,25
2020-03-15,ES,Spain,EURO,11603.0,13174,457.0,482
2020-03-22,ES,Spain,EURO,36346.0,49520,2432.0,2914
2020-03-29,ES,Spain,EURO,59344.0,108864,5663.0,8577
2020-04-05,ES,Spain,EURO,44403.0,153267,5841.0,14418
2020-04-12,ES,Spain,EURO,30585.0,183852,4766.0,19184
2020-04-19,ES,Spain,EURO,21250.0,205102,3576.0,22760
2020-04-26,ES,Spain,EURO,14574.0,219676,2386.0,25146
2020-05-03,ES,Spain,EURO,8099.0,227775,1551.0,26697
2020-05-10,ES,Spain,EURO,5624.0,233399,1069.0,27766
2020-05-17,ES,Spain,EURO,5398.0,238797,612.0,28378
2020-05-24,ES,Spain,EURO,4394.0,243191,452.0,28830
2020-05-31,ES,Spain,EURO,3818.0,247009,338.0,29168
2020-06-07,ES,Spain,EURO,3029.0,250038,240.0,29408
2020-06-14,ES,Spain,EURO,2360.0,252398,160.0,29568
2020-06-21,ES,Spain,EURO,2209.0,254607,113.0,29681
2020-06-28,ES,Spain,EURO,2353.0,256960,57.0,29738
2020-07-05,ES,Spain,EURO,2806.0,259766,48.0,29786
2020-07-12,ES,Spain,EURO,4866.0,264632,29.0,29815
2020-07-19,ES,Spain,EURO,10235.0,274867,21.0,29836
2020-07-26,ES,Spain,EURO,14507.0,289374,51.0,29887
2020-08-02,ES,Spain,EURO,20321.0,309695,90.0,29977
2020-08-09,ES,Spain,EURO,28301.0,337996,147.0,30124
2020-08-16,ES,Spain,EURO,40123.0,378119,204.0,30328
2020-08-23,ES,Spain,EURO,52062.0,430181,308.0,30636
2020-08-30,ES,Spain,EURO,61080.0,491261,394.0,31030
2020-09-06,ES,Spain,EURO,65500.0,556761,510.0,31540
2020-09-13,ES,Spain,EURO,74073.0,630834,680.0,32220
2020-09-20,ES,Spain,EURO,80808.0,711642,827.0,33047
2020-09-27,ES,Spain,EURO,72474.0,784116,880.0,33927
2020-10-04,ES,Spain,EURO,65133.0,849249,947.0,34874
2020-10-11,ES,Spain,EURO,77797.0,927046,944.0,35818
2020-10-18,ES,Spain,EURO,91151.0,1018197,1053.0,36871
2020-10-25,ES,Spain,EURO,135288.0,1153485,1387.0,38258
2020-11-01,ES,Spain,EURO,144877.0,1298362,1798.0,40056
2020-11-08,ES,Spain,EURO,133375.0,1431737,2304.0,42360
2020-11-15,ES,Spain,EURO,112091.0,1543828,2344.0,44704
2020-11-22,ES,Spain,EURO,81232.0,1625060,2183.0,46887
2020-11-29,ES,Spain,EURO,58537.0,1683597,1873.0,48760
2020-12-06,ES,Spain,EURO,50703.0,1734300,1526.0,50286
2020-12-13,ES,Spain,EURO,50685.0,1784985,1360.0,51646
2020-12-20,ES,Spain,EURO,68392.0,1853377,1146.0,52792
2020-12-27,ES,Spain,EURO,66172.0,1919549,1172.0,53964
2021-01-03,ES,Spain,EURO,98951.0,2018500,1287.0,55251
2021-01-10,ES,Spain,EURO,160591.0,2179091,1577.0,56828
2021-01-17,ES,Spain,EURO,234083.0,2413174,2325.0,59153
2021-01-24,ES,Spain,EURO,244667.0,2657841,3407.0,62560
2021-01-31,ES,Spain,EURO,202047.0,2859888,3819.0,66379
2021-02-07,ES,Spain,EURO,130543.0,2990431,3315.0,69694
2021-02-14,ES,Spain,EURO,75699.0,3066130,2459.0,72153
2021-02-21,ES,Spain,EURO,50400.0,3116530,1692.0,73845
2021-02-28,ES,Spain,EURO,38936.0,3155466,1315.0,75160
2021-03-07,ES,Spain,EURO,33692.0,3189158,927.0,76087
2021-03-14,ES,Spain,EURO,32524.0,3221682,717.0,76804
2021-03-21,ES,Spain,EURO,34096.0,3255778,592.0,77396
2021-03-28,ES,Spain,EURO,42834.0,3298612,533.0,77929
2021-04-04,ES,Spain,EURO,43342.0,3341954,538.0,78467
2021-04-11,ES,Spain,EURO,60150.0,3402104,563.0,79030
2021-04-18,ES,Spain,EURO,58926.0,3461030,570.0,79600
2021-04-25,ES,Spain,EURO,57972.0,3519002,528.0,80128
2021-05-02,ES,Spain,EURO,52880.0,3571882,453.0,80581
2021-05-09,ES,Spain,EURO,41911.0,3613793,458.0,81039
2021-05-16,ES,Spain,EURO,34703.0,3648496,363.0,81402
2021-05-23,ES,Spain,EURO,32321.0,3680817,253.0,81655
2021-05-30,ES,Spain,EURO,30781.0,3711598,191.0,81846
2021-06-06,ES,Spain,EURO,28289.0,3739887,209.0,82055
2021-06-13,ES,Spain,EURO,24345.0,3764232,145.0,82200
2021-06-20,ES,Spain,EURO,23600.0,3787832,130.0,82330
2021-06-27,ES,Spain,EURO,29773.0,3817605,113.0,82443
2021-07-04,ES,Spain,EURO,78950.0,3896555,89.0,82532
2021-07-11,ES,Spain,EURO,135337.0,4031892,89.0,82621
2021-07-18,ES,Spain,EURO,176564.0,4208456,162.0,82783
2021-07-25,ES,Spain,EURO,185713.0,4394169,397.0,83180
2021-08-01,ES,Spain,EURO,157658.0,4551827,556.0,83736
2021-08-08,ES,Spain,EURO,119244.0,4671071,710.0,84446
2021-08-15,ES,Spain,EURO,90657.0,4761728,803.0,85249
2021-08-22,ES,Spain,EURO,68431.0,4830159,713.0,85962
