Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-01-12,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-01-19,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-01-26,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-02-02,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-02-09,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-02-16,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-02-23,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-03-01,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-03-08,ET,Ethiopia,AFRO,0.0,0,0.0,0
2020-03-15,ET,Ethiopia,AFRO,1.0,1,0.0,0
2020-03-22,ET,Ethiopia,AFRO,8.0,9,0.0,0
2020-03-29,ET,Ethiopia,AFRO,7.0,16,0.0,0
2020-04-05,ET,Ethiopia,AFRO,22.0,38,0.0,0
2020-04-12,ET,Ethiopia,AFRO,31.0,69,23.0,23
2020-04-19,ET,Ethiopia,AFRO,36.0,105,0.0,23
2020-04-26,ET,Ethiopia,AFRO,17.0,122,1.0,24
2020-05-03,ET,Ethiopia,AFRO,11.0,133,0.0,24
2020-05-10,ET,Ethiopia,AFRO,77.0,210,1.0,25
2020-05-17,ET,Ethiopia,AFRO,96.0,306,0.0,25
2020-05-24,ET,Ethiopia,AFRO,188.0,494,0.0,25
2020-05-31,ET,Ethiopia,AFRO,569.0,1063,3.0,28
2020-06-07,ET,Ethiopia,AFRO,871.0,1934,9.0,37
2020-06-14,ET,Ethiopia,AFRO,1232.0,3166,35.0,72
2020-06-21,ET,Ethiopia,AFRO,1303.0,4469,17.0,89
2020-06-28,ET,Ethiopia,AFRO,1101.0,5570,22.0,111
2020-07-05,ET,Ethiopia,AFRO,816.0,6386,22.0,133
2020-07-12,ET,Ethiopia,AFRO,1174.0,7560,11.0,144
2020-07-19,ET,Ethiopia,AFRO,1943.0,9503,38.0,182
2020-07-26,ET,Ethiopia,AFRO,3745.0,13248,42.0,224
2020-08-02,ET,Ethiopia,AFRO,4751.0,17999,75.0,299
2020-08-09,ET,Ethiopia,AFRO,4254.0,22253,108.0,407
2020-08-16,ET,Ethiopia,AFRO,6641.0,28894,119.0,526
2020-08-23,ET,Ethiopia,AFRO,10139.0,39033,153.0,679
2020-08-30,ET,Ethiopia,AFRO,10621.0,49654,92.0,771
2020-09-06,ET,Ethiopia,AFRO,7812.0,57466,127.0,898
2020-09-13,ET,Ethiopia,AFRO,6422.0,63888,99.0,997
2020-09-20,ET,Ethiopia,AFRO,4243.0,68131,93.0,1090
2020-09-27,ET,Ethiopia,AFRO,4569.0,72700,76.0,1166
2020-10-04,ET,Ethiopia,AFRO,5160.0,77860,48.0,1214
2020-10-11,ET,Ethiopia,AFRO,5569.0,83429,63.0,1277
2020-10-18,ET,Ethiopia,AFRO,5005.0,88434,69.0,1346
2020-10-25,ET,Ethiopia,AFRO,4424.0,92858,73.0,1419
2020-11-01,ET,Ethiopia,AFRO,3311.0,96169,50.0,1469
2020-11-08,ET,Ethiopia,AFRO,3035.0,99204,49.0,1518
2020-11-15,ET,Ethiopia,AFRO,3117.0,102321,47.0,1565
2020-11-22,ET,Ethiopia,AFRO,3031.0,105352,71.0,1636
2020-11-29,ET,Ethiopia,AFRO,3578.0,108930,59.0,1695
2020-12-06,ET,Ethiopia,AFRO,3810.0,112740,50.0,1745
2020-12-13,ET,Ethiopia,AFRO,3557.0,116297,58.0,1803
2020-12-20,ET,Ethiopia,AFRO,3197.0,119494,43.0,1846
2020-12-27,ET,Ethiopia,AFRO,2919.0,122413,55.0,1901
2021-01-03,ET,Ethiopia,AFRO,2636.0,125049,43.0,1944
2021-01-10,ET,Ethiopia,AFRO,2743.0,127792,41.0,1985
2021-01-17,ET,Ethiopia,AFRO,2980.0,130772,44.0,2029
2021-01-24,ET,Ethiopia,AFRO,2526.0,133298,34.0,2063
2021-01-31,ET,Ethiopia,AFRO,3723.0,137021,28.0,2091
2021-02-07,ET,Ethiopia,AFRO,4432.0,141453,54.0,2145
2021-02-14,ET,Ethiopia,AFRO,4251.0,145704,36.0,2181
2021-02-21,ET,Ethiopia,AFRO,6153.0,151857,90.0,2271
2021-02-28,ET,Ethiopia,AFRO,6201.0,158058,83.0,2354
2021-03-07,ET,Ethiopia,AFRO,6971.0,165029,66.0,2420
