Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,FI,Finland,EURO,0.0,0,0.0,0
2020-01-12,FI,Finland,EURO,0.0,0,0.0,0
2020-01-19,FI,Finland,EURO,0.0,0,0.0,0
2020-01-26,FI,Finland,EURO,0.0,0,0.0,0
2020-02-02,FI,Finland,EURO,1.0,1,0.0,0
2020-02-09,FI,Finland,EURO,0.0,1,0.0,0
2020-02-16,FI,Finland,EURO,1.0,2,0.0,0
2020-02-23,FI,Finland,EURO,0.0,2,0.0,0
2020-03-01,FI,Finland,EURO,6.0,8,0.0,0
2020-03-08,FI,Finland,EURO,112.0,120,1.0,1
2020-03-15,FI,Finland,EURO,652.0,772,18.0,19
2020-03-22,FI,Finland,EURO,806.0,1578,43.0,62
2020-03-29,FI,Finland,EURO,1105.0,2683,62.0,124
2020-04-05,FI,Finland,EURO,769.0,3452,65.0,189
2020-04-12,FI,Finland,EURO,743.0,4195,43.0,232
2020-04-19,FI,Finland,EURO,699.0,4894,22.0,254
2020-04-26,FI,Finland,EURO,627.0,5521,28.0,282
2020-05-03,FI,Finland,EURO,444.0,5965,8.0,290
2020-05-10,FI,Finland,EURO,260.0,6225,6.0,296
2020-05-17,FI,Finland,EURO,190.0,6415,2.0,298
2020-05-24,FI,Finland,EURO,112.0,6527,1.0,299
2020-05-31,FI,Finland,EURO,64.0,6591,0.0,299
2020-06-07,FI,Finland,EURO,56.0,6647,0.0,299
2020-06-14,FI,Finland,EURO,57.0,6704,3.0,302
2020-06-21,FI,Finland,EURO,47.0,6751,1.0,303
2020-06-28,FI,Finland,EURO,39.0,6790,0.0,303
2020-07-05,FI,Finland,EURO,35.0,6825,0.0,303
2020-07-12,FI,Finland,EURO,52.0,6877,1.0,304
2020-07-19,FI,Finland,EURO,63.0,6940,2.0,306
2020-07-26,FI,Finland,EURO,151.0,7091,1.0,307
2020-08-02,FI,Finland,EURO,152.0,7243,0.0,307
2020-08-09,FI,Finland,EURO,224.0,7467,1.0,308
2020-08-16,FI,Finland,EURO,136.0,7603,0.0,308
2020-08-23,FI,Finland,EURO,210.0,7813,2.0,310
2020-08-30,FI,Finland,EURO,308.0,8121,5.0,315
2020-09-06,FI,Finland,EURO,398.0,8519,4.0,319
2020-09-13,FI,Finland,EURO,663.0,9182,3.0,322
2020-09-20,FI,Finland,EURO,890.0,10072,3.0,325
2020-09-27,FI,Finland,EURO,1670.0,11742,5.0,330
2020-10-04,FI,Finland,EURO,1318.0,13060,5.0,335
2020-10-11,FI,Finland,EURO,1249.0,14309,5.0,340
2020-10-18,FI,Finland,EURO,1390.0,15699,3.0,343
2020-10-25,FI,Finland,EURO,1450.0,17149,1.0,344
2020-11-01,FI,Finland,EURO,1515.0,18664,19.0,363
2020-11-08,FI,Finland,EURO,2229.0,20893,19.0,382
2020-11-15,FI,Finland,EURO,3069.0,23962,41.0,423
2020-11-22,FI,Finland,EURO,3042.0,27004,38.0,461
2020-11-29,FI,Finland,EURO,2941.0,29945,41.0,502
2020-12-06,FI,Finland,EURO,2471.0,32416,39.0,541
2020-12-13,FI,Finland,EURO,1952.0,34368,27.0,568
2020-12-20,FI,Finland,EURO,1785.0,36153,23.0,591
2020-12-27,FI,Finland,EURO,1899.0,38052,27.0,618
2021-01-03,FI,Finland,EURO,1772.0,39824,36.0,654
2021-01-10,FI,Finland,EURO,2219.0,42043,23.0,677
2021-01-17,FI,Finland,EURO,2594.0,44637,15.0,692
2021-01-24,FI,Finland,EURO,2633.0,47270,16.0,708
2021-01-31,FI,Finland,EURO,2443.0,49713,16.0,724
2021-02-07,FI,Finland,EURO,3278.0,52991,20.0,744
2021-02-14,FI,Finland,EURO,3726.0,56717,30.0,774
2021-02-21,FI,Finland,EURO,4513.0,61230,17.0,791
2021-02-28,FI,Finland,EURO,4665.0,65895,26.0,817
2021-03-07,FI,Finland,EURO,4876.0,70771,17.0,834
2021-03-14,FI,Finland,EURO,4342.0,75113,29.0,863
2021-03-21,FI,Finland,EURO,3677.0,78790,16.0,879
2021-03-28,FI,Finland,EURO,2740.0,81530,13.0,892
2021-04-04,FI,Finland,EURO,2157.0,83687,12.0,904
2021-04-11,FI,Finland,EURO,1654.0,85341,13.0,917
2021-04-18,FI,Finland,EURO,1495.0,86836,10.0,927
2021-04-25,FI,Finland,EURO,1465.0,88301,7.0,934
2021-05-02,FI,Finland,EURO,1363.0,89664,7.0,941
2021-05-09,FI,Finland,EURO,1495.0,91159,22.0,963
2021-05-16,FI,Finland,EURO,984.0,92143,5.0,968
2021-05-23,FI,Finland,EURO,778.0,92921,3.0,971
2021-05-30,FI,Finland,EURO,618.0,93539,4.0,975
2021-06-06,FI,Finland,EURO,491.0,94030,2.0,977
2021-06-13,FI,Finland,EURO,744.0,94774,2.0,979
2021-06-20,FI,Finland,EURO,1333.0,96107,0.0,979
2021-06-27,FI,Finland,EURO,1485.0,97592,2.0,981
2021-07-04,FI,Finland,EURO,2048.0,99640,5.0,986
2021-07-11,FI,Finland,EURO,2602.0,102242,2.0,988
2021-07-18,FI,Finland,EURO,4208.0,106450,12.0,1000
2021-07-25,FI,Finland,EURO,4968.0,111418,12.0,1012
2021-08-01,FI,Finland,EURO,5280.0,116698,10.0,1022
2021-08-08,FI,Finland,EURO,4491.0,121189,10.0,1032
2021-08-15,FI,Finland,EURO,4110.0,125299,11.0,1043
2021-08-22,FI,Finland,EURO,4299.0,129598,14.0,1057
2021-08-29,FI,Finland,EURO,3239.0,132837,13.0,1070
2021-09-05,FI,Finland,EURO,3013.0,135850,11.0,1081
2021-09-12,FI,Finland,EURO,2851.0,138701,14.0,1095
2021-09-19,FI,Finland,EURO,3729.0,142430,21.0,1116
2021-09-26,FI,Finland,EURO,4133.0,146563,29.0,1145
2021-10-03,FI,Finland,EURO,3916.0,150479,31.0,1176
2021-10-10,FI,Finland,EURO,3586.0,154065,18.0,1194
2021-10-17,FI,Finland,EURO,4087.0,158152,41.0,1235
2021-10-24,FI,Finland,EURO,4805.0,162957,40.0,1275
2021-10-31,FI,Finland,EURO,5725.0,168682,55.0,1330
2021-11-07,FI,Finland,EURO,6973.0,175655,49.0,1379
2021-11-14,FI,Finland,EURO,7953.0,183608,60.0,1439
2021-11-21,FI,Finland,EURO,8925.0,192533,58.0,1497
2021-11-28,FI,Finland,EURO,9936.0,202469,44.0,1541
2021-12-05,FI,Finland,EURO,12486.0,214955,47.0,1588
2021-12-12,FI,Finland,EURO,19191.0,234146,47.0,1635
2021-12-19,FI,Finland,EURO,36453.0,270599,83.0,1718
2021-12-26,FI,Finland,EURO,52236.0,322835,118.0,1836
2022-01-02,FI,Finland,EURO,61448.0,384283,130.0,1966
2022-01-09,FI,Finland,EURO,59617.0,443900,137.0,2103
2022-01-16,FI,Finland,EURO,50478.0,494378,119.0,2222
2022-01-23,FI,Finland,EURO,45303.0,539681,140.0,2362
2022-01-30,FI,Finland,EURO,45279.0,584960,122.0,2484
2022-02-06,FI,Finland,EURO,44745.0,629705,131.0,2615
2022-02-13,FI,Finland,EURO,45014.0,674719,156.0,2771
2022-02-20,FI,Finland,EURO,44912.0,719631,161.0,2932
2022-02-27,FI,Finland,EURO,48818.0,768449,191.0,3123
2022-03-06,FI,Finland,EURO,54053.0,822502,208.0,3331
2022-03-13,FI,Finland,EURO,54223.0,876725,255.0,3586
2022-03-20,FI,Finland,EURO,48332.0,925057,211.0,3797
2022-03-27,FI,Finland,EURO,38754.0,963811,200.0,3997
2022-04-03,FI,Finland,EURO,33726.0,997537,205.0,4202
2022-04-10,FI,Finland,EURO,26539.0,1024076,151.0,4353
2022-04-17,FI,Finland,EURO,20917.0,1044993,139.0,4492
2022-04-24,FI,Finland,EURO,17852.0,1062845,84.0,4576
2022-05-01,FI,Finland,EURO,15720.0,1078565,82.0,4658
2022-05-08,FI,Finland,EURO,11808.0,1090373,80.0,4738
2022-05-15,FI,Finland,EURO,10247.0,1100620,76.0,4814
2022-05-22,FI,Finland,EURO,11545.0,1112165,44.0,4858
2022-05-29,FI,Finland,EURO,10612.0,1122777,62.0,4920
2022-06-05,FI,Finland,EURO,10572.0,1133349,62.0,4982
2022-06-12,FI,Finland,EURO,11536.0,1144885,53.0,5035
2022-06-19,FI,Finland,EURO,11488.0,1156373,56.0,5091
2022-06-26,FI,Finland,EURO,11565.0,1167938,82.0,5173
2022-07-03,FI,Finland,EURO,14574.0,1182512,86.0,5259
2022-07-10,FI,Finland,EURO,16971.0,1199483,92.0,5351
2022-07-17,FI,Finland,EURO,17749.0,1217232,111.0,5462
2022-07-24,FI,Finland,EURO,15829.0,1233061,108.0,5570
2022-07-31,FI,Finland,EURO,13367.0,1246428,121.0,5691
2022-08-07,FI,Finland,EURO,11624.0,1258052,104.0,5795
2022-08-14,FI,Finland,EURO,7926.0,1265978,75.0,5870
2022-08-21,FI,Finland,EURO,6134.0,1272112,59.0,5929
2022-08-28,FI,Finland,EURO,6404.0,1278516,79.0,6008
2022-09-04,FI,Finland,EURO,8414.0,1286930,105.0,6113
2022-09-11,FI,Finland,EURO,8323.0,1295253,92.0,6205
2022-09-18,FI,Finland,EURO,10024.0,1305277,142.0,6347
2022-09-25,FI,Finland,EURO,12296.0,1317573,168.0,6515
2022-10-02,FI,Finland,EURO,13920.0,1331493,201.0,6716
2022-10-09,FI,Finland,EURO,13466.0,1344959,213.0,6929
2022-10-16,FI,Finland,EURO,12837.0,1357796,178.0,7107
2022-10-23,FI,Finland,EURO,12153.0,1369949,189.0,7296
2022-10-30,FI,Finland,EURO,12416.0,1382365,206.0,7502
2022-11-06,FI,Finland,EURO,12234.0,1394599,172.0,7674
2022-11-13,FI,Finland,EURO,11580.0,1406179,158.0,7832
2022-11-20,FI,Finland,EURO,11967.0,1418146,140.0,7972
2022-11-27,FI,Finland,EURO,11488.0,1429634,164.0,8136
2022-12-04,FI,Finland,EURO,10908.0,1440542,142.0,8278
2022-12-11,FI,Finland,EURO,8283.0,1448825,163.0,8441
2022-12-18,FI,Finland,EURO,4406.0,1453231,135.0,8576
2022-12-25,FI,Finland,EURO,2918.0,1456149,122.0,8698
2023-01-01,FI,Finland,EURO,1521.0,1457670,77.0,8775
