Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-01-12,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-01-19,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-01-26,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-02-02,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-02-09,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-02-16,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-02-23,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-03-01,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-03-08,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-03-15,FJ,Fiji,WPRO,0.0,0,0.0,0
2020-03-22,FJ,Fiji,WPRO,2.0,2,0.0,0
2020-03-29,FJ,Fiji,WPRO,3.0,5,0.0,0
2020-04-05,FJ,Fiji,WPRO,7.0,12,0.0,0
2020-04-12,FJ,Fiji,WPRO,4.0,16,0.0,0
2020-04-19,FJ,Fiji,WPRO,1.0,17,0.0,0
2020-04-26,FJ,Fiji,WPRO,1.0,18,0.0,0
2020-05-03,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-05-10,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-05-17,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-05-24,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-05-31,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-06-07,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-06-14,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-06-21,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-06-28,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-07-05,FJ,Fiji,WPRO,0.0,18,0.0,0
2020-07-12,FJ,Fiji,WPRO,8.0,26,0.0,0
2020-07-19,FJ,Fiji,WPRO,0.0,26,0.0,0
2020-07-26,FJ,Fiji,WPRO,1.0,27,0.0,0
2020-08-02,FJ,Fiji,WPRO,0.0,27,1.0,1
2020-08-09,FJ,Fiji,WPRO,0.0,27,0.0,1
2020-08-16,FJ,Fiji,WPRO,1.0,28,0.0,1
2020-08-23,FJ,Fiji,WPRO,0.0,28,0.0,1
2020-08-30,FJ,Fiji,WPRO,0.0,28,1.0,2
2020-09-06,FJ,Fiji,WPRO,3.0,31,0.0,2
2020-09-13,FJ,Fiji,WPRO,1.0,32,0.0,2
2020-09-20,FJ,Fiji,WPRO,0.0,32,0.0,2
2020-09-27,FJ,Fiji,WPRO,0.0,32,0.0,2
2020-10-04,FJ,Fiji,WPRO,0.0,32,0.0,2
2020-10-11,FJ,Fiji,WPRO,0.0,32,0.0,2
2020-10-18,FJ,Fiji,WPRO,0.0,32,0.0,2
2020-10-25,FJ,Fiji,WPRO,1.0,33,0.0,2
2020-11-01,FJ,Fiji,WPRO,1.0,34,0.0,2
2020-11-08,FJ,Fiji,WPRO,0.0,34,0.0,2
2020-11-15,FJ,Fiji,WPRO,1.0,35,0.0,2
2020-11-22,FJ,Fiji,WPRO,0.0,35,0.0,2
2020-11-29,FJ,Fiji,WPRO,3.0,38,0.0,2
2020-12-06,FJ,Fiji,WPRO,6.0,44,0.0,2
2020-12-13,FJ,Fiji,WPRO,0.0,44,0.0,2
2020-12-20,FJ,Fiji,WPRO,2.0,46,0.0,2
2020-12-27,FJ,Fiji,WPRO,0.0,46,0.0,2
2021-01-03,FJ,Fiji,WPRO,3.0,49,0.0,2
2021-01-10,FJ,Fiji,WPRO,4.0,53,0.0,2
2021-01-17,FJ,Fiji,WPRO,2.0,55,0.0,2
2021-01-24,FJ,Fiji,WPRO,0.0,55,0.0,2
2021-01-31,FJ,Fiji,WPRO,0.0,55,0.0,2
2021-02-07,FJ,Fiji,WPRO,1.0,56,0.0,2
2021-02-14,FJ,Fiji,WPRO,0.0,56,0.0,2
2021-02-21,FJ,Fiji,WPRO,0.0,56,0.0,2
2021-02-28,FJ,Fiji,WPRO,3.0,59,0.0,2
2021-03-07,FJ,Fiji,WPRO,4.0,63,0.0,2
2021-03-14,FJ,Fiji,WPRO,3.0,66,0.0,2
2021-03-21,FJ,Fiji,WPRO,1.0,67,0.0,2
2021-03-28,FJ,Fiji,WPRO,0.0,67,0.0,2
2021-04-04,FJ,Fiji,WPRO,0.0,67,0.0,2
2021-04-11,FJ,Fiji,WPRO,1.0,68,0.0,2
2021-04-18,FJ,Fiji,WPRO,6.0,74,0.0,2
2021-04-25,FJ,Fiji,WPRO,17.0,91,0.0,2
2021-05-02,FJ,Fiji,WPRO,28.0,119,0.0,2
2021-05-09,FJ,Fiji,WPRO,20.0,139,1.0,3
2021-05-16,FJ,Fiji,WPRO,33.0,172,1.0,4
2021-05-23,FJ,Fiji,WPRO,58.0,230,0.0,4
2021-05-30,FJ,Fiji,WPRO,171.0,401,0.0,4
2021-06-06,FJ,Fiji,WPRO,286.0,687,0.0,4
2021-06-13,FJ,Fiji,WPRO,430.0,1117,0.0,4
2021-06-20,FJ,Fiji,WPRO,847.0,1964,3.0,7
2021-06-27,FJ,Fiji,WPRO,1627.0,3591,8.0,15
2021-07-04,FJ,Fiji,WPRO,2570.0,6161,15.0,30
2021-07-11,FJ,Fiji,WPRO,4351.0,10512,25.0,55
2021-07-18,FJ,Fiji,WPRO,7002.0,17514,43.0,98
2021-07-25,FJ,Fiji,WPRO,5625.0,23139,88.0,186
2021-08-01,FJ,Fiji,WPRO,7274.0,30413,55.0,241
2021-08-08,FJ,Fiji,WPRO,6566.0,36979,58.0,299
2021-08-15,FJ,Fiji,WPRO,3258.0,40237,72.0,371
2021-08-22,FJ,Fiji,WPRO,3360.0,43597,67.0,438
2021-08-29,FJ,Fiji,WPRO,2430.0,46027,41.0,479
2021-09-05,FJ,Fiji,WPRO,1838.0,47865,29.0,508
2021-09-12,FJ,Fiji,WPRO,1121.0,48986,27.0,535
2021-09-19,FJ,Fiji,WPRO,973.0,49959,31.0,566
2021-09-26,FJ,Fiji,WPRO,796.0,50755,24.0,590
2021-10-03,FJ,Fiji,WPRO,447.0,51202,43.0,633
2021-10-10,FJ,Fiji,WPRO,297.0,51499,20.0,653
2021-10-17,FJ,Fiji,WPRO,202.0,51701,8.0,661
2021-10-24,FJ,Fiji,WPRO,313.0,52014,12.0,673
2021-10-31,FJ,Fiji,WPRO,157.0,52171,1.0,674
2021-11-07,FJ,Fiji,WPRO,105.0,52276,0.0,674
2021-11-14,FJ,Fiji,WPRO,133.0,52409,20.0,694
2021-11-21,FJ,Fiji,WPRO,51.0,52460,1.0,695
2021-11-28,FJ,Fiji,WPRO,34.0,52494,1.0,696
2021-12-05,FJ,Fiji,WPRO,58.0,52552,1.0,697
2021-12-12,FJ,Fiji,WPRO,37.0,52589,0.0,697
2021-12-19,FJ,Fiji,WPRO,57.0,52646,0.0,697
2021-12-26,FJ,Fiji,WPRO,298.0,52944,0.0,697
2022-01-02,FJ,Fiji,WPRO,1890.0,54834,3.0,700
2022-01-09,FJ,Fiji,WPRO,2922.0,57756,9.0,709
2022-01-16,FJ,Fiji,WPRO,1700.0,59456,21.0,730
2022-01-23,FJ,Fiji,WPRO,1525.0,60981,38.0,768
2022-01-30,FJ,Fiji,WPRO,1414.0,62395,30.0,798
2022-02-06,FJ,Fiji,WPRO,886.0,63281,13.0,811
2022-02-13,FJ,Fiji,WPRO,220.0,63501,8.0,819
2022-02-20,FJ,Fiji,WPRO,123.0,63624,5.0,824
2022-02-27,FJ,Fiji,WPRO,203.0,63827,9.0,833
2022-03-06,FJ,Fiji,WPRO,192.0,64019,1.0,834
2022-03-13,FJ,Fiji,WPRO,48.0,64067,0.0,834
2022-03-20,FJ,Fiji,WPRO,242.0,64309,0.0,834
2022-03-27,FJ,Fiji,WPRO,67.0,64376,0.0,834
2022-04-03,FJ,Fiji,WPRO,41.0,64417,0.0,834
2022-04-10,FJ,Fiji,WPRO,75.0,64492,0.0,834
2022-04-17,FJ,Fiji,WPRO,10.0,64502,28.0,862
2022-04-24,FJ,Fiji,WPRO,22.0,64524,0.0,862
2022-05-01,FJ,Fiji,WPRO,110.0,64634,0.0,862
2022-05-08,FJ,Fiji,WPRO,65.0,64699,0.0,862
2022-05-15,FJ,Fiji,WPRO,74.0,64773,0.0,862
2022-05-22,FJ,Fiji,WPRO,68.0,64841,0.0,862
2022-05-29,FJ,Fiji,WPRO,100.0,64941,1.0,863
2022-06-05,FJ,Fiji,WPRO,121.0,65062,1.0,864
2022-06-12,FJ,Fiji,WPRO,95.0,65157,1.0,865
2022-06-19,FJ,Fiji,WPRO,109.0,65266,0.0,865
2022-06-26,FJ,Fiji,WPRO,197.0,65463,0.0,865
2022-07-03,FJ,Fiji,WPRO,250.0,65713,1.0,866
2022-07-10,FJ,Fiji,WPRO,403.0,66116,3.0,869
2022-07-17,FJ,Fiji,WPRO,591.0,66707,1.0,870
2022-07-24,FJ,Fiji,WPRO,480.0,67187,0.0,870
2022-07-31,FJ,Fiji,WPRO,362.0,67549,3.0,873
2022-08-07,FJ,Fiji,WPRO,254.0,67803,1.0,874
2022-08-14,FJ,Fiji,WPRO,119.0,67922,1.0,875
2022-08-21,FJ,Fiji,WPRO,106.0,68028,2.0,877
2022-08-28,FJ,Fiji,WPRO,88.0,68116,1.0,878
2022-09-04,FJ,Fiji,WPRO,61.0,68177,0.0,878
2022-09-11,FJ,Fiji,WPRO,29.0,68206,0.0,878
2022-09-18,FJ,Fiji,WPRO,15.0,68221,0.0,878
2022-09-25,FJ,Fiji,WPRO,21.0,68242,0.0,878
2022-10-02,FJ,Fiji,WPRO,3.0,68245,0.0,878
2022-10-09,FJ,Fiji,WPRO,0.0,68245,0.0,878
2022-10-16,FJ,Fiji,WPRO,3.0,68248,0.0,878
2022-10-23,FJ,Fiji,WPRO,9.0,68257,0.0,878
2022-10-30,FJ,Fiji,WPRO,7.0,68264,0.0,878
2022-11-06,FJ,Fiji,WPRO,6.0,68270,0.0,878
2022-11-13,FJ,Fiji,WPRO,17.0,68287,0.0,878
2022-11-20,FJ,Fiji,WPRO,20.0,68307,0.0,878
2022-11-27,FJ,Fiji,WPRO,68.0,68375,0.0,878
2022-12-04,FJ,Fiji,WPRO,76.0,68451,0.0,878
2022-12-11,FJ,Fiji,WPRO,102.0,68553,0.0,878
2022-12-18,FJ,Fiji,WPRO,72.0,68625,0.0,878
2022-12-25,FJ,Fiji,WPRO,77.0,68702,3.0,881
2023-01-01,FJ,Fiji,WPRO,48.0,68750,0.0,881
2023-01-08,FJ,Fiji,WPRO,21.0,68771,2.0,883
2023-01-15,FJ,Fiji,WPRO,22.0,68793,0.0,883
2023-01-22,FJ,Fiji,WPRO,15.0,68808,0.0,883
2023-01-29,FJ,Fiji,WPRO,12.0,68820,0.0,883
2023-02-05,FJ,Fiji,WPRO,28.0,68848,0.0,883
2023-02-12,FJ,Fiji,WPRO,16.0,68864,0.0,883
2023-02-19,FJ,Fiji,WPRO,12.0,68876,0.0,883
2023-02-26,FJ,Fiji,WPRO,13.0,68889,0.0,883
2023-03-05,FJ,Fiji,WPRO,8.0,68897,0.0,883
2023-03-12,FJ,Fiji,WPRO,1.0,68898,0.0,883
2023-03-19,FJ,Fiji,WPRO,6.0,68904,0.0,883
2023-03-26,FJ,Fiji,WPRO,7.0,68911,0.0,883
2023-04-02,FJ,Fiji,WPRO,3.0,68914,0.0,883
2023-04-09,FJ,Fiji,WPRO,3.0,68917,0.0,883
2023-04-16,FJ,Fiji,WPRO,1.0,68918,0.0,883
2023-04-23,FJ,Fiji,WPRO,0.0,68918,0.0,883
2023-04-30,FJ,Fiji,WPRO,3.0,68921,0.0,883
2023-05-07,FJ,Fiji,WPRO,0.0,68921,0.0,883
2023-05-14,FJ,Fiji,WPRO,0.0,68921,0.0,883
2023-05-21,FJ,Fiji,WPRO,0.0,68921,0.0,883
2023-05-28,FJ,Fiji,WPRO,0.0,68921,0.0,883
2023-06-04,FJ,Fiji,WPRO,0.0,68921,0.0,883
2023-06-11,FJ,Fiji,WPRO,108.0,69029,1.0,884
2023-06-18,FJ,Fiji,WPRO,7.0,69036,1.0,885
2023-06-25,FJ,Fiji,WPRO,0.0,69036,0.0,885
2023-07-02,FJ,Fiji,WPRO,11.0,69047,0.0,885
2023-07-09,FJ,Fiji,WPRO,0.0,69047,0.0,885
2023-07-16,FJ,Fiji,WPRO,0.0,69047,0.0,885
2023-07-23,FJ,Fiji,WPRO,0.0,69047,0.0,885
2023-07-30,FJ,Fiji,WPRO,0.0,69047,0.0,885
