Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,FO,Faroe Islands,,0.0,0,0.0,0
2020-01-12,FO,Faroe Islands,,0.0,0,0.0,0
2020-01-19,FO,Faroe Islands,,0.0,0,0.0,0
2020-01-26,FO,Faroe Islands,,0.0,0,0.0,0
2020-02-02,FO,Faroe Islands,,0.0,0,0.0,0
2020-02-09,FO,Faroe Islands,,0.0,0,0.0,0
2020-02-16,FO,Faroe Islands,,0.0,0,0.0,0
2020-02-23,FO,Faroe Islands,,0.0,0,0.0,0
2020-03-01,FO,Faroe Islands,,0.0,0,0.0,0
2020-03-08,FO,Faroe Islands,,2.0,2,0.0,0
2020-03-15,FO,Faroe Islands,,8.0,10,0.0,0
2020-03-22,FO,Faroe Islands,,90.0,100,0.0,0
2020-03-29,FO,Faroe Islands,,56.0,156,0.0,0
2020-04-05,FO,Faroe Islands,,25.0,181,0.0,0
2020-04-12,FO,Faroe Islands,,3.0,184,0.0,0
2020-04-19,FO,Faroe Islands,,1.0,185,0.0,0
2020-04-26,FO,Faroe Islands,,2.0,187,0.0,0
2020-05-03,FO,Faroe Islands,,0.0,187,0.0,0
2020-05-10,FO,Faroe Islands,,0.0,187,0.0,0
2020-05-17,FO,Faroe Islands,,0.0,187,0.0,0
2020-05-24,FO,Faroe Islands,,0.0,187,0.0,0
2020-05-31,FO,Faroe Islands,,0.0,187,0.0,0
2020-06-07,FO,Faroe Islands,,0.0,187,0.0,0
2020-06-14,FO,Faroe Islands,,0.0,187,0.0,0
2020-06-21,FO,Faroe Islands,,0.0,187,0.0,0
2020-06-28,FO,Faroe Islands,,0.0,187,0.0,0
2020-07-05,FO,Faroe Islands,,0.0,187,0.0,0
2020-07-12,FO,Faroe Islands,,1.0,188,0.0,0
2020-07-19,FO,Faroe Islands,,0.0,188,0.0,0
2020-07-26,FO,Faroe Islands,,26.0,214,0.0,0
2020-08-02,FO,Faroe Islands,,11.0,225,0.0,0
2020-08-09,FO,Faroe Islands,,81.0,306,0.0,0
2020-08-16,FO,Faroe Islands,,64.0,370,0.0,0
2020-08-23,FO,Faroe Islands,,14.0,384,0.0,0
2020-08-30,FO,Faroe Islands,,30.0,414,0.0,0
2020-09-06,FO,Faroe Islands,,2.0,416,0.0,0
2020-09-13,FO,Faroe Islands,,5.0,421,0.0,0
2020-09-20,FO,Faroe Islands,,13.0,434,0.0,0
2020-09-27,FO,Faroe Islands,,29.0,463,0.0,0
2020-10-04,FO,Faroe Islands,,13.0,476,0.0,0
2020-10-11,FO,Faroe Islands,,4.0,480,0.0,0
2020-10-18,FO,Faroe Islands,,6.0,486,0.0,0
2020-10-25,FO,Faroe Islands,,7.0,493,0.0,0
2020-11-01,FO,Faroe Islands,,5.0,498,0.0,0
