Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GD,Grenada,AMRO,0.0,0,0.0,0
2020-01-12,GD,Grenada,AMRO,0.0,0,0.0,0
2020-01-19,GD,Grenada,AMRO,0.0,0,0.0,0
2020-01-26,GD,Grenada,AMRO,0.0,0,0.0,0
2020-02-02,GD,Grenada,AMRO,0.0,0,0.0,0
2020-02-09,GD,Grenada,AMRO,0.0,0,0.0,0
2020-02-16,GD,Grenada,AMRO,0.0,0,0.0,0
2020-02-23,GD,Grenada,AMRO,0.0,0,0.0,0
2020-03-01,GD,Grenada,AMRO,0.0,0,0.0,0
2020-03-08,GD,Grenada,AMRO,0.0,0,0.0,0
2020-03-15,GD,Grenada,AMRO,0.0,0,0.0,0
2020-03-22,GD,Grenada,AMRO,0.0,0,0.0,0
2020-03-29,GD,Grenada,AMRO,7.0,7,0.0,0
2020-04-05,GD,Grenada,AMRO,5.0,12,0.0,0
2020-04-12,GD,Grenada,AMRO,1.0,13,0.0,0
2020-04-19,GD,Grenada,AMRO,0.0,13,0.0,0
2020-04-26,GD,Grenada,AMRO,2.0,15,0.0,0
2020-05-03,GD,Grenada,AMRO,5.0,20,0.0,0
2020-05-10,GD,Grenada,AMRO,1.0,21,0.0,0
2020-05-17,GD,Grenada,AMRO,1.0,22,0.0,0
2020-05-24,GD,Grenada,AMRO,0.0,22,0.0,0
2020-05-31,GD,Grenada,AMRO,1.0,23,0.0,0
2020-06-07,GD,Grenada,AMRO,0.0,23,0.0,0
2020-06-14,GD,Grenada,AMRO,0.0,23,0.0,0
2020-06-21,GD,Grenada,AMRO,0.0,23,0.0,0
2020-06-28,GD,Grenada,AMRO,0.0,23,0.0,0
2020-07-05,GD,Grenada,AMRO,0.0,23,0.0,0
2020-07-12,GD,Grenada,AMRO,0.0,23,0.0,0
2020-07-19,GD,Grenada,AMRO,0.0,23,0.0,0
2020-07-26,GD,Grenada,AMRO,0.0,23,0.0,0
