Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GE,Georgia,EURO,0.0,0,0.0,0
2020-01-12,GE,Georgia,EURO,0.0,0,0.0,0
2020-01-19,GE,Georgia,EURO,0.0,0,0.0,0
2020-01-26,GE,Georgia,EURO,0.0,0,0.0,0
2020-02-02,GE,Georgia,EURO,0.0,0,0.0,0
2020-02-09,GE,Georgia,EURO,0.0,0,0.0,0
2020-02-16,GE,Georgia,EURO,0.0,0,0.0,0
2020-02-23,GE,Georgia,EURO,0.0,0,0.0,0
2020-03-01,GE,Georgia,EURO,3.0,3,0.0,0
2020-03-08,GE,Georgia,EURO,9.0,12,0.0,0
2020-03-15,GE,Georgia,EURO,18.0,30,0.0,0
2020-03-22,GE,Georgia,EURO,24.0,54,0.0,0
2020-03-29,GE,Georgia,EURO,44.0,98,0.0,0
2020-04-05,GE,Georgia,EURO,72.0,170,1.0,1
2020-04-12,GE,Georgia,EURO,82.0,252,2.0,3
2020-04-19,GE,Georgia,EURO,142.0,394,1.0,4
2020-04-26,GE,Georgia,EURO,91.0,485,1.0,5
2020-05-03,GE,Georgia,EURO,104.0,589,3.0,8
2020-05-10,GE,Georgia,EURO,46.0,635,2.0,10
2020-05-17,GE,Georgia,EURO,60.0,695,2.0,12
2020-05-24,GE,Georgia,EURO,35.0,730,0.0,12
2020-05-31,GE,Georgia,EURO,53.0,783,0.0,12
2020-06-07,GE,Georgia,EURO,26.0,809,1.0,13
2020-06-14,GE,Georgia,EURO,55.0,864,1.0,14
2020-06-21,GE,Georgia,EURO,42.0,906,0.0,14
2020-06-28,GE,Georgia,EURO,18.0,924,1.0,15
2020-07-05,GE,Georgia,EURO,27.0,951,0.0,15
2020-07-12,GE,Georgia,EURO,35.0,986,0.0,15
2020-07-19,GE,Georgia,EURO,42.0,1028,0.0,15
2020-07-26,GE,Georgia,EURO,103.0,1131,1.0,16
2020-08-02,GE,Georgia,EURO,46.0,1177,1.0,17
2020-08-09,GE,Georgia,EURO,48.0,1225,0.0,17
2020-08-16,GE,Georgia,EURO,111.0,1336,0.0,17
2020-08-23,GE,Georgia,EURO,75.0,1411,0.0,17
2020-08-30,GE,Georgia,EURO,58.0,1469,2.0,19
2020-09-06,GE,Georgia,EURO,181.0,1650,0.0,19
2020-09-13,GE,Georgia,EURO,577.0,2227,0.0,19
2020-09-20,GE,Georgia,EURO,1275.0,3502,0.0,19
2020-09-27,GE,Georgia,EURO,1752.0,5254,9.0,28
2020-10-04,GE,Georgia,EURO,2864.0,8118,22.0,50
2020-10-11,GE,Georgia,EURO,3676.0,11794,35.0,85
2020-10-18,GE,Georgia,EURO,5683.0,17477,51.0,136
2020-10-25,GE,Georgia,EURO,10954.0,28431,65.0,201
2020-11-01,GE,Georgia,EURO,12296.0,40727,134.0,335
2020-11-08,GE,Georgia,EURO,17026.0,57753,140.0,475
2020-11-15,GE,Georgia,EURO,21925.0,79678,228.0,703
2020-11-22,GE,Georgia,EURO,25054.0,104732,273.0,976
2020-11-29,GE,Georgia,EURO,27636.0,132368,254.0,1230
2020-12-06,GE,Georgia,EURO,30107.0,162475,274.0,1504
2020-12-13,GE,Georgia,EURO,27251.0,189726,286.0,1790
2020-12-20,GE,Georgia,EURO,18912.0,208638,304.0,2094
2020-12-27,GE,Georgia,EURO,12967.0,221605,283.0,2377
2021-01-03,GE,Georgia,EURO,7564.0,229169,226.0,2603
2021-01-10,GE,Georgia,EURO,10060.0,239229,170.0,2773
2021-01-17,GE,Georgia,EURO,8576.0,247805,160.0,2933
2021-01-24,GE,Georgia,EURO,5713.0,253518,122.0,3055
2021-01-31,GE,Georgia,EURO,4593.0,258111,123.0,3178
2021-02-07,GE,Georgia,EURO,3913.0,262024,105.0,3283
2021-02-14,GE,Georgia,EURO,3533.0,265557,69.0,3352
2021-02-21,GE,Georgia,EURO,2798.0,268355,83.0,3435
2021-02-28,GE,Georgia,EURO,2403.0,270758,75.0,3510
2021-03-07,GE,Georgia,EURO,2093.0,272851,66.0,3576
2021-03-14,GE,Georgia,EURO,2138.0,274989,72.0,3648
2021-03-21,GE,Georgia,EURO,2491.0,277480,52.0,3700
2021-03-28,GE,Georgia,EURO,2821.0,280301,51.0,3751
2021-04-04,GE,Georgia,EURO,3532.0,283833,60.0,3811
2021-04-11,GE,Georgia,EURO,4563.0,288396,66.0,3877
2021-04-18,GE,Georgia,EURO,6962.0,295358,62.0,3939
2021-04-25,GE,Georgia,EURO,8393.0,303751,86.0,4025
2021-05-02,GE,Georgia,EURO,8694.0,312445,126.0,4151
2021-05-09,GE,Georgia,EURO,9474.0,321919,130.0,4281
2021-05-16,GE,Georgia,EURO,8456.0,330375,161.0,4442
2021-05-23,GE,Georgia,EURO,7198.0,337573,180.0,4622
2021-05-30,GE,Georgia,EURO,6030.0,343603,135.0,4757
2021-06-06,GE,Georgia,EURO,5495.0,349098,153.0,4910
2021-06-13,GE,Georgia,EURO,4867.0,353965,138.0,5048
2021-06-20,GE,Georgia,EURO,4916.0,358881,112.0,5160
2021-06-27,GE,Georgia,EURO,4641.0,363522,106.0,5266
2021-07-04,GE,Georgia,EURO,5526.0,369048,81.0,5347
2021-07-11,GE,Georgia,EURO,8104.0,377152,105.0,5452
2021-07-18,GE,Georgia,EURO,10329.0,387481,99.0,5551
2021-07-25,GE,Georgia,EURO,15278.0,402759,137.0,5688
2021-08-01,GE,Georgia,EURO,19429.0,422188,165.0,5853
2021-08-08,GE,Georgia,EURO,25725.0,447913,231.0,6084
2021-08-15,GE,Georgia,EURO,33665.0,481578,322.0,6406
2021-08-22,GE,Georgia,EURO,33166.0,514744,365.0,6771
2021-08-29,GE,Georgia,EURO,28374.0,543118,480.0,7251
2021-09-05,GE,Georgia,EURO,21719.0,564837,555.0,7806
2021-09-12,GE,Georgia,EURO,16032.0,580869,379.0,8185
2021-09-19,GE,Georgia,EURO,14395.0,595264,356.0,8541
2021-09-26,GE,Georgia,EURO,11228.0,606492,276.0,8817
2021-10-03,GE,Georgia,EURO,11261.0,617753,221.0,9038
2021-10-10,GE,Georgia,EURO,16300.0,634053,208.0,9246
2021-10-17,GE,Georgia,EURO,28281.0,662334,222.0,9468
2021-10-24,GE,Georgia,EURO,29906.0,692240,274.0,9742
2021-10-31,GE,Georgia,EURO,27007.0,719247,303.0,10045
2021-11-07,GE,Georgia,EURO,33608.0,752855,390.0,10435
2021-11-14,GE,Georgia,EURO,31236.0,784091,540.0,10975
2021-11-21,GE,Georgia,EURO,28155.0,812246,523.0,11498
2021-11-28,GE,Georgia,EURO,26393.0,838639,429.0,11927
2021-12-05,GE,Georgia,EURO,26654.0,865293,417.0,12344
2021-12-12,GE,Georgia,EURO,23993.0,889286,387.0,12731
2021-12-19,GE,Georgia,EURO,19874.0,909160,340.0,13071
2021-12-26,GE,Georgia,EURO,15208.0,924368,441.0,13512
2022-01-02,GE,Georgia,EURO,13272.0,937640,373.0,13885
2022-01-09,GE,Georgia,EURO,22234.0,959874,252.0,14137
2022-01-16,GE,Georgia,EURO,35813.0,995687,262.0,14399
2022-01-23,GE,Georgia,EURO,55758.0,1051445,252.0,14651
2022-01-30,GE,Georgia,EURO,111328.0,1162773,244.0,14895
2022-02-06,GE,Georgia,EURO,151830.0,1314603,267.0,15162
2022-02-13,GE,Georgia,EURO,139462.0,1454065,344.0,15506
2022-02-20,GE,Georgia,EURO,94828.0,1548893,300.0,15806
2022-02-27,GE,Georgia,EURO,54114.0,1603007,282.0,16088
2022-03-06,GE,Georgia,EURO,22365.0,1625372,228.0,16316
2022-03-13,GE,Georgia,EURO,10137.0,1635509,188.0,16504
2022-03-20,GE,Georgia,EURO,6365.0,1641874,109.0,16613
2022-03-27,GE,Georgia,EURO,4442.0,1646316,45.0,16658
2022-04-03,GE,Georgia,EURO,2906.0,1649222,48.0,16706
2022-04-10,GE,Georgia,EURO,2248.0,1651470,15.0,16721
2022-04-17,GE,Georgia,EURO,1574.0,1653044,21.0,16742
2022-04-24,GE,Georgia,EURO,1211.0,1654255,8.0,16750
2022-05-01,GE,Georgia,EURO,915.0,1655170,10.0,16760
2022-05-08,GE,Georgia,EURO,51.0,1655221,1.0,16761
2022-05-15,GE,Georgia,EURO,745.0,1655966,8.0,16769
2022-05-22,GE,Georgia,EURO,602.0,1656568,3.0,16772
2022-05-29,GE,Georgia,EURO,586.0,1657154,5.0,16777
2022-06-05,GE,Georgia,EURO,575.0,1657729,1.0,16778
2022-06-12,GE,Georgia,EURO,1026.0,1658755,10.0,16788
2022-06-19,GE,Georgia,EURO,0.0,1658755,0.0,16788
2022-06-26,GE,Georgia,EURO,1674.0,1660429,3.0,16791
2022-07-03,GE,Georgia,EURO,0.0,1660429,0.0,16791
2022-07-10,GE,Georgia,EURO,1870.0,1662299,3.0,16794
2022-07-17,GE,Georgia,EURO,5154.0,1667453,3.0,16797
2022-07-24,GE,Georgia,EURO,9512.0,1676965,7.0,16804
2022-07-31,GE,Georgia,EURO,11253.0,1688218,5.0,16809
2022-08-07,GE,Georgia,EURO,12802.0,1701020,10.0,16819
2022-08-14,GE,Georgia,EURO,13729.0,1714749,8.0,16827
2022-08-21,GE,Georgia,EURO,13338.0,1728087,6.0,16833
2022-08-28,GE,Georgia,EURO,13595.0,1741682,6.0,16839
2022-09-04,GE,Georgia,EURO,19907.0,1761589,4.0,16843
2022-09-11,GE,Georgia,EURO,10340.0,1771929,6.0,16849
2022-09-18,GE,Georgia,EURO,8480.0,1780409,5.0,16854
2022-09-25,GE,Georgia,EURO,7214.0,1787623,4.0,16858
2022-10-02,GE,Georgia,EURO,5150.0,1792773,4.0,16862
2022-10-09,GE,Georgia,EURO,3997.0,1796770,5.0,16867
2022-10-16,GE,Georgia,EURO,2229.0,1798999,3.0,16870
2022-10-23,GE,Georgia,EURO,1814.0,1800813,1.0,16871
2022-10-30,GE,Georgia,EURO,1444.0,1802257,2.0,16873
2022-11-06,GE,Georgia,EURO,1139.0,1803396,5.0,16878
2022-11-13,GE,Georgia,EURO,1169.0,1804565,0.0,16878
2022-11-20,GE,Georgia,EURO,1077.0,1805642,3.0,16881
2022-11-27,GE,Georgia,EURO,889.0,1806531,6.0,16887
2022-12-04,GE,Georgia,EURO,748.0,1807279,3.0,16890
2022-12-11,GE,Georgia,EURO,623.0,1807902,3.0,16893
2022-12-18,GE,Georgia,EURO,636.0,1808538,4.0,16897
2022-12-25,GE,Georgia,EURO,641.0,1809179,1.0,16898
2023-01-01,GE,Georgia,EURO,691.0,1809870,5.0,16903
2023-01-08,GE,Georgia,EURO,1044.0,1810914,5.0,16908
2023-01-15,GE,Georgia,EURO,1152.0,1812066,7.0,16915
2023-01-22,GE,Georgia,EURO,1612.0,1813678,8.0,16923
2023-01-29,GE,Georgia,EURO,2034.0,1815712,10.0,16933
2023-02-05,GE,Georgia,EURO,2940.0,1818652,7.0,16940
2023-02-12,GE,Georgia,EURO,3195.0,1821847,9.0,16949
2023-02-19,GE,Georgia,EURO,2997.0,1824844,15.0,16964
2023-02-26,GE,Georgia,EURO,2531.0,1827375,5.0,16969
2023-03-05,GE,Georgia,EURO,2058.0,1829433,16.0,16985
2023-03-12,GE,Georgia,EURO,1812.0,1831245,15.0,17000
2023-03-19,GE,Georgia,EURO,1791.0,1833036,13.0,17013
2023-03-26,GE,Georgia,EURO,1597.0,1834633,9.0,17022
2023-04-02,GE,Georgia,EURO,1465.0,1836098,7.0,17029
2023-04-09,GE,Georgia,EURO,1558.0,1837656,11.0,17040
2023-04-16,GE,Georgia,EURO,1147.0,1838803,7.0,17047
2023-04-23,GE,Georgia,EURO,1054.0,1839857,10.0,17057
2023-04-30,GE,Georgia,EURO,1008.0,1840865,7.0,17064
2023-05-07,GE,Georgia,EURO,874.0,1841739,2.0,17066
2023-05-14,GE,Georgia,EURO,686.0,1842425,8.0,17074
2023-05-21,GE,Georgia,EURO,684.0,1843109,7.0,17081
2023-05-28,GE,Georgia,EURO,558.0,1843667,5.0,17086
2023-06-04,GE,Georgia,EURO,533.0,1844200,3.0,17089
2023-06-11,GE,Georgia,EURO,410.0,1844610,3.0,17092
2023-06-18,GE,Georgia,EURO,422.0,1845032,3.0,17095
2023-06-25,GE,Georgia,EURO,376.0,1845408,4.0,17099
2023-07-02,GE,Georgia,EURO,423.0,1845831,3.0,17102
2023-07-09,GE,Georgia,EURO,460.0,1846291,4.0,17106
2023-07-16,GE,Georgia,EURO,442.0,1846733,1.0,17107
2023-07-23,GE,Georgia,EURO,610.0,1847343,3.0,17110
2023-07-30,GE,Georgia,EURO,781.0,1848124,4.0,17114
2023-08-06,GE,Georgia,EURO,1126.0,1849250,2.0,17116
2023-08-13,GE,Georgia,EURO,1522.0,1850772,6.0,17122
2023-08-20,GE,Georgia,EURO,2093.0,1852865,5.0,17127
2023-08-27,GE,Georgia,EURO,2424.0,1855289,5.0,17132
2023-09-03,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-09-10,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-09-17,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-09-24,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-10-01,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-10-08,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-10-15,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-10-22,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-10-29,GE,Georgia,EURO,0.0,1855289,0.0,17132
2023-11-05,GE,Georgia,EURO,363.0,1855652,1.0,17133
2023-11-12,GE,Georgia,EURO,221.0,1855873,0.0,17133
2023-11-19,GE,Georgia,EURO,176.0,1856049,0.0,17133
2023-11-26,GE,Georgia,EURO,124.0,1856173,2.0,17135
2023-12-03,GE,Georgia,EURO,120.0,1856293,1.0,17136
2023-12-10,GE,Georgia,EURO,135.0,1856428,0.0,17136
2023-12-17,GE,Georgia,EURO,154.0,1856582,1.0,17137
2023-12-24,GE,Georgia,EURO,158.0,1856740,2.0,17139
2023-12-31,GE,Georgia,EURO,242.0,1856982,2.0,17141
2024-01-07,GE,Georgia,EURO,338.0,1857320,1.0,17142
2024-01-14,GE,Georgia,EURO,469.0,1857789,2.0,17144
2024-01-21,GE,Georgia,EURO,341.0,1858130,3.0,17147
2024-01-28,GE,Georgia,EURO,396.0,1858526,0.0,17147
2024-02-04,GE,Georgia,EURO,434.0,1858960,1.0,17148
2024-02-11,GE,Georgia,EURO,613.0,1859573,1.0,17149
2024-02-18,GE,Georgia,EURO,655.0,1860228,1.0,17150
2024-02-25,GE,Georgia,EURO,565.0,1860793,0.0,17150
2024-03-03,GE,Georgia,EURO,487.0,1861280,0.0,17150
2024-03-10,GE,Georgia,EURO,385.0,1861665,0.0,17150
2024-03-17,GE,Georgia,EURO,420.0,1862085,0.0,17150
2024-03-24,GE,Georgia,EURO,241.0,1862326,0.0,17150
2024-03-31,GE,Georgia,EURO,171.0,1862497,0.0,17150
2024-04-07,GE,Georgia,EURO,172.0,1862669,0.0,17150
2024-04-14,GE,Georgia,EURO,85.0,1862754,0.0,17150
2024-04-21,GE,Georgia,EURO,0.0,1862754,0.0,17150
2024-04-28,GE,Georgia,EURO,0.0,1862754,0.0,17150
