Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GG,Guernsey,,0.0,0,0.0,0
2020-01-12,GG,Guernsey,,0.0,0,0.0,0
2020-01-19,GG,Guernsey,,0.0,0,0.0,0
2020-01-26,GG,Guernsey,,0.0,0,0.0,0
2020-02-02,GG,Guernsey,,0.0,0,0.0,0
2020-02-09,GG,Guernsey,,0.0,0,0.0,0
2020-02-16,GG,Guernsey,,0.0,0,0.0,0
2020-02-23,GG,Guernsey,,0.0,0,0.0,0
2020-03-01,GG,Guernsey,,0.0,0,0.0,0
2020-03-08,GG,Guernsey,,1.0,1,0.0,0
2020-03-15,GG,Guernsey,,0.0,1,0.0,0
2020-03-22,GG,Guernsey,,22.0,23,0.0,0
2020-03-29,GG,Guernsey,,23.0,46,0.0,0
2020-04-05,GG,Guernsey,,81.0,127,4.0,4
2020-04-12,GG,Guernsey,,82.0,209,5.0,9
2020-04-19,GG,Guernsey,,30.0,239,4.0,13
2020-04-26,GG,Guernsey,,6.0,245,3.0,16
2020-05-03,GG,Guernsey,,7.0,252,0.0,16
2020-05-10,GG,Guernsey,,0.0,252,0.0,16
2020-05-17,GG,Guernsey,,0.0,252,0.0,16
2020-05-24,GG,Guernsey,,0.0,252,0.0,16
2020-05-31,GG,Guernsey,,0.0,252,0.0,16
2020-06-07,GG,Guernsey,,0.0,252,0.0,16
2020-06-14,GG,Guernsey,,0.0,252,0.0,16
2020-06-21,GG,Guernsey,,0.0,252,0.0,16
2020-06-28,GG,Guernsey,,0.0,252,0.0,16
2020-07-05,GG,Guernsey,,0.0,252,0.0,16
2020-07-12,GG,Guernsey,,0.0,252,0.0,16
2020-07-19,GG,Guernsey,,0.0,252,0.0,16
2020-07-26,GG,Guernsey,,0.0,252,0.0,16
2020-08-02,GG,Guernsey,,0.0,252,0.0,16
2020-08-09,GG,Guernsey,,0.0,252,0.0,16
2020-08-16,GG,Guernsey,,0.0,252,0.0,16
2020-08-23,GG,Guernsey,,0.0,252,0.0,16
2020-08-30,GG,Guernsey,,0.0,252,0.0,16
2020-09-06,GG,Guernsey,,1.0,253,0.0,16
2020-09-13,GG,Guernsey,,1.0,254,0.0,16
2020-09-20,GG,Guernsey,,1.0,255,0.0,16
2020-09-27,GG,Guernsey,,2.0,257,0.0,16
2020-10-04,GG,Guernsey,,0.0,257,0.0,16
2020-10-11,GG,Guernsey,,1.0,258,0.0,16
2020-10-18,GG,Guernsey,,0.0,258,0.0,16
2020-10-25,GG,Guernsey,,7.0,265,0.0,16
2020-11-01,GG,Guernsey,,3.0,268,0.0,16
2020-11-08,GG,Guernsey,,11.0,279,0.0,16
2020-11-15,GG,Guernsey,,3.0,282,0.0,16
2020-11-22,GG,Guernsey,,1.0,283,0.0,16
2020-11-29,GG,Guernsey,,3.0,286,0.0,16
2020-12-06,GG,Guernsey,,2.0,288,0.0,16
2020-12-13,GG,Guernsey,,1.0,289,0.0,16
2020-12-20,GG,Guernsey,,3.0,292,0.0,16
2020-12-27,GG,Guernsey,,5.0,297,0.0,16
2021-01-03,GG,Guernsey,,2.0,299,0.0,16
2021-01-10,GG,Guernsey,,5.0,304,0.0,16
2021-01-17,GG,Guernsey,,5.0,309,0.0,16
2021-01-24,GG,Guernsey,,5.0,314,0.0,16
2021-01-31,GG,Guernsey,,179.0,493,0.0,16
2021-02-07,GG,Guernsey,,218.0,711,0.0,16
2021-02-14,GG,Guernsey,,78.0,789,1.0,17
2021-02-21,GG,Guernsey,,23.0,812,0.0,17
2021-02-28,GG,Guernsey,,9.0,821,0.0,17
2021-03-07,GG,Guernsey,,0.0,821,0.0,17
2021-03-14,GG,Guernsey,,0.0,821,0.0,17
2021-03-21,GG,Guernsey,,0.0,821,0.0,17
2021-03-28,GG,Guernsey,,0.0,821,0.0,17
2021-04-04,GG,Guernsey,,0.0,821,0.0,17
2021-04-11,GG,Guernsey,,0.0,821,0.0,17
2021-04-18,GG,Guernsey,,1.0,822,0.0,17
2021-04-25,GG,Guernsey,,0.0,822,0.0,17
2021-05-02,GG,Guernsey,,0.0,822,0.0,17
2021-05-09,GG,Guernsey,,0.0,822,0.0,17
2021-05-16,GG,Guernsey,,0.0,822,0.0,17
2021-05-23,GG,Guernsey,,0.0,822,0.0,17
2021-05-30,GG,Guernsey,,0.0,822,0.0,17
2021-06-06,GG,Guernsey,,1.0,823,0.0,17
2021-06-13,GG,Guernsey,,0.0,823,0.0,17
2021-06-20,GG,Guernsey,,3.0,826,0.0,17
2021-06-27,GG,Guernsey,,8.0,834,0.0,17
2021-07-04,GG,Guernsey,,13.0,847,0.0,17
2021-07-11,GG,Guernsey,,8.0,855,0.0,17
2021-07-18,GG,Guernsey,,27.0,882,0.0,17
2021-07-25,GG,Guernsey,,43.0,925,0.0,17
2021-08-01,GG,Guernsey,,29.0,954,0.0,17
2021-08-08,GG,Guernsey,,46.0,1000,1.0,18
2021-08-15,GG,Guernsey,,71.0,1071,0.0,18
2021-08-22,GG,Guernsey,,90.0,1161,0.0,18
2021-08-29,GG,Guernsey,,89.0,1250,0.0,18
2021-09-05,GG,Guernsey,,93.0,1343,0.0,18
2021-09-12,GG,Guernsey,,86.0,1429,0.0,18
2021-09-19,GG,Guernsey,,80.0,1509,3.0,21
2021-09-26,GG,Guernsey,,53.0,1562,0.0,21
2021-10-03,GG,Guernsey,,69.0,1631,0.0,21
2021-10-10,GG,Guernsey,,59.0,1690,0.0,21
2021-10-17,GG,Guernsey,,145.0,1835,0.0,21
2021-10-24,GG,Guernsey,,166.0,2001,1.0,22
2021-10-31,GG,Guernsey,,133.0,2134,1.0,23
2021-11-07,GG,Guernsey,,203.0,2337,0.0,23
2021-11-14,GG,Guernsey,,341.0,2678,0.0,23
2021-11-21,GG,Guernsey,,423.0,3101,0.0,23
2021-11-28,GG,Guernsey,,646.0,3747,0.0,23
2021-12-05,GG,Guernsey,,777.0,4524,0.0,23
2021-12-12,GG,Guernsey,,560.0,5084,0.0,23
2021-12-19,GG,Guernsey,,578.0,5662,0.0,23
2021-12-26,GG,Guernsey,,984.0,6646,0.0,23
2022-01-02,GG,Guernsey,,1683.0,8329,1.0,24
2022-01-09,GG,Guernsey,,1363.0,9692,4.0,28
2022-01-16,GG,Guernsey,,679.0,10371,2.0,30
2022-01-23,GG,Guernsey,,318.0,10689,0.0,30
2022-01-30,GG,Guernsey,,447.0,11136,0.0,30
2022-02-06,GG,Guernsey,,641.0,11777,1.0,31
2022-02-13,GG,Guernsey,,757.0,12534,0.0,31
2022-02-20,GG,Guernsey,,686.0,13220,3.0,34
2022-02-27,GG,Guernsey,,508.0,13728,1.0,35
2022-03-06,GG,Guernsey,,931.0,14659,0.0,35
2022-03-13,GG,Guernsey,,1196.0,15855,0.0,35
2022-03-20,GG,Guernsey,,2077.0,17932,1.0,36
2022-03-27,GG,Guernsey,,2936.0,20868,0.0,36
2022-04-03,GG,Guernsey,,1389.0,22257,0.0,36
2022-04-10,GG,Guernsey,,767.0,23024,3.0,39
2022-04-17,GG,Guernsey,,660.0,23684,0.0,39
2022-04-24,GG,Guernsey,,517.0,24201,0.0,39
2022-05-01,GG,Guernsey,,372.0,24573,0.0,39
2022-05-08,GG,Guernsey,,259.0,24832,2.0,41
2022-05-15,GG,Guernsey,,283.0,25115,1.0,42
2022-05-22,GG,Guernsey,,258.0,25373,1.0,43
2022-05-29,GG,Guernsey,,251.0,25624,0.0,43
2022-06-05,GG,Guernsey,,124.0,25748,0.0,43
2022-06-12,GG,Guernsey,,171.0,25919,0.0,43
2022-06-19,GG,Guernsey,,257.0,26176,0.0,43
2022-06-26,GG,Guernsey,,365.0,26541,0.0,43
2022-07-03,GG,Guernsey,,560.0,27101,1.0,44
2022-07-10,GG,Guernsey,,997.0,28098,1.0,45
2022-07-17,GG,Guernsey,,947.0,29045,1.0,46
2022-07-24,GG,Guernsey,,556.0,29601,4.0,50
2022-07-31,GG,Guernsey,,323.0,29924,0.0,50
2022-08-07,GG,Guernsey,,274.0,30198,3.0,53
2022-08-14,GG,Guernsey,,167.0,30365,2.0,55
2022-08-21,GG,Guernsey,,154.0,30519,0.0,55
2022-08-28,GG,Guernsey,,132.0,30651,0.0,55
2022-09-04,GG,Guernsey,,116.0,30767,0.0,55
2022-09-11,GG,Guernsey,,116.0,30883,0.0,55
2022-09-18,GG,Guernsey,,109.0,30992,0.0,55
2022-09-25,GG,Guernsey,,107.0,31099,0.0,55
2022-10-02,GG,Guernsey,,210.0,31309,1.0,56
2022-10-09,GG,Guernsey,,236.0,31545,0.0,56
2022-10-16,GG,Guernsey,,291.0,31836,0.0,56
2022-10-23,GG,Guernsey,,282.0,32118,0.0,56
2022-10-30,GG,Guernsey,,206.0,32324,1.0,57
2022-11-06,GG,Guernsey,,142.0,32466,0.0,57
2022-11-13,GG,Guernsey,,96.0,32562,1.0,58
2022-11-20,GG,Guernsey,,104.0,32666,0.0,58
2022-11-27,GG,Guernsey,,100.0,32766,0.0,58
2022-12-04,GG,Guernsey,,134.0,32900,0.0,58
2022-12-11,GG,Guernsey,,180.0,33080,1.0,59
2022-12-18,GG,Guernsey,,369.0,33449,0.0,59
2022-12-25,GG,Guernsey,,345.0,33794,1.0,60
2023-01-01,GG,Guernsey,,323.0,34117,1.0,61
2023-01-08,GG,Guernsey,,280.0,34397,1.0,62
2023-01-15,GG,Guernsey,,167.0,34564,0.0,62
2023-01-22,GG,Guernsey,,108.0,34672,4.0,66
2023-01-29,GG,Guernsey,,43.0,34715,0.0,66
2023-02-05,GG,Guernsey,,54.0,34769,0.0,66
2023-02-12,GG,Guernsey,,45.0,34814,0.0,66
2023-02-19,GG,Guernsey,,53.0,34867,0.0,66
2023-02-26,GG,Guernsey,,62.0,34929,0.0,66
2023-03-05,GG,Guernsey,,62.0,34991,0.0,66
2023-03-12,GG,Guernsey,,67.0,35058,0.0,66
2023-03-19,GG,Guernsey,,81.0,35139,1.0,67
2023-03-26,GG,Guernsey,,96.0,35235,0.0,67
2023-04-02,GG,Guernsey,,0.0,35235,0.0,67
2023-04-09,GG,Guernsey,,0.0,35235,0.0,67
2023-04-16,GG,Guernsey,,91.0,35326,0.0,67
2023-04-23,GG,Guernsey,,0.0,35326,0.0,67
2023-04-30,GG,Guernsey,,0.0,35326,0.0,67
2023-05-07,GG,Guernsey,,0.0,35326,0.0,67
2023-05-14,GG,Guernsey,,0.0,35326,0.0,67
2023-05-21,GG,Guernsey,,0.0,35326,0.0,67
2023-05-28,GG,Guernsey,,0.0,35326,0.0,67
2023-06-04,GG,Guernsey,,0.0,35326,0.0,67
2023-06-11,GG,Guernsey,,0.0,35326,0.0,67
2023-06-18,GG,Guernsey,,0.0,35326,0.0,67
2023-06-25,GG,Guernsey,,0.0,35326,0.0,67
2023-07-02,GG,Guernsey,,0.0,35326,0.0,67
2023-07-09,GG,Guernsey,,0.0,35326,0.0,67
2023-07-16,GG,Guernsey,,0.0,35326,0.0,67
2023-07-23,GG,Guernsey,,0.0,35326,0.0,67
2023-07-30,GG,Guernsey,,0.0,35326,0.0,67
2023-08-06,GG,Guernsey,,0.0,35326,0.0,67
2023-08-13,GG,Guernsey,,0.0,35326,0.0,67
2023-08-20,GG,Guernsey,,0.0,35326,0.0,67
2023-08-27,GG,Guernsey,,0.0,35326,0.0,67
