Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GM,Gambia,AFRO,0.0,0,0.0,0
2020-01-12,GM,Gambia,AFRO,0.0,0,0.0,0
2020-01-19,GM,Gambia,AFRO,0.0,0,0.0,0
2020-01-26,GM,Gambia,AFRO,0.0,0,0.0,0
2020-02-02,GM,Gambia,AFRO,0.0,0,0.0,0
2020-02-09,GM,Gambia,AFRO,0.0,0,0.0,0
2020-02-16,GM,Gambia,AFRO,0.0,0,0.0,0
2020-02-23,GM,Gambia,AFRO,0.0,0,0.0,0
2020-03-01,GM,Gambia,AFRO,0.0,0,0.0,0
2020-03-08,GM,Gambia,AFRO,0.0,0,0.0,0
2020-03-15,GM,Gambia,AFRO,0.0,0,0.0,0
2020-03-22,GM,Gambia,AFRO,1.0,1,0.0,0
2020-03-29,GM,Gambia,AFRO,2.0,3,0.0,0
2020-04-05,GM,Gambia,AFRO,1.0,4,0.0,0
2020-04-12,GM,Gambia,AFRO,5.0,9,0.0,0
2020-04-19,GM,Gambia,AFRO,0.0,9,0.0,0
2020-04-26,GM,Gambia,AFRO,1.0,10,0.0,0
2020-05-03,GM,Gambia,AFRO,7.0,17,0.0,0
2020-05-10,GM,Gambia,AFRO,3.0,20,0.0,0
2020-05-17,GM,Gambia,AFRO,4.0,24,0.0,0
2020-05-24,GM,Gambia,AFRO,1.0,25,0.0,0
2020-05-31,GM,Gambia,AFRO,0.0,25,0.0,0
2020-06-07,GM,Gambia,AFRO,1.0,26,0.0,0
2020-06-14,GM,Gambia,AFRO,2.0,28,0.0,0
2020-06-21,GM,Gambia,AFRO,9.0,37,0.0,0
2020-06-28,GM,Gambia,AFRO,8.0,45,0.0,0
2020-07-05,GM,Gambia,AFRO,12.0,57,0.0,0
2020-07-12,GM,Gambia,AFRO,7.0,64,0.0,0
2020-07-19,GM,Gambia,AFRO,48.0,112,0.0,0
2020-07-26,GM,Gambia,AFRO,165.0,277,0.0,0
2020-08-02,GM,Gambia,AFRO,207.0,484,0.0,0
2020-08-09,GM,Gambia,AFRO,848.0,1332,0.0,0
2020-08-16,GM,Gambia,AFRO,526.0,1858,0.0,0
2020-08-23,GM,Gambia,AFRO,727.0,2585,0.0,0
2020-08-30,GM,Gambia,AFRO,378.0,2963,0.0,0
2020-09-06,GM,Gambia,AFRO,233.0,3196,0.0,0
2020-09-13,GM,Gambia,AFRO,209.0,3405,0.0,0
2020-09-20,GM,Gambia,AFRO,121.0,3526,0.0,0
2020-09-27,GM,Gambia,AFRO,43.0,3569,0.0,0
2020-10-04,GM,Gambia,AFRO,25.0,3594,115.0,115
2020-10-11,GM,Gambia,AFRO,38.0,3632,2.0,117
2020-10-18,GM,Gambia,AFRO,17.0,3649,1.0,118
2020-10-25,GM,Gambia,AFRO,11.0,3660,1.0,119
2020-11-01,GM,Gambia,AFRO,12.0,3672,0.0,119
2020-11-08,GM,Gambia,AFRO,12.0,3684,2.0,121
2020-11-15,GM,Gambia,AFRO,18.0,3702,1.0,122
2020-11-22,GM,Gambia,AFRO,24.0,3726,1.0,123
2020-11-29,GM,Gambia,AFRO,8.0,3734,0.0,123
2020-12-06,GM,Gambia,AFRO,36.0,3770,0.0,123
2020-12-13,GM,Gambia,AFRO,12.0,3782,0.0,123
2020-12-20,GM,Gambia,AFRO,6.0,3788,0.0,123
2020-12-27,GM,Gambia,AFRO,4.0,3792,0.0,123
2021-01-03,GM,Gambia,AFRO,10.0,3802,1.0,124
2021-01-10,GM,Gambia,AFRO,55.0,3857,1.0,125
2021-01-17,GM,Gambia,AFRO,53.0,3910,3.0,128
2021-01-24,GM,Gambia,AFRO,62.0,3972,0.0,128
2021-01-31,GM,Gambia,AFRO,118.0,4090,0.0,128
2021-02-07,GM,Gambia,AFRO,147.0,4237,6.0,134
2021-02-14,GM,Gambia,AFRO,177.0,4414,4.0,138
2021-02-21,GM,Gambia,AFRO,140.0,4554,6.0,144
2021-02-28,GM,Gambia,AFRO,158.0,4712,6.0,150
2021-03-07,GM,Gambia,AFRO,80.0,4792,3.0,153
2021-03-14,GM,Gambia,AFRO,227.0,5019,0.0,153
2021-03-21,GM,Gambia,AFRO,236.0,5255,8.0,161
2021-03-28,GM,Gambia,AFRO,165.0,5420,3.0,164
2021-04-04,GM,Gambia,AFRO,85.0,5505,2.0,166
2021-04-11,GM,Gambia,AFRO,97.0,5602,2.0,168
2021-04-18,GM,Gambia,AFRO,131.0,5733,2.0,170
2021-04-25,GM,Gambia,AFRO,124.0,5857,3.0,173
