Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GN,Guinea,AFRO,0.0,0,0.0,0
2020-01-12,GN,Guinea,AFRO,0.0,0,0.0,0
2020-01-19,GN,Guinea,AFRO,0.0,0,0.0,0
2020-01-26,GN,Guinea,AFRO,0.0,0,0.0,0
2020-02-02,GN,Guinea,AFRO,0.0,0,0.0,0
2020-02-09,GN,Guinea,AFRO,0.0,0,0.0,0
2020-02-16,GN,Guinea,AFRO,0.0,0,0.0,0
2020-02-23,GN,Guinea,AFRO,0.0,0,0.0,0
2020-03-01,GN,Guinea,AFRO,0.0,0,0.0,0
2020-03-08,GN,Guinea,AFRO,0.0,0,0.0,0
2020-03-15,GN,Guinea,AFRO,1.0,1,0.0,0
2020-03-22,GN,Guinea,AFRO,3.0,4,0.0,0
2020-03-29,GN,Guinea,AFRO,5.0,9,0.0,0
2020-04-05,GN,Guinea,AFRO,112.0,121,0.0,0
2020-04-12,GN,Guinea,AFRO,129.0,250,0.0,0
2020-04-19,GN,Guinea,AFRO,227.0,477,4.0,4
2020-04-26,GN,Guinea,AFRO,617.0,1094,4.0,8
2020-05-03,GN,Guinea,AFRO,492.0,1586,0.0,8
2020-05-10,GN,Guinea,AFRO,456.0,2042,4.0,12
2020-05-17,GN,Guinea,AFRO,621.0,2663,4.0,16
2020-05-24,GN,Guinea,AFRO,513.0,3176,4.0,20
2020-05-31,GN,Guinea,AFRO,530.0,3706,3.0,23
2020-06-07,GN,Guinea,AFRO,411.0,4117,0.0,23
2020-06-14,GN,Guinea,AFRO,367.0,4484,2.0,25
2020-06-21,GN,Guinea,AFRO,476.0,4960,2.0,27
2020-06-28,GN,Guinea,AFRO,331.0,5291,3.0,30
2020-07-05,GN,Guinea,AFRO,279.0,5570,4.0,34
2020-07-12,GN,Guinea,AFRO,571.0,6141,3.0,37
2020-07-19,GN,Guinea,AFRO,350.0,6491,2.0,39
2020-07-26,GN,Guinea,AFRO,436.0,6927,3.0,42
2020-08-02,GN,Guinea,AFRO,381.0,7308,4.0,46
2020-08-09,GN,Guinea,AFRO,567.0,7875,4.0,50
2020-08-16,GN,Guinea,AFRO,468.0,8343,0.0,50
2020-08-23,GN,Guinea,AFRO,624.0,8967,3.0,53
2020-08-30,GN,Guinea,AFRO,284.0,9251,6.0,59
2020-09-06,GN,Guinea,AFRO,471.0,9722,2.0,61
2020-09-13,GN,Guinea,AFRO,298.0,10020,2.0,63
2020-09-20,GN,Guinea,AFRO,266.0,10286,0.0,63
2020-09-27,GN,Guinea,AFRO,262.0,10548,3.0,66
2020-10-04,GN,Guinea,AFRO,206.0,10754,0.0,66
2020-10-11,GN,Guinea,AFRO,268.0,11022,3.0,69
2020-10-18,GN,Guinea,AFRO,456.0,11478,1.0,70
2020-10-25,GN,Guinea,AFRO,191.0,11669,1.0,71
2020-11-01,GN,Guinea,AFRO,403.0,12072,1.0,72
2020-11-08,GN,Guinea,AFRO,342.0,12414,2.0,74
2020-11-15,GN,Guinea,AFRO,197.0,12611,1.0,75
2020-11-22,GN,Guinea,AFRO,215.0,12826,0.0,75
2020-11-29,GN,Guinea,AFRO,213.0,13039,1.0,76
2020-12-06,GN,Guinea,AFRO,194.0,13233,0.0,76
2020-12-13,GN,Guinea,AFRO,187.0,13420,3.0,79
2020-12-20,GN,Guinea,AFRO,125.0,13545,1.0,80
2020-12-27,GN,Guinea,AFRO,129.0,13674,0.0,80
2021-01-03,GN,Guinea,AFRO,110.0,13784,1.0,81
2021-01-10,GN,Guinea,AFRO,158.0,13942,0.0,81
2021-01-17,GN,Guinea,AFRO,172.0,14114,0.0,81
2021-01-24,GN,Guinea,AFRO,205.0,14319,0.0,81
2021-01-31,GN,Guinea,AFRO,213.0,14532,1.0,82
2021-02-07,GN,Guinea,AFRO,155.0,14687,2.0,84
2021-02-14,GN,Guinea,AFRO,259.0,14946,0.0,84
2021-02-21,GN,Guinea,AFRO,449.0,15395,2.0,86
2021-02-28,GN,Guinea,AFRO,597.0,15992,3.0,89
2021-03-07,GN,Guinea,AFRO,833.0,16825,2.0,91
2021-03-14,GN,Guinea,AFRO,767.0,17592,9.0,100
2021-03-21,GN,Guinea,AFRO,1125.0,18717,10.0,110
2021-03-28,GN,Guinea,AFRO,953.0,19670,10.0,120
2021-04-04,GN,Guinea,AFRO,735.0,20405,10.0,130
2021-04-11,GN,Guinea,AFRO,544.0,20949,4.0,134
2021-04-18,GN,Guinea,AFRO,511.0,21460,4.0,138
2021-04-25,GN,Guinea,AFRO,493.0,21953,2.0,140
2021-05-02,GN,Guinea,AFRO,351.0,22304,5.0,145
2021-05-09,GN,Guinea,AFRO,329.0,22633,5.0,150
2021-05-16,GN,Guinea,AFRO,113.0,22746,1.0,151
2021-05-23,GN,Guinea,AFRO,242.0,22988,7.0,158
2021-05-30,GN,Guinea,AFRO,184.0,23172,3.0,161
2021-06-06,GN,Guinea,AFRO,83.0,23255,1.0,162
2021-06-13,GN,Guinea,AFRO,134.0,23389,5.0,167
2021-06-20,GN,Guinea,AFRO,61.0,23450,0.0,167
2021-06-27,GN,Guinea,AFRO,242.0,23692,1.0,168
2021-07-04,GN,Guinea,AFRO,179.0,23871,5.0,173
2021-07-11,GN,Guinea,AFRO,263.0,24134,6.0,179
2021-07-18,GN,Guinea,AFRO,577.0,24711,11.0,190
2021-07-25,GN,Guinea,AFRO,282.0,24993,8.0,198
2021-08-01,GN,Guinea,AFRO,921.0,25914,34.0,232
2021-08-08,GN,Guinea,AFRO,1055.0,26969,28.0,260
2021-08-15,GN,Guinea,AFRO,1149.0,28118,32.0,292
2021-08-22,GN,Guinea,AFRO,684.0,28802,22.0,314
2021-08-29,GN,Guinea,AFRO,598.0,29400,21.0,335
2021-09-05,GN,Guinea,AFRO,464.0,29864,20.0,355
2021-09-12,GN,Guinea,AFRO,183.0,30047,13.0,368
2021-09-19,GN,Guinea,AFRO,89.0,30136,2.0,370
2021-09-26,GN,Guinea,AFRO,228.0,30364,8.0,378
2021-10-03,GN,Guinea,AFRO,81.0,30445,3.0,381
2021-10-10,GN,Guinea,AFRO,34.0,30479,2.0,383
2021-10-17,GN,Guinea,AFRO,93.0,30572,2.0,385
2021-10-24,GN,Guinea,AFRO,54.0,30626,0.0,385
2021-10-31,GN,Guinea,AFRO,27.0,30653,0.0,385
2021-11-07,GN,Guinea,AFRO,28.0,30681,0.0,385
2021-11-14,GN,Guinea,AFRO,34.0,30715,2.0,387
2021-11-21,GN,Guinea,AFRO,0.0,30715,0.0,387
2021-11-28,GN,Guinea,AFRO,48.0,30763,0.0,387
2021-12-05,GN,Guinea,AFRO,35.0,30798,1.0,388
2021-12-12,GN,Guinea,AFRO,15.0,30813,0.0,388
2021-12-19,GN,Guinea,AFRO,1.0,30814,0.0,388
2021-12-26,GN,Guinea,AFRO,316.0,31130,1.0,389
2022-01-02,GN,Guinea,AFRO,1737.0,32867,2.0,391
2022-01-09,GN,Guinea,AFRO,1806.0,34673,9.0,400
2022-01-16,GN,Guinea,AFRO,929.0,35602,8.0,408
2022-01-23,GN,Guinea,AFRO,306.0,35908,8.0,416
2022-01-30,GN,Guinea,AFRO,105.0,36013,0.0,416
2022-02-06,GN,Guinea,AFRO,257.0,36270,16.0,432
2022-02-13,GN,Guinea,AFRO,59.0,36329,4.0,436
2022-02-20,GN,Guinea,AFRO,25.0,36354,2.0,438
2022-02-27,GN,Guinea,AFRO,39.0,36393,2.0,440
2022-03-06,GN,Guinea,AFRO,4.0,36397,0.0,440
2022-03-13,GN,Guinea,AFRO,30.0,36427,0.0,440
2022-03-20,GN,Guinea,AFRO,28.0,36455,0.0,440
2022-03-27,GN,Guinea,AFRO,4.0,36459,0.0,440
2022-04-03,GN,Guinea,AFRO,43.0,36502,0.0,440
2022-04-10,GN,Guinea,AFRO,0.0,36502,0.0,440
2022-04-17,GN,Guinea,AFRO,38.0,36540,1.0,441
2022-04-24,GN,Guinea,AFRO,9.0,36549,1.0,442
2022-05-01,GN,Guinea,AFRO,0.0,36549,0.0,442
2022-05-08,GN,Guinea,AFRO,48.0,36597,0.0,442
2022-05-15,GN,Guinea,AFRO,64.0,36661,0.0,442
2022-05-22,GN,Guinea,AFRO,38.0,36699,0.0,442
2022-05-29,GN,Guinea,AFRO,65.0,36764,0.0,442
2022-06-05,GN,Guinea,AFRO,53.0,36817,0.0,442
2022-06-12,GN,Guinea,AFRO,56.0,36873,0.0,442
2022-06-19,GN,Guinea,AFRO,151.0,37024,0.0,442
2022-06-26,GN,Guinea,AFRO,99.0,37123,1.0,443
2022-07-03,GN,Guinea,AFRO,150.0,37273,0.0,443
2022-07-10,GN,Guinea,AFRO,78.0,37351,2.0,445
2022-07-17,GN,Guinea,AFRO,18.0,37369,0.0,445
2022-07-24,GN,Guinea,AFRO,39.0,37408,0.0,445
2022-07-31,GN,Guinea,AFRO,21.0,37429,0.0,445
2022-08-07,GN,Guinea,AFRO,41.0,37470,2.0,447
2022-08-14,GN,Guinea,AFRO,0.0,37470,0.0,447
2022-08-21,GN,Guinea,AFRO,0.0,37470,0.0,447
2022-08-28,GN,Guinea,AFRO,97.0,37567,1.0,448
2022-09-04,GN,Guinea,AFRO,85.0,37652,1.0,449
2022-09-11,GN,Guinea,AFRO,78.0,37730,0.0,449
2022-09-18,GN,Guinea,AFRO,99.0,37829,1.0,450
2022-09-25,GN,Guinea,AFRO,80.0,37909,3.0,453
2022-10-02,GN,Guinea,AFRO,41.0,37950,2.0,455
2022-10-09,GN,Guinea,AFRO,49.0,37999,1.0,456
2022-10-16,GN,Guinea,AFRO,48.0,38047,0.0,456
2022-10-23,GN,Guinea,AFRO,43.0,38090,2.0,458
2022-10-30,GN,Guinea,AFRO,32.0,38122,0.0,458
2022-11-06,GN,Guinea,AFRO,0.0,38122,0.0,458
2022-11-13,GN,Guinea,AFRO,31.0,38153,6.0,464
2022-11-20,GN,Guinea,AFRO,9.0,38162,1.0,465
2022-11-27,GN,Guinea,AFRO,14.0,38176,0.0,465
2022-12-04,GN,Guinea,AFRO,15.0,38191,0.0,465
2022-12-11,GN,Guinea,AFRO,10.0,38201,0.0,465
2022-12-18,GN,Guinea,AFRO,9.0,38210,1.0,466
2022-12-25,GN,Guinea,AFRO,1.0,38211,0.0,466
2023-01-01,GN,Guinea,AFRO,13.0,38224,1.0,467
2023-01-08,GN,Guinea,AFRO,1.0,38225,0.0,467
2023-01-15,GN,Guinea,AFRO,15.0,38240,0.0,467
2023-01-22,GN,Guinea,AFRO,10.0,38250,0.0,467
2023-01-29,GN,Guinea,AFRO,5.0,38255,0.0,467
2023-02-05,GN,Guinea,AFRO,12.0,38267,0.0,467
2023-02-12,GN,Guinea,AFRO,0.0,38267,0.0,467
2023-02-19,GN,Guinea,AFRO,13.0,38280,0.0,467
2023-02-26,GN,Guinea,AFRO,0.0,38280,0.0,467
2023-03-05,GN,Guinea,AFRO,0.0,38280,0.0,467
2023-03-12,GN,Guinea,AFRO,0.0,38280,0.0,467
2023-03-19,GN,Guinea,AFRO,102.0,38382,0.0,467
2023-03-26,GN,Guinea,AFRO,18.0,38400,0.0,467
2023-04-02,GN,Guinea,AFRO,30.0,38430,0.0,467
2023-04-09,GN,Guinea,AFRO,32.0,38462,0.0,467
2023-04-16,GN,Guinea,AFRO,57.0,38519,1.0,468
2023-04-23,GN,Guinea,AFRO,28.0,38547,0.0,468
2023-04-30,GN,Guinea,AFRO,16.0,38563,0.0,468
2023-05-07,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-05-14,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-05-21,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-05-28,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-06-04,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-06-11,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-06-18,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-06-25,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-07-02,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-07-09,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-07-16,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-07-23,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-07-30,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-08-06,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-08-13,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-08-20,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-08-27,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-09-03,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-09-10,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-09-17,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-09-24,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-10-01,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-10-08,GN,Guinea,AFRO,0.0,38563,0.0,468
2023-10-15,GN,Guinea,AFRO,3.0,38566,0.0,468
2023-10-22,GN,Guinea,AFRO,1.0,38567,0.0,468
2023-10-29,GN,Guinea,AFRO,1.0,38568,0.0,468
2023-11-05,GN,Guinea,AFRO,4.0,38572,0.0,468
2023-11-12,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-11-19,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-11-26,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-12-03,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-12-10,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-12-17,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-12-24,GN,Guinea,AFRO,0.0,38572,0.0,468
2023-12-31,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-01-07,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-01-14,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-01-21,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-01-28,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-02-04,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-02-11,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-02-18,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-02-25,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-03-03,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-03-10,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-03-17,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-03-24,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-03-31,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-04-07,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-04-14,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-04-21,GN,Guinea,AFRO,0.0,38572,0.0,468
2024-04-28,GN,Guinea,AFRO,0.0,38572,0.0,468
