Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GP,Guadeloupe,,0.0,0,0.0,0
2020-01-12,GP,Guadeloupe,,0.0,0,0.0,0
2020-01-19,GP,Guadeloupe,,0.0,0,0.0,0
2020-01-26,GP,Guadeloupe,,0.0,0,0.0,0
2020-02-02,GP,Guadeloupe,,0.0,0,0.0,0
2020-02-09,GP,Guadeloupe,,0.0,0,0.0,0
2020-02-16,GP,Guadeloupe,,0.0,0,0.0,0
2020-02-23,GP,Guadeloupe,,0.0,0,0.0,0
2020-03-01,GP,Guadeloupe,,0.0,0,0.0,0
2020-03-08,GP,Guadeloupe,,0.0,0,0.0,0
2020-03-15,GP,Guadeloupe,,1.0,1,0.0,0
2020-03-22,GP,Guadeloupe,,50.0,51,0.0,0
2020-03-29,GP,Guadeloupe,,45.0,96,2.0,2
2020-04-05,GP,Guadeloupe,,34.0,130,5.0,7
2020-04-12,GP,Guadeloupe,,13.0,143,1.0,8
2020-04-19,GP,Guadeloupe,,2.0,145,3.0,11
2020-04-26,GP,Guadeloupe,,4.0,149,1.0,12
2020-05-03,GP,Guadeloupe,,3.0,152,0.0,12
2020-05-10,GP,Guadeloupe,,2.0,154,1.0,13
2020-05-17,GP,Guadeloupe,,1.0,155,0.0,13
2020-05-24,GP,Guadeloupe,,1.0,156,0.0,13
2020-05-31,GP,Guadeloupe,,6.0,162,1.0,14
2020-06-07,GP,Guadeloupe,,2.0,164,0.0,14
2020-06-14,GP,Guadeloupe,,7.0,171,0.0,14
2020-06-21,GP,Guadeloupe,,3.0,174,0.0,14
2020-06-28,GP,Guadeloupe,,8.0,182,0.0,14
2020-07-05,GP,Guadeloupe,,2.0,184,0.0,14
2020-07-12,GP,Guadeloupe,,6.0,190,0.0,14
2020-07-19,GP,Guadeloupe,,5.0,195,0.0,14
2020-07-26,GP,Guadeloupe,,8.0,203,0.0,14
2020-08-02,GP,Guadeloupe,,62.0,265,0.0,14
2020-08-09,GP,Guadeloupe,,25.0,290,0.0,14
2020-08-16,GP,Guadeloupe,,156.0,446,0.0,14
2020-08-23,GP,Guadeloupe,,325.0,771,1.0,15
2020-08-30,GP,Guadeloupe,,164.0,935,0.0,15
2020-09-06,GP,Guadeloupe,,428.0,1363,5.0,20
2020-09-13,GP,Guadeloupe,,1717.0,3080,4.0,24
2020-09-20,GP,Guadeloupe,,346.0,3426,2.0,26
2020-09-27,GP,Guadeloupe,,1528.0,4954,16.0,42
2020-10-04,GP,Guadeloupe,,949.0,5903,33.0,75
2020-10-11,GP,Guadeloupe,,580.0,6483,20.0,95
2020-10-18,GP,Guadeloupe,,639.0,7122,16.0,111
2020-10-25,GP,Guadeloupe,,352.0,7474,16.0,127
2020-11-01,GP,Guadeloupe,,268.0,7742,-1.0,126
2020-11-08,GP,Guadeloupe,,161.0,7903,7.0,133
2020-11-15,GP,Guadeloupe,,195.0,8098,6.0,139
2020-11-22,GP,Guadeloupe,,127.0,8225,5.0,144
2020-11-29,GP,Guadeloupe,,119.0,8344,5.0,149
2020-12-06,GP,Guadeloupe,,83.0,8427,0.0,149
