Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GR,Greece,EURO,0.0,0,0.0,0
2020-01-12,GR,Greece,EURO,0.0,0,0.0,0
2020-01-19,GR,Greece,EURO,0.0,0,0.0,0
2020-01-26,GR,Greece,EURO,0.0,0,0.0,0
2020-02-02,GR,Greece,EURO,0.0,0,0.0,0
2020-02-09,GR,Greece,EURO,0.0,0,0.0,0
2020-02-16,GR,Greece,EURO,0.0,0,0.0,0
2020-02-23,GR,Greece,EURO,0.0,0,0.0,0
2020-03-01,GR,Greece,EURO,6.0,6,0.0,0
2020-03-08,GR,Greece,EURO,80.0,86,0.0,0
2020-03-15,GR,Greece,EURO,327.0,413,4.0,4
2020-03-22,GR,Greece,EURO,381.0,794,13.0,17
2020-03-29,GR,Greece,EURO,538.0,1332,25.0,42
2020-04-05,GR,Greece,EURO,534.0,1866,35.0,77
2020-04-12,GR,Greece,EURO,289.0,2155,22.0,99
2020-04-19,GR,Greece,EURO,118.0,2273,14.0,113
2020-04-26,GR,Greece,EURO,303.0,2576,21.0,134
2020-05-03,GR,Greece,EURO,104.0,2680,10.0,144
2020-05-10,GR,Greece,EURO,100.0,2780,9.0,153
2020-05-17,GR,Greece,EURO,104.0,2884,13.0,166
2020-05-24,GR,Greece,EURO,47.0,2931,7.0,173
2020-05-31,GR,Greece,EURO,47.0,2978,6.0,179
2020-06-07,GR,Greece,EURO,135.0,3113,3.0,182
2020-06-14,GR,Greece,EURO,120.0,3233,2.0,184
2020-06-21,GR,Greece,EURO,114.0,3347,6.0,190
2020-06-28,GR,Greece,EURO,119.0,3466,1.0,191
2020-07-05,GR,Greece,EURO,204.0,3670,1.0,192
2020-07-12,GR,Greece,EURO,257.0,3927,2.0,194
2020-07-19,GR,Greece,EURO,176.0,4103,1.0,195
2020-07-26,GR,Greece,EURO,247.0,4350,7.0,202
2020-08-02,GR,Greece,EURO,560.0,4910,6.0,208
2020-08-09,GR,Greece,EURO,1081.0,5991,6.0,214
2020-08-16,GR,Greece,EURO,1597.0,7588,17.0,231
2020-08-23,GR,Greece,EURO,1664.0,9252,14.0,245
2020-08-30,GR,Greece,EURO,1446.0,10698,20.0,265
2020-09-06,GR,Greece,EURO,1345.0,12043,26.0,291
2020-09-13,GR,Greece,EURO,1764.0,13807,20.0,311
2020-09-20,GR,Greece,EURO,2242.0,16049,37.0,348
2020-09-27,GR,Greece,EURO,2194.0,18243,39.0,387
2020-10-04,GR,Greece,EURO,2391.0,20634,27.0,414
2020-10-11,GR,Greece,EURO,2491.0,23125,43.0,457
2020-10-18,GR,Greece,EURO,3349.0,26474,62.0,519
2020-10-25,GR,Greece,EURO,6312.0,32786,65.0,584
2020-11-01,GR,Greece,EURO,11329.0,44115,65.0,649
2020-11-08,GR,Greece,EURO,17509.0,61624,182.0,831
2020-11-15,GR,Greece,EURO,18971.0,80595,342.0,1173
2020-11-22,GR,Greece,EURO,17037.0,97632,590.0,1763
2020-11-29,GR,Greece,EURO,12862.0,110494,684.0,2447
2020-12-06,GR,Greece,EURO,10606.0,121100,702.0,3149
2020-12-13,GR,Greece,EURO,8293.0,129393,605.0,3754
2020-12-20,GR,Greece,EURO,6012.0,135405,525.0,4279
2020-12-27,GR,Greece,EURO,4287.0,139692,403.0,4682
2021-01-03,GR,Greece,EURO,4508.0,144200,320.0,5002
2021-01-10,GR,Greece,EURO,4622.0,148822,280.0,5282
2021-01-17,GR,Greece,EURO,3578.0,152400,199.0,5481
2021-01-24,GR,Greece,EURO,3372.0,155772,177.0,5658
2021-01-31,GR,Greece,EURO,5467.0,161239,167.0,5825
2021-02-07,GR,Greece,EURO,7433.0,168672,171.0,5996
2021-02-14,GR,Greece,EURO,8500.0,177172,154.0,6150
2021-02-21,GR,Greece,EURO,8138.0,185310,183.0,6333
2021-02-28,GR,Greece,EURO,11852.0,197162,219.0,6552
2021-03-07,GR,Greece,EURO,14547.0,211709,271.0,6823
2021-03-14,GR,Greece,EURO,16805.0,228514,361.0,7184
2021-03-21,GR,Greece,EURO,16561.0,245075,392.0,7576
2021-03-28,GR,Greece,EURO,17841.0,262916,435.0,8011
2021-04-04,GR,Greece,EURO,22224.0,285140,515.0,8526
2021-04-11,GR,Greece,EURO,20983.0,306123,517.0,9043
2021-04-18,GR,Greece,EURO,19754.0,325877,560.0,9603
2021-04-25,GR,Greece,EURO,18135.0,344012,520.0,10123
2021-05-02,GR,Greece,EURO,14749.0,358761,507.0,10630
2021-05-09,GR,Greece,EURO,15261.0,374022,512.0,11142
2021-05-16,GR,Greece,EURO,15062.0,389084,348.0,11490
2021-05-23,GR,Greece,EURO,12433.0,401517,342.0,11832
2021-05-30,GR,Greece,EURO,11019.0,412536,269.0,12101
2021-06-06,GR,Greece,EURO,7484.0,420020,219.0,12320
2021-06-13,GR,Greece,EURO,4939.0,424959,137.0,12457
2021-06-20,GR,Greece,EURO,3095.0,428054,129.0,12586
2021-06-27,GR,Greece,EURO,2575.0,430629,104.0,12690
2021-07-04,GR,Greece,EURO,5176.0,435805,63.0,12753
2021-07-11,GR,Greece,EURO,13647.0,449452,56.0,12809
2021-07-18,GR,Greece,EURO,17965.0,467417,66.0,12875
2021-07-25,GR,Greece,EURO,18090.0,485507,44.0,12919
2021-08-01,GR,Greece,EURO,18513.0,504020,87.0,13006
2021-08-08,GR,Greece,EURO,19592.0,523612,115.0,13121
2021-08-15,GR,Greece,EURO,22567.0,546179,146.0,13267
2021-08-22,GR,Greece,EURO,22377.0,568556,208.0,13475
2021-08-29,GR,Greece,EURO,21722.0,590278,236.0,13711
2021-09-05,GR,Greece,EURO,17537.0,607815,251.0,13962
2021-09-12,GR,Greece,EURO,14666.0,622481,278.0,14240
2021-09-19,GR,Greece,EURO,15318.0,637799,269.0,14509
2021-09-26,GR,Greece,EURO,14143.0,651942,218.0,14727
2021-10-03,GR,Greece,EURO,14985.0,666927,242.0,14969
2021-10-10,GR,Greece,EURO,15378.0,682305,212.0,15181
2021-10-17,GR,Greece,EURO,17510.0,699815,252.0,15433
2021-10-24,GR,Greece,EURO,22650.0,722465,254.0,15687
2021-10-31,GR,Greece,EURO,26713.0,749178,326.0,16013
2021-11-07,GR,Greece,EURO,43383.0,792561,348.0,16361
2021-11-14,GR,Greece,EURO,46451.0,839012,470.0,16831
2021-11-21,GR,Greece,EURO,46907.0,885919,583.0,17414
2021-11-28,GR,Greece,EURO,45124.0,931043,632.0,18046
2021-12-05,GR,Greece,EURO,41132.0,972175,638.0,18684
2021-12-12,GR,Greece,EURO,35783.0,1007958,668.0,19352
2021-12-19,GR,Greece,EURO,30829.0,1038787,623.0,19975
2021-12-26,GR,Greece,EURO,46300.0,1085087,530.0,20505
2022-01-02,GR,Greece,EURO,201474.0,1286561,503.0,21008
2022-01-09,GR,Greece,EURO,241321.0,1527882,496.0,21504
2022-01-16,GR,Greece,EURO,145818.0,1673700,615.0,22119
2022-01-23,GR,Greece,EURO,132225.0,1805925,675.0,22794
2022-01-30,GR,Greece,EURO,127646.0,1933571,732.0,23526
