Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-01-12,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-01-19,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-01-26,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-02-02,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-02-09,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-02-16,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-02-23,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-03-01,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-03-08,GT,Guatemala,AMRO,0.0,0,0.0,0
2020-03-15,GT,Guatemala,AMRO,1.0,1,0.0,0
2020-03-22,GT,Guatemala,AMRO,11.0,12,1.0,1
2020-03-29,GT,Guatemala,AMRO,65.0,77,0.0,1
2020-04-05,GT,Guatemala,AMRO,-27.0,50,0.0,1
2020-04-12,GT,Guatemala,AMRO,87.0,137,2.0,3
2020-04-19,GT,Guatemala,AMRO,98.0,235,4.0,7
2020-04-26,GT,Guatemala,AMRO,195.0,430,6.0,13
2020-05-03,GT,Guatemala,AMRO,214.0,644,5.0,18
2020-05-10,GT,Guatemala,AMRO,256.0,900,6.0,24
2020-05-17,GT,Guatemala,AMRO,743.0,1643,6.0,30
2020-05-24,GT,Guatemala,AMRO,1100.0,2743,23.0,53
2020-05-31,GT,Guatemala,AMRO,1864.0,4607,37.0,90
2020-06-07,GT,Guatemala,AMRO,1878.0,6485,126.0,216
2020-06-14,GT,Guatemala,AMRO,2497.0,8982,135.0,351
2020-06-21,GT,Guatemala,AMRO,3527.0,12509,132.0,483
2020-06-28,GT,Guatemala,AMRO,3319.0,15828,189.0,672
2020-07-05,GT,Guatemala,AMRO,5465.0,21293,208.0,880
2020-07-12,GT,Guatemala,AMRO,6326.0,27619,259.0,1139
2020-07-19,GT,Guatemala,AMRO,6190.0,33809,304.0,1443
2020-07-26,GT,Guatemala,AMRO,10683.0,44492,256.0,1699
2020-08-02,GT,Guatemala,AMRO,6487.0,50979,258.0,1957
2020-08-09,GT,Guatemala,AMRO,5210.0,56189,240.0,2197
2020-08-16,GT,Guatemala,AMRO,6124.0,62313,158.0,2355
2020-08-23,GT,Guatemala,AMRO,5543.0,67856,225.0,2580
2020-08-30,GT,Guatemala,AMRO,5823.0,73679,148.0,2728
2020-09-06,GT,Guatemala,AMRO,3802.0,77481,117.0,2845
2020-09-13,GT,Guatemala,AMRO,4177.0,81658,104.0,2949
2020-09-20,GT,Guatemala,AMRO,3494.0,85152,156.0,3105
2020-09-27,GT,Guatemala,AMRO,4550.0,89702,108.0,3213
2020-10-04,GT,Guatemala,AMRO,4046.0,93748,72.0,3285
2020-10-11,GT,Guatemala,AMRO,3796.0,97544,80.0,3365
2020-10-18,GT,Guatemala,AMRO,3484.0,101028,150.0,3515
2020-10-25,GT,Guatemala,AMRO,3604.0,104632,94.0,3609
2020-11-01,GT,Guatemala,AMRO,3307.0,107939,120.0,3729
2020-11-08,GT,Guatemala,AMRO,3111.0,111050,82.0,3811
2020-11-15,GT,Guatemala,AMRO,3669.0,114719,109.0,3920
2020-11-22,GT,Guatemala,AMRO,3698.0,118417,154.0,4074
2020-11-29,GT,Guatemala,AMRO,3381.0,121798,87.0,4161
2020-12-06,GT,Guatemala,AMRO,3554.0,125352,78.0,4239
2020-12-13,GT,Guatemala,AMRO,3747.0,129099,166.0,4405
2020-12-20,GT,Guatemala,AMRO,3496.0,132595,219.0,4624
2020-12-27,GT,Guatemala,AMRO,2576.0,135171,139.0,4763
2021-01-03,GT,Guatemala,AMRO,3145.0,138316,64.0,4827
