Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,GU,Guam,WPRO,0.0,0,0.0,0
2020-01-12,GU,Guam,WPRO,0.0,0,0.0,0
2020-01-19,GU,Guam,WPRO,0.0,0,0.0,0
2020-01-26,GU,Guam,WPRO,0.0,0,0.0,0
2020-02-02,GU,Guam,WPRO,0.0,0,0.0,0
2020-02-09,GU,Guam,WPRO,0.0,0,0.0,0
2020-02-16,GU,Guam,WPRO,0.0,0,0.0,0
2020-02-23,GU,Guam,WPRO,0.0,0,0.0,0
2020-03-01,GU,Guam,WPRO,0.0,0,0.0,0
2020-03-08,GU,Guam,WPRO,0.0,0,0.0,0
2020-03-15,GU,Guam,WPRO,0.0,0,0.0,0
2020-03-22,GU,Guam,WPRO,15.0,15,0.0,0
2020-03-29,GU,Guam,WPRO,40.0,55,1.0,1
2020-04-05,GU,Guam,WPRO,38.0,93,3.0,4
2020-04-12,GU,Guam,WPRO,40.0,133,1.0,5
2020-04-19,GU,Guam,WPRO,0.0,133,0.0,5
2020-04-26,GU,Guam,WPRO,4.0,137,0.0,5
2020-05-03,GU,Guam,WPRO,7.0,144,0.0,5
2020-05-10,GU,Guam,WPRO,3.0,147,0.0,5
2020-05-17,GU,Guam,WPRO,2.0,149,0.0,5
2020-05-24,GU,Guam,WPRO,12.0,161,0.0,5
2020-05-31,GU,Guam,WPRO,5.0,166,0.0,5
2020-06-07,GU,Guam,WPRO,5.0,171,0.0,5
2020-06-14,GU,Guam,WPRO,6.0,177,0.0,5
2020-06-21,GU,Guam,WPRO,37.0,214,0.0,5
2020-06-28,GU,Guam,WPRO,26.0,240,0.0,5
2020-07-05,GU,Guam,WPRO,40.0,280,0.0,5
2020-07-12,GU,Guam,WPRO,24.0,304,0.0,5
2020-07-19,GU,Guam,WPRO,3.0,307,0.0,5
2020-07-26,GU,Guam,WPRO,22.0,329,0.0,5
2020-08-02,GU,Guam,WPRO,22.0,351,0.0,5
2020-08-09,GU,Guam,WPRO,53.0,404,0.0,5
2020-08-16,GU,Guam,WPRO,104.0,508,0.0,5
2020-08-23,GU,Guam,WPRO,304.0,812,2.0,7
2020-08-30,GU,Guam,WPRO,527.0,1339,3.0,10
2020-09-06,GU,Guam,WPRO,332.0,1671,6.0,16
2020-09-13,GU,Guam,WPRO,220.0,1891,9.0,25
2020-09-20,GU,Guam,WPRO,226.0,2117,9.0,34
2020-09-27,GU,Guam,WPRO,237.0,2354,9.0,43
2020-10-04,GU,Guam,WPRO,343.0,2697,8.0,51
2020-10-11,GU,Guam,WPRO,352.0,3049,8.0,59
2020-10-18,GU,Guam,WPRO,557.0,3606,7.0,66
2020-10-25,GU,Guam,WPRO,549.0,4155,5.0,71
2020-11-01,GU,Guam,WPRO,477.0,4632,8.0,79
2020-11-08,GU,Guam,WPRO,402.0,5034,10.0,89
2020-11-15,GU,Guam,WPRO,820.0,5854,4.0,93
2020-11-22,GU,Guam,WPRO,501.0,6355,11.0,104
2020-11-29,GU,Guam,WPRO,300.0,6655,8.0,112
2020-12-06,GU,Guam,WPRO,190.0,6845,1.0,113
2020-12-13,GU,Guam,WPRO,108.0,6953,4.0,117
2020-12-20,GU,Guam,WPRO,78.0,7031,2.0,119
2020-12-27,GU,Guam,WPRO,63.0,7094,2.0,121
2021-01-03,GU,Guam,WPRO,55.0,7149,2.0,123
2021-01-10,GU,Guam,WPRO,77.0,7226,1.0,124
2021-01-17,GU,Guam,WPRO,60.0,7286,2.0,126
2021-01-24,GU,Guam,WPRO,54.0,7340,2.0,128
2021-01-31,GU,Guam,WPRO,40.0,7380,1.0,129
2021-02-07,GU,Guam,WPRO,62.0,7442,0.0,129
2021-02-14,GU,Guam,WPRO,45.0,7487,1.0,130
2021-02-21,GU,Guam,WPRO,24.0,7511,0.0,130
2021-02-28,GU,Guam,WPRO,16.0,7527,1.0,131
2021-03-07,GU,Guam,WPRO,13.0,7540,2.0,133
2021-03-14,GU,Guam,WPRO,18.0,7558,0.0,133
2021-03-21,GU,Guam,WPRO,12.0,7570,1.0,134
2021-03-28,GU,Guam,WPRO,20.0,7590,0.0,134
2021-04-04,GU,Guam,WPRO,16.0,7606,2.0,136
