Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,HN,Honduras,AMRO,0.0,0,0.0,0
2020-01-12,HN,Honduras,AMRO,0.0,0,0.0,0
2020-01-19,HN,Honduras,AMRO,0.0,0,0.0,0
2020-01-26,HN,Honduras,AMRO,0.0,0,0.0,0
2020-02-02,HN,Honduras,AMRO,0.0,0,0.0,0
2020-02-09,HN,Honduras,AMRO,0.0,0,0.0,0
2020-02-16,HN,Honduras,AMRO,0.0,0,0.0,0
2020-02-23,HN,Honduras,AMRO,0.0,0,0.0,0
2020-03-01,HN,Honduras,AMRO,0.0,0,0.0,0
2020-03-08,HN,Honduras,AMRO,0.0,0,0.0,0
2020-03-15,HN,Honduras,AMRO,3.0,3,0.0,0
2020-03-22,HN,Honduras,AMRO,21.0,24,0.0,0
2020-03-29,HN,Honduras,AMRO,43.0,67,1.0,1
2020-04-05,HN,Honduras,AMRO,197.0,264,14.0,15
2020-04-12,HN,Honduras,AMRO,128.0,392,9.0,24
2020-04-19,HN,Honduras,AMRO,65.0,457,22.0,46
2020-04-26,HN,Honduras,AMRO,134.0,591,9.0,55
2020-05-03,HN,Honduras,AMRO,308.0,899,20.0,75
2020-05-10,HN,Honduras,AMRO,872.0,1771,32.0,107
2020-05-17,HN,Honduras,AMRO,689.0,2460,27.0,134
2020-05-24,HN,Honduras,AMRO,1017.0,3477,33.0,167
2020-05-31,HN,Honduras,AMRO,1409.0,4886,32.0,199
2020-06-07,HN,Honduras,AMRO,1085.0,5971,49.0,248
2020-06-14,HN,Honduras,AMRO,2161.0,8132,58.0,306
2020-06-21,HN,Honduras,AMRO,3126.0,11258,43.0,349
2020-06-28,HN,Honduras,AMRO,4736.0,15994,122.0,471
2020-07-05,HN,Honduras,AMRO,6122.0,22116,134.0,605
2020-07-12,HN,Honduras,AMRO,4937.0,27053,145.0,750
2020-07-19,HN,Honduras,AMRO,4692.0,31745,107.0,857
2020-07-26,HN,Honduras,AMRO,5814.0,37559,204.0,1061
2020-08-02,HN,Honduras,AMRO,4455.0,42014,276.0,1337
2020-08-09,HN,Honduras,AMRO,4621.0,46635,128.0,1465
2020-08-16,HN,Honduras,AMRO,2832.0,49467,83.0,1548
2020-08-23,HN,Honduras,AMRO,3914.0,53381,84.0,1632
2020-08-30,HN,Honduras,AMRO,5429.0,58810,195.0,1827
2020-09-06,HN,Honduras,AMRO,4988.0,63798,157.0,1984
