Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,HR,Croatia,EURO,0.0,0,0.0,0
2020-01-12,HR,Croatia,EURO,0.0,0,0.0,0
2020-01-19,HR,Croatia,EURO,0.0,0,0.0,0
2020-01-26,HR,Croatia,EURO,0.0,0,0.0,0
2020-02-02,HR,Croatia,EURO,0.0,0,0.0,0
2020-02-09,HR,Croatia,EURO,0.0,0,0.0,0
2020-02-16,HR,Croatia,EURO,0.0,0,0.0,0
2020-02-23,HR,Croatia,EURO,0.0,0,0.0,0
2020-03-01,HR,Croatia,EURO,6.0,6,0.0,0
2020-03-08,HR,Croatia,EURO,6.0,12,0.0,0
2020-03-15,HR,Croatia,EURO,26.0,38,0.0,0
2020-03-22,HR,Croatia,EURO,168.0,206,1.0,1
2020-03-29,HR,Croatia,EURO,451.0,657,4.0,5
2020-04-05,HR,Croatia,EURO,469.0,1126,7.0,12
2020-04-12,HR,Croatia,EURO,408.0,1534,9.0,21
2020-04-19,HR,Croatia,EURO,298.0,1832,18.0,39
2020-04-26,HR,Croatia,EURO,184.0,2016,15.0,54
2020-05-03,HR,Croatia,EURO,72.0,2088,23.0,77
2020-05-10,HR,Croatia,EURO,88.0,2176,10.0,87
2020-05-17,HR,Croatia,EURO,48.0,2224,8.0,95
2020-05-24,HR,Croatia,EURO,19.0,2243,4.0,99
2020-05-31,HR,Croatia,EURO,3.0,2246,4.0,103
2020-06-07,HR,Croatia,EURO,1.0,2247,1.0,104
2020-06-14,HR,Croatia,EURO,4.0,2251,3.0,107
2020-06-21,HR,Croatia,EURO,48.0,2299,0.0,107
2020-06-28,HR,Croatia,EURO,325.0,2624,0.0,107
2020-07-05,HR,Croatia,EURO,470.0,3094,6.0,113
2020-07-12,HR,Croatia,EURO,578.0,3672,5.0,118
2020-07-19,HR,Croatia,EURO,581.0,4253,2.0,120
2020-07-26,HR,Croatia,EURO,539.0,4792,13.0,133
2020-08-02,HR,Croatia,EURO,432.0,5224,12.0,145
2020-08-09,HR,Croatia,EURO,319.0,5543,12.0,157
2020-08-16,HR,Croatia,EURO,877.0,6420,8.0,165
2020-08-23,HR,Croatia,EURO,1480.0,7900,5.0,170
2020-08-30,HR,Croatia,EURO,1961.0,9861,13.0,183
2020-09-06,HR,Croatia,EURO,1878.0,11739,14.0,197
2020-09-13,HR,Croatia,EURO,1629.0,13368,21.0,218
2020-09-20,HR,Croatia,EURO,1357.0,14725,26.0,244
2020-09-27,HR,Croatia,EURO,1282.0,16007,25.0,269
2020-10-04,HR,Croatia,EURO,1394.0,17401,24.0,293
2020-10-11,HR,Croatia,EURO,2531.0,19932,24.0,317
2020-10-18,HR,Croatia,EURO,4829.0,24761,38.0,355
2020-10-25,HR,Croatia,EURO,9198.0,33959,74.0,429
2020-11-01,HR,Croatia,EURO,15357.0,49316,117.0,546
2020-11-08,HR,Croatia,EURO,15388.0,64704,206.0,752
2020-11-15,HR,Croatia,EURO,17140.0,81844,254.0,1006
2020-11-22,HR,Croatia,EURO,18566.0,100410,298.0,1304
2020-11-29,HR,Croatia,EURO,23283.0,123693,351.0,1655
2020-12-06,HR,Croatia,EURO,23761.0,147454,447.0,2102
2020-12-13,HR,Croatia,EURO,25069.0,172523,460.0,2562
2020-12-20,HR,Croatia,EURO,20464.0,192987,539.0,3101
2020-12-27,HR,Croatia,EURO,11325.0,204312,512.0,3613
2021-01-03,HR,Croatia,EURO,7950.0,212262,403.0,4016
2021-01-10,HR,Croatia,EURO,7085.0,219347,326.0,4342
2021-01-17,HR,Croatia,EURO,5228.0,224575,246.0,4588
2021-01-24,HR,Croatia,EURO,3993.0,228568,211.0,4799
2021-01-31,HR,Croatia,EURO,3522.0,232090,199.0,4998
2021-02-07,HR,Croatia,EURO,3036.0,235126,146.0,5144
2021-02-14,HR,Croatia,EURO,2333.0,237459,155.0,5299
2021-02-21,HR,Croatia,EURO,2226.0,239685,121.0,5420
2021-02-28,HR,Croatia,EURO,2932.0,242617,91.0,5511
2021-03-07,HR,Croatia,EURO,3503.0,246120,74.0,5585
2021-03-14,HR,Croatia,EURO,4364.0,250484,85.0,5670
2021-03-21,HR,Croatia,EURO,6321.0,256805,83.0,5753
2021-03-28,HR,Croatia,EURO,9096.0,265901,119.0,5872
2021-04-04,HR,Croatia,EURO,12749.0,278650,153.0,6025
2021-04-11,HR,Croatia,EURO,12249.0,290899,244.0,6269
