Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-01-12,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-01-19,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-01-26,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-02-02,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-02-09,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-02-16,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-02-23,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-03-01,ID,Indonesia,SEARO,0.0,0,0.0,0
2020-03-08,ID,Indonesia,SEARO,10.0,10,0.0,0
2020-03-15,ID,Indonesia,SEARO,107.0,117,4.0,4
2020-03-22,ID,Indonesia,SEARO,397.0,514,44.0,48
2020-03-29,ID,Indonesia,SEARO,771.0,1285,66.0,114
2020-04-05,ID,Indonesia,SEARO,988.0,2273,84.0,198
2020-04-12,ID,Indonesia,SEARO,1968.0,4241,175.0,373
2020-04-19,ID,Indonesia,SEARO,2334.0,6575,209.0,582
2020-04-26,ID,Indonesia,SEARO,2307.0,8882,161.0,743
2020-05-03,ID,Indonesia,SEARO,2310.0,11192,102.0,845
2020-05-10,ID,Indonesia,SEARO,2840.0,14032,128.0,973
2020-05-17,ID,Indonesia,SEARO,3482.0,17514,175.0,1148
2020-05-24,ID,Indonesia,SEARO,4757.0,22271,224.0,1372
2020-05-31,ID,Indonesia,SEARO,4202.0,26473,241.0,1613
2020-06-07,ID,Indonesia,SEARO,4713.0,31186,238.0,1851
2020-06-14,ID,Indonesia,SEARO,7091.0,38277,283.0,2134
2020-06-21,ID,Indonesia,SEARO,7614.0,45891,331.0,2465
2020-06-28,ID,Indonesia,SEARO,8119.0,54010,289.0,2754
2020-07-05,ID,Indonesia,SEARO,9739.0,63749,417.0,3171
2020-07-12,ID,Indonesia,SEARO,11950.0,75699,435.0,3606
2020-07-19,ID,Indonesia,SEARO,10822.0,86521,537.0,4143
2020-07-26,ID,Indonesia,SEARO,12257.0,98778,638.0,4781
2020-08-02,ID,Indonesia,SEARO,12677.0,111455,455.0,5236
2020-08-09,ID,Indonesia,SEARO,13941.0,125396,487.0,5723
