Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,IE,Ireland,EURO,0.0,0,0.0,0
2020-01-12,IE,Ireland,EURO,0.0,0,0.0,0
2020-01-19,IE,Ireland,EURO,0.0,0,0.0,0
2020-01-26,IE,Ireland,EURO,0.0,0,0.0,0
2020-02-02,IE,Ireland,EURO,0.0,0,0.0,0
2020-02-09,IE,Ireland,EURO,0.0,0,0.0,0
2020-02-16,IE,Ireland,EURO,0.0,0,0.0,0
2020-02-23,IE,Ireland,EURO,0.0,0,0.0,0
2020-03-01,IE,Ireland,EURO,0.0,0,0.0,0
2020-03-08,IE,Ireland,EURO,18.0,18,1.0,1
2020-03-15,IE,Ireland,EURO,72.0,90,1.0,2
2020-03-22,IE,Ireland,EURO,593.0,683,3.0,5
2020-03-29,IE,Ireland,EURO,1438.0,2121,49.0,54
2020-04-05,IE,Ireland,EURO,2152.0,4273,121.0,175
2020-04-12,IE,Ireland,EURO,3816.0,8089,279.0,454
2020-04-19,IE,Ireland,EURO,5891.0,13980,342.0,796
2020-04-26,IE,Ireland,EURO,4204.0,18184,290.0,1086
2020-05-03,IE,Ireland,EURO,2649.0,20833,201.0,1287
2020-05-10,IE,Ireland,EURO,1708.0,22541,165.0,1452
2020-05-17,IE,Ireland,EURO,1415.0,23956,83.0,1535
2020-05-24,IE,Ireland,EURO,550.0,24506,61.0,1596
2020-05-31,IE,Ireland,EURO,370.0,24876,39.0,1635
2020-06-07,IE,Ireland,EURO,287.0,25163,27.0,1662
2020-06-14,IE,Ireland,EURO,87.0,25250,23.0,1685
2020-06-21,IE,Ireland,EURO,118.0,25368,14.0,1699
2020-06-28,IE,Ireland,EURO,46.0,25414,12.0,1711
2020-07-05,IE,Ireland,EURO,84.0,25498,8.0,1719
2020-07-12,IE,Ireland,EURO,91.0,25589,4.0,1723
2020-07-19,IE,Ireland,EURO,141.0,25730,5.0,1728
2020-07-26,IE,Ireland,EURO,115.0,25845,3.0,1731
2020-08-02,IE,Ireland,EURO,220.0,26065,2.0,1733
2020-08-09,IE,Ireland,EURO,405.0,26470,1.0,1734
2020-08-16,IE,Ireland,EURO,525.0,26995,3.0,1737
2020-08-23,IE,Ireland,EURO,760.0,27755,2.0,1739
2020-08-30,IE,Ireland,EURO,824.0,28579,1.0,1740
