Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,IL,Israel,EURO,0.0,0,0.0,0
2020-01-12,IL,Israel,EURO,0.0,0,0.0,0
2020-01-19,IL,Israel,EURO,0.0,0,0.0,0
2020-01-26,IL,Israel,EURO,0.0,0,0.0,0
2020-02-02,IL,Israel,EURO,0.0,0,0.0,0
2020-02-09,IL,Israel,EURO,0.0,0,0.0,0
2020-02-16,IL,Israel,EURO,9.0,9,0.0,0
2020-02-23,IL,Israel,EURO,1.0,10,0.0,0
2020-03-01,IL,Israel,EURO,5.0,15,0.0,0
2020-03-08,IL,Israel,EURO,26.0,41,0.0,0
2020-03-15,IL,Israel,EURO,151.0,192,0.0,0
2020-03-22,IL,Israel,EURO,844.0,1036,1.0,1
2020-03-29,IL,Israel,EURO,2868.0,3904,12.0,13
2020-04-05,IL,Israel,EURO,4259.0,8163,36.0,49
2020-04-12,IL,Israel,EURO,2786.0,10949,54.0,103
2020-04-19,IL,Israel,EURO,2567.0,13516,63.0,166
2020-04-26,IL,Israel,EURO,1759.0,15275,37.0,203
2020-05-03,IL,Israel,EURO,768.0,16043,30.0,233
2020-05-10,IL,Israel,EURO,293.0,16336,19.0,252
2020-05-17,IL,Israel,EURO,169.0,16505,21.0,273
2020-05-24,IL,Israel,EURO,121.0,16626,10.0,283
2020-05-31,IL,Israel,EURO,344.0,16970,6.0,289
2020-06-07,IL,Israel,EURO,752.0,17722,11.0,300
2020-06-14,IL,Israel,EURO,1260.0,18982,5.0,305
2020-06-21,IL,Israel,EURO,1676.0,20658,5.0,310
2020-06-28,IL,Israel,EURO,2831.0,23489,16.0,326
2020-07-05,IL,Israel,EURO,5810.0,29299,15.0,341
2020-07-12,IL,Israel,EURO,8756.0,38055,34.0,375
2020-07-19,IL,Israel,EURO,11408.0,49463,53.0,428
2020-07-26,IL,Israel,EURO,11867.0,61330,68.0,496
2020-08-02,IL,Israel,EURO,10932.0,72262,83.0,579
2020-08-09,IL,Israel,EURO,10106.0,82368,82.0,661
2020-08-16,IL,Israel,EURO,9839.0,92207,88.0,749
2020-08-23,IL,Israel,EURO,9687.0,101894,87.0,836
2020-08-30,IL,Israel,EURO,11652.0,113546,88.0,924
2020-09-06,IL,Israel,EURO,15508.0,129054,108.0,1032
2020-09-13,IL,Israel,EURO,23881.0,152935,113.0,1145
2020-09-20,IL,Israel,EURO,32590.0,185525,145.0,1290
2020-09-27,IL,Israel,EURO,43128.0,228653,190.0,1480
2020-10-04,IL,Israel,EURO,35988.0,264641,241.0,1721
2020-10-11,IL,Israel,EURO,25121.0,289762,257.0,1978
2020-10-18,IL,Israel,EURO,12757.0,302519,245.0,2223
2020-10-25,IL,Israel,EURO,6926.0,309445,190.0,2413
2020-11-01,IL,Israel,EURO,4652.0,314097,156.0,2569
2020-11-08,IL,Israel,EURO,4530.0,318627,113.0,2682
2020-11-15,IL,Israel,EURO,4585.0,323212,60.0,2742
2020-11-22,IL,Israel,EURO,5091.0,328303,68.0,2810
2020-11-29,IL,Israel,EURO,6362.0,334665,58.0,2868
2020-12-06,IL,Israel,EURO,9033.0,343698,60.0,2928
2020-12-13,IL,Israel,EURO,11998.0,355696,80.0,3008
2020-12-20,IL,Israel,EURO,17326.0,373022,103.0,3111
2020-12-27,IL,Israel,EURO,26083.0,399105,131.0,3242
2021-01-03,IL,Israel,EURO,36643.0,435748,191.0,3433
2021-01-10,IL,Israel,EURO,50749.0,486497,244.0,3677
2021-01-17,IL,Israel,EURO,58256.0,544753,341.0,4018
2021-01-24,IL,Israel,EURO,49873.0,594626,366.0,4384
2021-01-31,IL,Israel,EURO,45816.0,640442,381.0,4765
2021-02-07,IL,Israel,EURO,46171.0,686613,348.0,5113
2021-02-14,IL,Israel,EURO,35955.0,722568,248.0,5361
2021-02-21,IL,Israel,EURO,25826.0,748394,205.0,5566
2021-02-28,IL,Israel,EURO,25825.0,774219,177.0,5743
2021-03-07,IL,Israel,EURO,26152.0,800371,132.0,5875
2021-03-14,IL,Israel,EURO,17889.0,818260,115.0,5990
2021-03-21,IL,Israel,EURO,9371.0,827631,101.0,6091
2021-03-28,IL,Israel,EURO,4543.0,832174,77.0,6168
2021-04-04,IL,Israel,EURO,2360.0,834534,81.0,6249
2021-04-11,IL,Israel,EURO,1684.0,836218,59.0,6308
2021-04-18,IL,Israel,EURO,1052.0,837270,43.0,6351
2021-04-25,IL,Israel,EURO,984.0,838254,24.0,6375
2021-05-02,IL,Israel,EURO,624.0,838878,16.0,6391
2021-05-09,IL,Israel,EURO,404.0,839282,13.0,6404
2021-05-16,IL,Israel,EURO,261.0,839543,8.0,6412
2021-05-23,IL,Israel,EURO,209.0,839752,7.0,6419
2021-05-30,IL,Israel,EURO,150.0,839902,6.0,6425
2021-06-06,IL,Israel,EURO,115.0,840017,4.0,6429
2021-06-13,IL,Israel,EURO,92.0,840109,3.0,6432
2021-06-20,IL,Israel,EURO,184.0,840293,3.0,6435
2021-06-27,IL,Israel,EURO,1095.0,841388,1.0,6436
2021-07-04,IL,Israel,EURO,2005.0,843393,0.0,6436
2021-07-11,IL,Israel,EURO,3244.0,846637,5.0,6441
2021-07-18,IL,Israel,EURO,5222.0,851859,12.0,6453
2021-07-25,IL,Israel,EURO,8764.0,860623,14.0,6467
2021-08-01,IL,Israel,EURO,14859.0,875482,26.0,6493
2021-08-08,IL,Israel,EURO,23515.0,898997,75.0,6568
2021-08-15,IL,Israel,EURO,38065.0,937062,124.0,6692
2021-08-22,IL,Israel,EURO,51170.0,988232,163.0,6855
2021-08-29,IL,Israel,EURO,61130.0,1049362,193.0,7048
2021-09-05,IL,Israel,EURO,66012.0,1115374,208.0,7256
2021-09-12,IL,Israel,EURO,55065.0,1170439,171.0,7427
2021-09-19,IL,Israel,EURO,54413.0,1224852,146.0,7573
2021-09-26,IL,Israel,EURO,40329.0,1265181,143.0,7716
2021-10-03,IL,Israel,EURO,24955.0,1290136,129.0,7845
2021-10-10,IL,Israel,EURO,16145.0,1306281,101.0,7946
