Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-01-12,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-01-19,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-01-26,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-02-02,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-02-09,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-02-16,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-02-23,IQ,Iraq,EMRO,0.0,0,0.0,0
2020-03-01,IQ,Iraq,EMRO,13.0,13,0.0,0
2020-03-08,IQ,Iraq,EMRO,41.0,54,2.0,2
2020-03-15,IQ,Iraq,EMRO,58.0,112,7.0,9
2020-03-22,IQ,Iraq,EMRO,102.0,214,8.0,17
2020-03-29,IQ,Iraq,EMRO,292.0,506,25.0,42
2020-04-05,IQ,Iraq,EMRO,372.0,878,14.0,56
2020-04-12,IQ,Iraq,EMRO,440.0,1318,16.0,72
2020-04-19,IQ,Iraq,EMRO,195.0,1513,10.0,82
2020-04-26,IQ,Iraq,EMRO,250.0,1763,4.0,86
2020-05-03,IQ,Iraq,EMRO,456.0,2219,9.0,95
2020-05-10,IQ,Iraq,EMRO,460.0,2679,12.0,107
2020-05-17,IQ,Iraq,EMRO,581.0,3260,14.0,121
2020-05-24,IQ,Iraq,EMRO,1012.0,4272,31.0,152
2020-05-31,IQ,Iraq,EMRO,1907.0,6179,43.0,195
2020-06-07,IQ,Iraq,EMRO,4919.0,11098,123.0,318
2020-06-14,IQ,Iraq,EMRO,7852.0,18950,231.0,549
2020-06-21,IQ,Iraq,EMRO,10272.0,29222,464.0,1013
2020-06-28,IQ,Iraq,EMRO,14040.0,43262,647.0,1660
2020-07-05,IQ,Iraq,EMRO,15092.0,58354,708.0,2368
2020-07-12,IQ,Iraq,EMRO,16840.0,75194,687.0,3055
2020-07-19,IQ,Iraq,EMRO,15026.0,90220,636.0,3691
2020-07-26,IQ,Iraq,EMRO,17353.0,107573,593.0,4284
2020-08-02,IQ,Iraq,EMRO,19131.0,126704,521.0,4805
2020-08-09,IQ,Iraq,EMRO,20685.0,147389,505.0,5310
2020-08-16,IQ,Iraq,EMRO,25194.0,172583,475.0,5785
2020-08-23,IQ,Iraq,EMRO,28467.0,201050,568.0,6353
