Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-01-12,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-01-19,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-01-26,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-02-02,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-02-09,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-02-16,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-02-23,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-03-01,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-03-08,JM,Jamaica,AMRO,0.0,0,0.0,0
2020-03-15,JM,Jamaica,AMRO,8.0,8,0.0,0
2020-03-22,JM,Jamaica,AMRO,8.0,16,1.0,1
2020-03-29,JM,Jamaica,AMRO,14.0,30,0.0,1
2020-04-05,JM,Jamaica,AMRO,23.0,53,2.0,3
2020-04-12,JM,Jamaica,AMRO,12.0,65,1.0,4
2020-04-19,JM,Jamaica,AMRO,98.0,163,1.0,5
2020-04-26,JM,Jamaica,AMRO,125.0,288,2.0,7
2020-05-03,JM,Jamaica,AMRO,144.0,432,1.0,8
2020-05-10,JM,Jamaica,AMRO,58.0,490,1.0,9
2020-05-17,JM,Jamaica,AMRO,21.0,511,0.0,9
2020-05-24,JM,Jamaica,AMRO,33.0,544,0.0,9
2020-05-31,JM,Jamaica,AMRO,31.0,575,0.0,9
2020-06-07,JM,Jamaica,AMRO,20.0,595,1.0,10
2020-06-14,JM,Jamaica,AMRO,19.0,614,0.0,10
2020-06-21,JM,Jamaica,AMRO,38.0,652,0.0,10
2020-06-28,JM,Jamaica,AMRO,34.0,686,0.0,10
2020-07-05,JM,Jamaica,AMRO,35.0,721,0.0,10
2020-07-12,JM,Jamaica,AMRO,32.0,753,0.0,10
2020-07-19,JM,Jamaica,AMRO,15.0,768,0.0,10
2020-07-26,JM,Jamaica,AMRO,63.0,831,0.0,10
2020-08-02,JM,Jamaica,AMRO,47.0,878,0.0,10
2020-08-09,JM,Jamaica,AMRO,109.0,987,2.0,12
2020-08-16,JM,Jamaica,AMRO,95.0,1082,2.0,14
2020-08-23,JM,Jamaica,AMRO,264.0,1346,2.0,16
2020-08-30,JM,Jamaica,AMRO,665.0,2011,3.0,19
2020-09-06,JM,Jamaica,AMRO,953.0,2964,11.0,30
2020-09-13,JM,Jamaica,AMRO,659.0,3623,10.0,40
2020-09-20,JM,Jamaica,AMRO,1135.0,4758,20.0,60
2020-09-27,JM,Jamaica,AMRO,1096.0,5854,28.0,88
2020-10-04,JM,Jamaica,AMRO,941.0,6795,31.0,119
2020-10-11,JM,Jamaica,AMRO,764.0,7559,19.0,138
2020-10-18,JM,Jamaica,AMRO,636.0,8195,30.0,168
2020-10-25,JM,Jamaica,AMRO,475.0,8670,18.0,186
2020-11-01,JM,Jamaica,AMRO,424.0,9094,20.0,206
2020-11-08,JM,Jamaica,AMRO,378.0,9472,12.0,218
2020-11-15,JM,Jamaica,AMRO,308.0,9780,11.0,229
2020-11-22,JM,Jamaica,AMRO,460.0,10240,8.0,237
2020-11-29,JM,Jamaica,AMRO,429.0,10669,14.0,251
2020-12-06,JM,Jamaica,AMRO,394.0,11063,10.0,261
2020-12-13,JM,Jamaica,AMRO,545.0,11608,10.0,271
2020-12-20,JM,Jamaica,AMRO,527.0,12135,14.0,285
2020-12-27,JM,Jamaica,AMRO,549.0,12684,9.0,294
2021-01-03,JM,Jamaica,AMRO,247.0,12931,9.0,303
2021-01-10,JM,Jamaica,AMRO,524.0,13455,8.0,311
2021-01-17,JM,Jamaica,AMRO,641.0,14096,12.0,323
2021-01-24,JM,Jamaica,AMRO,676.0,14772,13.0,336
2021-01-31,JM,Jamaica,AMRO,755.0,15527,12.0,348
2021-02-07,JM,Jamaica,AMRO,1314.0,16841,9.0,357
2021-02-14,JM,Jamaica,AMRO,1989.0,18830,15.0,372
2021-02-21,JM,Jamaica,AMRO,2094.0,20924,19.0,391
2021-02-28,JM,Jamaica,AMRO,1893.0,22817,26.0,417
2021-03-07,JM,Jamaica,AMRO,2486.0,25303,29.0,446
2021-03-14,JM,Jamaica,AMRO,4609.0,29912,38.0,484
2021-03-21,JM,Jamaica,AMRO,4753.0,34665,40.0,524
2021-03-28,JM,Jamaica,AMRO,3082.0,37747,42.0,566
2021-04-04,JM,Jamaica,AMRO,2702.0,40449,47.0,613
2021-04-11,JM,Jamaica,AMRO,1670.0,42119,56.0,669
2021-04-18,JM,Jamaica,AMRO,1565.0,43684,52.0,721
2021-04-25,JM,Jamaica,AMRO,1183.0,44867,35.0,756
2021-05-02,JM,Jamaica,AMRO,910.0,45777,23.0,779
2021-05-09,JM,Jamaica,AMRO,811.0,46588,24.0,803
2021-05-16,JM,Jamaica,AMRO,645.0,47233,40.0,843
2021-05-23,JM,Jamaica,AMRO,666.0,47899,69.0,912
2021-05-30,JM,Jamaica,AMRO,475.0,48374,30.0,942
2021-06-06,JM,Jamaica,AMRO,527.0,48901,22.0,964
2021-06-13,JM,Jamaica,AMRO,331.0,49232,32.0,996
2021-06-20,JM,Jamaica,AMRO,375.0,49607,35.0,1031
2021-06-27,JM,Jamaica,AMRO,357.0,49964,26.0,1057
2021-07-04,JM,Jamaica,AMRO,278.0,50242,27.0,1084
2021-07-11,JM,Jamaica,AMRO,387.0,50629,30.0,1114
2021-07-18,JM,Jamaica,AMRO,417.0,51046,39.0,1153
2021-07-25,JM,Jamaica,AMRO,782.0,51828,20.0,1173
2021-08-01,JM,Jamaica,AMRO,1067.0,52895,17.0,1190
2021-08-08,JM,Jamaica,AMRO,1585.0,54480,29.0,1219
2021-08-15,JM,Jamaica,AMRO,2809.0,57289,66.0,1285
2021-08-22,JM,Jamaica,AMRO,3993.0,61282,86.0,1371
2021-08-29,JM,Jamaica,AMRO,4452.0,65734,112.0,1483
2021-09-05,JM,Jamaica,AMRO,4923.0,70657,110.0,1593
2021-09-12,JM,Jamaica,AMRO,4640.0,75297,111.0,1704
2021-09-19,JM,Jamaica,AMRO,3830.0,79127,73.0,1777
2021-09-26,JM,Jamaica,AMRO,3222.0,82349,47.0,1824
2021-10-03,JM,Jamaica,AMRO,2068.0,84417,60.0,1884
2021-10-10,JM,Jamaica,AMRO,1488.0,85905,111.0,1995
2021-10-17,JM,Jamaica,AMRO,1327.0,87232,108.0,2103
2021-10-24,JM,Jamaica,AMRO,927.0,88159,72.0,2175
2021-10-31,JM,Jamaica,AMRO,748.0,88907,54.0,2229
2021-11-07,JM,Jamaica,AMRO,680.0,89587,45.0,2274
2021-11-14,JM,Jamaica,AMRO,562.0,90149,48.0,2322
2021-11-21,JM,Jamaica,AMRO,481.0,90630,34.0,2356
2021-11-28,JM,Jamaica,AMRO,492.0,91122,29.0,2385
2021-12-05,JM,Jamaica,AMRO,299.0,91421,22.0,2407
2021-12-12,JM,Jamaica,AMRO,304.0,91725,17.0,2424
2021-12-19,JM,Jamaica,AMRO,293.0,92018,20.0,2444
2021-12-26,JM,Jamaica,AMRO,337.0,92355,18.0,2462
2022-01-02,JM,Jamaica,AMRO,2294.0,94649,14.0,2476
2022-01-09,JM,Jamaica,AMRO,6407.0,101056,19.0,2495
2022-01-16,JM,Jamaica,AMRO,9194.0,110250,27.0,2522
2022-01-23,JM,Jamaica,AMRO,8477.0,118727,50.0,2572
2022-01-30,JM,Jamaica,AMRO,4915.0,123642,67.0,2639
2022-02-06,JM,Jamaica,AMRO,2139.0,125781,52.0,2691
2022-02-13,JM,Jamaica,AMRO,1105.0,126886,47.0,2738
2022-02-20,JM,Jamaica,AMRO,550.0,127436,33.0,2771
2022-02-27,JM,Jamaica,AMRO,480.0,127916,40.0,2811
2022-03-06,JM,Jamaica,AMRO,226.0,128142,14.0,2825
2022-03-13,JM,Jamaica,AMRO,212.0,128354,19.0,2844
2022-03-20,JM,Jamaica,AMRO,146.0,128500,19.0,2863
2022-03-27,JM,Jamaica,AMRO,128.0,128628,12.0,2875
2022-04-03,JM,Jamaica,AMRO,183.0,128811,18.0,2893
2022-04-10,JM,Jamaica,AMRO,181.0,128992,21.0,2914
2022-04-17,JM,Jamaica,AMRO,211.0,129203,12.0,2926
2022-04-24,JM,Jamaica,AMRO,286.0,129489,17.0,2943
2022-05-01,JM,Jamaica,AMRO,573.0,130062,21.0,2964
2022-05-08,JM,Jamaica,AMRO,932.0,130994,11.0,2975
2022-05-15,JM,Jamaica,AMRO,1322.0,132316,24.0,2999
2022-05-22,JM,Jamaica,AMRO,1981.0,134297,29.0,3028
2022-05-29,JM,Jamaica,AMRO,2016.0,136313,21.0,3049
2022-06-05,JM,Jamaica,AMRO,2061.0,138374,24.0,3073
2022-06-12,JM,Jamaica,AMRO,1829.0,140203,9.0,3082
2022-06-19,JM,Jamaica,AMRO,1261.0,141464,12.0,3094
2022-06-26,JM,Jamaica,AMRO,812.0,142276,19.0,3113
2022-07-03,JM,Jamaica,AMRO,821.0,143097,21.0,3134
2022-07-10,JM,Jamaica,AMRO,768.0,143865,21.0,3155
2022-07-17,JM,Jamaica,AMRO,752.0,144617,15.0,3170
2022-07-24,JM,Jamaica,AMRO,880.0,145497,11.0,3181
2022-07-31,JM,Jamaica,AMRO,744.0,146241,12.0,3193
2022-08-07,JM,Jamaica,AMRO,765.0,147006,13.0,3206
2022-08-14,JM,Jamaica,AMRO,902.0,147908,15.0,3221
2022-08-21,JM,Jamaica,AMRO,829.0,148737,16.0,3237
2022-08-28,JM,Jamaica,AMRO,683.0,149420,13.0,3250
2022-09-04,JM,Jamaica,AMRO,681.0,150101,12.0,3262
2022-09-11,JM,Jamaica,AMRO,562.0,150663,21.0,3283
2022-09-18,JM,Jamaica,AMRO,558.0,151221,7.0,3290
2022-09-25,JM,Jamaica,AMRO,373.0,151594,16.0,3306
2022-10-02,JM,Jamaica,AMRO,337.0,151931,14.0,3320
2022-10-09,JM,Jamaica,AMRO,170.0,152101,15.0,3335
2022-10-16,JM,Jamaica,AMRO,135.0,152236,14.0,3349
2022-10-23,JM,Jamaica,AMRO,70.0,152306,1.0,3350
2022-10-30,JM,Jamaica,AMRO,75.0,152381,1.0,3351
