Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,JP,Japan,WPRO,0.0,0,0.0,0
2020-01-12,JP,Japan,WPRO,0.0,0,0.0,0
2020-01-19,JP,Japan,WPRO,1.0,1,0.0,0
2020-01-26,JP,Japan,WPRO,2.0,3,0.0,0
2020-02-02,JP,Japan,WPRO,12.0,15,0.0,0
2020-02-09,JP,Japan,WPRO,10.0,25,0.0,0
2020-02-16,JP,Japan,WPRO,27.0,52,1.0,1
2020-02-23,JP,Japan,WPRO,80.0,132,0.0,1
2020-03-01,JP,Japan,WPRO,107.0,239,5.0,6
2020-03-08,JP,Japan,WPRO,216.0,455,0.0,6
2020-03-15,JP,Japan,WPRO,325.0,780,16.0,22
2020-03-22,JP,Japan,WPRO,266.0,1046,18.0,40
2020-03-29,JP,Japan,WPRO,647.0,1693,12.0,52
2020-04-05,JP,Japan,WPRO,1578.0,3271,18.0,70
2020-04-12,JP,Japan,WPRO,3477.0,6748,28.0,98
2020-04-19,JP,Japan,WPRO,3613.0,10361,63.0,161
2020-04-26,JP,Japan,WPRO,2821.0,13182,187.0,348
2020-05-03,JP,Japan,WPRO,1657.0,14839,144.0,492
2020-05-10,JP,Japan,WPRO,908.0,15747,121.0,613
2020-05-17,JP,Japan,WPRO,538.0,16285,131.0,744
2020-05-24,JP,Japan,WPRO,265.0,16550,76.0,820
2020-05-31,JP,Japan,WPRO,301.0,16851,71.0,891
2020-06-07,JP,Japan,WPRO,290.0,17141,25.0,916
2020-06-14,JP,Japan,WPRO,288.0,17429,9.0,925
2020-06-21,JP,Japan,WPRO,435.0,17864,28.0,953
2020-06-28,JP,Japan,WPRO,526.0,18390,18.0,971
2020-07-05,JP,Japan,WPRO,1132.0,19522,6.0,977
2020-07-12,JP,Japan,WPRO,1980.0,21502,5.0,982
2020-07-19,JP,Japan,WPRO,3140.0,24642,3.0,985
2020-07-26,JP,Japan,WPRO,4740.0,29382,11.0,996
2020-08-02,JP,Japan,WPRO,7307.0,36689,15.0,1011
2020-08-09,JP,Japan,WPRO,10094.0,46783,29.0,1040
2020-08-16,JP,Japan,WPRO,7931.0,54714,48.0,1088
2020-08-23,JP,Japan,WPRO,7033.0,61747,88.0,1176
2020-08-30,JP,Japan,WPRO,5517.0,67264,88.0,1264
2020-09-06,JP,Japan,WPRO,4155.0,71419,93.0,1357
2020-09-13,JP,Japan,WPRO,3799.0,75218,82.0,1439
2020-09-20,JP,Japan,WPRO,3439.0,78657,61.0,1500
2020-09-27,JP,Japan,WPRO,3033.0,81690,45.0,1545
2020-10-04,JP,Japan,WPRO,3649.0,85339,52.0,1597
2020-10-11,JP,Japan,WPRO,3573.0,88912,30.0,1627
2020-10-18,JP,Japan,WPRO,3744.0,92656,43.0,1670
2020-10-25,JP,Japan,WPRO,3878.0,96534,41.0,1711
2020-11-01,JP,Japan,WPRO,4612.0,101146,55.0,1766
2020-11-08,JP,Japan,WPRO,5940.0,107086,46.0,1812
2020-11-15,JP,Japan,WPRO,9591.0,116677,71.0,1883
2020-11-22,JP,Japan,WPRO,13502.0,130179,91.0,1974
2020-11-29,JP,Japan,WPRO,14474.0,144653,132.0,2106
2020-12-06,JP,Japan,WPRO,15445.0,160098,209.0,2315
2020-12-13,JP,Japan,WPRO,17189.0,177287,247.0,2562
2020-12-20,JP,Japan,WPRO,18593.0,195880,311.0,2873
2020-12-27,JP,Japan,WPRO,21432.0,217312,340.0,3213
2021-01-03,JP,Japan,WPRO,26535.0,243847,335.0,3548
2021-01-10,JP,Japan,WPRO,42905.0,286752,448.0,3996
2021-01-17,JP,Japan,WPRO,41542.0,328294,450.0,4446
2021-01-24,JP,Japan,WPRO,36519.0,364813,573.0,5019
2021-01-31,JP,Japan,WPRO,24705.0,389518,635.0,5654
2021-02-07,JP,Japan,WPRO,15472.0,404990,684.0,6338
2021-02-14,JP,Japan,WPRO,10792.0,415782,574.0,6912
2021-02-21,JP,Japan,WPRO,9815.0,425597,505.0,7417
2021-02-28,JP,Japan,WPRO,7176.0,432773,443.0,7860
2021-03-07,JP,Japan,WPRO,7219.0,439992,367.0,8227
2021-03-14,JP,Japan,WPRO,7914.0,447906,333.0,8560
2021-03-21,JP,Japan,WPRO,8875.0,456781,252.0,8812
2021-03-28,JP,Japan,WPRO,11833.0,468614,219.0,9031
2021-04-04,JP,Japan,WPRO,16711.0,485325,190.0,9221
2021-04-11,JP,Japan,WPRO,20961.0,506286,161.0,9382
2021-04-18,JP,Japan,WPRO,27766.0,534052,240.0,9622
2021-04-25,JP,Japan,WPRO,32811.0,566863,291.0,9913
2021-05-02,JP,Japan,WPRO,35999.0,602862,448.0,10361
2021-05-09,JP,Japan,WPRO,37182.0,640044,515.0,10876
2021-05-16,JP,Japan,WPRO,43131.0,683175,632.0,11508
2021-05-23,JP,Japan,WPRO,35689.0,718864,804.0,12312
2021-05-30,JP,Japan,WPRO,25623.0,744487,655.0,12967
2021-06-06,JP,Japan,WPRO,17914.0,762401,607.0,13574
2021-06-13,JP,Japan,WPRO,12830.0,775231,497.0,14071
2021-06-20,JP,Japan,WPRO,10056.0,785287,352.0,14423
2021-06-27,JP,Japan,WPRO,10469.0,795756,246.0,14669
2021-07-04,JP,Japan,WPRO,11078.0,806834,179.0,14848
2021-07-11,JP,Japan,WPRO,13881.0,820715,107.0,14955
2021-07-18,JP,Japan,WPRO,20822.0,841537,93.0,15048
2021-07-25,JP,Japan,WPRO,28908.0,870445,81.0,15129
2021-08-01,JP,Japan,WPRO,65441.0,935886,68.0,15197
2021-08-08,JP,Japan,WPRO,95410.0,1031296,83.0,15280
2021-08-15,JP,Japan,WPRO,113250.0,1144546,128.0,15408
2021-08-22,JP,Japan,WPRO,155807.0,1300353,223.0,15631
2021-08-29,JP,Japan,WPRO,154011.0,1454364,315.0,15946
2021-09-05,JP,Japan,WPRO,117008.0,1571372,408.0,16354
2021-09-12,JP,Japan,WPRO,68173.0,1639545,443.0,16797
2021-09-19,JP,Japan,WPRO,37166.0,1676711,407.0,17204
2021-09-26,JP,Japan,WPRO,17964.0,1694675,278.0,17482
2021-10-03,JP,Japan,WPRO,10371.0,1705046,248.0,17730
2021-10-10,JP,Japan,WPRO,5927.0,1710973,211.0,17941
2021-10-17,JP,Japan,WPRO,3747.0,1714720,162.0,18103
2021-10-24,JP,Japan,WPRO,2218.0,1716938,96.0,18199
2021-10-31,JP,Japan,WPRO,5926.0,1722864,69.0,18268
2021-11-07,JP,Japan,WPRO,1336.0,1724200,42.0,18310
2021-11-14,JP,Japan,WPRO,1266.0,1725466,17.0,18327
2021-11-21,JP,Japan,WPRO,1008.0,1726474,20.0,18347
2021-11-28,JP,Japan,WPRO,669.0,1727143,11.0,18358
2021-12-05,JP,Japan,WPRO,799.0,1727942,6.0,18364
