Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,KH,Cambodia,WPRO,0.0,0,0.0,0
2020-01-12,KH,Cambodia,WPRO,0.0,0,0.0,0
2020-01-19,KH,Cambodia,WPRO,0.0,0,0.0,0
2020-01-26,KH,Cambodia,WPRO,0.0,0,0.0,0
2020-02-02,KH,Cambodia,WPRO,1.0,1,0.0,0
2020-02-09,KH,Cambodia,WPRO,0.0,1,0.0,0
2020-02-16,KH,Cambodia,WPRO,0.0,1,0.0,0
2020-02-23,KH,Cambodia,WPRO,0.0,1,0.0,0
2020-03-01,KH,Cambodia,WPRO,0.0,1,0.0,0
2020-03-08,KH,Cambodia,WPRO,1.0,2,0.0,0
2020-03-15,KH,Cambodia,WPRO,5.0,7,0.0,0
2020-03-22,KH,Cambodia,WPRO,46.0,53,0.0,0
2020-03-29,KH,Cambodia,WPRO,49.0,102,0.0,0
2020-04-05,KH,Cambodia,WPRO,12.0,114,0.0,0
2020-04-12,KH,Cambodia,WPRO,8.0,122,0.0,0
2020-04-19,KH,Cambodia,WPRO,0.0,122,0.0,0
2020-04-26,KH,Cambodia,WPRO,0.0,122,0.0,0
2020-05-03,KH,Cambodia,WPRO,0.0,122,0.0,0
2020-05-10,KH,Cambodia,WPRO,0.0,122,0.0,0
2020-05-17,KH,Cambodia,WPRO,0.0,122,0.0,0
2020-05-24,KH,Cambodia,WPRO,2.0,124,0.0,0
2020-05-31,KH,Cambodia,WPRO,1.0,125,0.0,0
2020-06-07,KH,Cambodia,WPRO,1.0,126,0.0,0
2020-06-14,KH,Cambodia,WPRO,0.0,126,0.0,0
2020-06-21,KH,Cambodia,WPRO,3.0,129,0.0,0
2020-06-28,KH,Cambodia,WPRO,10.0,139,0.0,0
2020-07-05,KH,Cambodia,WPRO,2.0,141,0.0,0
2020-07-12,KH,Cambodia,WPRO,15.0,156,0.0,0
2020-07-19,KH,Cambodia,WPRO,15.0,171,0.0,0
2020-07-26,KH,Cambodia,WPRO,54.0,225,0.0,0
2020-08-02,KH,Cambodia,WPRO,15.0,240,0.0,0
2020-08-09,KH,Cambodia,WPRO,8.0,248,0.0,0
2020-08-16,KH,Cambodia,WPRO,25.0,273,0.0,0
2020-08-23,KH,Cambodia,WPRO,0.0,273,0.0,0
2020-08-30,KH,Cambodia,WPRO,0.0,273,0.0,0
2020-09-06,KH,Cambodia,WPRO,1.0,274,0.0,0
2020-09-13,KH,Cambodia,WPRO,1.0,275,0.0,0
2020-09-20,KH,Cambodia,WPRO,0.0,275,0.0,0
2020-09-27,KH,Cambodia,WPRO,1.0,276,0.0,0
2020-10-04,KH,Cambodia,WPRO,2.0,278,0.0,0
2020-10-11,KH,Cambodia,WPRO,5.0,283,0.0,0
2020-10-18,KH,Cambodia,WPRO,0.0,283,0.0,0
2020-10-25,KH,Cambodia,WPRO,4.0,287,0.0,0
2020-11-01,KH,Cambodia,WPRO,4.0,291,0.0,0
2020-11-08,KH,Cambodia,WPRO,4.0,295,0.0,0
2020-11-15,KH,Cambodia,WPRO,7.0,302,0.0,0
2020-11-22,KH,Cambodia,WPRO,4.0,306,0.0,0
2020-11-29,KH,Cambodia,WPRO,9.0,315,0.0,0
2020-12-06,KH,Cambodia,WPRO,31.0,346,0.0,0
2020-12-13,KH,Cambodia,WPRO,13.0,359,0.0,0
2020-12-20,KH,Cambodia,WPRO,3.0,362,0.0,0
2020-12-27,KH,Cambodia,WPRO,2.0,364,0.0,0
2021-01-03,KH,Cambodia,WPRO,18.0,382,0.0,0
2021-01-10,KH,Cambodia,WPRO,10.0,392,0.0,0
2021-01-17,KH,Cambodia,WPRO,47.0,439,0.0,0
2021-01-24,KH,Cambodia,WPRO,19.0,458,0.0,0
2021-01-31,KH,Cambodia,WPRO,8.0,466,0.0,0
2021-02-07,KH,Cambodia,WPRO,8.0,474,0.0,0
2021-02-14,KH,Cambodia,WPRO,5.0,479,0.0,0
2021-02-21,KH,Cambodia,WPRO,89.0,568,0.0,0
2021-02-28,KH,Cambodia,WPRO,252.0,820,0.0,0
