Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-01-12,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-01-19,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-01-26,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-02-02,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-02-09,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-02-16,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-02-23,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-03-01,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-03-08,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-03-15,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-03-22,KN,Saint Kitts and Nevis,AMRO,0.0,0,0.0,0
2020-03-29,KN,Saint Kitts and Nevis,AMRO,2.0,2,0.0,0
2020-04-05,KN,Saint Kitts and Nevis,AMRO,7.0,9,0.0,0
2020-04-12,KN,Saint Kitts and Nevis,AMRO,3.0,12,0.0,0
2020-04-19,KN,Saint Kitts and Nevis,AMRO,2.0,14,0.0,0
2020-04-26,KN,Saint Kitts and Nevis,AMRO,1.0,15,0.0,0
2020-05-03,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-05-10,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-05-17,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-05-24,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-05-31,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-06-07,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-06-14,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-06-21,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-06-28,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-07-05,KN,Saint Kitts and Nevis,AMRO,0.0,15,0.0,0
2020-07-12,KN,Saint Kitts and Nevis,AMRO,2.0,17,0.0,0
2020-07-19,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-07-26,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-08-02,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-08-09,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-08-16,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-08-23,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-08-30,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-09-06,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-09-13,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-09-20,KN,Saint Kitts and Nevis,AMRO,0.0,17,0.0,0
2020-09-27,KN,Saint Kitts and Nevis,AMRO,2.0,19,0.0,0
2020-10-04,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-10-11,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-10-18,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-10-25,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-11-01,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-11-08,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-11-15,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-11-22,KN,Saint Kitts and Nevis,AMRO,0.0,19,0.0,0
2020-11-29,KN,Saint Kitts and Nevis,AMRO,3.0,22,0.0,0
2020-12-06,KN,Saint Kitts and Nevis,AMRO,0.0,22,0.0,0
2020-12-13,KN,Saint Kitts and Nevis,AMRO,5.0,27,0.0,0
2020-12-20,KN,Saint Kitts and Nevis,AMRO,3.0,30,0.0,0
2020-12-27,KN,Saint Kitts and Nevis,AMRO,0.0,30,0.0,0
2021-01-03,KN,Saint Kitts and Nevis,AMRO,3.0,33,0.0,0
2021-01-10,KN,Saint Kitts and Nevis,AMRO,1.0,34,0.0,0
2021-01-17,KN,Saint Kitts and Nevis,AMRO,0.0,34,0.0,0
2021-01-24,KN,Saint Kitts and Nevis,AMRO,1.0,35,0.0,0
2021-01-31,KN,Saint Kitts and Nevis,AMRO,2.0,37,0.0,0
2021-02-07,KN,Saint Kitts and Nevis,AMRO,3.0,40,0.0,0
2021-02-14,KN,Saint Kitts and Nevis,AMRO,0.0,40,0.0,0
2021-02-21,KN,Saint Kitts and Nevis,AMRO,1.0,41,0.0,0
2021-02-28,KN,Saint Kitts and Nevis,AMRO,0.0,41,0.0,0
2021-03-07,KN,Saint Kitts and Nevis,AMRO,0.0,41,0.0,0
2021-03-14,KN,Saint Kitts and Nevis,AMRO,2.0,43,0.0,0
2021-03-21,KN,Saint Kitts and Nevis,AMRO,1.0,44,0.0,0
2021-03-28,KN,Saint Kitts and Nevis,AMRO,0.0,44,0.0,0
2021-04-04,KN,Saint Kitts and Nevis,AMRO,0.0,44,0.0,0
2021-04-11,KN,Saint Kitts and Nevis,AMRO,0.0,44,0.0,0
2021-04-18,KN,Saint Kitts and Nevis,AMRO,0.0,44,0.0,0
2021-04-25,KN,Saint Kitts and Nevis,AMRO,0.0,44,0.0,0
2021-05-02,KN,Saint Kitts and Nevis,AMRO,1.0,45,0.0,0
2021-05-09,KN,Saint Kitts and Nevis,AMRO,0.0,45,0.0,0
2021-05-16,KN,Saint Kitts and Nevis,AMRO,0.0,45,0.0,0
2021-05-23,KN,Saint Kitts and Nevis,AMRO,1.0,46,0.0,0
2021-05-30,KN,Saint Kitts and Nevis,AMRO,22.0,68,0.0,0
2021-06-06,KN,Saint Kitts and Nevis,AMRO,10.0,78,0.0,0
2021-06-13,KN,Saint Kitts and Nevis,AMRO,77.0,155,0.0,0
2021-06-20,KN,Saint Kitts and Nevis,AMRO,149.0,304,1.0,1
2021-06-27,KN,Saint Kitts and Nevis,AMRO,124.0,428,2.0,3
2021-07-04,KN,Saint Kitts and Nevis,AMRO,48.0,476,0.0,3
2021-07-11,KN,Saint Kitts and Nevis,AMRO,49.0,525,0.0,3
2021-07-18,KN,Saint Kitts and Nevis,AMRO,23.0,548,0.0,3
2021-07-25,KN,Saint Kitts and Nevis,AMRO,15.0,563,0.0,3
2021-08-01,KN,Saint Kitts and Nevis,AMRO,30.0,593,0.0,3
2021-08-08,KN,Saint Kitts and Nevis,AMRO,18.0,611,0.0,3
2021-08-15,KN,Saint Kitts and Nevis,AMRO,31.0,642,0.0,3
2021-08-22,KN,Saint Kitts and Nevis,AMRO,150.0,792,0.0,3
2021-08-29,KN,Saint Kitts and Nevis,AMRO,232.0,1024,0.0,3
2021-09-05,KN,Saint Kitts and Nevis,AMRO,173.0,1197,2.0,5
2021-09-12,KN,Saint Kitts and Nevis,AMRO,242.0,1439,2.0,7
2021-09-19,KN,Saint Kitts and Nevis,AMRO,193.0,1632,2.0,9
2021-09-26,KN,Saint Kitts and Nevis,AMRO,203.0,1835,1.0,10
2021-10-03,KN,Saint Kitts and Nevis,AMRO,130.0,1965,3.0,13
2021-10-10,KN,Saint Kitts and Nevis,AMRO,396.0,2361,4.0,17
2021-10-17,KN,Saint Kitts and Nevis,AMRO,185.0,2546,4.0,21
2021-10-24,KN,Saint Kitts and Nevis,AMRO,77.0,2623,0.0,21
2021-10-31,KN,Saint Kitts and Nevis,AMRO,45.0,2668,2.0,23
2021-11-07,KN,Saint Kitts and Nevis,AMRO,40.0,2708,2.0,25
2021-11-14,KN,Saint Kitts and Nevis,AMRO,37.0,2745,2.0,27
2021-11-21,KN,Saint Kitts and Nevis,AMRO,19.0,2764,1.0,28
2021-11-28,KN,Saint Kitts and Nevis,AMRO,15.0,2779,0.0,28
2021-12-05,KN,Saint Kitts and Nevis,AMRO,10.0,2789,0.0,28
2021-12-12,KN,Saint Kitts and Nevis,AMRO,6.0,2795,0.0,28
2021-12-19,KN,Saint Kitts and Nevis,AMRO,6.0,2801,0.0,28
2021-12-26,KN,Saint Kitts and Nevis,AMRO,35.0,2836,0.0,28
2022-01-02,KN,Saint Kitts and Nevis,AMRO,207.0,3043,0.0,28
2022-01-09,KN,Saint Kitts and Nevis,AMRO,1013.0,4056,0.0,28
2022-01-16,KN,Saint Kitts and Nevis,AMRO,826.0,4882,0.0,28
2022-01-23,KN,Saint Kitts and Nevis,AMRO,348.0,5230,0.0,28
2022-01-30,KN,Saint Kitts and Nevis,AMRO,173.0,5403,5.0,33
2022-02-06,KN,Saint Kitts and Nevis,AMRO,66.0,5469,4.0,37
2022-02-13,KN,Saint Kitts and Nevis,AMRO,26.0,5495,2.0,39
2022-02-20,KN,Saint Kitts and Nevis,AMRO,16.0,5511,1.0,40
2022-02-27,KN,Saint Kitts and Nevis,AMRO,15.0,5526,2.0,42
2022-03-06,KN,Saint Kitts and Nevis,AMRO,7.0,5533,0.0,42
2022-03-13,KN,Saint Kitts and Nevis,AMRO,5.0,5538,0.0,42
2022-03-20,KN,Saint Kitts and Nevis,AMRO,6.0,5544,0.0,42
2022-03-27,KN,Saint Kitts and Nevis,AMRO,4.0,5548,0.0,42
2022-04-03,KN,Saint Kitts and Nevis,AMRO,1.0,5549,1.0,43
2022-04-10,KN,Saint Kitts and Nevis,AMRO,3.0,5552,0.0,43
2022-04-17,KN,Saint Kitts and Nevis,AMRO,5.0,5557,0.0,43
2022-04-24,KN,Saint Kitts and Nevis,AMRO,5.0,5562,0.0,43
2022-05-01,KN,Saint Kitts and Nevis,AMRO,1.0,5563,0.0,43
2022-05-08,KN,Saint Kitts and Nevis,AMRO,20.0,5583,0.0,43
2022-05-15,KN,Saint Kitts and Nevis,AMRO,22.0,5605,0.0,43
2022-05-22,KN,Saint Kitts and Nevis,AMRO,49.0,5654,0.0,43
2022-05-29,KN,Saint Kitts and Nevis,AMRO,53.0,5707,0.0,43
2022-06-05,KN,Saint Kitts and Nevis,AMRO,91.0,5798,0.0,43
2022-06-12,KN,Saint Kitts and Nevis,AMRO,39.0,5837,0.0,43
2022-06-19,KN,Saint Kitts and Nevis,AMRO,73.0,5910,0.0,43
2022-06-26,KN,Saint Kitts and Nevis,AMRO,37.0,5947,0.0,43
2022-07-03,KN,Saint Kitts and Nevis,AMRO,193.0,6140,0.0,43
2022-07-10,KN,Saint Kitts and Nevis,AMRO,153.0,6293,0.0,43
2022-07-17,KN,Saint Kitts and Nevis,AMRO,84.0,6377,2.0,45
2022-07-24,KN,Saint Kitts and Nevis,AMRO,45.0,6422,1.0,46
2022-07-31,KN,Saint Kitts and Nevis,AMRO,34.0,6456,0.0,46
2022-08-07,KN,Saint Kitts and Nevis,AMRO,21.0,6477,0.0,46
2022-08-14,KN,Saint Kitts and Nevis,AMRO,15.0,6492,0.0,46
2022-08-21,KN,Saint Kitts and Nevis,AMRO,6.0,6498,0.0,46
2022-08-28,KN,Saint Kitts and Nevis,AMRO,11.0,6509,0.0,46
2022-09-04,KN,Saint Kitts and Nevis,AMRO,10.0,6519,0.0,46
2022-09-11,KN,Saint Kitts and Nevis,AMRO,10.0,6529,0.0,46
2022-09-18,KN,Saint Kitts and Nevis,AMRO,12.0,6541,0.0,46
2022-09-25,KN,Saint Kitts and Nevis,AMRO,2.0,6543,0.0,46
2022-10-02,KN,Saint Kitts and Nevis,AMRO,2.0,6545,0.0,46
2022-10-09,KN,Saint Kitts and Nevis,AMRO,1.0,6546,0.0,46
2022-10-16,KN,Saint Kitts and Nevis,AMRO,1.0,6547,0.0,46
2022-10-23,KN,Saint Kitts and Nevis,AMRO,1.0,6548,0.0,46
2022-10-30,KN,Saint Kitts and Nevis,AMRO,0.0,6548,0.0,46
2022-11-06,KN,Saint Kitts and Nevis,AMRO,1.0,6549,0.0,46
2022-11-13,KN,Saint Kitts and Nevis,AMRO,3.0,6552,0.0,46
2022-11-20,KN,Saint Kitts and Nevis,AMRO,0.0,6552,0.0,46
2022-11-27,KN,Saint Kitts and Nevis,AMRO,4.0,6556,0.0,46
2022-12-04,KN,Saint Kitts and Nevis,AMRO,3.0,6559,0.0,46
2022-12-11,KN,Saint Kitts and Nevis,AMRO,0.0,6559,0.0,46
2022-12-18,KN,Saint Kitts and Nevis,AMRO,1.0,6560,0.0,46
2022-12-25,KN,Saint Kitts and Nevis,AMRO,2.0,6562,0.0,46
2023-01-01,KN,Saint Kitts and Nevis,AMRO,0.0,6562,0.0,46
2023-01-08,KN,Saint Kitts and Nevis,AMRO,9.0,6571,0.0,46
2023-01-15,KN,Saint Kitts and Nevis,AMRO,8.0,6579,0.0,46
2023-01-22,KN,Saint Kitts and Nevis,AMRO,6.0,6585,0.0,46
2023-01-29,KN,Saint Kitts and Nevis,AMRO,6.0,6591,0.0,46
2023-02-05,KN,Saint Kitts and Nevis,AMRO,1.0,6592,0.0,46
2023-02-12,KN,Saint Kitts and Nevis,AMRO,1.0,6593,0.0,46
2023-02-19,KN,Saint Kitts and Nevis,AMRO,3.0,6596,0.0,46
2023-02-26,KN,Saint Kitts and Nevis,AMRO,0.0,6596,0.0,46
2023-03-05,KN,Saint Kitts and Nevis,AMRO,1.0,6597,0.0,46
2023-03-12,KN,Saint Kitts and Nevis,AMRO,0.0,6597,0.0,46
2023-03-19,KN,Saint Kitts and Nevis,AMRO,0.0,6597,0.0,46
2023-03-26,KN,Saint Kitts and Nevis,AMRO,0.0,6597,0.0,46
2023-04-02,KN,Saint Kitts and Nevis,AMRO,1.0,6598,0.0,46
2023-04-09,KN,Saint Kitts and Nevis,AMRO,0.0,6598,0.0,46
2023-04-16,KN,Saint Kitts and Nevis,AMRO,0.0,6598,0.0,46
