Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,KR,Republic of Korea,WPRO,0.0,0,0.0,0
2020-01-12,KR,Republic of Korea,WPRO,0.0,0,0.0,0
2020-01-19,KR,Republic of Korea,WPRO,1.0,1,0.0,0
2020-01-26,KR,Republic of Korea,WPRO,2.0,3,0.0,0
2020-02-02,KR,Republic of Korea,WPRO,12.0,15,0.0,0
2020-02-09,KR,Republic of Korea,WPRO,12.0,27,0.0,0
2020-02-16,KR,Republic of Korea,WPRO,3.0,30,0.0,0
2020-02-23,KR,Republic of Korea,WPRO,526.0,556,3.0,3
2020-03-01,KR,Republic of Korea,WPRO,2970.0,3526,14.0,17
2020-03-08,KR,Republic of Korea,WPRO,3608.0,7134,33.0,50
2020-03-15,KR,Republic of Korea,WPRO,1028.0,8162,25.0,75
2020-03-22,KR,Republic of Korea,WPRO,735.0,8897,29.0,104
2020-03-29,KR,Republic of Korea,WPRO,686.0,9583,48.0,152
2020-04-05,KR,Republic of Korea,WPRO,654.0,10237,31.0,183
2020-04-12,KR,Republic of Korea,WPRO,275.0,10512,31.0,214
2020-04-19,KR,Republic of Korea,WPRO,149.0,10661,20.0,234
2020-04-26,KR,Republic of Korea,WPRO,67.0,10728,8.0,242
2020-05-03,KR,Republic of Korea,WPRO,65.0,10793,8.0,250
2020-05-10,KR,Republic of Korea,WPRO,81.0,10874,6.0,256
2020-05-17,KR,Republic of Korea,WPRO,176.0,11050,6.0,262
2020-05-24,KR,Republic of Korea,WPRO,140.0,11190,4.0,266
2020-05-31,KR,Republic of Korea,WPRO,278.0,11468,4.0,270
2020-06-07,KR,Republic of Korea,WPRO,308.0,11776,3.0,273
2020-06-14,KR,Republic of Korea,WPRO,308.0,12084,4.0,277
2020-06-21,KR,Republic of Korea,WPRO,337.0,12421,3.0,280
2020-06-28,KR,Republic of Korea,WPRO,294.0,12715,2.0,282
2020-07-05,KR,Republic of Korea,WPRO,374.0,13089,1.0,283
2020-07-12,KR,Republic of Korea,WPRO,328.0,13417,6.0,289
2020-07-19,KR,Republic of Korea,WPRO,328.0,13745,6.0,295
2020-07-26,KR,Republic of Korea,WPRO,405.0,14150,3.0,298
2020-08-02,KR,Republic of Korea,WPRO,216.0,14366,3.0,301
2020-08-09,KR,Republic of Korea,WPRO,232.0,14598,4.0,305
2020-08-16,KR,Republic of Korea,WPRO,720.0,15318,0.0,305
2020-08-23,KR,Republic of Korea,WPRO,2081.0,17399,4.0,309
2020-08-30,KR,Republic of Korea,WPRO,2300.0,19699,14.0,323
2020-09-06,KR,Republic of Korea,WPRO,1478.0,21177,11.0,334
2020-09-13,KR,Republic of Korea,WPRO,999.0,22176,24.0,358
2020-09-20,KR,Republic of Korea,WPRO,799.0,22975,25.0,383
2020-09-27,KR,Republic of Korea,WPRO,636.0,23611,18.0,401
2020-10-04,KR,Republic of Korea,WPRO,480.0,24091,20.0,421
2020-10-11,KR,Republic of Korea,WPRO,515.0,24606,11.0,432
2020-10-18,KR,Republic of Korea,WPRO,593.0,25199,12.0,444
2020-10-25,KR,Republic of Korea,WPRO,637.0,25836,13.0,457
2020-11-01,KR,Republic of Korea,WPRO,799.0,26635,9.0,466
2020-11-08,KR,Republic of Korea,WPRO,791.0,27426,12.0,478
2020-11-15,KR,Republic of Korea,WPRO,1118.0,28544,15.0,493
2020-11-22,KR,Republic of Korea,WPRO,2126.0,30670,12.0,505
2020-11-29,KR,Republic of Korea,WPRO,3091.0,33761,18.0,523
2020-12-06,KR,Republic of Korea,WPRO,3776.0,37537,22.0,545
2020-12-13,KR,Republic of Korea,WPRO,5221.0,42758,35.0,580
2020-12-20,KR,Republic of Korea,WPRO,6896.0,49654,94.0,674
2020-12-27,KR,Republic of Korea,WPRO,7201.0,56855,134.0,808
2021-01-03,KR,Republic of Korea,WPRO,7396.0,64251,154.0,962
2021-01-10,KR,Republic of Korea,WPRO,4844.0,69095,163.0,1125
2021-01-17,KR,Republic of Korea,WPRO,3623.0,72718,124.0,1249
2021-01-24,KR,Republic of Korea,WPRO,2796.0,75514,100.0,1349
2021-01-31,KR,Republic of Korea,WPRO,2989.0,78503,71.0,1420
2021-02-07,KR,Republic of Korea,WPRO,2673.0,81176,51.0,1471
2021-02-14,KR,Republic of Korea,WPRO,2685.0,83861,51.0,1522
2021-02-21,KR,Republic of Korea,WPRO,3456.0,87317,35.0,1557
2021-02-28,KR,Republic of Korea,WPRO,2703.0,90020,46.0,1603
2021-03-07,KR,Republic of Korea,WPRO,2790.0,92810,31.0,1634
2021-03-14,KR,Republic of Korea,WPRO,3197.0,96007,35.0,1669
2021-03-21,KR,Republic of Korea,WPRO,3058.0,99065,27.0,1696
2021-03-28,KR,Republic of Korea,WPRO,3062.0,102127,26.0,1722
2021-04-04,KR,Republic of Korea,WPRO,3620.0,105747,22.0,1744
2021-04-11,KR,Republic of Korea,WPRO,4394.0,110141,24.0,1768
2021-04-18,KR,Republic of Korea,WPRO,4505.0,114646,29.0,1797
2021-04-25,KR,Republic of Korea,WPRO,4732.0,119378,16.0,1813
2021-05-02,KR,Republic of Korea,WPRO,4342.0,123720,21.0,1834
2021-05-09,KR,Republic of Korea,WPRO,4044.0,127764,41.0,1875
2021-05-16,KR,Republic of Korea,WPRO,4516.0,132280,28.0,1903
2021-05-23,KR,Republic of Korea,WPRO,4178.0,136458,31.0,1934
2021-05-30,KR,Republic of Korea,WPRO,3880.0,140338,25.0,1959
2021-06-06,KR,Republic of Korea,WPRO,4297.0,144635,15.0,1974
2021-06-13,KR,Republic of Korea,WPRO,3638.0,148273,14.0,1988
2021-06-20,KR,Republic of Korea,WPRO,3233.0,151506,16.0,2004
2021-06-27,KR,Republic of Korea,WPRO,4066.0,155572,11.0,2015
2021-07-04,KR,Republic of Korea,WPRO,5223.0,160795,13.0,2028
2021-07-11,KR,Republic of Korea,WPRO,8351.0,169146,16.0,2044
2021-07-18,KR,Republic of Korea,WPRO,10057.0,179203,14.0,2058
2021-07-25,KR,Republic of Korea,WPRO,10963.0,190166,19.0,2077
2021-08-01,KR,Republic of Korea,WPRO,10835.0,201001,22.0,2099
2021-08-08,KR,Republic of Korea,WPRO,11446.0,212447,26.0,2125
2021-08-15,KR,Republic of Korea,WPRO,13034.0,225481,42.0,2167
2021-08-22,KR,Republic of Korea,WPRO,12297.0,237778,55.0,2222
2021-08-29,KR,Republic of Korea,WPRO,12271.0,250049,62.0,2284
2021-09-05,KR,Republic of Korea,WPRO,11728.0,261777,43.0,2327
2021-09-12,KR,Republic of Korea,WPRO,12636.0,274413,33.0,2360
2021-09-19,KR,Republic of Korea,WPRO,13121.0,287534,49.0,2409
2021-09-26,KR,Republic of Korea,WPRO,16019.0,303553,47.0,2456
2021-10-03,KR,Republic of Korea,WPRO,16224.0,319777,57.0,2513
2021-10-10,KR,Republic of Korea,WPRO,13039.0,332816,70.0,2583
2021-10-17,KR,Republic of Korea,WPRO,10629.0,343445,85.0,2668
2021-10-24,KR,Republic of Korea,WPRO,9644.0,353089,105.0,2773
2021-10-31,KR,Republic of Korea,WPRO,13296.0,366385,86.0,2859
2021-11-07,KR,Republic of Korea,WPRO,15307.0,381692,121.0,2980
2021-11-14,KR,Republic of Korea,WPRO,15774.0,397466,135.0,3115
2021-11-21,KR,Republic of Korea,WPRO,20785.0,418251,183.0,3298
2021-11-28,KR,Republic of Korea,WPRO,25947.0,444198,282.0,3580
2021-12-05,KR,Republic of Korea,WPRO,33158.0,477356,313.0,3893
2021-12-12,KR,Republic of Korea,WPRO,45729.0,523085,400.0,4293
2021-12-19,KR,Republic of Korea,WPRO,47328.0,570413,483.0,4776
2021-12-26,KR,Republic of Korea,WPRO,41254.0,611667,524.0,5300
2022-01-02,KR,Republic of Korea,WPRO,30535.0,642202,430.0,5730
2022-01-09,KR,Republic of Korea,WPRO,25184.0,667386,341.0,6071
2022-01-16,KR,Republic of Korea,WPRO,28644.0,696030,262.0,6333
2022-01-23,KR,Republic of Korea,WPRO,45378.0,741408,232.0,6565
2022-01-30,KR,Republic of Korea,WPRO,104291.0,845699,190.0,6755
2022-02-06,KR,Republic of Korea,WPRO,199263.0,1044962,131.0,6886
2022-02-13,KR,Republic of Korea,WPRO,360282.0,1405244,216.0,7102
2022-02-20,KR,Republic of Korea,WPRO,652917.0,2058161,348.0,7450
2022-02-27,KR,Republic of Korea,WPRO,1076295.0,3134456,608.0,8058
2022-03-06,KR,Republic of Korea,WPRO,1532514.0,4666970,1038.0,9096
2022-03-13,KR,Republic of Korea,WPRO,2199242.0,6866212,1499.0,10595
2022-03-20,KR,Republic of Korea,WPRO,2716348.0,9582560,2162.0,12757
2022-03-27,KR,Republic of Korea,WPRO,2420314.0,12002874,2429.0,15186
2022-04-03,KR,Republic of Korea,WPRO,1998392.0,14001266,2267.0,17453
2022-04-10,KR,Republic of Korea,WPRO,1423253.0,15424519,2226.0,19679
2022-04-17,KR,Republic of Korea,WPRO,928917.0,16353436,1545.0,21224
2022-04-24,KR,Republic of Korea,WPRO,576068.0,16929504,1019.0,22243
2022-05-01,KR,Republic of Korea,WPRO,366118.0,17295622,715.0,22958
2022-05-08,KR,Republic of Korea,WPRO,269340.0,17564962,442.0,23400
2022-05-15,KR,Republic of Korea,WPRO,230350.0,17795312,344.0,23744
2022-05-22,KR,Republic of Korea,WPRO,172329.0,17967641,243.0,23987
2022-05-29,KR,Republic of Korea,WPRO,118806.0,18086447,180.0,24167
2022-06-05,KR,Republic of Korea,WPRO,82261.0,18168708,132.0,24299
2022-06-12,KR,Republic of Korea,WPRO,60570.0,18229278,91.0,24390
2022-06-19,KR,Republic of Korea,WPRO,50785.0,18280063,73.0,24463
2022-06-26,KR,Republic of Korea,WPRO,49360.0,18329423,67.0,24530
2022-07-03,KR,Republic of Korea,WPRO,60188.0,18389611,46.0,24576
2022-07-10,KR,Republic of Korea,WPRO,122234.0,18511845,92.0,24668
