Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-01-12,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-01-19,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-01-26,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-02-02,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-02-09,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-02-16,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-02-23,KW,Kuwait,EMRO,0.0,0,0.0,0
2020-03-01,KW,Kuwait,EMRO,45.0,45,0.0,0
2020-03-08,KW,Kuwait,EMRO,16.0,61,0.0,0
2020-03-15,KW,Kuwait,EMRO,43.0,104,0.0,0
2020-03-22,KW,Kuwait,EMRO,72.0,176,0.0,0
2020-03-29,KW,Kuwait,EMRO,59.0,235,0.0,0
2020-04-05,KW,Kuwait,EMRO,244.0,479,0.0,0
2020-04-12,KW,Kuwait,EMRO,675.0,1154,1.0,1
2020-04-19,KW,Kuwait,EMRO,597.0,1751,5.0,6
2020-04-26,KW,Kuwait,EMRO,1141.0,2892,13.0,19
2020-05-03,KW,Kuwait,EMRO,1727.0,4619,14.0,33
2020-05-10,KW,Kuwait,EMRO,3004.0,7623,16.0,49
2020-05-17,KW,Kuwait,EMRO,6179.0,13802,58.0,107
2020-05-24,KW,Kuwait,EMRO,6662.0,20464,41.0,148
2020-05-31,KW,Kuwait,EMRO,5728.0,26192,57.0,205
2020-06-07,KW,Kuwait,EMRO,4939.0,31131,49.0,254
2020-06-14,KW,Kuwait,EMRO,4335.0,35466,35.0,289
2020-06-21,KW,Kuwait,EMRO,3679.0,39145,30.0,319
2020-06-28,KW,Kuwait,EMRO,5246.0,44391,25.0,344
2020-07-05,KW,Kuwait,EMRO,4912.0,49303,21.0,365
2020-07-12,KW,Kuwait,EMRO,4755.0,54058,21.0,386
2020-07-19,KW,Kuwait,EMRO,4846.0,58904,21.0,407
2020-07-26,KW,Kuwait,EMRO,4405.0,63309,22.0,429
2020-08-02,KW,Kuwait,EMRO,4139.0,67448,24.0,453
2020-08-09,KW,Kuwait,EMRO,3751.0,71199,21.0,474
2020-08-16,KW,Kuwait,EMRO,4498.0,75697,24.0,498
2020-08-23,KW,Kuwait,EMRO,4260.0,79957,15.0,513
2020-08-30,KW,Kuwait,EMRO,4267.0,84224,15.0,528
2020-09-06,KW,Kuwait,EMRO,4739.0,88963,12.0,540
2020-09-13,KW,Kuwait,EMRO,5248.0,94211,18.0,558
2020-09-20,KW,Kuwait,EMRO,4838.0,99049,23.0,581
2020-09-27,KW,Kuwait,EMRO,4150.0,103199,16.0,597
2020-10-04,KW,Kuwait,EMRO,3259.0,106458,23.0,620
2020-10-11,KW,Kuwait,EMRO,4110.0,110568,35.0,655
2020-10-18,KW,Kuwait,EMRO,4915.0,115483,39.0,694
2020-10-25,KW,Kuwait,EMRO,5444.0,120927,50.0,744
2020-11-01,KW,Kuwait,EMRO,4999.0,125926,35.0,779
2020-11-08,KW,Kuwait,EMRO,5279.0,131205,29.0,808
2020-11-15,KW,Kuwait,EMRO,5136.0,136341,27.0,835
2020-11-22,KW,Kuwait,EMRO,3393.0,139734,28.0,863
2020-11-29,KW,Kuwait,EMRO,2461.0,142195,12.0,875
2020-12-06,KW,Kuwait,EMRO,1969.0,144164,14.0,889
2020-12-13,KW,Kuwait,EMRO,1880.0,146044,22.0,911
2020-12-20,KW,Kuwait,EMRO,1731.0,147775,7.0,918
2020-12-27,KW,Kuwait,EMRO,1674.0,149449,11.0,929
2021-01-03,KW,Kuwait,EMRO,1625.0,151074,8.0,937
2021-01-10,KW,Kuwait,EMRO,2826.0,153900,5.0,942
2021-01-17,KW,Kuwait,EMRO,3499.0,157399,5.0,947
2021-01-24,KW,Kuwait,EMRO,3502.0,160901,5.0,952
2021-01-31,KW,Kuwait,EMRO,3721.0,164622,7.0,959
2021-02-07,KW,Kuwait,EMRO,5414.0,170036,5.0,964
2021-02-14,KW,Kuwait,EMRO,6867.0,176903,34.0,998
2021-02-21,KW,Kuwait,EMRO,6419.0,183322,41.0,1039
2021-02-28,KW,Kuwait,EMRO,6568.0,189890,39.0,1078
2021-03-07,KW,Kuwait,EMRO,9538.0,199428,42.0,1120
2021-03-14,KW,Kuwait,EMRO,9032.0,208460,45.0,1165
2021-03-21,KW,Kuwait,EMRO,9473.0,217933,50.0,1215
2021-03-28,KW,Kuwait,EMRO,9245.0,227178,64.0,1279
2021-04-04,KW,Kuwait,EMRO,8811.0,235989,60.0,1339
2021-04-11,KW,Kuwait,EMRO,9715.0,245704,64.0,1403
2021-04-18,KW,Kuwait,EMRO,10156.0,255860,37.0,1440
2021-04-25,KW,Kuwait,EMRO,9544.0,265404,71.0,1511
2021-05-02,KW,Kuwait,EMRO,9866.0,275270,58.0,1569
2021-05-09,KW,Kuwait,EMRO,8806.0,284076,66.0,1635
2021-05-16,KW,Kuwait,EMRO,6725.0,290801,52.0,1687
2021-05-23,KW,Kuwait,EMRO,7422.0,298223,37.0,1724
2021-05-30,KW,Kuwait,EMRO,8494.0,306717,40.0,1764
2021-06-06,KW,Kuwait,EMRO,9183.0,315900,30.0,1794
2021-06-13,KW,Kuwait,EMRO,10551.0,326451,23.0,1817
2021-06-20,KW,Kuwait,EMRO,10920.0,337371,45.0,1862
2021-06-27,KW,Kuwait,EMRO,12552.0,349923,57.0,1919
2021-07-04,KW,Kuwait,EMRO,12095.0,362018,86.0,2005
2021-07-11,KW,Kuwait,EMRO,12086.0,374104,95.0,2100
2021-07-18,KW,Kuwait,EMRO,10469.0,384573,111.0,2211
2021-07-25,KW,Kuwait,EMRO,7208.0,391781,68.0,2279
2021-08-01,KW,Kuwait,EMRO,6050.0,397831,41.0,2320
2021-08-08,KW,Kuwait,EMRO,4963.0,402794,46.0,2366
2021-08-15,KW,Kuwait,EMRO,3440.0,406234,20.0,2386
2021-08-22,KW,Kuwait,EMRO,1844.0,408078,17.0,2403
2021-08-29,KW,Kuwait,EMRO,1285.0,409363,13.0,2416
2021-09-05,KW,Kuwait,EMRO,907.0,410270,7.0,2423
2021-09-12,KW,Kuwait,EMRO,464.0,410734,7.0,2430
2021-09-19,KW,Kuwait,EMRO,390.0,411124,8.0,2438
2021-09-26,KW,Kuwait,EMRO,323.0,411447,7.0,2445
2021-10-03,KW,Kuwait,EMRO,284.0,411731,6.0,2451
2021-10-10,KW,Kuwait,EMRO,317.0,412048,3.0,2454
