Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-01-12,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-01-19,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-01-26,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-02-02,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-02-09,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-02-16,LB,Lebanon,EMRO,0.0,0,0.0,0
2020-02-23,LB,Lebanon,EMRO,1.0,1,0.0,0
2020-03-01,LB,Lebanon,EMRO,6.0,7,0.0,0
2020-03-08,LB,Lebanon,EMRO,21.0,28,0.0,0
2020-03-15,LB,Lebanon,EMRO,65.0,93,3.0,3
2020-03-22,LB,Lebanon,EMRO,137.0,230,1.0,4
2020-03-29,LB,Lebanon,EMRO,182.0,412,4.0,8
2020-04-05,LB,Lebanon,EMRO,108.0,520,9.0,17
2020-04-12,LB,Lebanon,EMRO,99.0,619,3.0,20
2020-04-19,LB,Lebanon,EMRO,53.0,672,1.0,21
2020-04-26,LB,Lebanon,EMRO,32.0,704,3.0,24
2020-05-03,LB,Lebanon,EMRO,29.0,733,1.0,25
2020-05-10,LB,Lebanon,EMRO,76.0,809,1.0,26
2020-05-17,LB,Lebanon,EMRO,93.0,902,0.0,26
2020-05-24,LB,Lebanon,EMRO,195.0,1097,0.0,26
2020-05-31,LB,Lebanon,EMRO,94.0,1191,0.0,26
2020-06-07,LB,Lebanon,EMRO,129.0,1320,3.0,29
2020-06-14,LB,Lebanon,EMRO,122.0,1442,3.0,32
2020-06-21,LB,Lebanon,EMRO,94.0,1536,0.0,32
2020-06-28,LB,Lebanon,EMRO,183.0,1719,1.0,33
2020-07-05,LB,Lebanon,EMRO,136.0,1855,2.0,35
2020-07-12,LB,Lebanon,EMRO,313.0,2168,1.0,36
2020-07-19,LB,Lebanon,EMRO,607.0,2775,4.0,40
2020-07-26,LB,Lebanon,EMRO,807.0,3582,7.0,47
2020-08-02,LB,Lebanon,EMRO,1148.0,4730,14.0,61
2020-08-09,LB,Lebanon,EMRO,1493.0,6223,13.0,74
2020-08-16,LB,Lebanon,EMRO,2219.0,8442,23.0,97
2020-08-23,LB,Lebanon,EMRO,3749.0,12191,24.0,121
2020-08-30,LB,Lebanon,EMRO,4084.0,16275,34.0,155
2020-09-06,LB,Lebanon,EMRO,3736.0,20011,32.0,187
2020-09-13,LB,Lebanon,EMRO,3658.0,23669,52.0,239
2020-09-20,LB,Lebanon,EMRO,4628.0,28297,47.0,286
2020-09-27,LB,Lebanon,EMRO,6931.0,35228,54.0,340
2020-10-04,LB,Lebanon,EMRO,8252.0,43480,58.0,398
2020-10-11,LB,Lebanon,EMRO,9078.0,52558,57.0,455
2020-10-18,LB,Lebanon,EMRO,8389.0,60947,62.0,517
2020-10-25,LB,Lebanon,EMRO,9043.0,69990,45.0,562
2020-11-01,LB,Lebanon,EMRO,11238.0,81228,75.0,637
2020-11-08,LB,Lebanon,EMRO,11869.0,93097,76.0,713
2020-11-15,LB,Lebanon,EMRO,11170.0,104267,93.0,806
2020-11-22,LB,Lebanon,EMRO,10975.0,115242,88.0,894
2020-11-29,LB,Lebanon,EMRO,10395.0,125637,97.0,991
2020-12-06,LB,Lebanon,EMRO,10239.0,135876,99.0,1090
2020-12-13,LB,Lebanon,EMRO,9369.0,145245,100.0,1190
2020-12-20,LB,Lebanon,EMRO,11325.0,156570,80.0,1270
2020-12-27,LB,Lebanon,EMRO,12902.0,169472,109.0,1379
2021-01-03,LB,Lebanon,EMRO,16936.0,186408,387.0,1766
2021-01-10,LB,Lebanon,EMRO,29145.0,215553,114.0,1880
2021-01-17,LB,Lebanon,EMRO,33605.0,249158,276.0,2156
2021-01-24,LB,Lebanon,EMRO,27429.0,276587,414.0,2570
2021-01-31,LB,Lebanon,EMRO,22326.0,298913,461.0,3031
2021-02-07,LB,Lebanon,EMRO,18923.0,317836,531.0,3562
2021-02-14,LB,Lebanon,EMRO,19156.0,336992,399.0,3961
2021-02-21,LB,Lebanon,EMRO,16379.0,353371,336.0,4297
2021-02-28,LB,Lebanon,EMRO,19404.0,372775,355.0,4652
2021-03-07,LB,Lebanon,EMRO,20436.0,393211,361.0,5013
2021-03-14,LB,Lebanon,EMRO,22151.0,415362,321.0,5334
2021-03-21,LB,Lebanon,EMRO,21213.0,436575,381.0,5715
2021-03-28,LB,Lebanon,EMRO,21763.0,458338,343.0,6058
2021-04-04,LB,Lebanon,EMRO,18775.0,477113,321.0,6379
2021-04-11,LB,Lebanon,EMRO,17520.0,494633,251.0,6630
2021-04-18,LB,Lebanon,EMRO,13870.0,508503,256.0,6886
2021-04-25,LB,Lebanon,EMRO,11112.0,519615,232.0,7118
2021-05-02,LB,Lebanon,EMRO,7893.0,527508,184.0,7302
2021-05-09,LB,Lebanon,EMRO,4761.0,532269,158.0,7460
2021-05-16,LB,Lebanon,EMRO,3177.0,535446,142.0,7602
2021-05-23,LB,Lebanon,EMRO,2772.0,538218,68.0,7670
2021-05-30,LB,Lebanon,EMRO,1914.0,540132,48.0,7718
2021-06-06,LB,Lebanon,EMRO,1291.0,541423,40.0,7758
2021-06-13,LB,Lebanon,EMRO,1100.0,542523,36.0,7794
2021-06-20,LB,Lebanon,EMRO,848.0,543371,25.0,7819
2021-06-27,LB,Lebanon,EMRO,920.0,544291,22.0,7841
2021-07-04,LB,Lebanon,EMRO,1072.0,545363,18.0,7859
2021-07-11,LB,Lebanon,EMRO,2134.0,547497,14.0,7873
2021-07-18,LB,Lebanon,EMRO,2995.0,550492,11.0,7884
2021-07-25,LB,Lebanon,EMRO,3966.0,554458,7.0,7891
2021-08-01,LB,Lebanon,EMRO,6922.0,561380,15.0,7906
2021-08-08,LB,Lebanon,EMRO,8718.0,570098,32.0,7938
2021-08-15,LB,Lebanon,EMRO,11399.0,581497,34.0,7972
2021-08-22,LB,Lebanon,EMRO,9486.0,590983,36.0,8008
2021-08-29,LB,Lebanon,EMRO,8315.0,599298,32.0,8040
2021-09-05,LB,Lebanon,EMRO,7238.0,606536,49.0,8089
2021-09-12,LB,Lebanon,EMRO,6177.0,612713,92.0,8181
2021-09-19,LB,Lebanon,EMRO,4949.0,617662,51.0,8232
2021-09-26,LB,Lebanon,EMRO,4073.0,621735,45.0,8277
2021-10-03,LB,Lebanon,EMRO,3710.0,625445,64.0,8341
2021-10-10,LB,Lebanon,EMRO,4116.0,629561,41.0,8382
2021-10-17,LB,Lebanon,EMRO,3794.0,633355,37.0,8419
2021-10-24,LB,Lebanon,EMRO,3957.0,637312,30.0,8449
2021-10-31,LB,Lebanon,EMRO,4027.0,641339,46.0,8495
2021-11-07,LB,Lebanon,EMRO,4466.0,645805,45.0,8540
2021-11-14,LB,Lebanon,EMRO,5983.0,651788,37.0,8577
2021-11-21,LB,Lebanon,EMRO,6679.0,658467,58.0,8635
2021-11-28,LB,Lebanon,EMRO,8301.0,666768,66.0,8701
2021-12-05,LB,Lebanon,EMRO,10406.0,677174,64.0,8765
2021-12-12,LB,Lebanon,EMRO,11341.0,688515,71.0,8836
2021-12-19,LB,Lebanon,EMRO,10949.0,699464,88.0,8924
2021-12-26,LB,Lebanon,EMRO,11795.0,711259,103.0,9027
2022-01-02,LB,Lebanon,EMRO,20029.0,731288,109.0,9136
2022-01-09,LB,Lebanon,EMRO,38112.0,769400,131.0,9267
2022-01-16,LB,Lebanon,EMRO,45231.0,814631,100.0,9367
2022-01-23,LB,Lebanon,EMRO,44217.0,858848,107.0,9474
2022-01-30,LB,Lebanon,EMRO,48976.0,907824,102.0,9576
