Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,LI,Liechtenstein,,0.0,0,0.0,0
2020-01-12,LI,Liechtenstein,,0.0,0,0.0,0
2020-01-19,LI,Liechtenstein,,0.0,0,0.0,0
2020-01-26,LI,Liechtenstein,,0.0,0,0.0,0
2020-02-02,LI,Liechtenstein,,0.0,0,0.0,0
2020-02-09,LI,Liechtenstein,,0.0,0,0.0,0
2020-02-16,LI,Liechtenstein,,0.0,0,0.0,0
2020-02-23,LI,Liechtenstein,,0.0,0,0.0,0
2020-03-01,LI,Liechtenstein,,0.0,0,0.0,0
2020-03-08,LI,Liechtenstein,,1.0,1,0.0,0
2020-03-15,LI,Liechtenstein,,10.0,11,0.0,0
2020-03-22,LI,Liechtenstein,,35.0,46,0.0,0
2020-03-29,LI,Liechtenstein,,18.0,64,0.0,0
2020-04-05,LI,Liechtenstein,,14.0,78,1.0,1
2020-04-12,LI,Liechtenstein,,3.0,81,0.0,1
2020-04-19,LI,Liechtenstein,,1.0,82,0.0,1
2020-04-26,LI,Liechtenstein,,1.0,83,0.0,1
2020-05-03,LI,Liechtenstein,,0.0,83,0.0,1
2020-05-10,LI,Liechtenstein,,0.0,83,0.0,1
2020-05-17,LI,Liechtenstein,,0.0,83,0.0,1
2020-05-24,LI,Liechtenstein,,0.0,83,0.0,1
2020-05-31,LI,Liechtenstein,,0.0,83,0.0,1
2020-06-07,LI,Liechtenstein,,0.0,83,0.0,1
2020-06-14,LI,Liechtenstein,,0.0,83,0.0,1
2020-06-21,LI,Liechtenstein,,0.0,83,0.0,1
2020-06-28,LI,Liechtenstein,,0.0,83,0.0,1
2020-07-05,LI,Liechtenstein,,1.0,84,0.0,1
2020-07-12,LI,Liechtenstein,,1.0,85,0.0,1
2020-07-19,LI,Liechtenstein,,2.0,87,0.0,1
2020-07-26,LI,Liechtenstein,,0.0,87,0.0,1
2020-08-02,LI,Liechtenstein,,2.0,89,0.0,1
2020-08-09,LI,Liechtenstein,,0.0,89,0.0,1
2020-08-16,LI,Liechtenstein,,5.0,94,0.0,1
2020-08-23,LI,Liechtenstein,,7.0,101,0.0,1
2020-08-30,LI,Liechtenstein,,7.0,108,0.0,1
2020-09-06,LI,Liechtenstein,,0.0,108,0.0,1
2020-09-13,LI,Liechtenstein,,3.0,111,0.0,1
2020-09-20,LI,Liechtenstein,,3.0,114,0.0,1
2020-09-27,LI,Liechtenstein,,5.0,119,0.0,1
2020-10-04,LI,Liechtenstein,,9.0,128,0.0,1
2020-10-11,LI,Liechtenstein,,22.0,150,0.0,1
2020-10-18,LI,Liechtenstein,,77.0,227,0.0,1
2020-10-25,LI,Liechtenstein,,186.0,413,0.0,1
2020-11-01,LI,Liechtenstein,,190.0,603,2.0,3
2020-11-08,LI,Liechtenstein,,217.0,820,0.0,3
2020-11-15,LI,Liechtenstein,,193.0,1013,3.0,6
2020-11-22,LI,Liechtenstein,,141.0,1154,4.0,10
2020-11-29,LI,Liechtenstein,,149.0,1303,7.0,17
2020-12-06,LI,Liechtenstein,,130.0,1433,2.0,19
2020-12-13,LI,Liechtenstein,,144.0,1577,2.0,21
2020-12-20,LI,Liechtenstein,,254.0,1831,5.0,26
2020-12-27,LI,Liechtenstein,,257.0,2088,13.0,39
2021-01-03,LI,Liechtenstein,,196.0,2284,5.0,44
2021-01-10,LI,Liechtenstein,,121.0,2405,6.0,50
2021-01-17,LI,Liechtenstein,,49.0,2454,0.0,50
2021-01-24,LI,Liechtenstein,,59.0,2513,3.0,53
2021-01-31,LI,Liechtenstein,,54.0,2567,0.0,53
2021-02-07,LI,Liechtenstein,,30.0,2597,0.0,53
2021-02-14,LI,Liechtenstein,,18.0,2615,2.0,55
2021-02-21,LI,Liechtenstein,,7.0,2622,0.0,55
2021-02-28,LI,Liechtenstein,,28.0,2650,0.0,55
2021-03-07,LI,Liechtenstein,,20.0,2670,1.0,56
2021-03-14,LI,Liechtenstein,,20.0,2690,0.0,56
2021-03-21,LI,Liechtenstein,,21.0,2711,0.0,56
2021-03-28,LI,Liechtenstein,,28.0,2739,0.0,56
2021-04-04,LI,Liechtenstein,,37.0,2776,0.0,56
2021-04-11,LI,Liechtenstein,,61.0,2837,0.0,56
2021-04-18,LI,Liechtenstein,,72.0,2909,0.0,56
2021-04-25,LI,Liechtenstein,,64.0,2973,1.0,57
2021-05-02,LI,Liechtenstein,,62.0,3035,0.0,57
2021-05-09,LI,Liechtenstein,,27.0,3062,1.0,58
2021-05-16,LI,Liechtenstein,,17.0,3079,0.0,58
2021-05-23,LI,Liechtenstein,,12.0,3091,0.0,58
2021-05-30,LI,Liechtenstein,,12.0,3103,0.0,58
2021-06-06,LI,Liechtenstein,,12.0,3115,0.0,58
2021-06-13,LI,Liechtenstein,,5.0,3120,1.0,59
2021-06-20,LI,Liechtenstein,,3.0,3123,0.0,59
2021-06-27,LI,Liechtenstein,,4.0,3127,0.0,59
2021-07-04,LI,Liechtenstein,,13.0,3140,0.0,59
2021-07-11,LI,Liechtenstein,,13.0,3153,0.0,59
2021-07-18,LI,Liechtenstein,,11.0,3164,0.0,59
2021-07-25,LI,Liechtenstein,,15.0,3179,0.0,59
2021-08-01,LI,Liechtenstein,,13.0,3192,0.0,59
2021-08-08,LI,Liechtenstein,,15.0,3207,0.0,59
2021-08-15,LI,Liechtenstein,,63.0,3270,0.0,59
2021-08-22,LI,Liechtenstein,,73.0,3343,0.0,59
2021-08-29,LI,Liechtenstein,,38.0,3381,0.0,59
2021-09-05,LI,Liechtenstein,,64.0,3445,0.0,59
2021-09-12,LI,Liechtenstein,,53.0,3498,1.0,60
2021-09-19,LI,Liechtenstein,,32.0,3530,0.0,60
2021-09-26,LI,Liechtenstein,,25.0,3555,0.0,60
2021-10-03,LI,Liechtenstein,,6.0,3561,0.0,60
2021-10-10,LI,Liechtenstein,,11.0,3572,0.0,60
2021-10-17,LI,Liechtenstein,,31.0,3603,0.0,60
2021-10-24,LI,Liechtenstein,,39.0,3642,1.0,61
2021-10-31,LI,Liechtenstein,,43.0,3685,0.0,61
2021-11-07,LI,Liechtenstein,,93.0,3778,0.0,61
2021-11-14,LI,Liechtenstein,,147.0,3925,0.0,61
2021-11-21,LI,Liechtenstein,,378.0,4303,0.0,61
2021-11-28,LI,Liechtenstein,,400.0,4703,1.0,62
2021-12-05,LI,Liechtenstein,,409.0,5112,0.0,62
2021-12-12,LI,Liechtenstein,,375.0,5487,5.0,67
2021-12-19,LI,Liechtenstein,,304.0,5791,2.0,69
2021-12-26,LI,Liechtenstein,,268.0,6059,0.0,69
2022-01-02,LI,Liechtenstein,,292.0,6351,0.0,69
2022-01-09,LI,Liechtenstein,,481.0,6832,0.0,69
2022-01-16,LI,Liechtenstein,,545.0,7377,1.0,70
2022-01-23,LI,Liechtenstein,,757.0,8134,1.0,71
2022-01-30,LI,Liechtenstein,,910.0,9044,0.0,71
2022-02-06,LI,Liechtenstein,,810.0,9854,0.0,71
2022-02-13,LI,Liechtenstein,,846.0,10700,0.0,71
2022-02-20,LI,Liechtenstein,,615.0,11315,3.0,74
2022-02-27,LI,Liechtenstein,,648.0,11963,1.0,75
2022-03-06,LI,Liechtenstein,,1143.0,13106,1.0,76
2022-03-13,LI,Liechtenstein,,1126.0,14232,2.0,78
2022-03-20,LI,Liechtenstein,,1149.0,15381,2.0,80
2022-03-27,LI,Liechtenstein,,710.0,16091,2.0,82
2022-04-03,LI,Liechtenstein,,406.0,16497,0.0,82
2022-04-10,LI,Liechtenstein,,266.0,16763,0.0,82
2022-04-17,LI,Liechtenstein,,204.0,16967,0.0,82
2022-04-24,LI,Liechtenstein,,112.0,17079,0.0,82
2022-05-01,LI,Liechtenstein,,95.0,17174,1.0,83
2022-05-08,LI,Liechtenstein,,80.0,17254,0.0,83
2022-05-15,LI,Liechtenstein,,67.0,17321,0.0,83
