Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,LR,Liberia,AFRO,0.0,0,0.0,0
2020-01-12,LR,Liberia,AFRO,0.0,0,0.0,0
2020-01-19,LR,Liberia,AFRO,0.0,0,0.0,0
2020-01-26,LR,Liberia,AFRO,0.0,0,0.0,0
2020-02-02,LR,Liberia,AFRO,0.0,0,0.0,0
2020-02-09,LR,Liberia,AFRO,0.0,0,0.0,0
2020-02-16,LR,Liberia,AFRO,0.0,0,0.0,0
2020-02-23,LR,Liberia,AFRO,0.0,0,0.0,0
2020-03-01,LR,Liberia,AFRO,0.0,0,0.0,0
2020-03-08,LR,Liberia,AFRO,0.0,0,0.0,0
2020-03-15,LR,Liberia,AFRO,0.0,0,0.0,0
2020-03-22,LR,Liberia,AFRO,3.0,3,0.0,0
2020-03-29,LR,Liberia,AFRO,1.0,4,0.0,0
2020-04-05,LR,Liberia,AFRO,7.0,11,1.0,1
2020-04-12,LR,Liberia,AFRO,46.0,57,5.0,6
2020-04-19,LR,Liberia,AFRO,41.0,98,3.0,9
2020-04-26,LR,Liberia,AFRO,32.0,130,5.0,14
2020-05-03,LR,Liberia,AFRO,41.0,171,6.0,20
2020-05-10,LR,Liberia,AFRO,44.0,215,2.0,22
2020-05-17,LR,Liberia,AFRO,22.0,237,1.0,23
2020-05-24,LR,Liberia,AFRO,33.0,270,5.0,28
2020-05-31,LR,Liberia,AFRO,24.0,294,2.0,30
2020-06-07,LR,Liberia,AFRO,70.0,364,3.0,33
2020-06-14,LR,Liberia,AFRO,99.0,463,2.0,35
2020-06-21,LR,Liberia,AFRO,168.0,631,2.0,37
2020-06-28,LR,Liberia,AFRO,137.0,768,0.0,37
2020-07-05,LR,Liberia,AFRO,103.0,871,3.0,40
2020-07-12,LR,Liberia,AFRO,136.0,1007,15.0,55
2020-07-19,LR,Liberia,AFRO,81.0,1088,19.0,74
2020-07-26,LR,Liberia,AFRO,64.0,1152,3.0,77
2020-08-02,LR,Liberia,AFRO,52.0,1204,6.0,83
2020-08-09,LR,Liberia,AFRO,31.0,1235,2.0,85
2020-08-16,LR,Liberia,AFRO,49.0,1284,3.0,88
2020-08-23,LR,Liberia,AFRO,21.0,1305,0.0,88
2020-08-30,LR,Liberia,AFRO,20.0,1325,0.0,88
2020-09-06,LR,Liberia,AFRO,3.0,1328,0.0,88
2020-09-13,LR,Liberia,AFRO,18.0,1346,0.0,88
2020-09-20,LR,Liberia,AFRO,17.0,1363,0.0,88
2020-09-27,LR,Liberia,AFRO,3.0,1366,0.0,88
2020-10-04,LR,Liberia,AFRO,9.0,1375,0.0,88
2020-10-11,LR,Liberia,AFRO,22.0,1397,0.0,88
2020-10-18,LR,Liberia,AFRO,10.0,1407,0.0,88
2020-10-25,LR,Liberia,AFRO,15.0,1422,0.0,88
2020-11-01,LR,Liberia,AFRO,39.0,1461,0.0,88
2020-11-08,LR,Liberia,AFRO,14.0,1475,0.0,88
2020-11-15,LR,Liberia,AFRO,59.0,1534,0.0,88
2020-11-22,LR,Liberia,AFRO,51.0,1585,0.0,88
2020-11-29,LR,Liberia,AFRO,34.0,1619,1.0,89
2020-12-06,LR,Liberia,AFRO,106.0,1725,0.0,89
2020-12-13,LR,Liberia,AFRO,67.0,1792,0.0,89
2020-12-20,LR,Liberia,AFRO,17.0,1809,0.0,89
2020-12-27,LR,Liberia,AFRO,12.0,1821,0.0,89
2021-01-03,LR,Liberia,AFRO,35.0,1856,0.0,89
2021-01-10,LR,Liberia,AFRO,24.0,1880,0.0,89
2021-01-17,LR,Liberia,AFRO,26.0,1906,0.0,89
2021-01-24,LR,Liberia,AFRO,19.0,1925,0.0,89
2021-01-31,LR,Liberia,AFRO,29.0,1954,0.0,89
2021-02-07,LR,Liberia,AFRO,23.0,1977,0.0,89
2021-02-14,LR,Liberia,AFRO,16.0,1993,2.0,91
2021-02-21,LR,Liberia,AFRO,11.0,2004,0.0,91
2021-02-28,LR,Liberia,AFRO,19.0,2023,0.0,91
2021-03-07,LR,Liberia,AFRO,12.0,2035,0.0,91
2021-03-14,LR,Liberia,AFRO,10.0,2045,0.0,91
2021-03-21,LR,Liberia,AFRO,9.0,2054,0.0,91
2021-03-28,LR,Liberia,AFRO,12.0,2066,0.0,91
2021-04-04,LR,Liberia,AFRO,4.0,2070,0.0,91
2021-04-11,LR,Liberia,AFRO,6.0,2076,0.0,91
2021-04-18,LR,Liberia,AFRO,16.0,2092,0.0,91
2021-04-25,LR,Liberia,AFRO,15.0,2107,0.0,91
2021-05-02,LR,Liberia,AFRO,10.0,2117,0.0,91
2021-05-09,LR,Liberia,AFRO,11.0,2128,0.0,91
2021-05-16,LR,Liberia,AFRO,13.0,2141,0.0,91
2021-05-23,LR,Liberia,AFRO,27.0,2168,1.0,92
2021-05-30,LR,Liberia,AFRO,36.0,2204,0.0,92
2021-06-06,LR,Liberia,AFRO,110.0,2314,3.0,95
2021-06-13,LR,Liberia,AFRO,265.0,2579,15.0,110
2021-06-20,LR,Liberia,AFRO,509.0,3088,28.0,138
2021-06-27,LR,Liberia,AFRO,704.0,3792,39.0,177
2021-07-04,LR,Liberia,AFRO,1142.0,4934,33.0,210
2021-07-11,LR,Liberia,AFRO,286.0,5220,29.0,239
2021-07-18,LR,Liberia,AFRO,240.0,5460,22.0,261
2021-07-25,LR,Liberia,AFRO,76.0,5536,12.0,273
2021-08-01,LR,Liberia,AFRO,25.0,5561,3.0,276
2021-08-08,LR,Liberia,AFRO,31.0,5592,3.0,279
2021-08-15,LR,Liberia,AFRO,32.0,5624,2.0,281
2021-08-22,LR,Liberia,AFRO,33.0,5657,1.0,282
2021-08-29,LR,Liberia,AFRO,61.0,5718,1.0,283
2021-09-05,LR,Liberia,AFRO,32.0,5750,0.0,283
2021-09-12,LR,Liberia,AFRO,22.0,5772,0.0,283
2021-09-19,LR,Liberia,AFRO,21.0,5793,0.0,283
2021-09-26,LR,Liberia,AFRO,10.0,5803,2.0,285
2021-10-03,LR,Liberia,AFRO,2.0,5805,1.0,286
2021-10-10,LR,Liberia,AFRO,2.0,5807,0.0,286
2021-10-17,LR,Liberia,AFRO,5.0,5812,0.0,286
2021-10-24,LR,Liberia,AFRO,2.0,5814,1.0,287
2021-10-31,LR,Liberia,AFRO,4.0,5818,0.0,287
2021-11-07,LR,Liberia,AFRO,0.0,5818,0.0,287
2021-11-14,LR,Liberia,AFRO,3.0,5821,0.0,287
2021-11-21,LR,Liberia,AFRO,2.0,5823,0.0,287
2021-11-28,LR,Liberia,AFRO,1.0,5824,0.0,287
2021-12-05,LR,Liberia,AFRO,6.0,5830,0.0,287
2021-12-12,LR,Liberia,AFRO,17.0,5847,0.0,287
2021-12-19,LR,Liberia,AFRO,72.0,5919,0.0,287
2021-12-26,LR,Liberia,AFRO,309.0,6228,0.0,287
2022-01-02,LR,Liberia,AFRO,516.0,6744,0.0,287
2022-01-09,LR,Liberia,AFRO,331.0,7075,0.0,287
2022-01-16,LR,Liberia,AFRO,118.0,7193,0.0,287
