Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-01-12,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-01-19,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-01-26,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-02-02,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-02-09,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-02-16,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-02-23,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-03-01,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-03-08,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-03-15,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-03-22,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-03-29,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-04-05,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-04-12,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-04-19,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-04-26,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-05-03,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-05-10,LS,Lesotho,AFRO,0.0,0,0.0,0
2020-05-17,LS,Lesotho,AFRO,1.0,1,0.0,0
2020-05-24,LS,Lesotho,AFRO,1.0,2,0.0,0
2020-05-31,LS,Lesotho,AFRO,0.0,2,0.0,0
2020-06-07,LS,Lesotho,AFRO,2.0,4,0.0,0
2020-06-14,LS,Lesotho,AFRO,0.0,4,0.0,0
2020-06-21,LS,Lesotho,AFRO,0.0,4,0.0,0
2020-06-28,LS,Lesotho,AFRO,23.0,27,0.0,0
2020-07-05,LS,Lesotho,AFRO,52.0,79,0.0,0
2020-07-12,LS,Lesotho,AFRO,105.0,184,20.0,20
2020-07-19,LS,Lesotho,AFRO,175.0,359,4.0,24
2020-07-26,LS,Lesotho,AFRO,87.0,446,5.0,29
2020-08-02,LS,Lesotho,AFRO,256.0,702,3.0,32
2020-08-09,LS,Lesotho,AFRO,40.0,742,9.0,41
2020-08-16,LS,Lesotho,AFRO,161.0,903,2.0,43
2020-08-23,LS,Lesotho,AFRO,112.0,1015,5.0,48
2020-08-30,LS,Lesotho,AFRO,51.0,1066,1.0,49
2020-09-06,LS,Lesotho,AFRO,82.0,1148,0.0,49
2020-09-13,LS,Lesotho,AFRO,97.0,1245,2.0,51
2020-09-20,LS,Lesotho,AFRO,145.0,1390,0.0,51
2020-09-27,LS,Lesotho,AFRO,168.0,1558,2.0,53
2020-10-04,LS,Lesotho,AFRO,122.0,1680,4.0,57
2020-10-11,LS,Lesotho,AFRO,120.0,1800,3.0,60
2020-10-18,LS,Lesotho,AFRO,33.0,1833,0.0,60
2020-10-25,LS,Lesotho,AFRO,107.0,1940,1.0,61
2020-11-01,LS,Lesotho,AFRO,13.0,1953,1.0,62
2020-11-08,LS,Lesotho,AFRO,10.0,1963,0.0,62
2020-11-15,LS,Lesotho,AFRO,87.0,2050,0.0,62
2020-11-22,LS,Lesotho,AFRO,35.0,2085,0.0,62
2020-11-29,LS,Lesotho,AFRO,24.0,2109,0.0,62
2020-12-06,LS,Lesotho,AFRO,36.0,2145,0.0,62
2020-12-13,LS,Lesotho,AFRO,5.0,2150,0.0,62
2020-12-20,LS,Lesotho,AFRO,135.0,2285,0.0,62
2020-12-27,LS,Lesotho,AFRO,292.0,2577,2.0,64
2021-01-03,LS,Lesotho,AFRO,0.0,2577,0.0,64
2021-01-10,LS,Lesotho,AFRO,2626.0,5203,20.0,84
2021-01-17,LS,Lesotho,AFRO,1168.0,6371,9.0,93
2021-01-24,LS,Lesotho,AFRO,1285.0,7656,30.0,123
2021-01-31,LS,Lesotho,AFRO,993.0,8649,41.0,164
2021-02-07,LS,Lesotho,AFRO,731.0,9380,19.0,183
2021-02-14,LS,Lesotho,AFRO,585.0,9965,47.0,230
2021-02-21,LS,Lesotho,AFRO,496.0,10461,55.0,285
2021-02-28,LS,Lesotho,AFRO,30.0,10491,7.0,292
