Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,LV,Latvia,EURO,0.0,0,0.0,0
2020-01-12,LV,Latvia,EURO,0.0,0,0.0,0
2020-01-19,LV,Latvia,EURO,0.0,0,0.0,0
2020-01-26,LV,Latvia,EURO,0.0,0,0.0,0
2020-02-02,LV,Latvia,EURO,0.0,0,0.0,0
2020-02-09,LV,Latvia,EURO,0.0,0,0.0,0
2020-02-16,LV,Latvia,EURO,0.0,0,0.0,0
2020-02-23,LV,Latvia,EURO,0.0,0,0.0,0
2020-03-01,LV,Latvia,EURO,0.0,0,0.0,0
2020-03-08,LV,Latvia,EURO,3.0,3,0.0,0
2020-03-15,LV,Latvia,EURO,27.0,30,0.0,0
2020-03-22,LV,Latvia,EURO,106.0,136,0.0,0
2020-03-29,LV,Latvia,EURO,211.0,347,0.0,0
2020-04-05,LV,Latvia,EURO,187.0,534,2.0,2
2020-04-12,LV,Latvia,EURO,118.0,652,5.0,7
2020-04-19,LV,Latvia,EURO,76.0,728,1.0,8
2020-04-26,LV,Latvia,EURO,85.0,813,5.0,13
2020-05-03,LV,Latvia,EURO,67.0,880,3.0,16
2020-05-10,LV,Latvia,EURO,60.0,940,2.0,18
2020-05-17,LV,Latvia,EURO,68.0,1008,2.0,20
2020-05-24,LV,Latvia,EURO,39.0,1047,3.0,23
2020-05-31,LV,Latvia,EURO,19.0,1066,2.0,25
2020-06-07,LV,Latvia,EURO,22.0,1088,0.0,25
2020-06-14,LV,Latvia,EURO,9.0,1097,3.0,28
2020-06-21,LV,Latvia,EURO,14.0,1111,2.0,30
2020-06-28,LV,Latvia,EURO,5.0,1116,0.0,30
2020-07-05,LV,Latvia,EURO,8.0,1124,0.0,30
2020-07-12,LV,Latvia,EURO,49.0,1173,1.0,31
2020-07-19,LV,Latvia,EURO,19.0,1192,0.0,31
2020-07-26,LV,Latvia,EURO,27.0,1219,0.0,31
2020-08-02,LV,Latvia,EURO,24.0,1243,1.0,32
2020-08-09,LV,Latvia,EURO,47.0,1290,0.0,32
2020-08-16,LV,Latvia,EURO,32.0,1322,0.0,32
2020-08-23,LV,Latvia,EURO,15.0,1337,1.0,33
2020-08-30,LV,Latvia,EURO,56.0,1393,1.0,34
2020-09-06,LV,Latvia,EURO,35.0,1428,1.0,35
2020-09-13,LV,Latvia,EURO,46.0,1474,0.0,35
2020-09-20,LV,Latvia,EURO,51.0,1525,1.0,36
2020-09-27,LV,Latvia,EURO,151.0,1676,0.0,36
2020-10-04,LV,Latvia,EURO,410.0,2086,3.0,39
2020-10-11,LV,Latvia,EURO,584.0,2670,1.0,40
2020-10-18,LV,Latvia,EURO,780.0,3450,4.0,44
2020-10-25,LV,Latvia,EURO,1228.0,4678,16.0,60
2020-11-01,LV,Latvia,EURO,1458.0,6136,20.0,80
2020-11-08,LV,Latvia,EURO,1959.0,8095,25.0,105
2020-11-15,LV,Latvia,EURO,2452.0,10547,30.0,135
2020-11-22,LV,Latvia,EURO,2573.0,13120,40.0,175
2020-11-29,LV,Latvia,EURO,3855.0,16975,58.0,233
2020-12-06,LV,Latvia,EURO,4338.0,21313,63.0,296
2020-12-13,LV,Latvia,EURO,4362.0,25675,103.0,399
2020-12-20,LV,Latvia,EURO,5265.0,30940,106.0,505
2020-12-27,LV,Latvia,EURO,5390.0,36330,127.0,632
2021-01-03,LV,Latvia,EURO,6167.0,42497,96.0,728
2021-01-10,LV,Latvia,EURO,7071.0,49568,189.0,917
2021-01-17,LV,Latvia,EURO,6096.0,55664,140.0,1057
2021-01-24,LV,Latvia,EURO,5342.0,61006,151.0,1208
2021-01-31,LV,Latvia,EURO,5233.0,66239,155.0,1363
