Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,LY,Libya,EMRO,0.0,0,0.0,0
2020-01-12,LY,Libya,EMRO,0.0,0,0.0,0
2020-01-19,LY,Libya,EMRO,0.0,0,0.0,0
2020-01-26,LY,Libya,EMRO,0.0,0,0.0,0
2020-02-02,LY,Libya,EMRO,0.0,0,0.0,0
2020-02-09,LY,Libya,EMRO,0.0,0,0.0,0
2020-02-16,LY,Libya,EMRO,0.0,0,0.0,0
2020-02-23,LY,Libya,EMRO,0.0,0,0.0,0
2020-03-01,LY,Libya,EMRO,0.0,0,0.0,0
2020-03-08,LY,Libya,EMRO,0.0,0,0.0,0
2020-03-15,LY,Libya,EMRO,0.0,0,0.0,0
2020-03-22,LY,Libya,EMRO,0.0,0,0.0,0
2020-03-29,LY,Libya,EMRO,1.0,1,0.0,0
2020-04-05,LY,Libya,EMRO,10.0,11,1.0,1
2020-04-12,LY,Libya,EMRO,13.0,24,0.0,1
2020-04-19,LY,Libya,EMRO,25.0,49,0.0,1
2020-04-26,LY,Libya,EMRO,11.0,60,1.0,2
2020-05-03,LY,Libya,EMRO,3.0,63,1.0,3
2020-05-10,LY,Libya,EMRO,1.0,64,0.0,3
2020-05-17,LY,Libya,EMRO,0.0,64,0.0,3
2020-05-24,LY,Libya,EMRO,8.0,72,0.0,3
2020-05-31,LY,Libya,EMRO,46.0,118,2.0,5
2020-06-07,LY,Libya,EMRO,121.0,239,0.0,5
2020-06-14,LY,Libya,EMRO,170.0,409,1.0,6
2020-06-21,LY,Libya,EMRO,111.0,520,4.0,10
2020-06-28,LY,Libya,EMRO,193.0,713,8.0,18
2020-07-05,LY,Libya,EMRO,205.0,918,9.0,27
2020-07-12,LY,Libya,EMRO,424.0,1342,11.0,38
2020-07-19,LY,Libya,EMRO,362.0,1704,9.0,47
2020-07-26,LY,Libya,EMRO,721.0,2425,10.0,57
2020-08-02,LY,Libya,EMRO,1196.0,3621,17.0,74
2020-08-09,LY,Libya,EMRO,1457.0,5078,34.0,108
2020-08-16,LY,Libya,EMRO,2249.0,7327,31.0,139
2020-08-23,LY,Libya,EMRO,2794.0,10121,41.0,180
2020-08-30,LY,Libya,EMRO,2837.0,12958,51.0,231
2020-09-06,LY,Libya,EMRO,4136.0,17094,41.0,272
2020-09-13,LY,Libya,EMRO,5254.0,22348,82.0,354
2020-09-20,LY,Libya,EMRO,4886.0,27234,72.0,426
2020-09-27,LY,Libya,EMRO,4594.0,31828,73.0,499
2020-10-04,LY,Libya,EMRO,4259.0,36087,79.0,578
2020-10-11,LY,Libya,EMRO,5599.0,41686,45.0,623
2020-10-18,LY,Libya,EMRO,6159.0,47845,76.0,699
