Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-01-12,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-01-19,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-01-26,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-02-02,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-02-09,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-02-16,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-02-23,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-03-01,MD,Republic of Moldova,EURO,0.0,0,0.0,0
2020-03-08,MD,Republic of Moldova,EURO,1.0,1,0.0,0
2020-03-15,MD,Republic of Moldova,EURO,7.0,8,0.0,0
2020-03-22,MD,Republic of Moldova,EURO,72.0,80,1.0,1
2020-03-29,MD,Republic of Moldova,EURO,151.0,231,1.0,2
2020-04-05,MD,Republic of Moldova,EURO,521.0,752,10.0,12
2020-04-12,MD,Republic of Moldova,EURO,808.0,1560,18.0,30
2020-04-19,MD,Republic of Moldova,EURO,791.0,2351,30.0,60
2020-04-26,MD,Republic of Moldova,EURO,953.0,3304,34.0,94
2020-05-03,MD,Republic of Moldova,EURO,748.0,4052,30.0,124
2020-05-10,MD,Republic of Moldova,EURO,815.0,4867,41.0,165
2020-05-17,MD,Republic of Moldova,EURO,1067.0,5934,44.0,209
2020-05-24,MD,Republic of Moldova,EURO,1060.0,6994,41.0,250
2020-05-31,MD,Republic of Moldova,EURO,1104.0,8098,46.0,296
2020-06-07,MD,Republic of Moldova,EURO,1413.0,9511,41.0,337
2020-06-14,MD,Republic of Moldova,EURO,1948.0,11459,64.0,401
2020-06-21,MD,Republic of Moldova,EURO,2494.0,13953,65.0,466
2020-06-28,MD,Republic of Moldova,EURO,2127.0,16080,62.0,528
2020-07-05,MD,Republic of Moldova,EURO,1592.0,17672,58.0,586
2020-07-12,MD,Republic of Moldova,EURO,1536.0,19208,58.0,644
2020-07-19,MD,Republic of Moldova,EURO,1586.0,20794,40.0,684
2020-07-26,MD,Republic of Moldova,EURO,2034.0,22828,53.0,737
2020-08-02,MD,Republic of Moldova,EURO,2285.0,25113,57.0,794
2020-08-09,MD,Republic of Moldova,EURO,2330.0,27443,52.0,846
2020-08-16,MD,Republic of Moldova,EURO,2462.0,29905,54.0,900
2020-08-23,MD,Republic of Moldova,EURO,3167.0,33072,40.0,940
2020-08-30,MD,Republic of Moldova,EURO,3332.0,36404,55.0,995
2020-09-06,MD,Republic of Moldova,EURO,3069.0,39473,73.0,1068
2020-09-13,MD,Republic of Moldova,EURO,3241.0,42714,55.0,1123
2020-09-20,MD,Republic of Moldova,EURO,3622.0,46336,83.0,1206
2020-09-27,MD,Republic of Moldova,EURO,4198.0,50534,78.0,1284
2020-10-04,MD,Republic of Moldova,EURO,5354.0,55888,78.0,1362
2020-10-11,MD,Republic of Moldova,EURO,5874.0,61762,105.0,1467
2020-10-18,MD,Republic of Moldova,EURO,4890.0,66652,111.0,1578
2020-10-25,MD,Republic of Moldova,EURO,4437.0,71089,100.0,1678
2020-11-01,MD,Republic of Moldova,EURO,4951.0,76040,133.0,1811
2020-11-08,MD,Republic of Moldova,EURO,5635.0,81675,106.0,1917
2020-11-15,MD,Republic of Moldova,EURO,7097.0,88772,115.0,2032
2020-11-22,MD,Republic of Moldova,EURO,7917.0,96689,124.0,2156
2020-11-29,MD,Republic of Moldova,EURO,9163.0,105852,139.0,2295
2020-12-06,MD,Republic of Moldova,EURO,9705.0,115557,185.0,2480
2020-12-13,MD,Republic of Moldova,EURO,10166.0,125723,144.0,2624
2020-12-20,MD,Republic of Moldova,EURO,8855.0,134578,180.0,2804
2020-12-27,MD,Republic of Moldova,EURO,6418.0,140996,156.0,2960
2021-01-03,MD,Republic of Moldova,EURO,4698.0,145694,211.0,3171
2021-01-10,MD,Republic of Moldova,EURO,3399.0,149093,110.0,3281
2021-01-17,MD,Republic of Moldova,EURO,3547.0,152640,115.0,3396
2021-01-24,MD,Republic of Moldova,EURO,3297.0,155937,102.0,3498
2021-01-31,MD,Republic of Moldova,EURO,3576.0,159513,123.0,3621
2021-02-07,MD,Republic of Moldova,EURO,4730.0,164243,96.0,3717
2021-02-14,MD,Republic of Moldova,EURO,5562.0,169805,110.0,3827
2021-02-21,MD,Republic of Moldova,EURO,6440.0,176245,120.0,3947
2021-02-28,MD,Republic of Moldova,EURO,8611.0,184856,236.0,4183
2021-03-07,MD,Republic of Moldova,EURO,9749.0,194605,167.0,4350
