Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,ME,Montenegro,EURO,0.0,0,0.0,0
2020-01-12,ME,Montenegro,EURO,0.0,0,0.0,0
2020-01-19,ME,Montenegro,EURO,0.0,0,0.0,0
2020-01-26,ME,Montenegro,EURO,0.0,0,0.0,0
2020-02-02,ME,Montenegro,EURO,0.0,0,0.0,0
2020-02-09,ME,Montenegro,EURO,0.0,0,0.0,0
2020-02-16,ME,Montenegro,EURO,0.0,0,0.0,0
2020-02-23,ME,Montenegro,EURO,0.0,0,0.0,0
2020-03-01,ME,Montenegro,EURO,0.0,0,0.0,0
2020-03-08,ME,Montenegro,EURO,0.0,0,0.0,0
2020-03-15,ME,Montenegro,EURO,0.0,0,0.0,0
2020-03-22,ME,Montenegro,EURO,0.0,0,0.0,0
2020-03-29,ME,Montenegro,EURO,0.0,0,0.0,0
2020-04-05,ME,Montenegro,EURO,0.0,0,0.0,0
2020-04-12,ME,Montenegro,EURO,0.0,0,0.0,0
2020-04-19,ME,Montenegro,EURO,0.0,0,0.0,0
2020-04-26,ME,Montenegro,EURO,0.0,0,0.0,0
2020-05-03,ME,Montenegro,EURO,2.0,2,1.0,1
2020-05-10,ME,Montenegro,EURO,1.0,3,1.0,2
2020-05-17,ME,Montenegro,EURO,0.0,3,0.0,2
2020-05-24,ME,Montenegro,EURO,0.0,3,0.0,2
2020-05-31,ME,Montenegro,EURO,0.0,3,0.0,2
2020-06-07,ME,Montenegro,EURO,0.0,3,0.0,2
2020-06-14,ME,Montenegro,EURO,0.0,3,0.0,2
2020-06-21,ME,Montenegro,EURO,37.0,40,0.0,2
2020-06-28,ME,Montenegro,EURO,0.0,40,0.0,2
2020-07-05,ME,Montenegro,EURO,0.0,40,0.0,2
2020-07-12,ME,Montenegro,EURO,0.0,40,0.0,2
2020-07-19,ME,Montenegro,EURO,0.0,40,0.0,2
2020-07-26,ME,Montenegro,EURO,0.0,40,0.0,2
2020-08-02,ME,Montenegro,EURO,429.0,469,8.0,10
2020-08-09,ME,Montenegro,EURO,384.0,853,16.0,26
2020-08-16,ME,Montenegro,EURO,394.0,1247,11.0,37
2020-08-23,ME,Montenegro,EURO,300.0,1547,6.0,43
2020-08-30,ME,Montenegro,EURO,461.0,2008,15.0,58
2020-09-06,ME,Montenegro,EURO,788.0,2796,9.0,67
2020-09-13,ME,Montenegro,EURO,1568.0,4364,12.0,79
2020-09-20,ME,Montenegro,EURO,1666.0,6030,16.0,95
2020-09-27,ME,Montenegro,EURO,1730.0,7760,22.0,117
2020-10-04,ME,Montenegro,EURO,1679.0,9439,21.0,138
2020-10-11,ME,Montenegro,EURO,1736.0,11175,23.0,161
2020-10-18,ME,Montenegro,EURO,1746.0,12921,32.0,193
2020-10-25,ME,Montenegro,EURO,1138.0,14059,30.0,223
2020-11-01,ME,Montenegro,EURO,2090.0,16149,44.0,267
2020-11-08,ME,Montenegro,EURO,0.0,16149,0.0,267
2020-11-15,ME,Montenegro,EURO,0.0,16149,0.0,267
2020-11-22,ME,Montenegro,EURO,3808.0,19957,48.0,315
2020-11-29,ME,Montenegro,EURO,3742.0,23699,48.0,363
2020-12-06,ME,Montenegro,EURO,3318.0,27017,46.0,409
2020-12-13,ME,Montenegro,EURO,3014.0,30031,49.0,458
2020-12-20,ME,Montenegro,EURO,2534.0,32565,44.0,502
2020-12-27,ME,Montenegro,EURO,2645.0,35210,41.0,543
2021-01-03,ME,Montenegro,EURO,2546.0,37756,23.0,566
2021-01-10,ME,Montenegro,EURO,3265.0,41021,36.0,602
2021-01-17,ME,Montenegro,EURO,12597.0,53618,32.0,634
2021-01-24,ME,Montenegro,EURO,2903.0,56521,23.0,657
2021-01-31,ME,Montenegro,EURO,3292.0,59813,37.0,694
2021-02-07,ME,Montenegro,EURO,3665.0,63478,33.0,727
2021-02-14,ME,Montenegro,EURO,3621.0,67099,52.0,779
2021-02-21,ME,Montenegro,EURO,3621.0,70720,60.0,839
2021-02-28,ME,Montenegro,EURO,3877.0,74597,53.0,892
2021-03-07,ME,Montenegro,EURO,3896.0,78493,64.0,956
2021-03-14,ME,Montenegro,EURO,3958.0,82451,62.0,1018
2021-03-21,ME,Montenegro,EURO,3475.0,85926,70.0,1088
2021-03-28,ME,Montenegro,EURO,2757.0,88683,46.0,1134
2021-04-04,ME,Montenegro,EURO,2315.0,90998,60.0,1194
2021-04-11,ME,Montenegro,EURO,1676.0,92674,68.0,1262
2021-04-18,ME,Montenegro,EURO,1274.0,93948,56.0,1318
2021-04-25,ME,Montenegro,EURO,1081.0,95029,52.0,1370
2021-05-02,ME,Montenegro,EURO,938.0,95967,40.0,1410
2021-05-09,ME,Montenegro,EURO,647.0,96614,35.0,1445
2021-05-16,ME,Montenegro,EURO,531.0,97145,21.0,1466
2021-05-23,ME,Montenegro,EURO,393.0,97538,13.0,1479
2021-05-30,ME,Montenegro,EURO,333.0,97871,9.0,1488
2021-06-06,ME,Montenegro,EURO,211.0,98082,9.0,1497
2021-06-13,ME,Montenegro,EURO,129.0,98211,9.0,1506
2021-06-20,ME,Montenegro,EURO,128.0,98339,4.0,1510
2021-06-27,ME,Montenegro,EURO,110.0,98449,4.0,1514
2021-07-04,ME,Montenegro,EURO,134.0,98583,10.0,1524
2021-07-11,ME,Montenegro,EURO,147.0,98730,5.0,1529
2021-07-18,ME,Montenegro,EURO,195.0,98925,3.0,1532
2021-07-25,ME,Montenegro,EURO,517.0,99442,1.0,1533
