Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-01-12,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-01-19,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-01-26,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-02-02,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-02-09,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-02-16,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-02-23,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-03-01,MF,Saint Martin (French part),,0.0,0,0.0,0
2020-03-08,MF,Saint Martin (French part),,2.0,2,0.0,0
2020-03-15,MF,Saint Martin (French part),,0.0,2,0.0,0
2020-03-22,MF,Saint Martin (French part),,2.0,4,0.0,0
2020-03-29,MF,Saint Martin (French part),,8.0,12,0.0,0
2020-04-05,MF,Saint Martin (French part),,12.0,24,2.0,2
2020-04-12,MF,Saint Martin (French part),,9.0,33,0.0,2
2020-04-19,MF,Saint Martin (French part),,4.0,37,0.0,2
2020-04-26,MF,Saint Martin (French part),,1.0,38,1.0,3
2020-05-03,MF,Saint Martin (French part),,0.0,38,0.0,3
2020-05-10,MF,Saint Martin (French part),,0.0,38,0.0,3
2020-05-17,MF,Saint Martin (French part),,1.0,39,0.0,3
2020-05-24,MF,Saint Martin (French part),,0.0,39,0.0,3
2020-05-31,MF,Saint Martin (French part),,2.0,41,0.0,3
2020-06-07,MF,Saint Martin (French part),,0.0,41,0.0,3
2020-06-14,MF,Saint Martin (French part),,0.0,41,0.0,3
2020-06-21,MF,Saint Martin (French part),,1.0,42,0.0,3
2020-06-28,MF,Saint Martin (French part),,0.0,42,0.0,3
2020-07-05,MF,Saint Martin (French part),,2.0,44,0.0,3
2020-07-12,MF,Saint Martin (French part),,0.0,44,0.0,3
2020-07-19,MF,Saint Martin (French part),,2.0,46,0.0,3
2020-07-26,MF,Saint Martin (French part),,3.0,49,0.0,3
2020-08-02,MF,Saint Martin (French part),,4.0,53,0.0,3
2020-08-09,MF,Saint Martin (French part),,0.0,53,0.0,3
2020-08-16,MF,Saint Martin (French part),,56.0,109,2.0,5
2020-08-23,MF,Saint Martin (French part),,67.0,176,0.0,5
2020-08-30,MF,Saint Martin (French part),,37.0,213,0.0,5
2020-09-06,MF,Saint Martin (French part),,26.0,239,1.0,6
2020-09-13,MF,Saint Martin (French part),,17.0,256,0.0,6
2020-09-20,MF,Saint Martin (French part),,74.0,330,0.0,6
2020-09-27,MF,Saint Martin (French part),,53.0,383,2.0,8
2020-10-04,MF,Saint Martin (French part),,29.0,412,0.0,8
2020-10-11,MF,Saint Martin (French part),,54.0,466,0.0,8
2020-10-18,MF,Saint Martin (French part),,65.0,531,0.0,8
2020-10-25,MF,Saint Martin (French part),,11.0,542,0.0,8
2020-11-01,MF,Saint Martin (French part),,49.0,591,1.0,9
2020-11-08,MF,Saint Martin (French part),,13.0,604,3.0,12
2020-11-15,MF,Saint Martin (French part),,51.0,655,0.0,12
2020-11-22,MF,Saint Martin (French part),,35.0,690,0.0,12
2020-11-29,MF,Saint Martin (French part),,0.0,690,0.0,12
2020-12-06,MF,Saint Martin (French part),,54.0,744,0.0,12
2020-12-13,MF,Saint Martin (French part),,94.0,838,0.0,12
2020-12-20,MF,Saint Martin (French part),,110.0,948,0.0,12
2020-12-27,MF,Saint Martin (French part),,38.0,986,0.0,12
2021-01-03,MF,Saint Martin (French part),,9.0,995,0.0,12
2021-01-10,MF,Saint Martin (French part),,7.0,1002,0.0,12
2021-01-17,MF,Saint Martin (French part),,44.0,1046,0.0,12
2021-01-24,MF,Saint Martin (French part),,145.0,1191,0.0,12
2021-01-31,MF,Saint Martin (French part),,98.0,1289,0.0,12
2021-02-07,MF,Saint Martin (French part),,0.0,1289,0.0,12
2021-02-14,MF,Saint Martin (French part),,167.0,1456,0.0,12
2021-02-21,MF,Saint Martin (French part),,0.0,1456,0.0,12
2021-02-28,MF,Saint Martin (French part),,98.0,1554,0.0,12
2021-03-07,MF,Saint Martin (French part),,27.0,1581,0.0,12
2021-03-14,MF,Saint Martin (French part),,31.0,1612,0.0,12
2021-03-21,MF,Saint Martin (French part),,21.0,1633,0.0,12
2021-03-28,MF,Saint Martin (French part),,24.0,1657,0.0,12
2021-04-04,MF,Saint Martin (French part),,30.0,1687,1.0,13
2021-04-11,MF,Saint Martin (French part),,16.0,1703,0.0,13
2021-04-18,MF,Saint Martin (French part),,7.0,1710,0.0,13
2021-04-25,MF,Saint Martin (French part),,18.0,1728,0.0,13
2021-05-02,MF,Saint Martin (French part),,21.0,1749,1.0,14
2021-05-09,MF,Saint Martin (French part),,28.0,1777,0.0,14
2021-05-16,MF,Saint Martin (French part),,62.0,1839,0.0,14
2021-05-23,MF,Saint Martin (French part),,56.0,1895,1.0,15
2021-05-30,MF,Saint Martin (French part),,114.0,2009,0.0,15
2021-06-06,MF,Saint Martin (French part),,104.0,2113,7.0,22
2021-06-13,MF,Saint Martin (French part),,115.0,2228,3.0,25
2021-06-20,MF,Saint Martin (French part),,86.0,2314,1.0,26
2021-06-27,MF,Saint Martin (French part),,53.0,2367,1.0,27
2021-07-04,MF,Saint Martin (French part),,53.0,2420,2.0,29
2021-07-11,MF,Saint Martin (French part),,52.0,2472,1.0,30
