Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,ML,Mali,AFRO,0.0,0,0.0,0
2020-01-12,ML,Mali,AFRO,0.0,0,0.0,0
2020-01-19,ML,Mali,AFRO,0.0,0,0.0,0
2020-01-26,ML,Mali,AFRO,0.0,0,0.0,0
2020-02-02,ML,Mali,AFRO,0.0,0,0.0,0
2020-02-09,ML,Mali,AFRO,0.0,0,0.0,0
2020-02-16,ML,Mali,AFRO,0.0,0,0.0,0
2020-02-23,ML,Mali,AFRO,0.0,0,0.0,0
2020-03-01,ML,Mali,AFRO,0.0,0,0.0,0
2020-03-08,ML,Mali,AFRO,0.0,0,0.0,0
2020-03-15,ML,Mali,AFRO,0.0,0,0.0,0
2020-03-22,ML,Mali,AFRO,0.0,0,0.0,0
2020-03-29,ML,Mali,AFRO,17.0,17,1.0,1
2020-04-05,ML,Mali,AFRO,22.0,39,2.0,3
2020-04-12,ML,Mali,AFRO,66.0,105,6.0,9
2020-04-19,ML,Mali,AFRO,111.0,216,4.0,13
2020-04-26,ML,Mali,AFRO,154.0,370,8.0,21
2020-05-03,ML,Mali,AFRO,174.0,544,5.0,26
2020-05-10,ML,Mali,AFRO,148.0,692,12.0,38
2020-05-17,ML,Mali,AFRO,143.0,835,10.0,48
2020-05-24,ML,Mali,AFRO,178.0,1013,15.0,63
2020-05-31,ML,Mali,AFRO,235.0,1248,13.0,76
2020-06-07,ML,Mali,AFRO,273.0,1521,14.0,90
2020-06-14,ML,Mali,AFRO,253.0,1774,14.0,104
2020-06-21,ML,Mali,AFRO,157.0,1931,5.0,109
2020-06-28,ML,Mali,AFRO,127.0,2058,4.0,113
2020-07-05,ML,Mali,AFRO,202.0,2260,5.0,118
2020-07-12,ML,Mali,AFRO,31.0,2291,3.0,121
2020-07-19,ML,Mali,AFRO,66.0,2357,0.0,121
2020-07-26,ML,Mali,AFRO,31.0,2388,2.0,123
2020-08-02,ML,Mali,AFRO,32.0,2420,1.0,124
2020-08-09,ML,Mali,AFRO,30.0,2450,1.0,125
2020-08-16,ML,Mali,AFRO,162.0,2612,0.0,125
2020-08-23,ML,Mali,AFRO,87.0,2699,0.0,125
2020-08-30,ML,Mali,AFRO,58.0,2757,1.0,126
2020-09-06,ML,Mali,AFRO,76.0,2833,0.0,126
2020-09-13,ML,Mali,AFRO,83.0,2916,2.0,128
2020-09-20,ML,Mali,AFRO,90.0,3006,0.0,128
2020-09-27,ML,Mali,AFRO,74.0,3080,2.0,130
2020-10-04,ML,Mali,AFRO,90.0,3170,1.0,131
2020-10-11,ML,Mali,AFRO,103.0,3273,1.0,132
2020-10-18,ML,Mali,AFRO,106.0,3379,0.0,132
2020-10-25,ML,Mali,AFRO,93.0,3472,0.0,132
2020-11-01,ML,Mali,AFRO,82.0,3554,4.0,136
2020-11-08,ML,Mali,AFRO,122.0,3676,1.0,137
2020-11-15,ML,Mali,AFRO,192.0,3868,2.0,139
2020-11-22,ML,Mali,AFRO,338.0,4206,4.0,143
2020-11-29,ML,Mali,AFRO,453.0,4659,6.0,149
2020-12-06,ML,Mali,AFRO,403.0,5062,14.0,163
2020-12-13,ML,Mali,AFRO,659.0,5721,26.0,189
2020-12-20,ML,Mali,AFRO,443.0,6164,31.0,220
2020-12-27,ML,Mali,AFRO,410.0,6574,30.0,250
2021-01-03,ML,Mali,AFRO,652.0,7226,26.0,276
2021-01-10,ML,Mali,AFRO,339.0,7565,19.0,295
2021-01-17,ML,Mali,AFRO,258.0,7823,13.0,308
2021-01-24,ML,Mali,AFRO,142.0,7965,15.0,323
2021-01-31,ML,Mali,AFRO,104.0,8069,7.0,330
2021-02-07,ML,Mali,AFRO,91.0,8160,8.0,338
2021-02-14,ML,Mali,AFRO,66.0,8226,4.0,342
2021-02-21,ML,Mali,AFRO,66.0,8292,5.0,347
2021-02-28,ML,Mali,AFRO,73.0,8365,5.0,352
2021-03-07,ML,Mali,AFRO,195.0,8560,6.0,358
2021-03-14,ML,Mali,AFRO,302.0,8862,2.0,360
2021-03-21,ML,Mali,AFRO,408.0,9270,2.0,362
2021-03-28,ML,Mali,AFRO,503.0,9773,14.0,376
