Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-01-12,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-01-19,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-01-26,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-02-02,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-02-09,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-02-16,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-02-23,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-03-01,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-03-08,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-03-15,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-03-22,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-03-29,MP,Northern Mariana Islands,WPRO,0.0,0,0.0,0
2020-04-05,MP,Northern Mariana Islands,WPRO,8.0,8,1.0,1
2020-04-12,MP,Northern Mariana Islands,WPRO,3.0,11,1.0,2
2020-04-19,MP,Northern Mariana Islands,WPRO,3.0,14,0.0,2
2020-04-26,MP,Northern Mariana Islands,WPRO,0.0,14,0.0,2
2020-05-03,MP,Northern Mariana Islands,WPRO,0.0,14,0.0,2
2020-05-10,MP,Northern Mariana Islands,WPRO,2.0,16,0.0,2
2020-05-17,MP,Northern Mariana Islands,WPRO,5.0,21,0.0,2
2020-05-24,MP,Northern Mariana Islands,WPRO,1.0,22,0.0,2
2020-05-31,MP,Northern Mariana Islands,WPRO,0.0,22,0.0,2
2020-06-07,MP,Northern Mariana Islands,WPRO,4.0,26,0.0,2
2020-06-14,MP,Northern Mariana Islands,WPRO,4.0,30,0.0,2
2020-06-21,MP,Northern Mariana Islands,WPRO,0.0,30,0.0,2
2020-06-28,MP,Northern Mariana Islands,WPRO,0.0,30,0.0,2
2020-07-05,MP,Northern Mariana Islands,WPRO,1.0,31,0.0,2
2020-07-12,MP,Northern Mariana Islands,WPRO,2.0,33,0.0,2
2020-07-19,MP,Northern Mariana Islands,WPRO,4.0,37,0.0,2
2020-07-26,MP,Northern Mariana Islands,WPRO,2.0,39,0.0,2
2020-08-02,MP,Northern Mariana Islands,WPRO,5.0,44,0.0,2
2020-08-09,MP,Northern Mariana Islands,WPRO,4.0,48,0.0,2
2020-08-16,MP,Northern Mariana Islands,WPRO,2.0,50,0.0,2
2020-08-23,MP,Northern Mariana Islands,WPRO,4.0,54,0.0,2
2020-08-30,MP,Northern Mariana Islands,WPRO,2.0,56,0.0,2
2020-09-06,MP,Northern Mariana Islands,WPRO,2.0,58,0.0,2
2020-09-13,MP,Northern Mariana Islands,WPRO,2.0,60,0.0,2
2020-09-20,MP,Northern Mariana Islands,WPRO,8.0,68,0.0,2
2020-09-27,MP,Northern Mariana Islands,WPRO,2.0,70,0.0,2
2020-10-04,MP,Northern Mariana Islands,WPRO,3.0,73,0.0,2
2020-10-11,MP,Northern Mariana Islands,WPRO,4.0,77,0.0,2
2020-10-18,MP,Northern Mariana Islands,WPRO,9.0,86,0.0,2
2020-10-25,MP,Northern Mariana Islands,WPRO,2.0,88,0.0,2
2020-11-01,MP,Northern Mariana Islands,WPRO,8.0,96,0.0,2
