Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MQ,Martinique,,0.0,0,0.0,0
2020-01-12,MQ,Martinique,,0.0,0,0.0,0
2020-01-19,MQ,Martinique,,0.0,0,0.0,0
2020-01-26,MQ,Martinique,,0.0,0,0.0,0
2020-02-02,MQ,Martinique,,0.0,0,0.0,0
2020-02-09,MQ,Martinique,,0.0,0,0.0,0
2020-02-16,MQ,Martinique,,0.0,0,0.0,0
2020-02-23,MQ,Martinique,,0.0,0,0.0,0
2020-03-01,MQ,Martinique,,0.0,0,0.0,0
2020-03-08,MQ,Martinique,,2.0,2,0.0,0
2020-03-15,MQ,Martinique,,5.0,7,0.0,0
2020-03-22,MQ,Martinique,,25.0,32,0.0,0
2020-03-29,MQ,Martinique,,61.0,93,1.0,1
2020-04-05,MQ,Martinique,,52.0,145,2.0,3
2020-04-12,MQ,Martinique,,10.0,155,3.0,6
2020-04-19,MQ,Martinique,,8.0,163,6.0,12
2020-04-26,MQ,Martinique,,7.0,170,2.0,14
2020-05-03,MQ,Martinique,,10.0,180,0.0,14
2020-05-10,MQ,Martinique,,6.0,186,0.0,14
2020-05-17,MQ,Martinique,,6.0,192,0.0,14
2020-05-24,MQ,Martinique,,5.0,197,0.0,14
2020-05-31,MQ,Martinique,,3.0,200,0.0,14
2020-06-07,MQ,Martinique,,2.0,202,0.0,14
2020-06-14,MQ,Martinique,,0.0,202,0.0,14
2020-06-21,MQ,Martinique,,34.0,236,0.0,14
2020-06-28,MQ,Martinique,,6.0,242,0.0,14
2020-07-05,MQ,Martinique,,7.0,249,0.0,14
2020-07-12,MQ,Martinique,,6.0,255,1.0,15
2020-07-19,MQ,Martinique,,7.0,262,0.0,15
2020-07-26,MQ,Martinique,,7.0,269,0.0,15
2020-08-02,MQ,Martinique,,0.0,269,0.0,15
2020-08-09,MQ,Martinique,,67.0,336,1.0,16
2020-08-16,MQ,Martinique,,0.0,336,0.0,16
2020-08-23,MQ,Martinique,,128.0,464,0.0,16
2020-08-30,MQ,Martinique,,132.0,596,0.0,16
2020-09-06,MQ,Martinique,,162.0,758,2.0,18
2020-09-13,MQ,Martinique,,181.0,939,0.0,18
2020-09-20,MQ,Martinique,,183.0,1122,0.0,18
2020-09-27,MQ,Martinique,,176.0,1298,2.0,20
2020-10-04,MQ,Martinique,,245.0,1543,1.0,21
2020-10-11,MQ,Martinique,,308.0,1851,1.0,22
2020-10-18,MQ,Martinique,,415.0,2266,3.0,25
2020-10-25,MQ,Martinique,,534.0,2800,2.0,27
2020-11-01,MQ,Martinique,,1018.0,3818,4.0,31
2020-11-08,MQ,Martinique,,397.0,4215,2.0,33
2020-11-15,MQ,Martinique,,517.0,4732,4.0,37
2020-11-22,MQ,Martinique,,359.0,5091,2.0,39
2020-11-29,MQ,Martinique,,322.0,5413,1.0,40
2020-12-06,MQ,Martinique,,107.0,5520,1.0,41
2020-12-13,MQ,Martinique,,33.0,5553,0.0,41
2020-12-20,MQ,Martinique,,81.0,5634,1.0,42
2020-12-27,MQ,Martinique,,438.0,6072,0.0,42
2021-01-03,MQ,Martinique,,19.0,6091,1.0,43
2021-01-10,MQ,Martinique,,26.0,6117,0.0,43
2021-01-17,MQ,Martinique,,110.0,6227,0.0,43
2021-01-24,MQ,Martinique,,143.0,6370,1.0,44
2021-01-31,MQ,Martinique,,0.0,6370,0.0,44
2021-02-07,MQ,Martinique,,72.0,6442,1.0,45
2021-02-14,MQ,Martinique,,151.0,6593,0.0,45
2021-02-21,MQ,Martinique,,0.0,6593,0.0,45
2021-02-28,MQ,Martinique,,153.0,6746,0.0,45
2021-03-07,MQ,Martinique,,140.0,6886,2.0,47
2021-03-14,MQ,Martinique,,151.0,7037,0.0,47
2021-03-21,MQ,Martinique,,227.0,7264,0.0,47
2021-03-28,MQ,Martinique,,285.0,7549,3.0,50
2021-04-04,MQ,Martinique,,614.0,8163,4.0,54
2021-04-11,MQ,Martinique,,724.0,8887,5.0,59
2021-04-18,MQ,Martinique,,871.0,9758,7.0,66
2021-04-25,MQ,Martinique,,733.0,10491,4.0,70
2021-05-02,MQ,Martinique,,648.0,11139,9.0,79
2021-05-09,MQ,Martinique,,351.0,11490,8.0,87
2021-05-16,MQ,Martinique,,179.0,11669,3.0,90
2021-05-23,MQ,Martinique,,120.0,11789,3.0,93
2021-05-30,MQ,Martinique,,190.0,11979,2.0,95
2021-06-06,MQ,Martinique,,81.0,12060,2.0,97
2021-06-13,MQ,Martinique,,70.0,12130,1.0,98
2021-06-20,MQ,Martinique,,69.0,12199,0.0,98
2021-06-27,MQ,Martinique,,87.0,12286,0.0,98
2021-07-04,MQ,Martinique,,110.0,12396,0.0,98
2021-07-11,MQ,Martinique,,411.0,12807,0.0,98
2021-07-18,MQ,Martinique,,2157.0,14964,4.0,102
2021-07-25,MQ,Martinique,,2251.0,17215,2.0,104
2021-08-01,MQ,Martinique,,5224.0,22439,25.0,129
2021-08-08,MQ,Martinique,,4308.0,26747,38.0,167
2021-08-15,MQ,Martinique,,3500.0,30247,54.0,221
2021-08-22,MQ,Martinique,,3574.0,33821,57.0,278
2021-08-29,MQ,Martinique,,2132.0,35953,133.0,411
2021-09-05,MQ,Martinique,,2245.0,38198,76.0,487
2021-09-12,MQ,Martinique,,1175.0,39373,69.0,556
2021-09-19,MQ,Martinique,,866.0,40239,32.0,588
2021-09-26,MQ,Martinique,,644.0,40883,27.0,615
2021-10-03,MQ,Martinique,,474.0,41357,17.0,632
2021-10-10,MQ,Martinique,,561.0,41918,18.0,650
2021-10-17,MQ,Martinique,,510.0,42428,12.0,662
2021-10-24,MQ,Martinique,,475.0,42903,11.0,673
2021-10-31,MQ,Martinique,,444.0,43347,10.0,683
2021-11-07,MQ,Martinique,,318.0,43665,11.0,694
2021-11-14,MQ,Martinique,,297.0,43962,6.0,700
2021-11-21,MQ,Martinique,,656.0,44618,4.0,704
2021-11-28,MQ,Martinique,,558.0,45176,6.0,710
2021-12-05,MQ,Martinique,,635.0,45811,14.0,724
2021-12-12,MQ,Martinique,,599.0,46410,13.0,737
2021-12-19,MQ,Martinique,,579.0,46989,26.0,763
2021-12-26,MQ,Martinique,,839.0,47828,12.0,775
2022-01-02,MQ,Martinique,,2177.0,50005,9.0,784
2022-01-09,MQ,Martinique,,1835.0,51840,4.0,788
2022-01-16,MQ,Martinique,,13540.0,65380,17.0,805
2022-01-23,MQ,Martinique,,11695.0,77075,16.0,821
2022-01-30,MQ,Martinique,,10559.0,87634,11.0,832
2022-02-06,MQ,Martinique,,8985.0,96619,10.0,842
2022-02-13,MQ,Martinique,,8478.0,105097,15.0,857
2022-02-20,MQ,Martinique,,5637.0,110734,4.0,861
2022-02-27,MQ,Martinique,,3734.0,114468,33.0,894
2022-03-06,MQ,Martinique,,3216.0,117684,1.0,895
2022-03-13,MQ,Martinique,,13686.0,131370,9.0,904
2022-03-20,MQ,Martinique,,6669.0,138039,5.0,909
2022-03-27,MQ,Martinique,,5136.0,143175,3.0,912
2022-04-03,MQ,Martinique,,2791.0,145966,4.0,916
2022-04-10,MQ,Martinique,,2082.0,148048,2.0,918
