Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-01-12,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-01-19,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-01-26,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-02-02,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-02-09,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-02-16,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-02-23,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-03-01,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-03-08,MR,Mauritania,AFRO,0.0,0,0.0,0
2020-03-15,MR,Mauritania,AFRO,1.0,1,0.0,0
2020-03-22,MR,Mauritania,AFRO,1.0,2,0.0,0
2020-03-29,MR,Mauritania,AFRO,3.0,5,0.0,0
2020-04-05,MR,Mauritania,AFRO,1.0,6,149.0,149
2020-04-12,MR,Mauritania,AFRO,1.0,7,0.0,149
2020-04-19,MR,Mauritania,AFRO,0.0,7,0.0,149
2020-04-26,MR,Mauritania,AFRO,0.0,7,0.0,149
2020-05-03,MR,Mauritania,AFRO,1.0,8,0.0,149
2020-05-10,MR,Mauritania,AFRO,0.0,8,0.0,149
2020-05-17,MR,Mauritania,AFRO,32.0,40,0.0,149
2020-05-24,MR,Mauritania,AFRO,187.0,227,5.0,154
2020-05-31,MR,Mauritania,AFRO,256.0,483,17.0,171
2020-06-07,MR,Mauritania,AFRO,464.0,947,26.0,197
2020-06-14,MR,Mauritania,AFRO,735.0,1682,34.0,231
2020-06-21,MR,Mauritania,AFRO,1131.0,2813,25.0,256
2020-06-28,MR,Mauritania,AFRO,1212.0,4025,13.0,269
2020-07-05,MR,Mauritania,AFRO,802.0,4827,8.0,277
2020-07-12,MR,Mauritania,AFRO,448.0,5275,15.0,292
2020-07-19,MR,Mauritania,AFRO,538.0,5813,9.0,301
2020-07-26,MR,Mauritania,AFRO,338.0,6151,3.0,304
2020-08-02,MR,Mauritania,AFRO,168.0,6319,1.0,305
2020-08-09,MR,Mauritania,AFRO,191.0,6510,0.0,305
2020-08-16,MR,Mauritania,AFRO,183.0,6693,0.0,305
2020-08-23,MR,Mauritania,AFRO,201.0,6894,1.0,306
2020-08-30,MR,Mauritania,AFRO,124.0,7018,0.0,306
2020-09-06,MR,Mauritania,AFRO,116.0,7134,1.0,307
2020-09-13,MR,Mauritania,AFRO,140.0,7274,1.0,308
2020-09-20,MR,Mauritania,AFRO,91.0,7365,0.0,308
2020-09-27,MR,Mauritania,AFRO,97.0,7462,0.0,308
2020-10-04,MR,Mauritania,AFRO,55.0,7517,0.0,308
2020-10-11,MR,Mauritania,AFRO,33.0,7550,0.0,308
2020-10-18,MR,Mauritania,AFRO,57.0,7607,0.0,308
2020-10-25,MR,Mauritania,AFRO,56.0,7663,0.0,308
2020-11-01,MR,Mauritania,AFRO,54.0,7717,0.0,308
2020-11-08,MR,Mauritania,AFRO,97.0,7814,0.0,308
2020-11-15,MR,Mauritania,AFRO,134.0,7948,2.0,310
2020-11-22,MR,Mauritania,AFRO,340.0,8288,4.0,314
2020-11-29,MR,Mauritania,AFRO,259.0,8547,1.0,315
2020-12-06,MR,Mauritania,AFRO,812.0,9359,2.0,317
2020-12-13,MR,Mauritania,AFRO,1421.0,10780,17.0,334
2020-12-20,MR,Mauritania,AFRO,2736.0,13516,3.0,337
2020-12-27,MR,Mauritania,AFRO,0.0,13516,0.0,337
2021-01-03,MR,Mauritania,AFRO,1161.0,14677,17.0,354
2021-01-10,MR,Mauritania,AFRO,752.0,15429,30.0,384
2021-01-17,MR,Mauritania,AFRO,570.0,15999,18.0,402
2021-01-24,MR,Mauritania,AFRO,398.0,16397,15.0,417
2021-01-31,MR,Mauritania,AFRO,211.0,16608,3.0,420
2021-02-07,MR,Mauritania,AFRO,184.0,16792,5.0,425
2021-02-14,MR,Mauritania,AFRO,173.0,16965,3.0,428
2021-02-21,MR,Mauritania,AFRO,118.0,17083,6.0,434
2021-02-28,MR,Mauritania,AFRO,104.0,17187,6.0,440
2021-03-07,MR,Mauritania,AFRO,122.0,17309,2.0,442
2021-03-14,MR,Mauritania,AFRO,115.0,17424,1.0,443
2021-03-21,MR,Mauritania,AFRO,163.0,17587,3.0,446
2021-03-28,MR,Mauritania,AFRO,169.0,17756,2.0,448
2021-04-04,MR,Mauritania,AFRO,161.0,17917,1.0,449
2021-04-11,MR,Mauritania,AFRO,95.0,18012,1.0,450
2021-04-18,MR,Mauritania,AFRO,109.0,18121,2.0,452
2021-04-25,MR,Mauritania,AFRO,71.0,18192,2.0,454
2021-05-02,MR,Mauritania,AFRO,237.0,18429,1.0,455
2021-05-09,MR,Mauritania,AFRO,207.0,18636,1.0,456
2021-05-16,MR,Mauritania,AFRO,170.0,18806,1.0,457
2021-05-23,MR,Mauritania,AFRO,308.0,19114,1.0,458
2021-05-30,MR,Mauritania,AFRO,349.0,19463,5.0,463
2021-06-06,MR,Mauritania,AFRO,322.0,19785,3.0,466
2021-06-13,MR,Mauritania,AFRO,255.0,20040,9.0,475
2021-06-20,MR,Mauritania,AFRO,274.0,20314,5.0,480
2021-06-27,MR,Mauritania,AFRO,290.0,20604,6.0,486
2021-07-04,MR,Mauritania,AFRO,423.0,21027,3.0,489
2021-07-11,MR,Mauritania,AFRO,563.0,21590,5.0,494
2021-07-18,MR,Mauritania,AFRO,918.0,22508,14.0,508
2021-07-25,MR,Mauritania,AFRO,1047.0,23555,20.0,528
2021-08-01,MR,Mauritania,AFRO,2136.0,25691,34.0,562
2021-08-08,MR,Mauritania,AFRO,2266.0,27957,37.0,599
2021-08-15,MR,Mauritania,AFRO,1927.0,29884,37.0,636
2021-08-22,MR,Mauritania,AFRO,1758.0,31642,36.0,672
2021-08-29,MR,Mauritania,AFRO,1516.0,33158,30.0,702
2021-09-05,MR,Mauritania,AFRO,953.0,34111,31.0,733
2021-09-12,MR,Mauritania,AFRO,660.0,34771,16.0,749
2021-09-19,MR,Mauritania,AFRO,557.0,35328,14.0,763
2021-09-26,MR,Mauritania,AFRO,491.0,35819,5.0,768
2021-10-03,MR,Mauritania,AFRO,295.0,36114,9.0,777
2021-10-10,MR,Mauritania,AFRO,273.0,36387,7.0,784
2021-10-17,MR,Mauritania,AFRO,258.0,36645,4.0,788
2021-10-24,MR,Mauritania,AFRO,265.0,36910,4.0,792
2021-10-31,MR,Mauritania,AFRO,312.0,37222,2.0,794
2021-11-07,MR,Mauritania,AFRO,437.0,37659,7.0,801
2021-11-14,MR,Mauritania,AFRO,410.0,38069,6.0,807
2021-11-21,MR,Mauritania,AFRO,514.0,38583,9.0,816
2021-11-28,MR,Mauritania,AFRO,532.0,39115,15.0,831
2021-12-05,MR,Mauritania,AFRO,395.0,39510,7.0,838
2021-12-12,MR,Mauritania,AFRO,268.0,39778,11.0,849
2021-12-19,MR,Mauritania,AFRO,249.0,40027,3.0,852
2021-12-26,MR,Mauritania,AFRO,426.0,40453,10.0,862
2022-01-02,MR,Mauritania,AFRO,1414.0,41867,8.0,870
2022-01-09,MR,Mauritania,AFRO,6238.0,48105,15.0,885
2022-01-16,MR,Mauritania,AFRO,6288.0,54393,18.0,903
2022-01-23,MR,Mauritania,AFRO,2779.0,57172,21.0,924
2022-01-30,MR,Mauritania,AFRO,957.0,58129,25.0,949
2022-02-06,MR,Mauritania,AFRO,314.0,58443,15.0,964
2022-02-13,MR,Mauritania,AFRO,120.0,58563,8.0,972
2022-02-20,MR,Mauritania,AFRO,41.0,58604,4.0,976
2022-02-27,MR,Mauritania,AFRO,25.0,58629,3.0,979
2022-03-06,MR,Mauritania,AFRO,17.0,58646,1.0,980
2022-03-13,MR,Mauritania,AFRO,11.0,58657,1.0,981
