Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-01-05,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-01-12,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-01-19,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-01-26,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-02-02,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-02-09,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-02-16,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-02-23,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-03-01,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-03-08,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-03-15,MS,Montserrat,AMRO,0.0,0,0.0,0
2020-03-22,MS,Montserrat,AMRO,1.0,1,0.0,0
2020-03-29,MS,Montserrat,AMRO,4.0,5,0.0,0
2020-04-05,MS,Montserrat,AMRO,1.0,6,0.0,0
2020-04-12,MS,Montserrat,AMRO,3.0,9,0.0,0
2020-04-19,MS,Montserrat,AMRO,2.0,11,0.0,0
2020-04-26,MS,Montserrat,AMRO,0.0,11,1.0,1
2020-05-03,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-05-10,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-05-17,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-05-24,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-05-31,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-06-07,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-06-14,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-06-21,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-06-28,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-07-05,MS,Montserrat,AMRO,0.0,11,0.0,1
2020-07-12,MS,Montserrat,AMRO,1.0,12,0.0,1
2020-07-19,MS,Montserrat,AMRO,0.0,12,0.0,1
2020-07-26,MS,Montserrat,AMRO,1.0,13,0.0,1
2020-08-02,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-08-09,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-08-16,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-08-23,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-08-30,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-09-06,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-09-13,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-09-20,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-09-27,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-10-04,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-10-11,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-10-18,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-10-25,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-11-01,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-11-08,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-11-15,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-11-22,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-11-29,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-12-06,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-12-13,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-12-20,MS,Montserrat,AMRO,0.0,13,0.0,1
2020-12-27,MS,Montserrat,AMRO,0.0,13,0.0,1
2021-01-03,MS,Montserrat,AMRO,0.0,13,0.0,1
2021-01-10,MS,Montserrat,AMRO,0.0,13,0.0,1
2021-01-17,MS,Montserrat,AMRO,0.0,13,0.0,1
2021-01-24,MS,Montserrat,AMRO,0.0,13,0.0,1
2021-01-31,MS,Montserrat,AMRO,0.0,13,0.0,1
2021-02-07,MS,Montserrat,AMRO,2.0,15,0.0,1
2021-02-14,MS,Montserrat,AMRO,4.0,19,0.0,1
2021-02-21,MS,Montserrat,AMRO,1.0,20,0.0,1
2021-02-28,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-03-07,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-03-14,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-03-21,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-03-28,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-04-04,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-04-11,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-04-18,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-04-25,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-05-02,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-05-09,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-05-16,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-05-23,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-05-30,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-06-06,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-06-13,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-06-20,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-06-27,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-07-04,MS,Montserrat,AMRO,0.0,20,0.0,1
2021-07-11,MS,Montserrat,AMRO,1.0,21,0.0,1
2021-07-18,MS,Montserrat,AMRO,0.0,21,0.0,1
2021-07-25,MS,Montserrat,AMRO,0.0,21,0.0,1
2021-08-01,MS,Montserrat,AMRO,0.0,21,0.0,1
2021-08-08,MS,Montserrat,AMRO,1.0,22,0.0,1
2021-08-15,MS,Montserrat,AMRO,0.0,22,0.0,1
2021-08-22,MS,Montserrat,AMRO,3.0,25,0.0,1
2021-08-29,MS,Montserrat,AMRO,1.0,26,0.0,1
2021-09-05,MS,Montserrat,AMRO,5.0,31,0.0,1
2021-09-12,MS,Montserrat,AMRO,1.0,32,0.0,1
2021-09-19,MS,Montserrat,AMRO,1.0,33,0.0,1
2021-09-26,MS,Montserrat,AMRO,0.0,33,0.0,1
2021-10-03,MS,Montserrat,AMRO,1.0,34,0.0,1
2021-10-10,MS,Montserrat,AMRO,7.0,41,0.0,1
2021-10-17,MS,Montserrat,AMRO,0.0,41,0.0,1
2021-10-24,MS,Montserrat,AMRO,0.0,41,0.0,1
2021-10-31,MS,Montserrat,AMRO,0.0,41,0.0,1
2021-11-07,MS,Montserrat,AMRO,0.0,41,0.0,1
2021-11-14,MS,Montserrat,AMRO,0.0,41,0.0,1
2021-11-21,MS,Montserrat,AMRO,3.0,44,0.0,1
2021-11-28,MS,Montserrat,AMRO,0.0,44,0.0,1
2021-12-05,MS,Montserrat,AMRO,0.0,44,0.0,1
2021-12-12,MS,Montserrat,AMRO,0.0,44,0.0,1
2021-12-19,MS,Montserrat,AMRO,1.0,45,0.0,1
2021-12-26,MS,Montserrat,AMRO,0.0,45,0.0,1
2022-01-02,MS,Montserrat,AMRO,5.0,50,0.0,1
2022-01-09,MS,Montserrat,AMRO,60.0,110,0.0,1
2022-01-16,MS,Montserrat,AMRO,19.0,129,0.0,1
